YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2.98,12.89,74.62,0,101.38,1.91
2014,1,2,3.57,13,66.19,0,101.46,1.94
2014,1,3,3.45,13.34,69.81,0.01,101.41,1.79
2014,1,4,3.16,13.59,78.88,0.25,101.26,2.25
2014,1,5,3.04,13.01,78.69,0.35,101.3,3.16
2014,1,6,3.67,12.78,75.88,0.02,101.52,3.03
2014,1,7,3.77,12.63,61.88,0,101.24,3.23
2014,1,8,3.52,13.72,54.94,0,100.91,2.92
2014,1,9,2.22,11.36,75.31,2.85,101.03,3.32
2014,1,10,3.52,12.04,75.56,0.24,101.38,3.3
2014,1,11,3.61,12.35,72.94,0,101.87,2.41
2014,1,12,3.6,14.68,66.38,0,101.9,1.38
2014,1,13,3.34,14.79,70.88,0,101.53,1.74
2014,1,14,3.34,14.94,75.75,0,101.1,2.35
2014,1,15,3.62,13.77,77.56,0,101.34,3.27
2014,1,16,3.44,14.4,47.44,0,101.07,3
2014,1,17,3.56,13.96,64.69,0,101.36,3.39
2014,1,18,3.94,13.9,76.12,0,101.79,3.42
2014,1,19,3.77,14.02,67.31,0,101.72,3.49
2014,1,20,3.99,14.4,47.75,0,101.48,1.66
2014,1,21,4.1,15.92,36.56,0,101.29,1.64
2014,1,22,3.64,16.6,36.56,0,101.17,2.31
2014,1,23,3.84,14.84,75.44,0,101.41,2.87
2014,1,24,4.26,14.48,69.81,0,101.38,2.86
2014,1,25,4.13,16.12,49.5,0,100.7,2.62
2014,1,26,3.12,16.91,38.44,0.05,100.08,4.64
2014,1,27,2.86,14.02,48.31,0,100.09,5.2
2014,1,28,4.23,12.98,46.75,0,100.58,5.46
2014,1,29,4.34,14.33,34.69,0,101.09,3.27
2014,1,30,4.36,15.04,52.5,0,101.49,3.05
2014,1,31,4.2,14.65,70.56,0,101.42,4.07
2014,2,1,4.03,15.08,72.12,0,101.06,3.97
2014,2,2,2.92,15.44,74.38,3.01,100.3,3.38
2014,2,3,3.52,14.44,76.88,6.28,100.59,2.49
2014,2,4,3.16,13.73,80.06,3.85,101.18,2.9
2014,2,5,4.53,12.73,66.19,0.28,101.33,3.31
2014,2,6,4.27,11.44,68.31,1.18,101.15,2.57
2014,2,7,4.3,11.71,69.44,0,101.28,3.15
2014,2,8,4.55,11.94,71.75,0,101.57,3.53
2014,2,9,4.87,12.4,70.56,0,101.59,3.04
2014,2,10,4.87,12.85,73.25,0,101.52,2.58
2014,2,11,4.96,12.82,73.56,0,101.46,3.52
2014,2,12,5.07,14.79,62.94,0.01,100.95,3.28
2014,2,13,4.25,15.4,46.69,0,100.71,3.37
2014,2,14,3.99,14.14,64.69,0.27,100.82,4.12
2014,2,15,2.2,12.3,70,4.42,100.54,7.15
2014,2,16,4.27,13.91,75.62,0.95,101.07,4.98
2014,2,17,5.06,13.76,74.44,0,101.75,2.29
2014,2,18,5.23,13.97,72.19,0,102.01,3.04
2014,2,19,5.36,14.31,73.75,0.02,101.83,3.95
2014,2,20,5.16,15.01,63.31,0,101.41,2.86
2014,2,21,4.58,18.8,39.19,0,100.88,3.17
2014,2,22,4.63,17.81,50.19,0,100.62,4.77
2014,2,23,3.83,16.16,73.19,0,100.91,2.63
2014,2,24,4.6,15.74,70.75,0,100.95,3.16
2014,2,25,5,14.55,65.75,0,101.23,4.01
2014,2,26,5.39,14.55,64.62,0,101.47,2.52
2014,2,27,5.05,13.93,64.69,0,101.54,3.6
2014,2,28,5.71,13.87,63.31,0,101.36,3.54
2014,3,1,4.87,16.69,53,0,100.62,3.74
2014,3,2,3.19,18.83,36.38,0,100.33,4.98
2014,3,3,3.53,18.06,45.25,0.01,100.33,2.59
2014,3,4,5.16,17.45,35.94,0,100.51,3.76
2014,3,5,5.36,19.81,32.56,0,100.6,3.56
2014,3,6,5.25,18.94,59.19,0,100.99,2.75
2014,3,7,4.75,21.52,45.44,0.07,100.51,5.07
2014,3,8,4.72,20.47,50.5,0.09,100.49,4.58
2014,3,9,5.04,17.08,63,0.33,100.66,3.27
2014,3,10,6.09,15.79,56.44,0,100.77,3.74
2014,3,11,5.19,16.02,54.19,0.14,100.88,4.64
2014,3,12,5.08,14.37,61.5,1.9,101.1,4.67
2014,3,13,3.71,13.48,69.5,2.31,100.98,5.75
2014,3,14,5.34,13.03,51.88,0.06,101.27,4.89
2014,3,15,6.4,13.9,45.62,0,101.47,1.41
2014,3,16,4.6,17.87,31.62,0.01,100.88,4.2
2014,3,17,3.68,19.87,33.06,0,100.69,5.02
2014,3,18,3.67,15.36,75.25,0.45,101.06,2.14
2014,3,19,5.24,17.12,70.69,0,101.24,3
2014,3,20,6.07,17.23,64.75,0.03,101.25,3.79
2014,3,21,6.44,16.94,60.81,0.02,101.17,3.39
2014,3,22,6.6,17.11,64.81,0,101,3.73
2014,3,23,3.82,16.53,68.5,0,100.78,3.14
2014,3,24,6.21,17.59,60.25,0,100.78,3.77
2014,3,25,6.66,17.55,54.88,0,100.77,3.19
2014,3,26,6.77,18.73,48.06,0,101.15,2.64
2014,3,27,6.9,18.98,59.19,0,101.26,4.09
2014,3,28,7.16,19.28,56.44,0,100.86,3.71
2014,3,29,6.3,20.98,45.94,0,100.37,4.79
2014,3,30,6.68,17.99,58.94,0,100.47,4.19
2014,3,31,6.83,16.73,50.75,0,100.5,5.5
2014,4,1,6.73,17.44,55.19,0,100.28,4.6
2014,4,2,5.82,17.08,60.75,0,100.73,3.75
2014,4,3,6.76,17.94,57.06,0,101.05,2.27
2014,4,4,6.91,18.83,54.88,0,101.31,2.19
2014,4,5,7.04,19.83,53.81,0,101.03,3.5
2014,4,6,7.24,23.22,31.94,0,100.58,3.19
2014,4,7,6.39,21.16,51.19,0,100.82,4.38
2014,4,8,7.01,22.33,46.38,0,100.88,4.02
2014,4,9,5.89,20.04,56.81,0,100.95,3.66
2014,4,10,7.22,19.43,50.31,0,101.09,2.66
2014,4,11,6.31,19.82,45.81,0,101.13,3.78
2014,4,12,6.1,19.61,54.25,0,101.1,2.93
2014,4,13,6.34,19.45,58.44,0,101.04,3.02
2014,4,14,6.74,21.54,50.44,0.02,100.7,3.78
2014,4,15,4.03,23.77,37.38,0.09,100.4,5.11
2014,4,16,6.42,22.86,54.44,0,100.55,3.18
2014,4,17,6.99,22.15,51.06,0,100.53,3.12
2014,4,18,7.12,25.54,41.88,0,100.54,4.91
2014,4,19,3.39,22.44,54.44,0,100.79,3.2
2014,4,20,6.99,21.11,60.19,0,100.86,5.02
2014,4,21,7.55,20.16,54.12,0,100.97,4.11
2014,4,22,6.85,22.19,53.44,0,101.08,3.86
2014,4,23,6.13,22.92,53.5,0,100.95,4.52
2014,4,24,7.01,26.56,46.25,0,100.28,4.09
2014,4,25,7.03,25.73,54.81,0,100.27,4.64
2014,4,26,7.48,22.33,52.38,0,100.65,3.71
2014,4,27,7.9,22.65,47.75,0,100.54,2.23
2014,4,28,7.52,25.39,31.25,0,100.59,4.16
2014,4,29,7.86,24.51,48.88,0,100.75,2.85
2014,4,30,7.71,25.48,42.44,0,100.65,2.6
2014,5,1,7.6,25.73,46,0,100.54,3.62
2014,5,2,7.76,24.37,46,0,100.83,3.03
2014,5,3,7.4,29.38,25.44,0,100.64,4.02
2014,5,4,6.52,31.76,16.12,0,100.41,5.06
2014,5,5,4.73,30.87,29,0.03,100.37,3.7
2014,5,6,4.96,26.05,53.19,1.34,100.57,5.89
2014,5,7,4.83,23.12,57.94,1.06,100.51,5.27
2014,5,8,5.26,21.82,52.19,2.36,100.36,4.31
2014,5,9,7.27,22.48,46.56,0,100.68,4.58
2014,5,10,6.99,23.59,47.75,0.08,100.7,3.96
2014,5,11,7.35,22.26,47.75,0,100.83,3.18
2014,5,12,6.43,21.6,52.5,0,101.05,3.75
2014,5,13,7.96,23.01,47.56,0,101.22,3.14
2014,5,14,7.96,24.19,45.62,0,101,3.27
2014,5,15,7.3,26.71,31.56,0,100.6,2.45
2014,5,16,7.25,26.3,48.31,0,100.66,3.74
2014,5,17,7.68,24.3,47.38,0,101.05,4.9
2014,5,18,7.97,22.33,44.5,0,101.25,4.25
2014,5,19,7.4,23.92,46.31,0,101.12,3.91
2014,5,20,6.1,24.01,47,0,100.82,2.51
2014,5,21,6.51,27.52,35.25,0,100.29,4.74
2014,5,22,7.41,25.12,51.38,0,100.48,3.21
2014,5,23,7.66,25.46,44.94,0,100.48,2.95
2014,5,24,7.76,25.89,45.12,0,100.74,3.1
2014,5,25,8,25.45,45.12,0,100.91,3.35
2014,5,26,7.71,27.25,40.69,0,100.83,2.93
2014,5,27,7.31,31.35,30.25,0,100.4,4.32
2014,5,28,6.57,27.28,51,0,100.44,4.69
2014,5,29,7.29,28.05,41.69,0,100.69,2.81
2014,5,30,7.56,32.46,26.25,0,100.32,3.34
2014,5,31,7.51,27.56,44.94,0,100.52,5.32
2014,6,1,8.11,24.66,46.5,0,100.73,4.22
2014,6,2,7.89,25.42,46.06,0,100.84,3.28
2014,6,3,7.14,28.97,34.94,0,100.7,4.51
