YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.45,15.48,79.81,0,101.49,2.16
2024,1,2,3.54,15.51,80.56,0,101.54,3.31
2024,1,3,3.54,14.96,77.5,0,101.51,2.09
2024,1,4,3.71,15.4,72.62,0,101.42,1.81
2024,1,5,3.8,15.06,69.06,0,101.52,1.86
2024,1,6,3.78,15.9,70.38,0.01,101.48,2.45
2024,1,7,3.69,15.49,63.88,0.01,101.14,3.66
2024,1,8,3.66,14.6,48.69,0,101.18,3.51
2024,1,9,3.87,11.88,49.56,0,101.11,3.95
2024,1,10,3.59,12.93,55.12,0.02,101.2,4.6
2024,1,11,2.82,13.51,73.75,0.33,101.29,3.8
2024,1,12,3.61,13.64,63,0.05,101.09,4.26
2024,1,13,3.64,13.62,53.44,0.17,100.67,5.87
2024,1,14,3.34,13.27,71.56,0.39,101.14,3.23
2024,1,15,3.99,12.48,69.62,0.03,101.66,2.67
2024,1,16,3.98,12.15,54.94,0,101.67,3.05
2024,1,17,3.71,14.63,44.75,0,101.5,2.08
2024,1,18,3.95,14.77,48.38,0,101.55,1.37
2024,1,19,4.11,14.83,53.5,0,101.5,2.06
2024,1,20,3.93,17.28,48.19,0,101.39,2.12
2024,1,21,3.69,17.95,34.25,0,100.99,4.51
2024,1,22,3.59,16.24,53.06,0.06,100.96,5.64
2024,1,23,3.42,15.98,67.19,0.14,101.37,4.91
2024,1,24,3.74,14.07,64.19,0.31,101.44,3.55
2024,1,25,3.14,13.85,70.88,0.64,101.34,3.34
2024,1,26,2.99,14.04,72.81,1.45,101.23,5.42
2024,1,27,3.4,13.23,66.69,0.96,101.47,4.29
2024,1,28,3.25,12.83,66.56,0.72,101.51,2.83
2024,1,29,3.2,11.98,77.44,1.58,101.41,4.08
2024,1,30,3.71,10.48,66.31,0.19,101.56,5.7
2024,1,31,3.71,10.15,67.44,2.74,101.59,4.2
2024,2,1,4.2,9.99,73.88,0.14,101.46,4.35
2024,2,2,3.54,11.98,78.56,3.62,101.52,3.7
2024,2,3,4.7,10.99,61.81,0,101.69,3.83
2024,2,4,4.01,10.97,68.31,0.21,101.82,2.82
2024,2,5,3.39,11.95,77.12,0.06,101.87,3.39
2024,2,6,4.76,13.3,72.62,0.05,102.02,2.62
2024,2,7,4.67,13.95,76.12,0.17,101.84,1.8
2024,2,8,4.75,13.62,72.75,0.04,101.41,2.3
2024,2,9,4.84,14.62,70.75,0.02,101.22,2.11
2024,2,10,4.89,14.21,73.12,0.01,101.38,2.22
2024,2,11,5,14.92,68.19,0.03,101.48,3.24
2024,2,12,3.39,15.47,49.56,0,100.92,3.66
2024,2,13,3.12,17.07,43.06,0.03,100.29,5.26
2024,2,14,3.92,14.32,65.19,0.05,100.46,3.98
2024,2,15,3.71,13.73,63.44,0.62,100.58,4.35
2024,2,16,4.41,14.19,63.44,0.18,100.97,5.98
2024,2,17,4.36,13.94,64.62,0.33,101.54,4.9
2024,2,18,4.01,14.07,70.75,0.05,101.67,2.83
2024,2,19,4.27,14.1,65.12,0.01,101.48,3.88
2024,2,20,4.75,14.44,61.25,0,101.49,2.45
2024,2,21,5.16,14.83,65.94,0,101.48,2.86
2024,2,22,5.45,14.7,69.19,0,101.45,3.2
2024,2,23,2.72,14.53,77.25,0.01,101.36,3.38
2024,2,24,4.87,16.73,67.19,0.02,101.39,3.38
2024,2,25,5.7,16.04,67.44,0,101.36,2.79
2024,2,26,5.33,17.02,58,0,100.73,3.05
2024,2,27,3.92,16.64,65.69,0,100.98,4.64
2024,2,28,5.55,16.67,67.19,0,101.28,3.66
2024,2,29,5.89,17.73,56.31,0,101.11,4.02
2024,3,1,5.5,21.65,31.12,0,100.65,2.63
2024,3,2,5.36,18.51,43.88,0,100.83,5.15
2024,3,3,5.06,16.25,67.62,0.06,101.07,3.78
2024,3,4,5.37,16.26,66.5,0.03,101.09,1.91
2024,3,5,5.5,18.25,50.81,0,100.92,1.98
2024,3,6,5.18,17.15,61.62,0.12,101.07,4.25
2024,3,7,4.93,16.21,64.12,0.03,101.25,3.52
2024,3,8,5.42,16.23,62.06,0.02,101.19,2.84
2024,3,9,5.59,16.4,60.31,0,101.08,2.23
2024,3,10,5.59,15.63,63.44,0,101.11,3.49
2024,3,11,5.82,15.83,64.44,0,101.5,3.93
2024,3,12,5.88,18.26,52.56,0.09,101.08,2.55
2024,3,13,5.89,18.54,56,0.18,100.83,2.73
2024,3,14,5.7,17.14,60.31,0,101.02,2.85
2024,3,15,5.77,16.9,59.69,0,101.18,2.55
2024,3,16,3.12,16.65,61.88,0,101.18,2.67
2024,3,17,5.13,17.85,64.62,0,100.58,5.12
2024,3,18,5.17,16.07,63.38,1.15,100.55,4.54
2024,3,19,5.57,16.55,56,0.07,100.87,5.48
2024,3,20,6.07,18.32,44.69,0,101.08,3.98
2024,3,21,5.91,18.55,40.12,0.12,100.9,5.12
2024,3,22,5.99,15.26,53.69,0,100.93,4.08
2024,3,23,6.05,16.3,52.75,0,100.69,2.35
2024,3,24,4.26,14.99,60.12,0.2,100.61,3.46
2024,3,25,6.23,15.42,47.19,0,101.13,2.84
2024,3,26,6.28,20.75,24.44,0,101.26,3.15
2024,3,27,6.37,23.87,21.75,0,101,2.12
2024,3,28,5.18,25.15,22.69,0,100.82,3.46
2024,3,29,6.23,22.77,54.38,0.21,100.84,3.14
2024,3,30,6.36,21.8,60.94,0.14,100.98,3.87
2024,3,31,6.41,23.73,60.06,0.13,101.15,4.42
2024,4,1,6.16,24.19,57.88,0.16,100.98,4.36
2024,4,2,6.27,23.7,54.56,0.17,100.77,4.09
2024,4,3,6.42,23.21,53.62,0.09,100.79,2.91
2024,4,4,6.5,23.21,47.44,0.02,100.96,2.85
2024,4,5,6.45,21.82,53.12,0.01,101.04,3.27
2024,4,6,6.4,19.94,54.25,0,100.9,3.93
2024,4,7,6.26,20.31,54.56,0.05,100.54,4.23
2024,4,8,5.26,19.14,60.5,0.71,100.41,3.77
2024,4,9,4.2,18.86,56.62,0.14,100.47,4.97
2024,4,10,6.22,19.51,58.5,0.01,100.86,3.23
2024,4,11,6.58,21.27,52.38,0,101.03,2.53
2024,4,12,6.66,21.55,56.38,0.01,101,2.9
2024,4,13,6.6,21.95,60.94,0.28,100.96,3.74
2024,4,14,6.64,22.37,58.75,0.43,100.84,3.77
2024,4,15,6.71,22.08,56.56,0.16,100.89,4.01
2024,4,16,6.83,23.35,57.12,0.12,100.83,3.22
2024,4,17,6.87,27.88,32.56,0,100.22,4.24
2024,4,18,6.69,24.94,44.12,0,100.54,4.09
2024,4,19,6.94,22.8,55.25,0.01,100.65,2.73
2024,4,20,6.76,23.54,54.44,0.01,100.55,3.84
