YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,1.64,16.82,74.88,0.02,102.03,2.29
2024,1,2,3.24,17.41,75.5,0,102.04,4.27
2024,1,3,3.25,16.47,73.75,0,102.02,3.24
2024,1,4,3.5,16.56,70.44,0,101.92,3.45
2024,1,5,2.72,16.33,75.44,0,101.99,3.56
2024,1,6,3.23,18.15,73.31,0.02,101.94,1.71
2024,1,7,3.77,16.51,61.69,0.03,101.56,4.1
2024,1,8,3.21,15.09,59,0,101.64,4.07
2024,1,9,3.63,13.85,56.69,0,101.56,5.66
2024,1,10,2.8,15.31,67.69,0.11,101.66,6.39
2024,1,11,2.3,15.86,67.88,0.75,101.78,5.2
2024,1,12,3.17,15.49,62.56,0.21,101.52,5.67
2024,1,13,2.5,14.38,67.38,3.21,101.09,6.62
2024,1,14,2.93,14.66,70.94,1.44,101.64,4.16
2024,1,15,3.7,14.26,66.44,0.06,102.11,4.48
2024,1,16,3.78,13.59,60.19,0,102.08,4.91
2024,1,17,3.88,14.98,58.31,0,101.94,3.91
2024,1,18,3.67,16.47,80.5,0,102.02,1.97
2024,1,19,3.75,15.79,70.44,0,101.96,3.23
2024,1,20,3.26,16.21,52.94,0,101.83,4.49
2024,1,21,3.72,17.51,44.12,0,101.37,4.98
2024,1,22,2.97,17.17,74.94,0.85,101.46,6.97
2024,1,23,2.4,16.34,67.06,1.62,101.89,5.38
2024,1,24,2.68,15.27,67.81,1.37,101.92,4.7
2024,1,25,2.56,15.74,66.5,1.47,101.84,4.64
2024,1,26,2.94,15.76,70.25,3.19,101.72,6.52
2024,1,27,3.23,15.32,64.06,0.91,101.99,5.23
2024,1,28,2.12,14.41,70.38,4.63,102,2.69
2024,1,29,2.21,13.46,68.12,4.4,101.93,5.66
2024,1,30,3.25,12.91,60.81,1.99,102.02,7.4
2024,1,31,2.26,10.54,73.12,1.95,102.02,5.27
2024,2,1,3.39,13.55,68.06,1.7,101.92,4.81
2024,2,2,2.93,14.7,68.06,2.46,101.99,4.6
2024,2,3,2.54,13.72,66,0.2,102.13,4.58
2024,2,4,3.45,13.9,72.56,0.58,102.3,3.28
2024,2,5,3.15,14.05,76.81,0.15,102.35,4.68
2024,2,6,4.24,15.46,77.38,0.02,102.52,3.88
2024,2,7,4.04,15.61,77.62,0.09,102.32,2.46
2024,2,8,4.08,14.43,72.88,0.03,101.94,2.83
2024,2,9,4.86,15.64,65.19,0,101.72,3.16
2024,2,10,4.67,16.18,73.06,0.04,101.87,2.68
2024,2,11,4.26,15.69,74.12,0.04,101.96,3.17
2024,2,12,2.88,16.38,61.44,0.03,101.32,3.83
2024,2,13,4.14,16.15,65.5,0.4,100.8,5.61
2024,2,14,3.11,14.9,72.25,1.04,100.9,4.56
2024,2,15,2.33,13.42,80.44,5.25,101.01,4.63
2024,2,16,3.39,15.17,69.44,0.88,101.4,6.54
2024,2,17,3.41,15.53,72.81,0.9,102.02,4.9
2024,2,18,3.41,15.3,73.12,0.22,102.17,4.09
2024,2,19,4.29,15.69,65.31,0.03,102.03,4.89
2024,2,20,4.13,15.22,65.94,0,102,3.27
2024,2,21,5.07,15.05,69.94,0,102.03,3.12
2024,2,22,5.26,15.16,72.31,0,102,3.8
2024,2,23,3.1,14.84,75.38,0,101.92,3.31
2024,2,24,5.17,16.16,77.12,0,101.98,3.81
2024,2,25,5.54,15.94,68.94,0,101.86,2.55
2024,2,26,4.51,16.15,65.12,0,101.21,5.34
2024,2,27,4.46,16.04,75.25,0,101.54,4.5
2024,2,28,5.25,16.87,71,0,101.8,4.12
2024,2,29,5.66,18.05,62.25,0,101.6,5.29
2024,3,1,4.53,19.69,56.69,0,101.09,3.68
2024,3,2,4.66,17.5,67.56,0.01,101.41,6.38
2024,3,3,4.33,16.07,73.5,0.04,101.61,4.62
2024,3,4,4.78,16.3,69.62,0.03,101.58,2.51
2024,3,5,4.79,17.23,67.81,0.02,101.4,4.19
2024,3,6,4.15,16.55,69.12,0.01,101.63,5.45
2024,3,7,4.84,16.17,69.25,0.05,101.77,4.23
2024,3,8,4.94,15.94,65.38,0,101.71,3.15
2024,3,9,4.94,15.8,68.75,0,101.61,2.85
2024,3,10,5.07,15.37,71.81,0,101.68,4.24
2024,3,11,5.12,16.81,65.94,0.01,102.01,4.01
2024,3,12,5.09,17.52,69.75,0.01,101.69,3.8
2024,3,13,5.12,18.01,67.81,0.02,101.41,3.38
2024,3,14,5.21,16.51,66.56,0,101.59,3.58
2024,3,15,5.27,16.26,67.38,0.01,101.71,2.99
2024,3,16,2.01,15.99,67.56,0,101.69,2.8
2024,3,17,3.95,17.18,68.88,0,101.25,5.58
2024,3,18,2.87,16.51,64.62,0.96,101.13,6.14
2024,3,19,5.25,17.19,61.94,0.13,101.38,6.22
2024,3,20,5.44,17.92,55.69,0.02,101.49,4.72
2024,3,21,5.23,17.05,63.5,0.05,101.52,6.16
2024,3,22,5.37,15.45,58.19,0,101.5,4.95
2024,3,23,4.42,16.01,56.44,0.01,101.25,2.5
2024,3,24,5.28,15.3,64.38,0.53,101.21,4.43
2024,3,25,5.34,16.2,56.38,0,101.61,4.02
2024,3,26,5.64,20.08,37.19,0,101.69,3.86
2024,3,27,5.69,22.84,26.56,0,101.44,2.61
2024,3,28,3.04,22.19,37.31,0.34,101.31,4.73
2024,3,29,5.29,19.97,75.5,0.45,101.47,4.48
2024,3,30,5.74,20.39,71,0.22,101.56,4.05
2024,3,31,5.73,22.58,64.44,0.09,101.71,4.68
2024,4,1,5.89,21.98,64.94,0.06,101.61,5.11
2024,4,2,6.02,20.67,67.5,0.04,101.42,4.89
2024,4,3,6.04,21.08,63.69,0.08,101.36,3.45
2024,4,4,6.09,21.38,63.81,0.2,101.52,3.26
2024,4,5,5.84,19.33,68.81,0,101.64,4.72
2024,4,6,6.09,19.2,64.31,0,101.49,5.92
2024,4,7,5.97,19.82,65.62,0.01,101.12,6.27
2024,4,8,3.27,18.49,73.25,2.22,100.88,5.12
2024,4,9,5.97,18.67,64.44,0.06,101.03,5.64
2024,4,10,6.06,18.88,66,0,101.41,4.12
2024,4,11,6.2,19.88,67.62,0,101.59,3.3
2024,4,12,5.56,19.88,72.81,0.11,101.6,3.96
2024,4,13,6.15,20.41,73.81,0.07,101.57,4.75
2024,4,14,6.28,20.3,74.94,0.13,101.44,5.32
2024,4,15,6.4,21.46,66.88,0.24,101.45,4.84
2024,4,16,6.31,23.05,57,0.15,101.32,3.56
2024,4,17,6.28,25.48,47.44,0,100.64,5.85
2024,4,18,5.93,21.65,67.31,0,101.1,5.02
2024,4,19,6.41,20.38,63.81,0.1,101.2,3.02
2024,4,20,6.3,20.37,63.06,0,101.13,5.46
2024,4,21,6.58,20.22,61.44,0.09,101.5,3.38
2024,4,22,6.49,23.6,47.5,0,101.58,4.84
2024,4,23,6.33,26.51,40.5,0,101.24,6.38
2024,4,24,5.36,26.32,44.5,0.06,100.71,5.04
2024,4,25,3.72,21.98,67.94,0.3,100.65,5.84
2024,4,26,5.91,20.66,64,0,101.03,6.06
2024,4,27,6.76,20.28,64.94,0,101.1,5.78
2024,4,28,6.77,20.16,66.81,0,101.25,5.36
2024,4,29,6.72,20.03,67.94,0.06,101.24,5.6
2024,4,30,5.33,20.87,68.31,0.13,101.1,6.06
2024,5,1,7.01,20.88,67,0.01,101.1,5.06
2024,5,2,5.86,21.51,63.5,0.06,101.06,4.02
2024,5,3,7.1,21.67,72,0.06,101.14,5.05
2024,5,4,7.09,21.3,68.62,0.11,101.2,5.7
2024,5,5,6.47,20.14,64.06,0.05,101.06,6.69
2024,5,6,7.06,20.43,60.12,0.03,101.32,5.71
2024,5,7,7.4,20.3,57,0,101.54,3.95
2024,5,8,7.29,21.66,51.56,0,101.4,3.71
2024,5,9,6.98,24.85,46.5,0,100.82,3.84
2024,5,10,6.39,23.38,51.69,0,100.61,5.05
2024,5,11,7.16,21.75,64.81,0.04,101.11,4.99
2024,5,12,6.96,21,67.19,0.02,101.32,5.41
2024,5,13,7.31,20.81,58.31,0,101.35,6.3
2024,5,14,7.33,21.27,61,0,101.34,4.99
2024,5,15,7.28,22.04,54.25,0,101.53,3.27
2024,5,16,7.18,24.46,48.19,0,101.67,3.36
2024,5,17,6.89,27.88,33.44,0,101.6,3.43
2024,5,18,7.2,28.93,30.88,0,101.35,2.94
2024,5,19,6.95,29.38,39.06,0,101.08,2.79
2024,5,20,7.09,28.9,39.19,0,100.85,4.27
2024,5,21,6.68,27.36,56.19,0.01,101.09,2.84
2024,5,22,6.9,28.19,47.69,0,101.1,2.75
2024,5,23,4.4,26.66,51.62,0,101.12,4.57
2024,5,24,7.49,24,57.56,0,101.28,5.67
2024,5,25,7.46,24.12,56.94,0,101.21,5.27
2024,5,26,7.14,28.33,41,0.43,100.88,2.69
2024,5,27,7.37,24.51,58.38,0,100.95,7.35
2024,5,28,7.36,23.05,61.12,0,101.23,4.32
2024,5,29,7.41,22.76,62.88,0.03,101.24,4
2024,5,30,7.4,23.32,53,0,101.31,3.48
2024,5,31,7.3,27.34,41.81,0,101.44,3.66
2024,6,1,7.84,29.59,30.31,0,101.44,3.85
