YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,4.05,13.37,63.69,0,100.03,2.61
2014,1,2,4.28,13.29,63.94,0,100.07,2.98
2014,1,3,4.05,13.12,60.44,0,100.03,3.09
2014,1,4,3.95,12.82,66.62,0.01,99.93,4.34
2014,1,5,3.94,12.47,71.38,0.03,99.97,5.18
2014,1,6,4.26,12.69,56.25,0,100.03,2.65
2014,1,7,4.33,14.32,38.56,0,99.78,2.67
2014,1,8,4.04,12.81,44.69,0,99.67,2.51
2014,1,9,2.72,10.87,64.81,0.03,99.76,3.39
2014,1,10,4.27,10.97,68.19,0,100.12,3.53
2014,1,11,4.56,11.5,57.31,0,100.51,3.46
2014,1,12,4.57,11.93,56.69,0,100.51,2.86
2014,1,13,4.11,13.03,56.25,0,100.13,2.06
2014,1,14,4.37,15.17,49.62,0,99.74,2.4
2014,1,15,4.69,14.69,42.69,0,99.86,1.74
2014,1,16,4.7,15.77,31.38,0,99.74,3.02
2014,1,17,4.59,13.09,30.44,0,99.94,3.5
2014,1,18,4.72,13.78,56,0,100.21,3.15
2014,1,19,4.74,15.31,44.69,0,100.23,2.88
2014,1,20,4.19,15.98,36.06,0,100.09,2.21
2014,1,21,4.51,16.39,28.62,0,99.94,2.27
2014,1,22,4.63,17.01,23.75,0,99.81,2.67
2014,1,23,4.05,16.48,29.44,0,99.86,3.91
2014,1,24,4.9,15.98,42.75,0,99.81,3.62
2014,1,25,4.91,16.73,23.81,0,99.38,3.2
2014,1,26,3.65,18.02,22.81,0,98.91,4.58
2014,1,27,4.38,13.21,45.12,0,99.06,4.03
2014,1,28,4.64,12.37,35.94,0,99.46,2.62
2014,1,29,5.02,14.24,31.69,0,99.8,1.88
2014,1,30,5.12,14.86,27.88,0,99.98,3.57
2014,1,31,4.78,15.31,41,0,99.81,2.66
2014,2,1,4.77,16.88,31.75,0,99.47,2.37
2014,2,2,3.87,17.44,27.69,0,98.99,3.75
2014,2,3,4.64,13.89,48.12,0,99.48,4.93
2014,2,4,5.03,13.59,52.31,0,99.88,3.85
2014,2,5,5.19,13.73,57.25,0,99.85,3.65
2014,2,6,5.26,13.36,51.81,0,99.84,4.52
2014,2,7,5.34,13.98,43.38,0,99.8,3.02
2014,2,8,5.41,13.43,44,0,99.98,4.01
2014,2,9,5.48,13.22,48.31,0,100.1,2.44
2014,2,10,5.61,14.21,36,0,99.98,3.07
2014,2,11,5.73,14.61,32.12,0,99.84,2.36
2014,2,12,5.72,15.93,25.44,0,99.56,3.07
2014,2,13,5.53,15.42,24.69,0,99.52,3.01
2014,2,14,5.43,13.04,46.94,0,99.78,5.07
2014,2,15,3.81,13.87,50.56,0,99.64,5.83
2014,2,16,4.9,13.41,59.81,0.27,99.82,4.83
2014,2,17,5.8,14.22,54.12,0.02,100.27,3.49
2014,2,18,5.87,15.19,47.81,0,100.4,2.59
2014,2,19,5.93,17.24,35.69,0,100.19,2.48
2014,2,20,5.99,18.39,23.62,0,99.92,3.1
2014,2,21,5.76,20.93,29.38,0,99.55,2.96
2014,2,22,5.65,19.03,28.56,0,99.47,4.24
2014,2,23,5.77,15.88,48.69,0,99.6,3.7
2014,2,24,5.6,16.01,57.56,0,99.61,4.73
2014,2,25,6.17,15.05,45.5,0,99.88,4.85
2014,2,26,6.25,15.14,43.19,0,99.98,4.05
2014,2,27,6.24,15.09,43,0,99.98,4.89
2014,2,28,6.37,15.35,44.5,0,99.76,3.32
2014,3,1,5.52,19.19,23.25,0,99.32,3.62
2014,3,2,3.15,19.28,37.31,0.71,99.3,2.9
2014,3,3,4.73,19.97,38.94,0,99.11,2.98
2014,3,4,5.76,19.29,30.38,0,99.28,2.56
2014,3,5,6.17,21.44,22.94,0,99.37,3.33
2014,3,6,6.02,22.8,16.75,0,99.5,2.09
2014,3,7,5.56,25,17.69,0.01,99.11,5.56
2014,3,8,6.09,23.12,25.75,0.64,99.12,3.59
2014,3,9,1.91,17.52,50.81,0.87,99.3,4.12
2014,3,10,6.73,15.91,38.06,0,99.54,3.79
2014,3,11,6.5,16.37,34.19,0,99.71,4.27
2014,3,12,6.36,15.93,35.5,0,99.87,4.98
2014,3,13,5.37,14.61,49.88,0,99.91,5.51
2014,3,14,6.63,13.81,44.75,0,100,4.52
2014,3,15,6.86,14.94,36,0,100.08,2.35
2014,3,16,6.38,18.9,19.25,0,99.69,4.71
2014,3,17,6.43,21.86,22.25,0,99.45,4.7
2014,3,18,5.81,19.44,41.31,0,99.57,4.95
2014,3,19,6.54,17.57,50.88,0,99.76,4.53
2014,3,20,6.66,18.78,46,0,99.69,4.59
2014,3,21,7.09,18.95,37.62,0,99.6,4.41
2014,3,22,7.32,18.83,30.5,0,99.45,3.45
2014,3,23,6.1,17.24,33.12,0,99.34,3.77
2014,3,24,6.93,18.01,36.31,0,99.34,4.6
2014,3,25,7.18,18.4,29.69,0,99.4,5.05
2014,3,26,7.2,20.62,20.75,0,99.65,3.94
2014,3,27,7.34,22.05,16,0,99.64,4.91
2014,3,28,7.6,20.8,18.56,0,99.41,3.46
2014,3,29,7.22,24.44,12.06,0,99.03,2.23
2014,3,30,7.1,20.14,33.44,0,98.99,5.2
2014,3,31,7.11,23.1,21.19,0,98.86,2.2
2014,4,1,7.23,22.46,22.88,0,98.81,5.77
2014,4,2,7.36,18.52,39.88,0,99.36,5.27
2014,4,3,7.38,18.87,35.94,0,99.64,4.88
2014,4,4,7.7,19.3,23.44,0,99.85,3.62
2014,4,5,7.77,21.67,16.81,0,99.59,2.68
