YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.25,14.87,68.38,0,100.08,3.45
2024,1,2,4.29,14.51,67,0,100.19,4.19
2024,1,3,4.23,14.95,63.44,0,100.06,3.58
2024,1,4,4.31,14.15,61.62,0,100.01,3.79
2024,1,5,4.37,13.36,53.56,0,100.13,3.88
2024,1,6,4.34,14.08,48.25,0,100.11,2.16
2024,1,7,4.47,16.03,43.88,0,99.94,1.48
2024,1,8,4.48,15.48,32.56,0,99.91,2.11
2024,1,9,4.19,13.01,32.12,0,99.85,3.54
2024,1,10,4.39,11.85,40,0,100,4.2
2024,1,11,4.39,11.54,62.94,0,100.06,3.98
2024,1,12,4.4,11.69,55.44,0,99.91,2.8
2024,1,13,4.57,13.59,41.06,0,99.58,3.02
2024,1,14,4.28,12.25,61.5,0,99.89,3.34
2024,1,15,4.61,12.39,61.81,0,100.34,3.41
2024,1,16,4.7,11.93,50.38,0,100.35,3.07
2024,1,17,4.56,12.04,42.69,0,100.19,3.68
2024,1,18,4.66,13.17,38.44,0,100.2,3.03
2024,1,19,4.5,14.62,39.5,0,100.12,2.71
2024,1,20,4.67,15.74,43.62,0,100.09,3.12
2024,1,21,4.55,17.49,30.25,0,99.85,1.95
2024,1,22,4.59,15.55,39.81,0,99.83,3.58
2024,1,23,3.13,13.59,62.56,0,100.21,4.61
2024,1,24,4.45,11.3,55.94,0,100.24,4.11
2024,1,25,3.69,10.76,54,0,100.12,4.24
2024,1,26,4.79,11.44,60.31,0,100.18,4.62
2024,1,27,4.72,13.29,58.38,0,100.26,4.23
2024,1,28,4.87,12,51.94,0,100.23,2.74
2024,1,29,4.91,11.95,51.5,0,100.17,3.82
2024,1,30,5.09,10.06,56.25,0,100.41,4.36
2024,1,31,4.85,9.4,52.75,5.27,100.4,3.74
2024,2,1,4.32,7.65,75.75,6.54,100.37,3.92
2024,2,2,4.62,8.99,70.88,1.63,100.39,3.43
2024,2,3,5.19,9.62,65,0.27,100.43,2.86
2024,2,4,5.24,9.84,52.75,0,100.47,3.35
2024,2,5,5.32,10.65,61.81,0,100.57,3.7
2024,2,6,5.29,11.64,68,0,100.68,3.76
2024,2,7,5.37,13.17,58,0,100.38,3
2024,2,8,5.37,14.13,50.06,0,99.96,2.72
2024,2,9,5.29,13.28,51.69,0,99.83,3.8
2024,2,10,5.46,12.76,54,0,99.98,3.63
2024,2,11,5.55,14.74,49.38,0,100.04,2.42
2024,2,12,4.29,15.7,35.56,0,99.64,3.37
2024,2,13,5.11,15.37,33.38,0,99.19,4.73
2024,2,14,4.57,14.3,45.5,0,99.27,3.26
2024,2,15,4.11,13.38,56.12,0.01,99.48,4.59
2024,2,16,4.81,12.27,64.88,0,99.97,4.04
2024,2,17,5.44,12.44,55.62,0,100.37,3.08
2024,2,18,5.75,13.13,51.44,0,100.32,3.41
2024,2,19,5.83,13.15,59.44,0,100.17,4.12
2024,2,20,5.21,12.78,53.31,0,100.09,3.52
2024,2,21,5.87,13.9,48.06,0,99.93,3.34
2024,2,22,4.8,15.55,46.94,0,99.85,3.76
2024,2,23,2.35,14.94,50.62,0.02,99.89,2.71
2024,2,24,6.02,16.26,50.88,0,99.98,3.96
2024,2,25,6.16,16.38,41.19,0,99.9,2.77
2024,2,26,6.16,18.19,29.62,0,99.48,2.97
2024,2,27,5.65,14.98,42.31,0,99.69,4.26
2024,2,28,6.12,16.33,49.56,0,99.77,2.78
2024,2,29,6.31,19.69,35.44,0,99.59,2.95
2024,3,1,6.26,21.05,26.12,0,99.33,4.36
2024,3,2,5.65,17.52,24.56,0,99.67,4.87
2024,3,3,5.89,16.58,35.94,0,99.74,4.66
2024,3,4,5.91,17.08,38.5,0,99.65,3.73
2024,3,5,5.95,18.69,28.38,0,99.58,3.12
2024,3,6,6.07,17.69,29.88,0,99.76,4.42
2024,3,7,6.02,16.72,40.12,0,99.91,3.98
2024,3,8,6.06,17.81,35.5,0,99.78,3.05
2024,3,9,5.79,20.37,29.38,0,99.48,2.17
2024,3,10,6.19,20.15,32.94,0,99.43,4.84
2024,3,11,6.36,18.69,31.94,0,99.84,2.76
2024,3,12,6.33,20.37,16.44,0,99.67,2.49
2024,3,13,6.23,19.29,18.94,0,99.55,3.84
