YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.69,16.98,50.94,0,98.86,3.27
2024,1,2,4.74,16.11,52.19,0,98.95,4.16
2024,1,3,4.81,16.86,49.62,0,98.83,3.36
2024,1,4,4.72,16.97,48.25,0,98.77,3.16
2024,1,5,4.78,16.14,45.19,0,98.89,3.65
2024,1,6,4.88,16.41,40.31,0,98.95,2.81
2024,1,7,4.89,18.1,29.31,0,98.81,2.76
2024,1,8,4.78,20.3,28.94,0,98.7,2.56
2024,1,9,3.86,19.83,28.38,0,98.58,2.91
2024,1,10,4.76,17.25,20.44,0,98.74,5.23
2024,1,11,4.58,14.03,40.44,0,98.84,4.71
2024,1,12,4.5,13.49,46.81,0,98.76,3.27
2024,1,13,4.5,14.97,36,0,98.55,2.66
2024,1,14,4.15,14.67,35.75,0,98.78,3.74
2024,1,15,5.03,14.15,42.75,0,99.14,4.29
2024,1,16,5.16,13.46,39.69,0,99.15,3.44
2024,1,17,5.14,13.52,37.75,0,99.01,4.29
2024,1,18,5.09,14.99,33.69,0,98.98,3.83
2024,1,19,5.01,15.71,29.75,0,98.91,3.41
2024,1,20,5.13,16.63,31.75,0,98.91,3.48
2024,1,21,5.1,18.9,30.38,0,98.76,1.91
2024,1,22,5.1,19.04,21.12,0,98.71,2.59
2024,1,23,4.56,16.88,44.62,0,98.97,4.45
2024,1,24,5.1,14.96,45.31,0,99.04,4.73
2024,1,25,4.84,13.29,41.19,0,98.98,5.09
2024,1,26,5.26,13.19,47.5,0,99.07,4.95
2024,1,27,5.15,14.03,48.94,0,99.16,4.39
2024,1,28,5.14,14.03,43.94,0,99.1,3.43
2024,1,29,5.1,13.98,38.38,0,99.03,3.84
2024,1,30,5.38,12.46,42.31,0,99.18,4.48
2024,1,31,5.49,11.08,35.12,0,99.26,4.5
2024,2,1,5.45,10.69,48.81,0,99.27,4.95
2024,2,2,5.48,10.87,51.94,0,99.25,3.98
2024,2,3,5.61,11.9,45.94,0,99.2,3.82
2024,2,4,5.63,12.71,40.69,0,99.24,4.04
2024,2,5,5.65,13.23,34.88,0,99.34,5.19
2024,2,6,5.62,14.24,41.38,0,99.39,5.12
2024,2,7,5.76,16.04,44.25,0,99.05,3.8
2024,2,8,5.74,17.82,37.81,0,98.73,2.8
2024,2,9,5.74,17.21,29,0,98.6,3.57
2024,2,10,5.84,16.3,31.25,0,98.77,4.58
2024,2,11,5.86,17.12,29.38,0,98.88,2.57
2024,2,12,5.8,18.82,40.69,0,98.56,3.2
2024,2,13,6,20.08,23,0,98.2,3.75
2024,2,14,5.78,18.19,33.38,0,98.24,3.75
2024,2,15,5.59,17.07,39.31,0,98.44,5.16
2024,2,16,5.67,14.76,46.25,0,98.93,3.88
2024,2,17,5.27,14.65,41.62,0,99.21,3.88
2024,2,18,6.19,15.37,36.69,0,99.09,4.31
2024,2,19,6.17,15.56,36.81,0,98.93,5.08
2024,2,20,4.65,16.4,40.38,0,98.82,3.67
2024,2,21,5.44,18.04,29.38,0,98.69,3.31
2024,2,22,4.78,19.9,29.94,0,98.6,3.8
2024,2,23,4.68,21.98,27.75,0.01,98.67,4.3
2024,2,24,4.65,21.27,31.81,0,98.83,4.7
2024,2,25,6.52,19.12,34.25,0,98.7,3.76
2024,2,26,6.63,19.26,23.06,0,98.41,3.07
2024,2,27,6.45,18.4,26.56,0,98.48,5.04
2024,2,28,6.18,18.43,31,0,98.56,3.35
2024,2,29,6.66,20.99,40.25,0,98.44,3.41
2024,3,1,6.64,22.8,35.12,0,98.27,3.37
2024,3,2,6.15,22.69,19.88,0,98.42,4.18
2024,3,3,6.29,19.61,20.44,0,98.51,5.21
2024,3,4,6.2,20.15,25.31,0,98.41,3.69
2024,3,5,6.33,21.01,23.62,0,98.4,3.19
2024,3,6,6.43,21.06,17.06,0,98.58,4.72
2024,3,7,6.45,19.62,27.75,0,98.72,4.51
2024,3,8,6.32,19.6,26.88,0,98.67,3.41
2024,3,9,6.33,23.85,17.88,0,98.41,2.45
2024,3,10,6.06,25.74,17.88,0.11,98.21,5.15
2024,3,11,6.63,23.85,29.06,0,98.59,4.52
2024,3,12,6.53,25.12,18.38,0,98.5,3.06
2024,3,13,6.35,25.56,8.31,0,98.34,3.94
2024,3,14,6.65,25.07,13.31,0,98.34,4.89
2024,3,15,6.06,24.44,19.38,0,98.49,4.01
2024,3,16,3.81,23.87,25.56,0,98.44,3.72
2024,3,17,6.33,28.28,27.31,0,97.95,5.41
2024,3,18,1.72,22.66,29.56,0,98.21,5.99
2024,3,19,6.88,18.5,31.5,0,98.7,4.86
2024,3,20,6.89,19.55,20.38,0,98.72,4.01
2024,3,21,6.83,21.56,28.06,0,98.49,3.93
2024,3,22,7.01,21.3,22.19,0,98.3,5.76
2024,3,23,7.08,19.37,18.19,0,98.14,4.68
2024,3,24,6.88,19.11,22.19,0,98.14,5.7
2024,3,25,7,18.88,32.06,0,98.67,3.97
2024,3,26,7,20.87,36.44,0,98.83,3.29
2024,3,27,7.12,22.79,19.19,0,98.58,2.39
2024,3,28,7.05,26.35,16,0,98.35,3.43
2024,3,29,7,25.71,17.12,0,98.19,5.45
2024,3,30,7.09,25.11,31.06,0,98.2,3.73
2024,3,31,7.02,26.85,30.62,0,98.25,4.1
2024,4,1,6.86,27.91,29.25,0,98.08,2.55
2024,4,2,6.85,28.95,28.62,0,97.97,3.34
2024,4,3,6.91,28.87,30.06,0,98.07,3.24
2024,4,4,7,29.82,21,0,98.18,3.38
2024,4,5,7,30.02,24.06,0,98.19,3.13
2024,4,6,6.92,27.95,18.25,0,98.19,6.03
2024,4,7,7.25,23.5,16.81,0,98.23,5.92
2024,4,8,7.23,23.07,21,0,98.12,3.64
2024,4,9,7.21,24.36,20.25,0,98.14,4.73
