YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2.59,13.98,77.12,0.04,101.94,1.66
2014,1,2,3.5,13.8,74.06,0.03,102.03,1.74
2014,1,3,3.38,13.84,77.19,0.14,102,1.89
2014,1,4,2.77,13.98,82.88,0.41,101.86,3.16
2014,1,5,3.36,14.08,78.38,0.33,101.93,3.34
2014,1,6,3.55,14.41,74.12,0.07,102.11,2.88
2014,1,7,3.71,13.97,68.88,0,101.81,3.97
2014,1,8,3.34,13.55,61.19,0,101.46,3.2
2014,1,9,2.7,12.91,70.56,1.31,101.6,2.8
2014,1,10,3.5,13.38,73.88,0.06,101.97,3.57
2014,1,11,3.66,14.06,73.5,0,102.45,2.77
2014,1,12,3.47,15.08,74.12,0,102.44,2.88
2014,1,13,2.88,14.4,65.25,0,102.11,1.68
2014,1,14,3.48,14.86,75.75,0,101.7,2.48
2014,1,15,3.51,14.4,76.81,0,101.91,3.43
2014,1,16,3.11,14.41,67.88,0,101.62,2.76
2014,1,17,3.85,14.37,79.12,0,101.98,4.12
2014,1,18,4.14,14.98,75.19,0,102.38,2.94
2014,1,19,3.74,15.23,73.75,0,102.29,3.69
2014,1,20,3.56,15.37,62.19,0,102.03,2.37
2014,1,21,3.86,15.05,51.88,0,101.84,2.09
2014,1,22,3.65,16.69,51.44,0,101.74,2.28
2014,1,23,4.21,15.66,73.06,0,102,3.41
2014,1,24,4.32,15.87,65.69,0,101.93,2.34
2014,1,25,3.96,15.36,61.75,0.01,101.25,2.9
2014,1,26,3.52,14.55,52.19,0.1,100.63,4.49
2014,1,27,2.63,13.92,51.69,0.04,100.55,6.25
2014,1,28,4.39,13.98,55.44,0.03,101.05,5.7
2014,1,29,4.09,14.55,42.62,0,101.59,3.47
2014,1,30,4.42,15.55,66.38,0,102.08,2.99
2014,1,31,4.3,14.94,70.56,0,102.04,4.09
2014,2,1,3.91,15.48,69.38,0.12,101.68,4.31
2014,2,2,2.58,15.98,72.44,4.44,100.88,3.91
2014,2,3,3.7,15.08,77.81,8.16,101.18,2.37
2014,2,4,3.68,14.12,81.12,3.39,101.73,2.98
2014,2,5,4.19,13.89,70.06,0.31,101.88,2.94
2014,2,6,3.62,12.4,73.94,2.04,101.71,2.45
2014,2,7,4.57,11.97,72.25,0.01,101.85,2.97
2014,2,8,4.97,13.21,68.81,0,102.16,3.09
2014,2,9,5.04,12.98,73.56,0,102.22,2.83
2014,2,10,4.94,13.47,72.62,0,102.11,2.3
2014,2,11,5.05,14.11,73.44,0,102.03,2.91
2014,2,12,5.15,15.4,74.75,0,101.54,3.93
2014,2,13,4.56,15.69,73.06,0,101.29,2.44
2014,2,14,4.69,14.91,67.06,0.63,101.36,5.05
2014,2,15,2.65,13.14,75.12,5.96,101.02,7.2
2014,2,16,4.61,15.24,69.25,0.13,101.7,5.23
2014,2,17,4.97,14.7,72.56,0,102.34,2.6
2014,2,18,5.28,14.75,71,0,102.61,2.59
2014,2,19,5.54,14.81,71.81,0,102.44,3.88
2014,2,20,5.44,15.63,72.75,0,101.99,3.7
2014,2,21,4.9,17.69,54.12,0,101.4,3.45
2014,2,22,4.74,16.49,64.62,0,101.17,5.55
2014,2,23,4.13,16.65,74.19,0,101.49,3.46
2014,2,24,5.07,15.65,76.19,0,101.55,3.74
2014,2,25,5.36,14.89,69.38,0,101.79,5.09
2014,2,26,5.27,15.05,63.56,0,102.05,3.3
2014,2,27,5.06,14.1,65.81,0,102.15,3.77
2014,2,28,5.81,14.4,61.69,0,101.97,3.28
2014,3,1,5.22,17.68,50.5,0,101.1,4.62
2014,3,2,3.93,17.48,49.31,0,100.82,5.45
2014,3,3,4.04,16.64,56.31,0,100.84,3.48
2014,3,4,5.55,16.76,52.25,0,101.02,3.75
2014,3,5,5.17,19.19,53.12,0,101.08,5.23
2014,3,6,5.67,18.41,57.38,0,101.55,3.52
2014,3,7,4.13,19.91,52.19,0.19,101.04,5.19
2014,3,8,5.78,17.73,69.31,0.06,101.15,4.94
2014,3,9,5.45,15.56,67.19,0.06,101.29,3.06
2014,3,10,6.27,15.28,62.62,0.04,101.31,3.77
2014,3,11,4.99,15.54,59.06,0.26,101.42,5.2
2014,3,12,4.83,14.87,64.25,3.05,101.68,6.12
2014,3,13,4.02,14.77,61.56,2.14,101.55,6.62
2014,3,14,5.82,13.98,51.56,0.05,101.89,5.09
2014,3,15,6.49,14.48,53.94,0,102.02,2.01
2014,3,16,4.75,16.96,37.69,0.04,101.35,4.55
2014,3,17,3.96,18.23,52.06,0,101.25,5.07
2014,3,18,3.56,16.4,75.88,0.14,101.62,2.85
2014,3,19,6.05,17.47,69.5,0,101.86,3.49
2014,3,20,6.36,17.23,65,0,101.89,3.53
2014,3,21,6.74,17.47,59.81,0,101.78,3.24
2014,3,22,6.88,17.87,60.81,0,101.6,3.37
2014,3,23,4.63,16.15,68.62,0,101.42,3.14
2014,3,24,6.66,17.09,63,0,101.42,3.73
2014,3,25,6.77,17.86,56.75,0,101.36,3.04
2014,3,26,6.71,19.11,58,0,101.72,2.92
2014,3,27,6.85,20.39,54.31,0,101.8,4.29
2014,3,28,7.27,20.48,48.44,0,101.43,3.37
2014,3,29,6.4,18.31,57.5,0,100.99,4.97
2014,3,30,7.14,18.12,57.44,0,101.07,4.72
2014,3,31,6.92,17.51,51.94,0,101.06,6.02
2014,4,1,6.86,17.49,57.88,0,100.94,4.99
2014,4,2,6.43,16.98,65.44,0,101.35,3.98
2014,4,3,6.88,17.67,65,0,101.65,3.31
2014,4,4,7.21,19.71,55.38,0,101.85,2.3
2014,4,5,7.36,20.92,52.19,0,101.57,3.69
