YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.48,16.33,77.06,0.02,102.08,2.11
2024,1,2,3.33,16.78,78.12,0,102.1,3.84
2024,1,3,3.74,15.95,76.56,0,102.08,2.83
2024,1,4,3.81,15.76,75.56,0,101.98,2.88
2024,1,5,3.77,15.58,77.25,0,102.06,3.16
2024,1,6,3.68,17.08,79.25,0.01,102.02,2.09
2024,1,7,3.8,15.7,66.5,0.02,101.64,3.71
2024,1,8,3.57,13.89,57.62,0,101.71,3.52
2024,1,9,3.89,12.44,58.38,0,101.63,4.77
2024,1,10,3.65,14.14,66.19,0.1,101.72,5.56
2024,1,11,2.81,14.91,70.5,0.75,101.84,4.43
2024,1,12,3.8,14.51,64.25,0.21,101.6,4.88
2024,1,13,3.83,13.35,65.25,3.2,101.17,5.81
2024,1,14,2.77,13.97,72.69,1.5,101.69,3.64
2024,1,15,4.16,13.3,69.06,0.05,102.18,3.72
2024,1,16,3.99,12.3,61.56,0,102.17,3.89
2024,1,17,3.84,14.12,56.19,0,102.02,3.41
2024,1,18,3.87,15.44,78.62,0,102.1,1.69
2024,1,19,4.09,15.51,63.88,0,102.04,2.47
2024,1,20,3.82,15.78,53.19,0,101.92,3.55
2024,1,21,3.84,16.9,39.31,0,101.46,4
2024,1,22,3.62,16.32,71.69,0.75,101.49,6
2024,1,23,2.87,16.11,69.25,1.55,101.93,4.96
2024,1,24,3.22,14.76,70,1.13,101.98,3.95
2024,1,25,2.7,15.03,68.94,1.23,101.89,3.89
2024,1,26,3.17,14.7,73.25,2.93,101.77,5.77
2024,1,27,3.61,13.94,66.81,0.92,102.04,4.82
2024,1,28,3.28,12.7,74.75,4.92,102.07,2.52
2024,1,29,2.79,12.28,73.56,4.09,101.97,4.59
2024,1,30,3.62,11.56,64.06,2,102.07,6.34
2024,1,31,3.64,9.93,72.56,1.27,102.1,4.77
2024,2,1,3.99,12.02,71.5,1.5,101.98,4.1
2024,2,2,3.79,13.55,72.44,2.69,102.05,3.88
2024,2,3,4.83,12.58,68.12,0.11,102.2,4.12
2024,2,4,3.51,13.01,74.62,0.61,102.36,2.99
2024,2,5,2.74,12.75,79.81,0.16,102.42,3.98
2024,2,6,4.76,14.58,78.38,0.02,102.58,3.37
2024,2,7,4.65,15.26,78.06,0.09,102.39,2.12
2024,2,8,4.45,14.26,72.56,0.04,102,2.22
2024,2,9,4.9,15.14,66.94,0,101.78,2.52
