YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,3.37,12.96,71.25,0,99.94,2.02
2014,1,2,3.89,13.16,63.94,0,99.97,2.23
2014,1,3,3.83,13.37,58.19,0,99.93,2.53
2014,1,4,3.42,13.37,71.06,0,99.81,3.84
2014,1,5,3.44,13,71.94,0,99.86,4.01
2014,1,6,4.01,12.45,61.31,0.01,99.98,3.34
2014,1,7,4.04,13.73,45.44,0,99.69,2.87
2014,1,8,3.63,12.39,49.88,0,99.5,3.96
2014,1,9,1.91,10.15,70.06,1.81,99.62,1.37
2014,1,10,3.73,11,70.12,0.04,99.98,2.49
2014,1,11,4.1,10.93,70.12,0,100.43,2.96
2014,1,12,4.15,12.22,64.19,0,100.43,2.44
2014,1,13,3.38,13.3,66.88,0,100.02,2.27
2014,1,14,3.78,14.87,54,0,99.61,2.46
2014,1,15,4.32,13.63,58.62,0,99.77,2.93
2014,1,16,4.34,15.11,38.06,0,99.63,3.22
2014,1,17,4.13,14.48,42,0,99.88,3.27
2014,1,18,4.32,13.4,67.31,0,100.22,4.02
2014,1,19,4.26,14.45,56.06,0,100.16,3.06
2014,1,20,4.14,16.65,31.81,0,100,1.87
2014,1,21,4.25,17.32,27.31,0,99.85,1.49
2014,1,22,4.11,17.08,25.5,0,99.74,1.81
2014,1,23,4.25,14.53,50.88,0,99.86,4.16
2014,1,24,4.58,14.03,61.56,0,99.82,3.98
2014,1,25,4.51,17.3,30.88,0,99.25,2.35
2014,1,26,3.09,16.65,28.12,0.03,98.74,5.27
2014,1,27,3.49,12.58,47.25,0,98.81,4.65
2014,1,28,4.36,11.62,41.88,0,99.27,3.63
2014,1,29,4.71,13.71,33.5,0,99.68,2.37
2014,1,30,4.78,15.23,33.25,0,99.94,3.2
2014,1,31,4.3,15.15,59,0.01,99.78,3.73
2014,2,1,4.22,15.33,56.06,0,99.43,3.52
2014,2,2,2.89,16.26,45.88,0.1,98.86,3.63
2014,2,3,3.48,13.87,66.62,0.24,99.24,3.95
2014,2,4,4.35,13.78,63.94,0.07,99.74,3.41
2014,2,5,4.82,13.67,62.81,0.07,99.76,3.07
2014,2,6,4.01,13.23,55.12,0.04,99.68,3.48
2014,2,7,4.92,13.95,56.5,0.02,99.69,3.05
2014,2,8,5.08,12.58,54.25,0,100,4.33
2014,2,9,5.26,12.34,56.5,0,100.03,2.43
2014,2,10,5.26,14.11,43.12,0,99.93,3.7
2014,2,11,5.41,14.2,52.88,0,99.83,3.88
2014,2,12,5.4,15.26,45.69,0,99.45,3.13
2014,2,13,5.15,15.39,26,0,99.33,3.7
2014,2,14,4.31,12.47,47.38,0.03,99.51,4.27
2014,2,15,2.06,12.3,61.69,1.72,99.34,6.51
2014,2,16,4.47,14.24,65.38,1.79,99.69,5.5
2014,2,17,5.34,13.27,65.38,0.11,100.25,3.08
2014,2,18,5.61,14.18,59.12,0,100.41,3.55
2014,2,19,5.65,15.48,53.62,0.02,100.19,3.24
2014,2,20,5.8,17.38,32,0,99.84,3.23
2014,2,21,4.97,19.87,31.25,0,99.44,3.72
2014,2,22,5.09,17.32,35.56,0,99.31,3.8
2014,2,23,4.88,15.87,64.5,0,99.49,2.85
2014,2,24,5.24,15.96,63.25,0,99.52,4.37
2014,2,25,5.77,14.33,57.38,0,99.81,4
2014,2,26,5.96,14.41,53.38,0,99.95,3.78
2014,2,27,5.9,14.22,57.19,0,100,5.21
2014,2,28,6.12,14.37,52.88,0,99.76,4.22
2014,3,1,5.5,17.28,32.69,0,99.17,4.08
2014,3,2,3.41,18.53,34.31,0,99.07,4.79
2014,3,3,3.87,18.25,41.38,0,98.94,3.36
2014,3,4,5.38,17.74,30.75,0,99.14,2.55
2014,3,5,5.71,20.48,24.69,0,99.2,4.23
2014,3,6,5.52,20.76,34.69,0,99.47,3.09
2014,3,7,5.23,24.54,23.94,0.04,98.97,6.02
2014,3,8,5.77,20.76,38.94,0.02,99.05,4.37
2014,3,9,4.5,17.45,55.06,1.05,99.18,4.56
2014,3,10,6.26,15.72,42.5,0,99.39,3.04
2014,3,11,5.34,16.3,36,0,99.52,4.12
2014,3,12,4.74,14.75,50.69,0.15,99.71,4.33
2014,3,13,3.49,13.06,59,0.09,99.71,5.16
2014,3,14,5.78,13.12,50.12,0.01,99.86,4.99
2014,3,15,6.72,13.94,36.25,0,99.99,1.96
2014,3,16,5.69,18.87,18.75,0,99.49,5.73
2014,3,17,4.98,20.21,25.69,0,99.35,4.96
2014,3,18,4.39,16.86,58.62,0.05,99.56,3.72
2014,3,19,6.24,17,58.12,0,99.72,4.09
2014,3,20,6.5,18.08,55.88,0.02,99.68,4.64
2014,3,21,7.06,17.73,47.12,0,99.59,4.29
2014,3,22,7.1,17.76,45.31,0,99.4,3.55
2014,3,23,4.69,16.49,54.56,0,99.26,3.63
2014,3,24,6.7,17.65,50.5,0,99.27,4.26
2014,3,25,6.98,17.94,40.12,0,99.32,4.54
2014,3,26,6.89,19.9,26.69,0,99.62,3.95
2014,3,27,7.21,21.21,23.75,0,99.66,5.45
2014,3,28,7.38,20.61,27.06,0,99.31,2.72
2014,3,29,6.74,23.41,21.25,0,98.93,3.88
2014,3,30,7.24,18.16,47.25,0,98.98,4.81
2014,3,31,7.06,20.54,39.62,0,98.8,2.41
2014,4,1,7.12,20.26,29.38,0,98.71,4.7
2014,4,2,6.58,17,49.88,0,99.28,3.96
2014,4,3,7.29,17.99,44.38,0,99.59,4.23
2014,4,4,7.55,18.6,38.25,0,99.79,3.49
2014,4,5,7.62,21.31,23.69,0,99.51,3.02
2014,4,6,7.61,24.12,10.31,0,99.19,3.22
2014,4,7,6.27,21.61,31.81,0,99.39,3.74
2014,4,8,7.47,23.04,28.31,0,99.43,3.59
2014,4,9,6.74,20.47,49.12,0,99.49,4.98
2014,4,10,7.62,19.28,40.44,0,99.61,3.77
2014,4,11,6.99,21.07,29.25,0,99.57,4.16
2014,4,12,7.07,21.57,29.81,0,99.54,3.78
2014,4,13,7.16,20.49,36.75,0,99.5,3.91
2014,4,14,7.22,24.08,25.31,0,99.18,3.69
2014,4,15,4.65,22.87,30.12,0.12,99.11,5.84
