YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.96,14.94,73.44,0,101.32,3.29
2024,1,2,4.07,15.26,72.56,0,101.4,3.61
2024,1,3,4.04,14.51,71.44,0,101.32,3.38
2024,1,4,4.08,13.89,67.94,0,101.25,3.41
2024,1,5,4.19,13.05,49.94,0,101.36,2.86
2024,1,6,4.11,14.89,66.38,0,101.27,2.2
2024,1,7,4.25,15.05,52.69,0,101.02,2.92
2024,1,8,4.17,13.28,40.25,0,101.07,2.55
2024,1,9,4.22,11.36,40.81,0,101.03,2.84
2024,1,10,4.11,11.57,52.06,0,101.14,3.72
2024,1,11,4.25,12.11,71.31,0.06,101.23,3.51
2024,1,12,4.23,11.77,59.62,0,101.03,3.06
2024,1,13,4.35,12.38,52.44,0,100.63,4.52
2024,1,14,3.62,12.56,68.19,0.1,101.02,2.67
2024,1,15,4.28,11.89,67.06,0,101.53,2.21
2024,1,16,4.33,12.06,51.06,0,101.52,2.36
2024,1,17,4.4,13.08,43,0,101.36,2.36
2024,1,18,4.43,13.78,44.06,0,101.37,1.85
2024,1,19,4.46,14.91,50.38,0,101.31,1.71
2024,1,20,4.34,15.67,46.69,0,101.26,1.81
2024,1,21,3.89,16.43,29.38,0,100.91,3.27
2024,1,22,4.2,14.73,53.5,0.02,100.94,4.06
2024,1,23,3.77,13.01,66.44,0.1,101.36,3.87
2024,1,24,4.43,11.47,62.94,0.02,101.38,3.73
2024,1,25,3.32,12.29,59.88,0.1,101.26,3.4
2024,1,26,4.5,13.13,65.75,0.58,101.24,4.5
2024,1,27,4.36,13.68,64.38,0.15,101.4,3.86
2024,1,28,3.98,11.9,63.31,0.01,101.39,2.5
2024,1,29,4.64,11.58,64.38,0.03,101.35,3.62
2024,1,30,4.72,9.49,59.81,0,101.57,4.36
2024,1,31,3.98,8.55,68,23.22,101.5,3.7
2024,2,1,4.63,9.01,75.31,0.97,101.42,3.83
2024,2,2,4.6,10.84,72.12,2.66,101.49,3.62
2024,2,3,5.05,10.05,58.5,0,101.58,2.95
2024,2,4,5.02,10.73,59,0,101.66,2.66
2024,2,5,5.05,11.52,71.75,0,101.76,2.88
2024,2,6,5.15,12.5,72.94,0,101.89,2.85
2024,2,7,5.12,13.14,70.62,0,101.63,2.62
2024,2,8,5.14,13.33,62.62,0,101.21,2.6
2024,2,9,5.21,12.9,59.62,0,101.05,3.23
2024,2,10,5.24,13.15,64.19,0.01,101.19,2.7
2024,2,11,5.34,14.89,59.56,0.01,101.21,2.3
2024,2,12,3.88,14.7,43.06,0,100.73,3.7
2024,2,13,4.38,14.76,43,0,100.21,4.65
2024,2,14,3.65,13.45,60,0.06,100.36,2.8
2024,2,15,3.8,12.74,64.56,0.83,100.52,4.55
2024,2,16,4.99,12.58,67.62,0.15,100.98,4.45
2024,2,17,5.29,12.87,59.69,0,101.47,3.69
2024,2,18,5.47,13.49,66.56,0,101.52,2.86
2024,2,19,5.52,13.15,69.38,0.05,101.38,3.75
2024,2,20,5.6,12.51,65.94,0,101.34,2.54
2024,2,21,5.63,13.61,65.69,0,101.23,3.97
2024,2,22,5.07,13.93,64.88,0.02,101.18,4.03
2024,2,23,2.52,13.73,73.88,0.06,101.1,3.39
2024,2,24,5.75,15.5,65.81,0.03,101.2,3.5
2024,2,25,5.94,15.59,57.5,0,101.13,2.39
2024,2,26,5.93,16.74,42.38,0,100.58,3.67
2024,2,27,5.21,14.8,65.62,0,100.88,3.37
2024,2,28,5.87,15.62,64.31,0,101.02,3.21
2024,2,29,6.14,17.49,52.5,0,100.8,2.48
2024,3,1,5.82,19.83,31.69,0,100.44,4.01
2024,3,2,5.54,16.87,37.75,0,100.82,4.33
2024,3,3,5.57,15.8,59.12,0.04,100.96,3.65
2024,3,4,5.64,15.82,57.06,0.02,100.89,2.98
2024,3,5,5.74,18.01,39.81,0,100.74,2.23
2024,3,6,5.77,16.47,54.5,0.07,100.96,4.05
2024,3,7,5.77,16.06,58.25,0,101.11,3.26
2024,3,8,5.82,16.12,52.88,0,100.99,3.12
2024,3,9,5.58,16.6,50.12,0,100.79,3.28
2024,3,10,5.91,16.52,53,0.02,100.84,5.48
2024,3,11,6.02,16.38,48.38,0,101.17,4.02
2024,3,12,6.18,16.93,44.31,0.04,100.89,2.53
2024,3,13,6.2,17.92,50.31,0.11,100.71,3.42
2024,3,14,5.75,17.67,53.38,0.01,100.85,3.8
2024,3,15,6.08,16.99,47.31,0,100.96,3.06
2024,3,16,5.54,18.19,49.38,0,100.87,3.88
2024,3,17,4.95,18.74,50.88,0,100.3,4.6
2024,3,18,5.18,16.45,59.81,0.77,100.52,4.8
2024,3,19,6.3,15.76,49.19,0,100.86,4.31
2024,3,20,6.29,17.93,35.69,0,100.97,3.15
2024,3,21,6.33,19.4,35.38,0,100.77,5.2
2024,3,22,6.45,15.3,50.38,0,100.81,3.88
2024,3,23,6.51,15.43,48.56,0,100.5,3.42
2024,3,24,5.26,14.59,58,0.28,100.49,4.45
2024,3,25,6.56,15.33,46.19,0,101.04,2.17
2024,3,26,6.52,20.01,25.19,0,101.15,1.09
2024,3,27,6.66,23.51,17.56,0,100.82,2.16
2024,3,28,3.05,23.29,19.19,0,100.67,3.15
2024,3,29,6.57,21.72,51.12,0.01,100.68,4.68
2024,3,30,6.6,22.12,49,0.02,100.74,4.34
2024,3,31,6.59,24.92,41.75,0,100.81,4.88
2024,4,1,6.46,25.9,37.06,0,100.68,5.93
2024,4,2,6.47,24.45,38.06,0,100.52,6.02
2024,4,3,6.53,23.66,38.56,0,100.55,4.59
2024,4,4,6.63,24.21,28.94,0,100.7,4.68
2024,4,5,6.69,22.8,36.69,0,100.86,5.02
2024,4,6,6.75,19.69,49.12,0.01,100.81,4.77
2024,4,7,6.75,19.31,50.75,0.01,100.51,4.59
2024,4,8,6.46,20.94,37.38,0,100.21,3.8
2024,4,9,6.31,19.59,48.88,0,100.38,4.12
2024,4,10,6.75,19.65,49.75,0,100.72,2.96
2024,4,11,6.82,20.98,43.62,0,100.83,3.56
2024,4,12,6.85,21.88,42.25,0,100.78,4.65
2024,4,13,6.84,22.42,48.81,0.01,100.78,5.25
2024,4,14,6.91,22.33,50.62,0.1,100.72,5.18
2024,4,15,6.92,22.93,49.12,0.12,100.68,5.15
2024,4,16,7.05,24.14,34.25,0,100.55,2.47
2024,4,17,7.04,27.14,18.19,0,100.06,4.83
2024,4,18,6.63,24.99,31.69,0,100.39,3.53
2024,4,19,7.1,23.22,42.5,0,100.43,3.96
2024,4,20,7,24.85,40.38,0,100.32,4.63
2024,4,21,7.15,23.2,38.44,0,100.71,4.28
2024,4,22,7.13,25.52,29.44,0,100.78,4.12
2024,4,23,7.19,30.36,13.38,0,100.45,2.8
2024,4,24,7.3,30.96,10.69,0,100,3.74
2024,4,25,6.47,29.05,26,0.09,99.82,4.12
2024,4,26,6.75,24.33,42.12,0.07,100.19,7.25
2024,4,27,7.33,22.78,43.69,0,100.32,5.45
2024,4,28,7.39,22.4,48.5,0.01,100.46,5.33
2024,4,29,7.39,22.37,46.69,0.01,100.44,5.59
2024,4,30,7.24,21.92,50.81,0.02,100.37,5.23
2024,5,1,7.42,23.06,51.56,0.18,100.36,4.39
2024,5,2,7.32,23.52,45.19,0.01,100.38,4.18
2024,5,3,7.49,26.13,29.62,0,100.41,4.42
2024,5,4,7.53,24.48,44.88,0.01,100.52,3.83
2024,5,5,7.49,23.33,42.62,0,100.4,5.38
2024,5,6,7.51,21.72,48.75,0,100.62,4.6
2024,5,7,7.59,21.45,40.06,0,100.83,3.38
2024,5,8,7.68,23.38,31.81,0,100.61,3.46
2024,5,9,7.68,27.04,18.88,0,100.11,1.84
2024,5,10,7.05,28.12,20.12,0.39,99.99,5.12
2024,5,11,7.53,25.58,30,0,100.36,5.07
2024,5,12,7.5,24.08,48.38,0,100.6,5.27
2024,5,13,7.7,22.3,48.12,0,100.67,5.2
2024,5,14,7.69,22.38,42.62,0,100.62,5.05
2024,5,15,7.7,23.69,38.12,0,100.79,4.99
2024,5,16,7.6,25.87,34.19,0,100.92,4.88
2024,5,17,7.64,28.7,25.38,0,100.87,4.62
2024,5,18,7.63,31.42,21.69,0,100.57,4.35
2024,5,19,7.64,31.5,20.62,0,100.37,4.5
2024,5,20,7.63,33.48,17.69,0,100.19,4.1
2024,5,21,7.65,32.34,22.62,0,100.33,3.62
2024,5,22,7.59,31.98,24,0,100.36,4.01
2024,5,23,7.54,32.94,23.38,0,100.28,4.5
2024,5,24,7.83,26.8,35.25,0,100.53,6.01
2024,5,25,7.87,26.25,33.44,0,100.54,4.71
2024,5,26,7.63,29.26,25.38,0.62,100.31,2.5
2024,5,27,7.61,29.5,34.31,0.01,100.21,5.23
2024,5,28,7.24,26.24,41.81,0,100.45,4.62
2024,5,29,7.71,26.05,37.81,0,100.47,4.39
2024,5,30,7.67,26.02,38.75,0,100.58,4.17
2024,5,31,7.29,28.52,29.75,0,100.76,4.48
2024,6,1,8.09,31.11,20.75,0,100.72,3.73
