YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.45,16.17,76.88,0,102.03,2.05
2024,1,2,3.54,16.35,78.88,0,102.05,3.63
2024,1,3,3.54,16.01,76.5,0,102.04,2.58
2024,1,4,3.71,15.3,76.25,0,101.94,2.48
2024,1,5,3.8,15.26,78.06,0,102.03,2.85
2024,1,6,3.78,16.9,80.56,0.03,102.01,2.09
2024,1,7,3.69,15.54,68.25,0.07,101.63,3.53
2024,1,8,3.66,13.73,54.94,0,101.68,3.23
2024,1,9,3.87,12.08,57.94,0,101.6,4.2
2024,1,10,3.59,13.68,63.44,0.08,101.68,5.05
2024,1,11,2.82,14.19,73,0.64,101.79,4.19
2024,1,12,3.61,14.22,66.31,0.2,101.57,4.54
2024,1,13,3.64,13.42,62.06,1.3,101.13,5.75
2024,1,14,3.34,13.33,71.69,0.38,101.65,3.58
2024,1,15,3.99,12.83,69.56,0.04,102.16,3.3
2024,1,16,3.98,12.06,60.5,0,102.16,3.38
2024,1,17,3.71,14.05,55.06,0,102,2.96
2024,1,18,3.95,14.87,73.31,0,102.07,1.57
2024,1,19,4.11,15.51,60.69,0,102.02,1.81
2024,1,20,3.93,16.36,52.94,0,101.9,2.92
2024,1,21,3.69,16.98,39.19,0,101.45,3.84
2024,1,22,3.59,15.94,63.31,0.12,101.43,5.58
2024,1,23,3.42,16.15,68.88,0.5,101.88,4.97
2024,1,24,3.74,14.44,68.5,0.29,101.94,3.76
2024,1,25,3.14,14.8,66.06,0.24,101.84,3.67
2024,1,26,2.99,14.37,72.5,1.76,101.71,5.27
2024,1,27,3.4,13.94,64.81,0.75,101.98,4.76
2024,1,28,3.25,12.77,71.69,1.71,102.03,2.84
2024,1,29,3.2,12.13,73.94,1.64,101.91,4.3
2024,1,30,3.71,11.26,63.81,0.57,102.02,6.05
2024,1,31,3.71,10.28,69.69,0.64,102.07,4.42
2024,2,1,4.2,11.25,73.56,0.74,101.94,4.26
2024,2,2,3.54,12.95,73.25,1.77,102.01,3.46
2024,2,3,4.7,12.12,67.06,0.07,102.17,3.88
2024,2,4,4.01,12.24,76,0.35,102.33,2.84
2024,2,5,3.39,12.3,79.5,0.13,102.38,3.83
2024,2,6,4.76,14.17,76.56,0.03,102.54,3.07
2024,2,7,4.67,15.12,77,0.18,102.36,1.7
2024,2,8,4.75,14.4,71.25,0.03,101.96,2.01
2024,2,9,4.84,15.03,68.12,0.01,101.75,2.3
2024,2,10,4.89,14.55,76,0.03,101.92,2.41
2024,2,11,5,15.97,71,0.01,102.01,3.29
2024,2,12,3.39,15.95,55.62,0.01,101.42,3.69
2024,2,13,3.12,16.04,52.12,0.07,100.79,4.76
2024,2,14,3.92,14.64,68.56,0.33,100.94,3.95
2024,2,15,3.71,12.88,77.62,1.77,101.06,3.88
2024,2,16,4.41,14.41,68.44,0.34,101.43,5.66
2024,2,17,4.36,14.76,71.06,0.67,102.03,4.62
2024,2,18,4.01,14.16,74.31,0.14,102.19,3.26
2024,2,19,4.27,14.95,63.5,0.02,102.02,4.19
2024,2,20,4.75,14.87,61.44,0,102.01,3.16
2024,2,21,5.16,14.69,67.62,0,102.04,2.91
2024,2,22,5.45,15,69.06,0,102.01,3.39
2024,2,23,2.72,14.91,74.25,0,101.93,3.21
2024,2,24,4.87,16.67,71.88,0,101.96,3.4
2024,2,25,5.7,16.3,66.81,0,101.89,2.73
2024,2,26,5.33,17.28,63.12,0,101.24,3.82
2024,2,27,3.92,16.78,68.5,0,101.52,4.55
2024,2,28,5.55,16.98,67.25,0,101.84,3.86
2024,2,29,5.89,18.44,59.38,0,101.67,5.31
2024,3,1,5.5,21.17,46.56,0,101.16,2.58
2024,3,2,5.36,18.21,56.69,0.02,101.36,5.47
2024,3,3,5.06,16.39,70.38,0.05,101.6,4.16
2024,3,4,5.37,16.44,67.75,0.02,101.61,2.59
2024,3,5,5.5,17.89,59.62,0.02,101.43,2.62
2024,3,6,5.18,17.15,64.56,0.02,101.61,4.84
2024,3,7,4.93,16.37,63.56,0.02,101.77,3.82
2024,3,8,5.42,16.08,62.31,0,101.73,2.95
2024,3,9,5.59,16.27,61.88,0,101.62,2.38
2024,3,10,5.59,15.4,66.19,0,101.68,3.58
2024,3,11,5.82,16.73,63.25,0,102.06,3.91
2024,3,12,5.88,18.9,61.06,0.01,101.65,3.63
2024,3,13,5.89,18.76,59.12,0.02,101.38,3.25
2024,3,14,5.7,17.1,61.38,0,101.58,3.31
2024,3,15,5.77,16.59,62.5,0,101.72,2.94
2024,3,16,3.12,16.44,60.31,0,101.72,2.42
2024,3,17,5.13,17.48,66,0,101.2,5.06
2024,3,18,5.17,16.76,60.38,0.67,101.07,5.27
2024,3,19,5.57,17.31,56.81,0.18,101.36,5.78
2024,3,20,6.07,18.37,52.25,0.03,101.55,4.15
2024,3,21,5.91,17.17,49.31,0.19,101.47,5.01
2024,3,22,5.99,15.44,55.69,0,101.47,4.7
2024,3,23,6.05,16.62,54.25,0,101.24,2.46
2024,3,24,4.26,14.95,61.5,0.53,101.17,3.66
2024,3,25,6.23,16.43,50.38,0,101.62,3.41
2024,3,26,6.28,20.08,32.88,0,101.74,3.84
2024,3,27,6.37,23.38,28,0,101.52,2.29
2024,3,28,5.18,23.6,35.5,0.89,101.37,4.02
2024,3,29,6.23,21.51,65.44,0.17,101.42,3.66
2024,3,30,6.36,21.77,63.44,0.16,101.54,4.06
2024,3,31,6.41,23.76,61.31,0.1,101.73,4.64
2024,4,1,6.16,23.73,60.38,0.11,101.58,4.77
2024,4,2,6.27,22.94,60.62,0.15,101.36,4.48
2024,4,3,6.42,22.94,55.88,0.12,101.34,3.2
2024,4,4,6.5,22.83,55.44,0.21,101.5,2.98
2024,4,5,6.45,20.47,62.5,0.03,101.6,4.05
2024,4,6,6.4,19.9,59.06,0,101.43,4.68
2024,4,7,6.26,20.55,58.75,0,101.05,4.88
2024,4,8,5.26,18.31,66.75,1.86,100.9,4.38
2024,4,9,4.2,18.51,64.19,0.34,101,5.24
2024,4,10,6.22,19.64,60.19,0,101.39,3.92
2024,4,11,6.58,21.16,59.38,0,101.57,2.94
2024,4,12,6.66,21.65,60.69,0,101.56,3.08
2024,4,13,6.6,21.92,65.56,0.15,101.52,4.04
2024,4,14,6.64,21.81,64.62,0.36,101.39,4.16
2024,4,15,6.71,22.32,60.19,0.29,101.43,4.2
2024,4,16,6.83,23.78,55.12,0.18,101.36,3.73
2024,4,17,6.87,27.73,40.81,0.03,100.69,4.94
2024,4,18,6.69,23.86,54.12,0,101.08,4.66
2024,4,19,6.94,21.93,57.81,0.06,101.2,3.03
2024,4,20,6.76,22.35,56.88,0,101.11,4.37
2024,4,21,7.06,21.59,55.5,0.02,101.5,3.29
2024,4,22,6.96,23.11,49.88,0,101.69,4.75
2024,4,23,6.79,26.23,47,0,101.38,5.98
2024,4,24,7.04,29.8,33,0,100.75,3.9
2024,4,25,5.05,24.44,52.44,4.82,100.6,5.1
2024,4,26,6.56,22.08,60.31,0.01,100.96,5.79
2024,4,27,7.07,21.98,60.06,0,101.02,4.74
2024,4,28,7.14,22.26,59.06,0,101.18,4.56
2024,4,29,7.08,21.94,59.31,0.02,101.17,4.61
2024,4,30,7.02,22.33,57.75,0.15,101.03,4.97
2024,5,1,7.13,23.23,60.5,0.12,101.04,4.8
2024,5,2,7.26,22.73,57.81,0.01,101.03,4.05
2024,5,3,7.43,23.41,59.06,0.01,101.09,4.48
2024,5,4,7.44,23.1,59.62,0.16,101.18,5.37
2024,5,5,6.85,21.17,56,0.01,101.03,5.93
2024,5,6,6.49,21.65,53.44,0.06,101.26,5.04
2024,5,7,7.52,21.79,49.56,0,101.53,3.59
2024,5,8,7.7,22.73,46.94,0,101.43,3.95
2024,5,9,7.49,26.24,45,0,100.87,3.59
