YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.14,18.12,74.38,0.01,102.07,2.47
2024,1,2,3.37,18.11,78.94,0.02,102.06,4.77
2024,1,3,3.07,17.74,77.44,0,102.06,3.72
2024,1,4,3.18,17.97,72.5,0,101.96,3.3
2024,1,5,3.12,18.1,75.94,0,102.04,4.29
2024,1,6,3.23,18.65,76.88,0.06,102.07,2.65
2024,1,7,3.06,18.65,72.94,0.07,101.67,3.96
2024,1,8,3.2,16.82,65.25,0,101.71,3.83
2024,1,9,3.57,16.26,63.38,0,101.6,6.41
2024,1,10,2.64,16.42,69.88,0.16,101.66,7.68
2024,1,11,2.62,16.68,71.94,0.82,101.75,7.55
2024,1,12,2.94,16.8,68,0.36,101.54,7.56
2024,1,13,3.31,15.92,67.75,3.6,101.12,9.13
2024,1,14,3.14,16.06,67.38,0.14,101.65,6.22
2024,1,15,2.95,16.13,66.38,0.11,102.18,4.88
2024,1,16,3.78,15.5,60.38,0,102.19,4.81
2024,1,17,3.41,16.6,59,0,102.04,3.42
2024,1,18,3.3,17.05,72.25,0,102.13,1.49
2024,1,19,3.58,16.66,75.56,0,102.09,2.46
2024,1,20,3.49,18.2,64.19,0,101.95,3.5
2024,1,21,3.57,18.08,58.06,0,101.48,4.69
2024,1,22,3.31,17.23,72.69,0.19,101.39,7.92
2024,1,23,2.59,17.07,76.38,1.21,101.84,7.52
2024,1,24,2.8,16.3,69.56,0.37,101.93,5.64
2024,1,25,2.2,16.68,66.31,0.13,101.83,5.61
2024,1,26,3.12,16.62,69.19,2.69,101.66,8.33
2024,1,27,2.89,15.83,64.81,2.13,101.95,7.98
2024,1,28,1.93,15.12,69,3.2,102.03,5.07
2024,1,29,2.08,14.87,68.88,2.4,101.88,6.36
2024,1,30,2.92,14,65.38,1.16,101.96,9.52
2024,1,31,3.66,13.21,68.56,1.76,102.07,6.52
2024,2,1,3.63,13.47,74.56,2.85,101.92,6.81
2024,2,2,3.08,15.02,69.88,1.85,102,5.65
2024,2,3,2.89,15.01,68.44,0.54,102.17,5.7
2024,2,4,3.27,14.76,73.44,0.47,102.34,4.66
2024,2,5,2.74,15.24,74.75,0.25,102.36,6.09
2024,2,6,4.29,16.11,76.12,0.02,102.56,4.29
2024,2,7,3.78,15.8,79.25,0.16,102.44,2.32
2024,2,8,4.48,16.14,73.81,0.01,102.03,2.29
2024,2,9,4.5,16.46,69.94,0.01,101.79,2.87
2024,2,10,4.28,16.01,78.06,0.05,101.97,3.22
2024,2,11,4.46,16.97,75.69,0,102.11,4.2
