YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.85,14.98,74.44,0,101.1,3.15
2024,1,2,3.77,15.44,74.19,0,101.16,3.77
2024,1,3,3.97,14.43,73,0,101.11,3.28
2024,1,4,3.96,14,69.62,0,101.03,3.3
2024,1,5,3.93,13.34,54.19,0,101.12,2.76
2024,1,6,3.88,15.55,72.12,0.01,101.05,2.27
2024,1,7,4.03,15.23,57.12,0,100.77,2.96
2024,1,8,3.96,13.28,44.12,0,100.82,2.8
2024,1,9,4.07,11.4,44.31,0,100.77,3.36
2024,1,10,3.84,12.05,56.62,0,100.87,4.28
2024,1,11,3.78,12.58,72,0.08,100.97,3.85
2024,1,12,4.05,12.08,59.75,0,100.77,3.47
2024,1,13,3.97,12.3,55.88,0.01,100.35,4.77
2024,1,14,3.53,12.55,71.44,0.15,100.77,2.98
2024,1,15,4.29,11.87,67.44,0,101.28,2.48
2024,1,16,4.07,12.19,52.62,0,101.27,2.6
2024,1,17,3.95,13.38,44.81,0,101.1,2.56
2024,1,18,4.24,14.15,47.19,0,101.13,1.84
2024,1,19,4,15.21,51.5,0,101.08,1.66
2024,1,20,4.03,15.71,48.69,0,101.02,2.08
2024,1,21,3.77,16.3,34.88,0,100.64,3.52
2024,1,22,3.63,14.61,60.81,0.08,100.68,4.43
2024,1,23,3.58,13.45,67.38,0.23,101.09,4.25
2024,1,24,4.3,12.09,64.69,0.04,101.11,3.88
2024,1,25,3.76,12.61,66.19,0.36,101.01,3.66
2024,1,26,3.97,13.34,68.31,0.68,100.96,5.16
2024,1,27,4.01,13.57,65.25,0.27,101.14,4.31
2024,1,28,3.75,11.84,66.81,0.1,101.14,2.61
2024,1,29,4.01,11.39,68.06,0.3,101.08,4.22
2024,1,30,4.27,9.54,61.94,0.01,101.28,4.86
2024,1,31,3.7,8.33,71,55.84,101.23,3.84
2024,2,1,4.1,9.54,75.69,2.47,101.13,3.78
2024,2,2,3.66,11.12,74.94,6.65,101.21,3.98
2024,2,3,4.83,10.25,59.69,0,101.32,3.3
2024,2,4,4.74,10.89,62.25,0.07,101.42,2.88
