YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.83,14.91,77.12,0.01,100.47,2.45
2024,1,2,3.69,15.58,76.88,0,100.54,3.38
2024,1,3,3.96,14.4,76.5,0,100.49,2.52
2024,1,4,3.87,14.18,74.75,0,100.41,2.44
2024,1,5,4.02,13.87,67.19,0,100.51,1.96
2024,1,6,4.07,15.4,72.88,0.01,100.44,2.55
2024,1,7,4.12,14.6,62.5,0,100.15,4.07
2024,1,8,4.07,13.45,47.38,0,100.2,3.05
2024,1,9,4.07,10.95,49.06,0,100.13,3.4
2024,1,10,3.88,11.74,58.25,0.01,100.22,4.12
2024,1,11,3.46,13.03,73.88,0.29,100.31,3.45
2024,1,12,4.14,12.27,61.62,0.02,100.12,3.69
2024,1,13,4.12,12.1,57.31,0.02,99.71,5.34
2024,1,14,3.36,12.28,74.06,0.25,100.14,2.71
2024,1,15,4.29,11.7,69.75,0.01,100.66,2.26
2024,1,16,4.23,11.99,52.94,0,100.65,2.4
2024,1,17,4.05,13.8,44.81,0,100.49,2.09
2024,1,18,4.27,14.62,45.06,0,100.52,1.18
2024,1,19,4.36,15.49,47.81,0,100.47,1.59
2024,1,20,4.2,16.44,49.69,0,100.4,1.9
2024,1,21,3.85,16.34,38.44,0,100.02,4.18
2024,1,22,3.8,14.28,59.88,0.05,100.02,4.55
2024,1,23,3.33,14.53,68.44,0.08,100.42,4.23
2024,1,24,3.7,12.49,66.62,0.2,100.46,3.45
2024,1,25,3.73,11.91,77.75,0.52,100.36,3.27
2024,1,26,3.72,13.12,72.19,0.76,100.28,5.07
2024,1,27,3.28,13.19,68.31,0.4,100.49,4.09
2024,1,28,3.76,12.19,69.62,0.46,100.51,2.26
2024,1,29,4.01,11.17,74.56,0.71,100.42,4.01
2024,1,30,3.85,9.4,66.94,0.04,100.6,4.94
2024,1,31,3.74,8.49,71.88,42.54,100.57,3.91
2024,2,1,4.51,8.91,78.5,1.96,100.47,4.05
2024,2,2,3.36,10.76,84.25,31.46,100.55,3.57
2024,2,3,4.9,9.73,67.31,0,100.69,3.17
2024,2,4,4.9,10.23,69.75,0.25,100.8,2.58
2024,2,5,4.59,11.23,80.62,0.02,100.88,2.89
2024,2,6,5.01,12.53,76.56,0.02,101.02,2.6
2024,2,7,5.06,13.46,75.38,0.06,100.8,1.96
2024,2,8,4.95,13.08,70.5,0.01,100.38,2.83
2024,2,9,5.06,13.34,70.56,0,100.2,2.41
2024,2,10,5.11,13.56,72.75,0,100.35,2.29
2024,2,11,5.31,13.97,70.31,0.03,100.42,3.35
2024,2,12,3.54,14.12,54,0,99.9,4.21
2024,2,13,3.67,14.8,55.69,0.01,99.32,5.11
2024,2,14,3.73,12.68,73.44,0.04,99.49,3.44
2024,2,15,4.04,12.21,72.62,1.06,99.59,4.17
2024,2,16,4.3,12.35,72.5,0.27,100.02,5.07
2024,2,17,4.77,12.33,71.88,0.08,100.56,4.1
2024,2,18,4.68,13.42,74.31,0.03,100.66,2.66
2024,2,19,4.59,12.79,73.31,0.03,100.49,3.73
2024,2,20,5.57,12.98,69.88,0,100.47,2.27
2024,2,21,5.62,13.63,69.38,0.01,100.43,3.49
2024,2,22,5.49,13.38,71.31,0.02,100.39,3.96
2024,2,23,2.82,13.23,80.56,0.1,100.3,3.8
2024,2,24,5.54,15.37,70.56,0.16,100.37,3.45
2024,2,25,5.75,14.86,67.44,0.04,100.32,2.89
2024,2,26,5.66,15.97,57.44,0,99.72,3.6
2024,2,27,4.78,14.49,73.69,0,100.01,3.87
2024,2,28,5.85,15.25,69.25,0,100.24,3.88
2024,2,29,6.08,17.37,57.5,0,100.04,3.57
2024,3,1,5.79,20.73,37.5,0,99.64,3.18
2024,3,2,5.52,16.97,46.62,0,99.91,4.45
2024,3,3,5.5,15.25,67.38,0.08,100.09,3.51
2024,3,4,5.65,15.48,63,0.02,100.06,2.53
2024,3,5,5.64,18.1,47.94,0,99.9,2.45
2024,3,6,5.71,16.37,62.75,0.15,100.1,4.02
2024,3,7,5.36,15.65,63.81,0.01,100.25,3.23
2024,3,8,5.77,15.59,59.56,0,100.17,3.25
2024,3,9,5.05,15.71,57.38,0,100.03,3.17
2024,3,10,5.87,15.58,60,0.03,100.07,4.61
2024,3,11,6.03,15.71,57.62,0.02,100.43,4.52
2024,3,12,6.01,17.9,46.38,0.05,100.05,2.96
2024,3,13,6.09,17.83,51.31,0.05,99.85,2.98
2024,3,14,5.91,16.46,57.25,0.01,100.03,3.32
