YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2.96,12.25,76.38,0,100.77,1.63
2014,1,2,3.62,12.07,69.38,0,100.85,2.3
2014,1,3,3.49,12.01,80,0,100.79,2.04
2014,1,4,3.03,12.57,83.81,0.08,100.64,2.27
2014,1,5,3,12.93,78.62,0.17,100.66,3.55
2014,1,6,3.67,11.92,76.31,0,100.91,3.47
2014,1,7,3.66,12.51,58.81,0,100.63,3.44
2014,1,8,3.6,13.94,42,0,100.31,2.67
2014,1,9,2.97,11.45,71.69,3.45,100.39,3.57
2014,1,10,3.34,12.12,76.88,0.47,100.75,3.69
2014,1,11,3.33,12.23,74.62,0,101.25,2.7
2014,1,12,3.59,13.54,67.56,0,101.3,1.59
2014,1,13,3.63,14.27,68.5,0.01,100.92,2.16
2014,1,14,3.16,14.79,75.31,0.02,100.48,2.84
2014,1,15,3.71,13.3,78.69,0.03,100.73,3.56
2014,1,16,3.93,14.73,43.31,0,100.48,3.24
2014,1,17,3.66,13.45,62.75,0,100.74,3.15
2014,1,18,3.97,13.48,78.44,0,101.18,3.88
2014,1,19,3.64,14.01,65.06,0,101.11,3.87
2014,1,20,4.1,14.19,43.44,0,100.87,2.35
2014,1,21,3.99,14.97,37.31,0,100.7,2.11
2014,1,22,3.69,16.18,35.31,0,100.56,2.1
2014,1,23,3.83,14.02,77.38,0,100.79,2.98
2014,1,24,4.16,13.74,72.19,0,100.77,3.13
2014,1,25,4.12,15.59,45.31,0,100.13,3.18
2014,1,26,2.71,17.01,45.19,0.04,99.51,5.51
2014,1,27,3.01,13.87,53.06,0,99.52,4.4
2014,1,28,3.99,12.79,48.44,0,99.99,5.29
2014,1,29,4.22,14.09,38.44,0,100.51,2.43
2014,1,30,4.23,14.37,52.25,0,100.89,3.13
2014,1,31,4.21,14.15,70.62,0,100.79,4.69
2014,2,1,4.19,14.73,74.12,0,100.44,4.57
2014,2,2,2.77,15.29,71.19,5.46,99.69,3.7
2014,2,3,3.85,13.87,73.75,2.65,99.96,3.03
2014,2,4,3.4,13.43,75.38,3.45,100.57,3.07
2014,2,5,4.52,11.87,61.12,0.06,100.73,3.77
2014,2,6,3.43,11.06,65.06,0.1,100.54,2.58
2014,2,7,4.35,11.36,67.5,0,100.67,3.47
2014,2,8,4.45,11.61,70.81,0,100.95,3.98
2014,2,9,4.79,12.51,65,0,100.96,3.36
2014,2,10,4.89,12.72,72.75,0,100.91,3
2014,2,11,4.84,12.51,74.19,0,100.85,4.03
2014,2,12,5.08,15.4,55.25,0,100.35,3.45
2014,2,13,4.93,16.23,39.44,0,100.12,3.11
2014,2,14,3.73,14.02,58.38,0.09,100.2,3.82
2014,2,15,2.38,12.22,68,5.91,99.95,6.74
2014,2,16,4.41,13.59,75.88,2.78,100.41,5.83
2014,2,17,5.07,13.66,75.06,0.03,101.14,2.7
2014,2,18,5.21,13.62,73,0.01,101.4,3.58
2014,2,19,5.3,14.34,72.06,0.03,101.21,4.44
2014,2,20,5.35,15.69,53.56,0,100.81,3.1
2014,2,21,4.54,18.51,29.38,0,100.32,3.8
2014,2,22,4.73,18.33,46.69,0,100.02,4.96
2014,2,23,4.28,15.55,74.88,0,100.31,2.56
2014,2,24,4.87,15.48,74.69,0,100.32,3.26
2014,2,25,5.12,14.3,67.12,0,100.61,3.85
2014,2,26,5.48,14,65.38,0,100.86,2.62
2014,2,27,4.98,13.55,67.19,0,100.91,3.91
2014,2,28,5.65,13.25,65.56,0,100.75,3.79
2014,3,1,5.27,16.21,53.81,0,100.06,4.81
2014,3,2,3.57,19.15,41.38,0,99.78,5.3
2014,3,3,4.38,17.96,52,0.1,99.75,2.56
2014,3,4,5.25,17.5,38.56,0,99.93,3.57
2014,3,5,5.6,19.6,28.75,0,100.05,3.28
2014,3,6,5.44,18.29,59.06,0,100.41,3.33
2014,3,7,5.29,21.09,42.75,0.03,99.98,5.91
2014,3,8,5.35,20.08,51.81,0.11,99.89,5.01
2014,3,9,2.76,16.64,71.19,2.34,100.04,3.84
2014,3,10,6.1,15.47,60.19,0.01,100.17,3.34
2014,3,11,4.97,15.7,56.44,0.14,100.28,4.66
2014,3,12,4.96,13.81,61.38,1.48,100.47,4.91
2014,3,13,3.57,13.04,71.62,3.76,100.35,5.83
2014,3,14,5.12,12.29,56.62,0.59,100.63,5.47
2014,3,15,6.4,13.41,48.25,0,100.87,1.44
2014,3,16,5.11,16.59,38.44,0.01,100.37,6.1
2014,3,17,4.53,19.4,43.69,0,100.12,5.67
2014,3,18,4.08,15.01,76.56,0.14,100.45,2.25
2014,3,19,6.17,16.09,75.88,0.01,100.64,3.29
2014,3,20,6.43,16.39,71.62,0.01,100.65,4.34
2014,3,21,6.64,15.92,66.19,0.01,100.57,3.92
2014,3,22,6.59,16.12,71.62,0,100.39,4.19
2014,3,23,4.27,15.93,76.81,0,100.16,3.7
2014,3,24,6.23,16.65,67.12,0,100.17,4.34
2014,3,25,6.58,16.64,58.94,0,100.17,3.77
2014,3,26,6.73,17.6,47.19,0,100.56,2.98
2014,3,27,6.93,17.78,61.94,0,100.66,4.48
2014,3,28,7.07,18.87,59.12,0,100.24,4.55
2014,3,29,6.67,20.5,45.06,0,99.76,4.72
2014,3,30,6.95,16.85,64,0,99.87,4.63
2014,3,31,6.77,15.66,50.38,0,99.91,6.03
2014,4,1,6.8,16.44,57.81,0,99.66,5.19
2014,4,2,6.23,16.06,66.31,0,100.11,4.1
2014,4,3,6.82,17.24,61.81,0,100.45,2.84
2014,4,4,6.88,17.58,60.25,0,100.72,2.66
2014,4,5,7.26,19.48,53.5,0,100.44,3.38
2014,4,6,7.41,23.53,25.25,0,100,2.5
2014,4,7,6.08,20.15,50.5,0,100.23,4.52
2014,4,8,7.26,21.41,48,0,100.29,3.73
2014,4,9,6.53,19.46,62.38,0,100.33,3.83
2014,4,10,7.3,18.1,54.88,0,100.51,3.05
2014,4,11,7.19,18.18,51.88,0,100.54,4.1
2014,4,12,6,18.27,59.38,0,100.5,3.4
2014,4,13,6.65,18.07,63.5,0,100.45,3.35
2014,4,14,7.22,20.37,52.81,0,100.13,3.8
2014,4,15,4.63,23.23,35.88,0.02,99.85,5.62
2014,4,16,6.98,22.09,56.06,0,99.95,3.25
2014,4,17,7.32,21.12,58.19,0,99.94,3.43
2014,4,18,7.37,24.68,42.62,0,99.98,4.54
2014,4,19,4.38,22.32,57.25,0,100.18,3.29
2014,4,20,6.71,20.08,69.62,0,100.25,5.29
2014,4,21,7.57,19.09,58.5,0,100.36,4.66
2014,4,22,6.43,20.9,56.81,0,100.49,4.08
2014,4,23,6.72,22.16,53.62,0,100.35,5.13
2014,4,24,7.46,26.08,42.25,0,99.69,3.73
2014,4,25,7.54,25.73,50.94,0,99.66,4.27
2014,4,26,7.42,20.93,59.06,0,100.06,4
2014,4,27,7.78,20.8,52.88,0,99.97,3.27
2014,4,28,7.81,24.67,34.94,0,100.01,4.56
2014,4,29,7.83,23.12,52.62,0,100.17,3.66
2014,4,30,7.9,24.33,41.62,0,100.08,3.23
2014,5,1,7.93,25.12,38.38,0,99.96,3.68
2014,5,2,7.9,22.87,50.5,0,100.25,3.53
2014,5,3,7.72,27.74,24.38,0,100.11,3.98
2014,5,4,7.1,31.09,16.12,0,99.88,5.02
2014,5,5,5.81,29.57,31.69,0.01,99.81,3.32
2014,5,6,5.46,25.42,55.62,1.86,99.97,5.21
2014,5,7,6.38,21.91,65.5,1.84,99.91,5.97
2014,5,8,5.08,21.07,57.38,5.83,99.74,3.7
2014,5,9,6.58,21.83,49.44,0.01,100.1,4.34
2014,5,10,7.65,22.67,52.75,0.06,100.12,3.92
2014,5,11,7.77,21.2,55.06,0,100.23,3.67
2014,5,12,7.02,20.65,58.88,0.01,100.45,3.75
2014,5,13,7.98,21.44,56.62,0,100.64,3.34
2014,5,14,8.06,22.34,48.44,0,100.43,3.26
2014,5,15,7.4,24.96,32.5,0,100.03,2.87
2014,5,16,7.28,24.83,50.5,0,100.07,4.11
2014,5,17,7.93,22.46,56.06,0,100.47,5.32
2014,5,18,8.2,20.48,52.94,0,100.66,4.65
2014,5,19,7.59,22.11,53.44,0,100.52,4.05
2014,5,20,5.86,23.3,49.25,0,100.25,2.74
2014,5,21,7.32,26.74,40.38,0,99.71,4.67
2014,5,22,7.89,23.89,57.5,0,99.89,3.29
2014,5,23,8,23.9,54.06,0,99.9,3.07
2014,5,24,8.06,24.12,54,0,100.17,3.41
2014,5,25,8.25,23.7,53.31,0,100.32,3.45
2014,5,26,7.99,24.94,49.5,0,100.27,3.08
2014,5,27,7.48,29.93,31.38,0,99.84,3.69
2014,5,28,7.17,26.19,54.88,0,99.85,4.87
2014,5,29,7.68,26.47,47.94,0,100.11,3
2014,5,30,7.96,31.76,22.81,0,99.76,2.95
2014,5,31,7.7,26.8,50.38,0,99.92,5.23
2014,6,1,8.36,23.46,52.06,0,100.14,4.38
2014,6,2,8.11,23.67,51.12,0,100.27,3.34
2014,6,3,7.12,27.78,35.62,0,100.14,4.6
2014,6,4,6.53,32.13,24.25,0,99.69,6.1
2014,6,5,7.29,26.46,48.44,0.01,99.97,5.23
2014,6,6,7.92,24.33,52.44,0,99.95,4.09
2014,6,7,8.18,24.67,51.25,0,99.88,3.41
2014,6,8,8.14,24.94,55,0,99.8,3.13
2014,6,9,7.34,24.9,54.19,0,99.83,3.16
2014,6,10,8.16,25.87,53,0,100.02,3.72
2014,6,11,8.09,26.55,46.88,0,100.11,4.02
2014,6,12,8.12,26.73,45.5,0,99.87,4.29
2014,6,13,7.78,26.19,53.38,0,99.7,2.62
2014,6,14,8.05,27.46,50.44,0,99.76,2.59
2014,6,15,8.35,28.44,41.38,0,100.03,3.17
2014,6,16,8.16,28.96,34.38,0,100,5.12
2014,6,17,8.21,28,47.12,0,100.06,6.09
2014,6,18,8.21,27.16,51.25,0,100.14,3.51
2014,6,19,7.86,29.26,45.06,0,99.87,4.01
2014,6,20,8.13,30.48,32.81,0,99.73,4.85
2014,6,21,8.24,25.4,54.94,0,100.06,4.77
2014,6,22,8.31,25.15,55.56,0,100.24,4.43
2014,6,23,8.23,25.57,56.12,0,100.15,4.24
2014,6,24,8.26,25.98,52.19,0,99.91,3.89
2014,6,25,8.19,26.73,50.38,0,99.78,3.57
2014,6,26,8.29,27.83,48.88,0,99.84,3.34
2014,6,27,8.37,29.76,47.62,0,99.93,3.92
2014,6,28,8.16,31.45,41.38,0,99.87,4.04
2014,6,29,8.31,30.41,49.06,0,99.75,3.89
2014,6,30,8.24,28.33,53.81,0,99.76,3.27
2014,7,1,8.03,27.52,57.62,0,100.02,3.8
2014,7,2,8.16,28.39,51.44,0,100.12,4.66
2014,7,3,8.16,28.52,47.56,0,99.77,3.73
2014,7,4,7.76,29.62,48.56,0,99.23,4.09
2014,7,5,7.96,28.29,47.56,0,99.35,4.27
2014,7,6,7.86,27.96,49.94,0,99.7,3.12
2014,7,7,7.73,28.23,54.12,0,99.88,3.66
2014,7,8,8.15,27.68,51.62,0,99.73,3.46
2014,7,9,8.02,28.41,46.56,0,99.65,2.39
2014,7,10,8.2,30.48,45.81,0,99.65,2.7
2014,7,11,8,29.74,46.06,0,99.72,2.73
