YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.53,15.34,80,0.07,100.87,2.41
2024,1,2,3.54,15.15,82.38,0.14,100.92,3.27
2024,1,3,3.54,14.81,79,0.05,100.9,2.2
2024,1,4,3.71,14.83,74.12,0.02,100.81,2.01
2024,1,5,3.78,14.58,67.19,0,100.92,1.67
2024,1,6,3.9,15.43,68.88,0.01,100.87,3.12
2024,1,7,3.93,15.75,60,0.01,100.56,3.48
2024,1,8,3.67,15.4,46.31,0,100.6,2.66
2024,1,9,3.8,12.33,43.88,0,100.51,3.48
2024,1,10,3.73,12.3,53,0.02,100.59,4.05
2024,1,11,3.43,12.97,72.88,0.4,100.67,3.98
2024,1,12,3.68,13.38,62.19,0.08,100.48,4.12
2024,1,13,3.65,13.15,52.12,0.05,100.09,5.41
2024,1,14,3.47,12.5,68.5,0.21,100.52,3.32
2024,1,15,4.01,12.6,65.75,0.02,101.06,1.86
2024,1,16,4.03,12.6,50.81,0,101.06,2.08
2024,1,17,3.42,13.8,41.62,0,100.9,1.59
2024,1,18,3.91,13.94,44.56,0,100.95,1.91
2024,1,19,4.21,14.1,55.69,0,100.9,2.63
2024,1,20,4.03,16.85,47.12,0,100.81,1.65
2024,1,21,3.77,17.3,35.88,0,100.42,3.94
2024,1,22,4.04,15.81,52.62,0.07,100.35,5.16
2024,1,23,3.43,15.2,72.81,0.81,100.75,5.09
2024,1,24,4.02,13.47,66.31,0.35,100.83,3.33
2024,1,25,3.78,13.3,69.12,0.56,100.71,3.01
2024,1,26,3.49,13.42,75.44,13.9,100.6,5.41
2024,1,27,3.5,12.09,72.81,6.89,100.84,4.55
2024,1,28,3.23,12.4,65.5,2.44,100.89,2.7
2024,1,29,3.72,12.05,76,5.53,100.77,3.98
2024,1,30,3.77,10.19,67.62,0.39,100.94,5.45
2024,1,31,4.17,9.76,67.38,2.44,100.97,3.62
2024,2,1,4.34,9.4,73.94,0.21,100.85,4.07
2024,2,2,3.66,11.52,77.5,4.73,100.9,4.01
2024,2,3,4.66,10.82,63.69,0,101.08,3.43
2024,2,4,4.32,10.87,65.25,0.11,101.19,2.7
2024,2,5,4.11,11.94,76.44,0.21,101.25,3.18
2024,2,6,4.8,12.67,72.12,0.2,101.42,2.52
2024,2,7,4.88,13.5,75.81,0.57,101.24,2.27
2024,2,8,4.97,13.76,75.62,0.21,100.79,3.01
2024,2,9,4.88,14.05,73.25,0.21,100.61,2.27
2024,2,10,4.94,13.43,76.31,0.02,100.78,2.49
2024,2,11,5.04,14.56,68.38,0.07,100.88,3.86
2024,2,12,3.29,15.9,49.44,0,100.35,4.28
2024,2,13,2.84,17.25,51.12,0.03,99.7,5.34
2024,2,14,4.01,13.85,65.81,0.11,99.87,3.83
2024,2,15,4.11,13.73,62.69,0.8,99.98,4.09
2024,2,16,4.45,13.65,64.94,1.02,100.38,5.74
2024,2,17,4.54,13.34,66.88,0.32,100.93,4.83
2024,2,18,4.6,13.91,71.88,0.09,101.05,2.63
2024,2,19,4.42,13.13,69.5,0.04,100.86,3.79
2024,2,20,4.95,13.39,64.81,0,100.87,2.44
2024,2,21,5.53,13.88,70.12,0.01,100.87,3.27
2024,2,22,5.53,13.58,74,0.01,100.83,3.62
2024,2,23,2.94,13.8,78.38,0.02,100.73,3.81
2024,2,24,5.02,15.44,72.06,0.29,100.78,3.88
2024,2,25,5.67,15.09,72.25,0.02,100.76,3.17
2024,2,26,5.3,16.49,54.31,0,100.14,2.43
2024,2,27,4.4,15.3,73.19,0,100.36,5
2024,2,28,5.73,15.91,69.69,0,100.68,3.9
2024,2,29,5.9,17.55,50.31,0,100.52,4.98
2024,3,1,5.42,20.16,30.94,0,100.11,4.45
2024,3,2,5.43,18.07,45.25,0,100.22,4.95
2024,3,3,5.21,15.58,70.12,0.06,100.47,3.88
2024,3,4,5.56,15.43,69.88,0.09,100.49,2.11
2024,3,5,5.7,17.26,51.06,0,100.34,2.3
2024,3,6,5.58,16.81,58.06,0.07,100.44,4.35
2024,3,7,5.09,15.43,67.44,0.01,100.64,3.56
2024,3,8,5.67,15.55,65.44,0.01,100.58,2.87
2024,3,9,5.68,15.83,63.06,0,100.48,2.66
2024,3,10,5.85,14.64,68.88,0,100.5,3.81
2024,3,11,6,15.05,66.5,0,100.9,4.3
2024,3,12,6,18.19,45,0,100.49,3.1
2024,3,13,5.9,18.85,46.88,0.07,100.21,2.4
2024,3,14,6.02,16.69,66.81,0.03,100.42,2.92
2024,3,15,6.06,16.19,63,0,100.59,2.74
2024,3,16,4.62,16.04,63.81,0,100.59,3.13
2024,3,17,5.41,17.4,64.19,0,99.96,5.43
2024,3,18,4.31,15.37,67.81,1.42,99.9,4.62
2024,3,19,5.51,15.76,59.19,0.1,100.26,5.53
2024,3,20,6.28,17.66,47.81,0,100.5,3.52
2024,3,21,6.23,18.37,44.12,0.08,100.29,5.19
2024,3,22,6.2,14.45,58,0,100.32,4.27
2024,3,23,6.3,15.26,56.19,0,100.09,2.91
2024,3,24,4.06,14.84,63,0.38,99.97,3.78
2024,3,25,6.49,14.57,51.44,0,100.54,2.38
2024,3,26,6.46,19.09,29.5,0,100.7,3.17
2024,3,27,6.47,22.94,23.31,0,100.44,2.77
2024,3,28,5.01,24.34,22.75,0,100.25,3.7
2024,3,29,6.52,22.22,57.5,0.11,100.23,4.02
2024,3,30,6.54,20.67,66.94,0.21,100.38,4.22
