YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,2.5,17.67,73.44,0.01,102.11,2.31
2024,1,2,3.25,18.56,73.94,0,102.1,5.27
2024,1,3,3.35,17.62,74.31,0,102.09,3.91
2024,1,4,3.51,17.98,69.25,0,101.98,3.85
2024,1,5,2.79,18.17,75,0,102.04,4.32
2024,1,6,3.42,18.96,73.06,0.03,102.05,2.56
2024,1,7,3.42,17.97,71.56,0.06,101.65,4.83
2024,1,8,3.12,17.41,61.69,0,101.7,4.4
2024,1,9,3.59,16.2,60.06,0,101.59,6.9
2024,1,10,2.57,16.89,67.5,0.18,101.68,7.75
2024,1,11,2.82,16.51,69.19,0.72,101.81,7.19
2024,1,12,2.75,16.63,66.19,0.44,101.55,7.09
2024,1,13,2.91,15.78,69.62,5.42,101.12,8.48
2024,1,14,3.28,15.56,68.06,0.44,101.69,5.81
2024,1,15,3.05,15.9,65.5,0.2,102.16,5.45
2024,1,16,3.71,15.55,62.25,0,102.15,5.95
2024,1,17,3.72,16.67,64.31,0,102.01,4.48
2024,1,18,3.38,17.34,78.75,0,102.12,1.82
2024,1,19,3.58,17.15,71,0,102.06,3.29
2024,1,20,3.51,17.64,61.69,0,101.91,4.84
2024,1,21,3.65,18.32,58.69,0,101.44,4.79
2024,1,22,3.38,17.94,76.75,0.74,101.44,8.16
2024,1,23,2.85,16.98,71.19,1.94,101.91,6.62
2024,1,24,2.82,16.08,66.69,0.53,101.96,5.48
2024,1,25,2.24,16.57,63.88,0.24,101.88,5.78
2024,1,26,2.92,16.48,68.25,2.96,101.73,7.78
2024,1,27,3,15.68,63.88,0.86,102.03,7.2
2024,1,28,2.42,14.89,67.88,3.9,102.06,4.25
2024,1,29,2.02,14.48,67.19,3.05,101.95,6.83
2024,1,30,3.15,13.98,61.81,1.44,102,9.31
2024,1,31,2.74,12.76,70.31,5.16,102.07,6.42
2024,2,1,3.72,14.2,68.44,2.67,101.95,5.97
2024,2,2,3.32,15.44,66.81,2.41,102.03,5.59
2024,2,3,2.55,15.49,66.56,1.09,102.17,5.66
2024,2,4,3.16,15.01,70.19,0.47,102.37,4.32
2024,2,5,2.79,15.23,73.12,0.12,102.4,5.76
2024,2,6,4.31,16.4,76.44,0.02,102.58,4.45
2024,2,7,3.65,16.04,78.88,0.1,102.43,2.8
2024,2,8,4.22,15.7,73.12,0.01,102.04,2.43
2024,2,9,4.59,16.63,65.06,0,101.8,3.45
2024,2,10,4.48,16.43,74.81,0.03,101.98,3.06
2024,2,11,4.46,16.72,75.56,0,102.09,4.22
2024,2,12,2.92,17.45,66.38,0.01,101.44,4.36
2024,2,13,3,16.57,67,0.33,100.83,6.27
2024,2,14,2.71,15.62,72.56,1.59,100.96,5.76
2024,2,15,3.15,14.19,80.44,8.42,101.06,5.12
2024,2,16,3.32,15.74,71.44,1.38,101.42,7.16
2024,2,17,3.91,16.13,72.56,0.88,102.06,5.88
2024,2,18,2.79,15.98,71.94,0.21,102.23,4.97
2024,2,19,4.58,15.94,66.12,0.03,102.07,5.93
2024,2,20,3.81,15.87,64.75,0,102.07,4.42
2024,2,21,4.96,15.66,69.44,0,102.13,3.59
2024,2,22,5.07,15.82,69.94,0,102.11,4.16
2024,2,23,2.74,15.78,72.62,0,102.02,3.8
2024,2,24,5.11,16.67,76.56,0,102.07,4.2
2024,2,25,5.44,16.67,70.5,0,101.98,3.16
2024,2,26,4.67,17.01,73.62,0,101.3,5.53
2024,2,27,4.3,16.94,73.88,0,101.6,5.61
2024,2,28,5.14,17.33,71.06,0,101.95,5.09
2024,2,29,5.64,18.3,67.5,0,101.78,7.34
2024,3,1,4.98,19.75,64.12,0,101.22,4.12
2024,3,2,4.8,17.88,68.56,0.02,101.42,7.48
2024,3,3,4.62,16.8,73.06,0.1,101.66,6.05
2024,3,4,4.89,16.67,69.19,0.12,101.68,3.16
2024,3,5,4.99,17.62,69.12,0.01,101.51,4.1
2024,3,6,4.49,17.19,67.94,0.03,101.67,7.05
2024,3,7,4.99,17.08,65.62,0.02,101.83,5.01
2024,3,8,5,16.45,65.06,0.01,101.8,3.82
2024,3,9,5.05,16.07,68.56,0.01,101.72,3.53
2024,3,10,5.13,16.01,69.81,0,101.77,4.57
2024,3,11,5.31,16.9,68.38,0,102.15,4.94
2024,3,12,5.37,18.01,70.62,0,101.81,5.05
2024,3,13,5.32,17.91,69.88,0,101.49,3.98
2024,3,14,5.37,16.78,66.75,0,101.67,4.13
2024,3,15,5.32,16.45,69.31,0.01,101.8,3.95
2024,3,16,2.67,16.64,65.06,0,101.81,2.67
2024,3,17,3.84,17.42,70.69,0,101.35,6.29
2024,3,18,4.99,17.15,65.5,0.93,101.14,7.72
2024,3,19,5.41,17.51,64.19,0.27,101.4,7.87
2024,3,20,5.61,18.18,64,0.06,101.57,5.28
2024,3,21,4.85,17.12,64.44,0.04,101.57,6.88
2024,3,22,5.62,16.02,61.69,0,101.54,6.62
2024,3,23,4.49,16.44,59.38,0.04,101.33,3.05
2024,3,24,5.27,16.07,62.31,0.38,101.26,5.2
2024,3,25,5.5,16.76,61.19,0,101.67,5.21
2024,3,26,5.8,19.09,52.75,0,101.77,4.95
2024,3,27,5.92,21.37,45,0,101.58,3.42
2024,3,28,5.18,20.97,57.44,2.48,101.43,5.23
2024,3,29,5.75,19.48,81.69,0.17,101.53,4.4
2024,3,30,5.92,19.52,79.31,0.15,101.67,4.61
2024,3,31,5.96,21.21,73.94,0.05,101.85,5.28
2024,4,1,5.94,20.93,72,0.01,101.73,5.66
2024,4,2,6.05,20.18,74.88,0.02,101.49,5.39
2024,4,3,6.14,20.76,72.44,0.04,101.45,3.64
2024,4,4,6.14,20.82,70.94,0.12,101.61,3.43
2024,4,5,6.07,19.24,71.81,0,101.7,5.39
2024,4,6,6.08,19.55,68.06,0,101.51,6.73
2024,4,7,5.91,20.08,69.44,0.04,101.13,6.99
2024,4,8,1.62,18.8,70.38,2.89,100.92,6.09
2024,4,9,5.85,18.52,68.25,0.38,101.07,6.78
2024,4,10,6.13,19.05,68.56,0,101.48,5.31
2024,4,11,6.29,19.73,71,0,101.68,3.75
2024,4,12,6.06,19.77,75.69,0.04,101.69,4.09
2024,4,13,6.26,20.02,80.19,0.14,101.64,5.29
2024,4,14,6.33,19.94,79.62,0.13,101.5,5.33
2024,4,15,6.49,20.74,75.56,0.16,101.54,4.84
2024,4,16,6.48,21.79,66.75,0.1,101.47,4.38
2024,4,17,6.51,24.9,55.19,0.01,100.74,5.94
2024,4,18,6.11,21.04,73.19,0,101.17,5.88
2024,4,19,6.64,19.39,69.44,0.08,101.31,3.34
2024,4,20,6.42,20.08,69.12,0,101.22,5.73
2024,4,21,6.68,19.48,68.19,0.11,101.61,3.82
2024,4,22,6.62,22.05,59.75,0,101.75,5.89
2024,4,23,6.36,24.31,56.19,0,101.45,7.34
2024,4,24,6.33,25.07,56.88,0,100.84,4.93
2024,4,25,4.66,21.63,75.25,2.27,100.7,6.09
2024,4,26,6.44,20.49,70.69,0,101.08,7.26
2024,4,27,6.79,20.4,69.81,0,101.14,6.57
2024,4,28,6.9,20.26,70.88,0,101.31,6.25
2024,4,29,6.88,19.88,73.12,0.04,101.3,6.33
2024,4,30,5.91,20.62,74.5,0.08,101.13,6.79
2024,5,1,6.8,20.7,72.88,0.01,101.16,6.16
2024,5,2,6.08,20.61,74.75,0.03,101.12,5.26
2024,5,3,7.04,21.35,77.12,0,101.18,5.59
2024,5,4,7.16,21.08,71.94,0.02,101.25,6.93
2024,5,5,6.21,20.29,65.31,0.1,101.09,7.83
2024,5,6,6.99,20.56,64.06,0.05,101.36,6.52
2024,5,7,7.4,20.08,61.56,0,101.63,4.38
2024,5,8,7.38,21.1,56.56,0,101.55,4.34
2024,5,9,7.18,23.4,58,0,100.98,5.31
2024,5,10,4.66,22.62,65.56,0,100.71,5.8
2024,5,11,7.26,21.58,69,0.27,101.17,5.09
2024,5,12,6.82,20.66,71.69,0.1,101.39,5.95
2024,5,13,7.3,20.87,62.69,0,101.38,7.62
2024,5,14,7.35,21.04,66.31,0,101.41,5.95
2024,5,15,7.31,21.26,63,0,101.63,4
2024,5,16,7.29,22.96,58.31,0,101.8,3.38
2024,5,17,7.27,25.34,50.19,0,101.74,3.7
2024,5,18,7.23,26.12,46.31,0,101.47,2.98
2024,5,19,7.06,26.44,56.06,0,101.19,2.55
2024,5,20,7.02,26.52,53.56,0.01,100.94,4.58
2024,5,21,6.99,24.73,70,0,101.2,3.3
2024,5,22,7.11,26.09,60.38,0,101.2,2.44
2024,5,23,4.62,25.15,64.5,0.06,101.19,5.03
2024,5,24,7.59,23.65,62.75,0,101.32,7.24
2024,5,25,7.51,23.75,63.31,0,101.26,6.9
2024,5,26,7.14,26.73,48.44,0.01,101.01,2.92
2024,5,27,7.42,23.98,65.12,0,100.98,8.16
2024,5,28,7.37,22.58,67.25,0.01,101.31,4.7
2024,5,29,7.41,22.59,67.31,0.04,101.32,4.48
2024,5,30,7.53,22.5,61.06,0,101.41,3.76
2024,5,31,7.42,25.55,51,0,101.58,3.88
2024,6,1,7.8,27.62,44.25,0,101.57,3.95
