YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,4.45,12.87,59.94,0,98.94,2.8
2014,1,2,4.5,13.11,61.12,0,98.97,3.28
2014,1,3,4.46,12.95,58.31,0,98.93,3.7
2014,1,4,4.37,13.08,62.06,0,98.8,5.2
2014,1,5,4.16,12.63,66.69,0.02,98.83,6.3
2014,1,6,4.38,12.97,59.69,0,98.92,3.25
2014,1,7,4.36,14.39,45.38,0.02,98.75,1.72
2014,1,8,4.39,13.65,44,0,98.62,2.41
2014,1,9,4.47,11.77,53.69,0,98.7,4.16
2014,1,10,4.65,11.23,63.31,0,99.03,4.87
2014,1,11,4.75,11.76,51.62,0,99.38,3.91
2014,1,12,4.76,12.37,54.62,0,99.4,2.84
2014,1,13,4.49,13.58,57.31,0,99.06,2.13
2014,1,14,4.71,15.48,37.81,0,98.69,2.68
2014,1,15,4.88,14.61,38.5,0,98.82,2.34
2014,1,16,4.79,16.27,44.94,0,98.75,2.6
2014,1,17,4.8,14.76,24.44,0,98.84,4.29
2014,1,18,4.91,14.15,46.19,0,99.11,3.1
2014,1,19,4.95,16.42,45.56,0,99.17,2.12
2014,1,20,4.83,16.46,43.5,0,99.04,1.83
2014,1,21,4.95,16.2,37.62,0,98.89,2.2
2014,1,22,4.94,16.76,22.12,0,98.74,3.02
2014,1,23,4.7,17.24,21.44,0,98.75,3.47
2014,1,24,4.99,17.55,28.94,0,98.7,3.22
2014,1,25,5.19,18.03,29.25,0,98.42,1.14
2014,1,26,4.81,19.27,35,0,97.97,3.55
2014,1,27,4.53,15.98,35.69,0,98,4.52
2014,1,28,4.71,12.62,36.44,0,98.44,3.55
2014,1,29,5.09,14.01,31.81,0,98.76,2.84
2014,1,30,5.46,14.6,23.56,0,98.88,3.71
2014,1,31,4.91,15.34,27.69,0,98.73,2.79
2014,2,1,5.38,17.23,27.31,0,98.4,2.76
2014,2,2,4.98,18.65,24.12,0,97.98,3.67
2014,2,3,5.01,14.8,38.81,0,98.43,5.85
2014,2,4,5.43,14.14,45.62,0,98.8,4.68
2014,2,5,5.41,14.38,49.06,0,98.74,4.48
2014,2,6,5.48,13.93,46.19,0,98.75,5.39
2014,2,7,5.55,14.12,41.94,0,98.77,3.91
2014,2,8,5.62,13.99,37.75,0,98.84,4.17
2014,2,9,5.6,14.48,40.56,0,98.98,2.59
2014,2,10,5.73,15.44,30.88,0,98.87,3.27
2014,2,11,5.94,15.34,24.81,0,98.76,2.8
2014,2,12,5.84,17.22,28.31,0,98.53,2.7
2014,2,13,5.66,18.1,16.19,0,98.46,3.21
2014,2,14,5.61,14.84,34.75,0,98.71,6.57
2014,2,15,5.6,14.09,43.88,0,98.69,5.03
2014,2,16,5.38,14.1,47.75,0,98.74,5.77
