YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.47,15.37,60.25,0,98.98,3.59
2024,1,2,4.52,15.32,56.75,0,99.04,4.91
2024,1,3,4.61,15.7,57.38,0,98.94,3.18
2024,1,4,4.53,15.51,53.56,0,98.88,3.75
2024,1,5,4.55,15.01,48.94,0,98.99,4.68
2024,1,6,4.7,15.03,41.12,0,99.05,2.85
2024,1,7,4.68,16.58,35.69,0,98.9,2.2
2024,1,8,4.59,17.6,29.62,0,98.83,2.55
2024,1,9,3.86,16.84,25.88,0,98.7,4.1
2024,1,10,4.73,14.05,28.38,0,98.86,5.34
2024,1,11,4.62,12.66,51.62,0,98.94,5.15
2024,1,12,4.1,12.35,48.94,0,98.83,3.68
2024,1,13,4.68,13.9,39.12,0,98.57,3.07
2024,1,14,4.54,12.91,45.94,0,98.84,4.08
2024,1,15,4.92,12.66,52.44,0,99.22,4.05
2024,1,16,4.96,12.5,45.06,0,99.24,4.01
2024,1,17,4.92,12.94,40.94,0,99.08,4.91
2024,1,18,4.89,14.76,32.81,0,99.08,4.33
2024,1,19,4.9,15.19,33.62,0,99.02,3.61
2024,1,20,4.93,16.58,34.25,0,99,3.54
2024,1,21,4.71,17.76,29.81,0,98.8,2.63
2024,1,22,4.72,17.64,26.5,0,98.76,3.91
2024,1,23,4.04,15.47,52.88,0,99.07,5.02
2024,1,24,4.78,13.04,50.25,0,99.13,4.91
2024,1,25,4.86,11.55,46.5,0,99.02,5.68
2024,1,26,5.09,11.97,52.12,0,99.1,5.84
2024,1,27,4.94,12.94,55.62,0,99.21,4.96
2024,1,28,5.11,12.67,46.94,0,99.16,3.75
2024,1,29,5.08,12.86,44.12,0,99.09,4.36
2024,1,30,5.22,10.99,48.56,0,99.28,5.02
2024,1,31,5.32,9.65,41.69,0.04,99.32,4.7
2024,2,1,5.14,8.98,64.38,0.11,99.3,5.18
2024,2,2,5.23,9.72,60.69,0.13,99.32,4.27
2024,2,3,5.38,11.02,54.94,0.02,99.3,3.87
2024,2,4,5.47,11.73,41.06,0,99.34,4.54
2024,2,5,5.46,11.89,44.69,0,99.44,5.13
2024,2,6,5.4,13,50.94,0,99.52,4.48
2024,2,7,5.61,14.14,43.44,0,99.23,3.33
2024,2,8,5.63,16,36.06,0,98.85,2.74
2024,2,9,5.59,15.71,36.12,0,98.7,4.63
2024,2,10,5.72,14.83,38.88,0,98.85,4.91
2024,2,11,5.79,15.39,35.75,0,99,2.27
2024,2,12,5.04,16.78,35.31,0,98.67,2.83
2024,2,13,5.63,18.62,20.88,0,98.21,4.02
2024,2,14,5.6,16.14,37.44,0,98.26,3.78
2024,2,15,5.27,15.12,46.19,0,98.45,5.11
2024,2,16,5.14,13.3,53.81,0,98.94,4.41
2024,2,17,5.71,13.46,47.69,0,99.3,3.8
2024,2,18,6.03,14.19,42.31,0,99.2,4.18
2024,2,19,5.98,14.26,45,0,99.02,5.32
2024,2,20,5.06,14.33,48,0,98.95,3.42
2024,2,21,5.39,15.45,34.94,0,98.8,3.38
2024,2,22,4.65,17.08,37.69,0,98.73,3.55
2024,2,23,3.77,18.67,32.44,0.01,98.8,4.45
2024,2,24,5.35,18.58,36.19,0.02,98.9,4.56
2024,2,25,6.35,17.01,36.88,0,98.82,3.13
2024,2,26,6.45,18.05,24.81,0,98.46,3.45
2024,2,27,6.15,16.78,33.94,0,98.57,5.88
2024,2,28,6.18,16.94,39.81,0,98.68,3.2
2024,2,29,6.49,19.44,34.94,0,98.57,2.98
2024,3,1,6.46,20.91,36.88,0,98.37,3.02
2024,3,2,5.97,20.08,21.38,0,98.54,5.37
2024,3,3,6.15,17.66,26.44,0,98.62,5.62
2024,3,4,6.1,18.22,29.62,0,98.53,3.77
2024,3,5,6.08,18.9,23.5,0,98.53,3.26
2024,3,6,6.31,19.57,23,0,98.67,5.22
2024,3,7,6.25,17.91,32.75,0,98.81,5
2024,3,8,6.17,18.33,31.75,0,98.73,3.61
2024,3,9,6.04,21.83,23.06,0,98.45,1.95
2024,3,10,6.29,23.7,17.75,0,98.28,3.85
2024,3,11,6.5,20.62,26.12,0,98.76,2.87
2024,3,12,6.44,22.35,15,0,98.62,2.1
2024,3,13,6.41,21.84,10.94,0,98.46,4.59
2024,3,14,6.04,22.8,19,0,98.48,4.62
2024,3,15,6.41,21.67,25.06,0,98.6,3.88
2024,3,16,6.43,23.32,21.88,0,98.51,2.5
2024,3,17,5.67,25.18,27.38,0,97.98,5.39
2024,3,18,4.32,19.92,38.31,0,98.26,7.45
2024,3,19,6.75,16.69,35.62,0,98.75,5.52
2024,3,20,6.78,18.16,25.44,0,98.84,3.43
2024,3,21,6.61,21,24.06,0,98.57,4.36
2024,3,22,6.9,19.21,28.06,0,98.4,6.09
2024,3,23,6.98,17.26,23.69,0,98.19,4.25
2024,3,24,6.59,16.83,32.88,0,98.19,6.01
2024,3,25,6.86,16.88,36.56,0,98.78,4.15
2024,3,26,6.9,19.31,24.44,0,98.97,2.34
2024,3,27,6.98,22.54,16.44,0,98.7,2.09
2024,3,28,6.94,23.6,15.19,0,98.51,2.72
2024,3,29,6.77,23.53,22.62,0,98.29,5.91
2024,3,30,6.91,23.81,34.62,0,98.32,3.51
2024,3,31,6.85,25.24,31.94,0,98.42,4.16
2024,4,1,6.64,26.89,30.81,0,98.22,3.55
2024,4,2,6.73,27.93,28,0,98.1,2.48
2024,4,3,6.76,27.74,26.81,0,98.18,2.09
2024,4,4,6.83,28.58,21.19,0,98.31,2.02
2024,4,5,6.81,28.54,21.12,0,98.34,2.54
2024,4,6,6.88,25.23,16.69,0,98.37,6.98
2024,4,7,7.1,21.26,24.06,0,98.3,6.46
2024,4,8,7.01,21.68,24.56,0,98.16,4.26
2024,4,9,7.03,21.99,24.19,0,98.19,4.98
2024,4,10,6.76,21.34,26.94,0,98.49,4.23
2024,4,11,7.16,22.21,26.38,0,98.51,3.72
2024,4,12,6.33,23.73,24.25,0,98.4,5.46
2024,4,13,6.88,24.34,22.69,0,98.35,5.98
2024,4,14,7.21,24.81,28.62,0,98.29,6.63
2024,4,15,7.18,24.55,24.25,0,98.33,5.84
2024,4,16,7.22,26.05,24.38,0,98.3,2.53
2024,4,17,7.19,28.83,22,0,98.07,2.08
2024,4,18,7.17,28.37,18.5,0,98.17,4.04
2024,4,19,7.28,26.08,24.12,0,98.14,5.23
2024,4,20,7.38,25.66,20.06,0,98.06,4.65
2024,4,21,7.28,27.53,19.81,0,98.31,4.81
2024,4,22,7.43,27.08,15.31,0,98.48,3.49
2024,4,23,7.4,29.83,10.94,0,98.3,3.91
2024,4,24,7.39,31.29,9.62,0,97.92,2.85
2024,4,25,7.45,32.42,9.75,0,97.65,2.66
2024,4,26,7,30.98,19.88,0,97.68,6
2024,4,27,7.3,27.05,24.38,0,97.91,6.48
2024,4,28,7.49,26.14,23.62,0,98.05,5.95
2024,4,29,7.58,26.33,19,0,98.04,6.05
2024,4,30,7.55,26.31,19,0,98,6.29
2024,5,1,7.58,25.19,23.25,0,98.04,5.62
2024,5,2,7.33,27.27,25.81,0,98.05,5.93
2024,5,3,7.56,28.9,21.19,0,98.22,6.25
2024,5,4,7.51,27.34,17.06,0,98.23,5.23
2024,5,5,7.44,26.94,23.06,0,98.2,6.44
2024,5,6,7.6,24.14,22.81,0,98.39,5.84
2024,5,7,7.54,24.28,21.88,0,98.52,4.58
2024,5,8,7.77,24.64,14.06,0,98.36,3.28
2024,5,9,7.71,28.73,9.94,0,98.06,2.01
2024,5,10,7.22,31.6,10.62,0,97.91,1.75
2024,5,11,7.56,30.23,19.31,0,98.05,5.41
2024,5,12,7.55,27.95,23.62,0,98.24,6.12
2024,5,13,7.7,25.55,26.19,0,98.32,6.2
2024,5,14,7.7,24.49,22.88,0,98.27,6.2
2024,5,15,7.78,25.67,24,0,98.35,6.7
2024,5,16,7.72,27.48,23,0,98.48,5.97
2024,5,17,7.69,29.32,18,0,98.43,4.61
2024,5,18,7.69,31.63,16.94,0,98.22,4.27
2024,5,19,7.71,33.72,15.06,0,98.03,4.88
2024,5,20,7.65,33.94,15.5,0,98,4.36
2024,5,21,7.68,34.44,12,0,98.14,5.3
2024,5,22,7.63,34.33,14.44,0,98.1,4.65
2024,5,23,7.54,34.48,16.06,0,98.05,4.21
2024,5,24,7.68,32.71,16.31,0,98.08,5.96
2024,5,25,7.94,29.19,15,0,98.21,6.65
2024,5,26,7.63,30.46,15.12,0,98.17,4.28
2024,5,27,7.58,34.06,13,0,98.01,2.73
2024,5,28,7.54,32.66,20.44,0,98.04,5.38
2024,5,29,7.72,29.72,21.75,0,98.19,5.76
2024,5,30,7.65,29.03,22.19,0,98.28,5.91
2024,5,31,7.63,29.88,17.19,0,98.46,5.57
