YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,2.63,18.05,66.44,0,101.94,4.62
2024,1,2,3.43,18.51,65.5,0,101.98,5.48
2024,1,3,3.33,17.31,65.56,0,101.95,4.65
2024,1,4,3.41,17.78,61.75,0,101.82,5.51
2024,1,5,3.06,17.86,76.69,0,101.89,4.96
2024,1,6,3.31,18.21,66.75,0,101.8,4.35
2024,1,7,3.4,17.26,62.69,0,101.34,7.27
2024,1,8,3.07,16.4,62.5,0,101.52,6.41
2024,1,9,3.46,16.07,59.25,0,101.39,9
2024,1,10,3.12,16.58,73.5,0.02,101.63,9.16
2024,1,11,2.4,16.27,68.81,0.26,101.79,7.36
2024,1,12,3.14,16.6,66.81,0.13,101.37,8.32
2024,1,13,2.14,15.83,74.56,6.92,100.97,8.15
2024,1,14,2.26,15.73,69.94,1.62,101.59,5.71
2024,1,15,3.52,16.08,64,0.09,101.93,7.16
2024,1,16,3.38,16.21,60.31,0,101.8,9.07
2024,1,17,3.46,16.49,75.31,0,101.77,5.02
2024,1,18,3.67,17.8,72.31,0,101.89,2.66
2024,1,19,3.6,17.76,65.19,0,101.74,5.77
2024,1,20,2.85,17.46,60.69,0,101.57,6.43
2024,1,21,3.46,18.44,64.69,0.09,101.16,6.8
2024,1,22,2.88,17.6,71.44,1.46,101.57,9.76
2024,1,23,2.29,16.22,67.56,0.94,101.91,7.7
2024,1,24,2.74,15.7,68.94,5.65,101.87,6.12
2024,1,25,2.59,16.16,67,0.53,101.85,7.06
2024,1,26,2.98,16.94,71.38,3.51,101.72,8.59
2024,1,27,3.64,16.19,63.56,0.13,102,6.31
2024,1,28,3.22,16.1,59.69,1.38,101.94,4.31
2024,1,29,3.19,14.37,68.94,6.36,102.01,8.88
2024,1,30,3.12,13.91,65.44,2.73,102.03,9.2
2024,1,31,3.07,13.26,74.75,21.82,101.82,6.83
2024,2,1,2.38,15.18,70.56,4.9,101.96,7.98
2024,2,2,3.48,15.73,65.06,0.57,101.98,6.73
2024,2,3,2.52,15.26,67.56,1.6,102.03,5.02
2024,2,4,3.64,15.66,63.69,0.02,102.23,4.68
2024,2,5,3.86,15.65,76,0.02,102.31,6.67
2024,2,6,4.09,16.28,81.94,0,102.46,5.92
2024,2,7,4.42,16.25,71.25,0,102.18,3.43
2024,2,8,4.06,16.53,63.81,0,101.81,3.53
2024,2,9,4.47,16.32,68.69,0,101.63,5.28
2024,2,10,4.4,16.79,67.06,0.01,101.79,2.72
2024,2,11,3.43,17.23,69.94,0.01,101.75,5.62
2024,2,12,1.78,16.45,67.31,0,101.09,6.57
2024,2,13,3.92,16.48,74.06,0.14,100.84,7.69
2024,2,14,3.51,15.58,72.56,3.3,100.8,6.28
2024,2,15,1.96,15.07,75.44,6.42,100.96,6.39
2024,2,16,3.38,15.92,72.06,2.95,101.34,9.47
2024,2,17,4.32,15.93,72.69,0.36,101.99,5.75
2024,2,18,3.58,16.32,69.56,0.33,102.14,6.11
2024,2,19,4.68,15.98,67.44,0,102.03,5.88
2024,2,20,4.55,15.87,68.19,0,101.93,3.28
2024,2,21,4.83,15.86,65.25,0,101.96,1.84
2024,2,22,4.86,16,71.94,0,101.96,3.53
2024,2,23,3.24,16.19,74.19,0,101.87,3.52
2024,2,24,5,16.34,77.94,0,101.97,3.59
2024,2,25,5.17,16.87,72.69,0,101.7,4.86
2024,2,26,4.58,16.23,70.75,0,101.07,6.55
2024,2,27,4.81,16.5,75.12,0,101.48,4.82
2024,2,28,5.05,17.02,77.88,0,101.7,4.99
2024,2,29,5.22,17.58,78.19,0,101.46,7.73
2024,3,1,2.96,17.19,73.88,0,100.97,6.01
2024,3,2,4.65,16.34,76.5,0,101.4,7.8
