YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2.59,13.62,72.94,0,101.59,1.9
2014,1,2,3.5,13.63,65.94,0.01,101.67,1.82
2014,1,3,3.38,13.94,66.44,0.01,101.63,1.91
2014,1,4,2.77,13.97,78.56,0.24,101.49,2.62
2014,1,5,3.36,13.8,76.44,0.32,101.54,3.23
2014,1,6,3.55,13.67,73,0.04,101.74,3.02
2014,1,7,3.71,13.34,62.12,0,101.42,3.27
2014,1,8,3.34,13.17,56.94,0,101.11,3.25
2014,1,9,2.7,11.64,73.62,2.57,101.25,2.88
2014,1,10,3.5,12.25,75.44,0.21,101.61,3.17
2014,1,11,3.66,12.98,72.88,0,102.1,2.3
2014,1,12,3.47,14.4,70.19,0,102.11,1.93
2014,1,13,2.88,14.45,72.44,0,101.75,1.59
2014,1,14,3.48,14.87,74.62,0,101.32,2.46
2014,1,15,3.51,14.21,75.31,0,101.54,3.47
2014,1,16,3.11,14.51,54,0,101.28,2.64
2014,1,17,3.85,14.23,69.31,0,101.6,3.48
2014,1,18,4.14,14.24,74.38,0,102.01,3.35
2014,1,19,3.74,14.63,69,0,101.92,3.78
2014,1,20,3.56,14.95,50.19,0,101.68,1.66
2014,1,21,3.86,16.17,38.06,0,101.5,1.61
2014,1,22,3.65,16.74,38.19,0,101.39,2.26
2014,1,23,4.21,15.33,73.19,0,101.63,3.13
2014,1,24,4.32,14.79,68.88,0,101.58,2.88
2014,1,25,3.96,15.99,49.69,0,100.9,2.55
2014,1,26,3.52,16.06,38.25,0.07,100.29,4.32
2014,1,27,2.63,13.97,47.81,0,100.29,5.65
2014,1,28,4.39,12.95,50,0,100.78,5.12
2014,1,29,4.09,14.4,37.44,0,101.29,3.41
2014,1,30,4.42,15.3,54.19,0,101.7,2.91
2014,1,31,4.3,14.94,69.62,0,101.64,4.19
2014,2,1,3.91,15.33,69.62,0.01,101.28,4.39
2014,2,2,2.58,15.91,70.94,3.23,100.49,3.07
2014,2,3,3.7,14.86,77.56,6.1,100.81,1.95
2014,2,4,3.68,13.96,81.94,3.86,101.39,2.71
2014,2,5,4.19,13.2,69,0.24,101.53,3.15
2014,2,6,3.62,12.09,69.75,1.3,101.36,2.66
2014,2,7,4.57,12.37,68.19,0.02,101.48,3.18
2014,2,8,4.97,12.53,69.5,0,101.79,3.48
2014,2,9,5.04,12.76,70.81,0,101.82,3.08
2014,2,10,4.94,13.12,70.88,0,101.74,2.83
2014,2,11,5.05,13.57,71.31,0,101.67,3.62
2014,2,12,5.15,15.57,64.81,0.01,101.15,3.45
2014,2,13,4.56,15.29,57.12,0,100.93,2.75
2014,2,14,4.69,14.32,64,0.28,101.04,4.22
2014,2,15,2.65,12.3,72,4.62,100.76,6.92
2014,2,16,4.61,14.47,73,0.76,101.33,4.93
2014,2,17,4.97,14.13,73.19,0,101.98,2.26
2014,2,18,5.28,14.24,70.44,0,102.23,3.03
2014,2,19,5.54,14.8,71.5,0.03,102.05,4.11
2014,2,20,5.44,15.84,65.06,0,101.6,3.21
2014,2,21,4.9,18.37,43.06,0,101.07,3.36
2014,2,22,4.74,17.06,52.81,0,100.85,4.65
2014,2,23,4.13,16.48,72.5,0,101.13,2.83
2014,2,24,5.07,15.83,70.69,0,101.19,3.3
2014,2,25,5.36,14.77,67.25,0,101.45,4.26
