YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.48,15.86,77,0,101.71,2.11
2024,1,2,3.33,16.07,78.12,0,101.76,3.46
2024,1,3,3.74,15.37,77.19,0,101.73,2.31
2024,1,4,3.81,15.26,75.19,0,101.64,2.11
2024,1,5,3.77,15.01,71.81,0,101.73,2.29
2024,1,6,3.68,16.57,77.5,0.01,101.69,1.97
2024,1,7,3.8,15.32,65.06,0.02,101.34,3.8
2024,1,8,3.57,13.73,49.44,0,101.4,3.34
2024,1,9,3.89,11.68,50.56,0,101.33,3.93
2024,1,10,3.65,13.04,58.06,0.03,101.42,4.58
2024,1,11,2.81,14.11,71.5,0.37,101.52,3.7
2024,1,12,3.8,13.8,62.38,0.06,101.31,4.25
2024,1,13,3.83,13.34,57,0.27,100.88,5.55
2024,1,14,2.77,13.73,71.56,0.43,101.36,3.15
2024,1,15,4.16,12.81,68,0.02,101.87,2.91
2024,1,16,3.99,12.15,55.31,0,101.87,3.09
2024,1,17,3.84,14.12,47.75,0,101.71,2.79
2024,1,18,3.87,15.06,55.5,0,101.76,1.33
2024,1,19,4.09,16.07,50,0,101.7,1.51
2024,1,20,3.82,16.61,49.88,0,101.61,2.7
2024,1,21,3.84,17.6,34.12,0,101.18,4.23
2024,1,22,3.62,15.77,57.44,0.06,101.19,5.09
2024,1,23,2.87,16.19,64.19,0.18,101.61,4.7
2024,1,24,3.22,14.37,65,0.24,101.66,3.73
2024,1,25,2.7,13.98,71.81,0.52,101.56,3.48
2024,1,26,3.17,14.3,70.81,1.1,101.46,5.33
2024,1,27,3.61,14.05,65.25,0.66,101.7,4.3
2024,1,28,3.28,12.94,68.56,0.91,101.74,2.58
2024,1,29,2.79,11.86,75.88,1.31,101.64,4.05
2024,1,30,3.62,10.61,66.19,0.21,101.79,5.43
2024,1,31,3.64,9.73,69.75,11.33,101.79,4.27
2024,2,1,3.99,10.62,73.5,0.46,101.67,4.16
2024,2,2,3.79,12.4,77.5,8.77,101.74,3.37
2024,2,3,4.83,11.23,62.75,0,101.9,3.65
2024,2,4,3.51,11.34,72.56,0.26,102.03,2.77
2024,2,5,2.74,12.06,79.12,0.06,102.1,3.38
2024,2,6,4.76,13.73,74.88,0.03,102.24,2.79
2024,2,7,4.65,14.8,74.38,0.14,102.05,1.49
2024,2,8,4.45,13.94,69.69,0.03,101.63,2.33
2024,2,9,4.9,14.61,69.44,0.01,101.43,2.23
2024,2,10,4.86,14.58,73.31,0.01,101.59,2.11
2024,2,11,5.04,15.27,68.56,0.02,101.68,3.16
2024,2,12,3.32,15.4,51.75,0,101.11,3.95
2024,2,13,3.99,16.13,50.81,0.04,100.5,5.03
2024,2,14,3.83,14.17,68.56,0.08,100.67,3.76
2024,2,15,3.61,13.11,70.5,0.83,100.78,4.03
2024,2,16,4.48,14.01,66.69,0.19,101.19,5.67
2024,2,17,4.27,13.91,69.19,0.35,101.76,4.54
2024,2,18,3.8,14.08,73.5,0.07,101.89,2.9
2024,2,19,4.44,14.5,67,0.01,101.72,4.03
2024,2,20,4.99,14.62,63.38,0,101.7,2.71
2024,2,21,5.05,14.86,65.38,0,101.7,2.99
2024,2,22,5.46,14.88,67.81,0,101.66,3.48
