YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.96,14.65,71.88,0,100.71,3.58
2024,1,2,4.07,14.76,69.06,0,100.81,3.64
2024,1,3,4.04,14.68,68,0,100.7,3.93
2024,1,4,4.08,13.76,65.19,0,100.65,3.77
2024,1,5,4.19,12.96,44.81,0,100.76,3.23
2024,1,6,4.11,14.03,55.81,0,100.69,2.26
2024,1,7,4.25,15.45,42.44,0,100.48,2.15
2024,1,8,4.17,13.96,34,0,100.5,2.45
2024,1,9,4.22,11.65,34.19,0,100.46,2.9
2024,1,10,4.11,11.44,45.88,0,100.59,3.61
2024,1,11,4.25,11.72,64.25,0.03,100.66,3.51
2024,1,12,4.23,11.73,56.38,0,100.48,2.59
2024,1,13,4.35,12.66,46.62,0,100.11,3.88
2024,1,14,3.62,12.45,67.94,0.07,100.46,3.09
2024,1,15,4.28,12.48,61.75,0,100.94,2.62
2024,1,16,4.33,11.81,50.62,0,100.94,2.53
2024,1,17,4.4,12.38,41.62,0,100.79,2.84
2024,1,18,4.43,13.57,40.75,0,100.79,2.2
2024,1,19,4.46,14.75,43.31,0,100.72,2.09
2024,1,20,4.34,15.68,45.19,0,100.69,2.22
2024,1,21,3.89,16.59,28.81,0,100.4,2.45
2024,1,22,4.2,14.89,43.25,0,100.39,3.8
2024,1,23,3.77,13.51,61.69,0.01,100.8,3.99
2024,1,24,4.43,11.23,55.56,0,100.82,3.88
2024,1,25,3.32,11.26,54.94,0,100.7,3.69
2024,1,26,4.5,12.44,62.75,0.02,100.72,4.55
2024,1,27,4.36,13.97,57.69,0.06,100.83,3.8
2024,1,28,3.98,11.87,55.81,0,100.81,2.45
2024,1,29,4.64,11.66,57.81,0,100.77,3.63
2024,1,30,4.72,9.62,56,0,101,4.05
2024,1,31,3.98,9.14,57.44,1.79,100.96,3.66
2024,2,1,4.63,8.94,68.06,0.73,100.9,4.09
2024,2,2,4.6,10.53,65.69,0.42,100.95,3.56
2024,2,3,5.05,10.12,54.44,0.03,101.01,2.68
2024,2,4,5.02,10.58,50.94,0,101.07,2.82
2024,2,5,5.05,11.65,62.25,0,101.17,3.26
2024,2,6,5.15,12.26,66.5,0,101.29,3.2
2024,2,7,5.12,13.4,63,0,101.01,3.08
2024,2,8,5.14,13.88,51.06,0,100.59,2.85
2024,2,9,5.21,13.54,48.75,0,100.45,3.41
2024,2,10,5.24,13.1,48.25,0,100.59,3.16
2024,2,11,5.34,15.33,49.31,0,100.62,2.02
2024,2,12,3.88,15.37,33.44,0,100.17,3.55
2024,2,13,4.38,15.25,31.44,0,99.7,4.94
2024,2,14,3.65,14.65,40.88,0.04,99.81,3.04
2024,2,15,3.8,13.36,57.69,0.3,100.01,4.79
2024,2,16,4.99,12.59,65.5,0.08,100.48,4.23
2024,2,17,5.29,12.76,56.38,0,100.92,3.27
2024,2,18,5.47,13.58,53.44,0,100.93,2.98
2024,2,19,5.52,13.3,62.88,0.02,100.79,3.65
2024,2,20,5.6,12.59,57.69,0,100.72,3.27
2024,2,21,5.63,13.66,58.88,0,100.58,4.1
2024,2,22,5.07,14.73,54.19,0,100.52,4.41
2024,2,23,2.52,14.06,62.94,0.05,100.49,2.89
2024,2,24,5.75,15.69,59.12,0,100.58,3.65
2024,2,25,5.94,15.96,46.38,0,100.51,2.52
2024,2,26,5.93,17.7,32.94,0,100.02,3.67
2024,2,27,5.21,14.97,44.69,0,100.29,3.59
2024,2,28,5.87,16.02,56.31,0,100.39,3.12
2024,2,29,6.14,19.08,39.44,0,100.18,2.71
2024,3,1,5.82,20.25,26.94,0,99.88,4.51
2024,3,2,5.54,17.06,28.19,0,100.27,4.32
2024,3,3,5.57,16.27,47.12,0.01,100.36,4.08
2024,3,4,5.64,16.23,48.31,0,100.28,3.31
2024,3,5,5.74,18.29,32.94,0,100.17,2.34
2024,3,6,5.77,16.83,40.25,0,100.36,4.26
2024,3,7,5.77,16.28,48.94,0,100.51,3.45
2024,3,8,5.82,16.7,45.12,0,100.38,3.03
2024,3,9,5.58,18.1,36.88,0,100.13,3.1
2024,3,10,5.91,17.32,43.12,0,100.15,5.57
2024,3,11,6.02,16.91,39.06,0,100.51,4.15
2024,3,12,6.18,18.16,22.5,0,100.27,2.34
2024,3,13,6.2,18.31,31.94,0,100.13,3.38
2024,3,14,5.75,18.93,41.69,0,100.22,3.96
2024,3,15,6.08,17.87,36.31,0,100.33,3.38
