YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,4.55,9.07,62.69,0,94.63,2.55
2014,1,2,4.58,8.62,62.69,0,94.69,3.03
2014,1,3,4.71,8.43,69,0,94.74,3.76
2014,1,4,4.6,8.79,75.19,0,94.75,4.84
2014,1,5,4.76,9.02,73.38,0.36,94.77,4.95
2014,1,6,4.34,8.35,73.69,0.01,94.68,2.86
2014,1,7,4.45,9.66,60.69,0,94.4,2.1
2014,1,8,4.8,8.84,51.94,0,94.35,4.73
2014,1,9,4.44,7.76,79.5,0,94.56,6.45
2014,1,10,4.84,8.53,71.94,0.23,94.87,5.3
2014,1,11,4.77,8.09,68.94,0,95.11,3.74
2014,1,12,4.69,8.64,58.5,0,95.06,2.85
2014,1,13,4.61,9.46,45.38,0,94.68,2.41
2014,1,14,4.9,11.77,25.44,0,94.33,2.79
2014,1,15,4.94,11.45,26.62,0,94.37,3.14
2014,1,16,4.92,13.25,21.19,0,94.33,5.13
2014,1,17,5.02,10.67,36.19,0,94.71,5.52
2014,1,18,5.04,9.92,54.5,0,94.85,3.73
2014,1,19,5.26,10.9,45.56,0,94.78,2.68
2014,1,20,5.19,12.55,27,0,94.64,2.57
2014,1,21,4.82,13.76,23.62,0,94.52,2.4
2014,1,22,4.87,13.85,21.62,0,94.47,1.97
2014,1,23,5.01,13.93,20.56,0,94.54,3.02
2014,1,24,4.94,14.16,40.75,0,94.46,3.4
2014,1,25,5.19,16.7,21.12,0.02,94.01,4.23
2014,1,26,4.74,16.62,30.06,0.2,93.68,5.42
2014,1,27,5.02,10.5,34.94,0,93.83,5.87
2014,1,28,4.95,10.33,31.62,0,94.05,3.38
2014,1,29,5.3,12.96,23,0,94.35,2.33
2014,1,30,5.55,13.44,20.62,0,94.53,3.08
2014,1,31,5.48,13.29,21.56,0,94.39,3.49
2014,2,1,5.55,14.09,21.94,0,94.1,3.11
2014,2,2,5.22,12.88,30.94,0,93.86,6.57
2014,2,3,5.43,9.92,36.19,0,94.31,4.27
2014,2,4,5.68,9.84,42.12,0,94.61,3.73
2014,2,5,5.68,9.08,54.25,0,94.61,4.21
2014,2,6,5.8,10.37,46.31,0,94.59,3.76
2014,2,7,5.75,11.85,41.25,0,94.56,4.34
2014,2,8,5.79,10.41,53.44,0,94.65,3.59
2014,2,9,5.9,10.7,46.81,0,94.7,3.07
2014,2,10,5.92,10.06,38.75,0,94.65,3.57
2014,2,11,6,11.45,28.94,0,94.52,2.49
2014,2,12,6.02,13.03,18.69,0,94.28,2.48
2014,2,13,6.01,10.62,46.5,0,94.38,5.58
2014,2,14,6.09,9.76,44,0,94.63,6.22
2014,2,15,6.13,11.12,41.81,0,94.53,6.09
2014,2,16,6.08,10.66,58.12,0,94.59,4.43
2014,2,17,6.11,10.51,53.62,0,94.86,3.73
