YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.57,13.18,62.12,0,98.2,3.59
2024,1,2,4.48,12.4,53.94,0,98.31,3.86
2024,1,3,4.69,12.94,61.12,0,98.14,3.24
2024,1,4,4.31,12.32,54.69,0,98.16,4.59
2024,1,5,4.73,11.21,44.31,0,98.27,4.16
2024,1,6,4.71,12.8,40.25,0,98.18,1.97
2024,1,7,4.67,16.87,23.38,0,97.97,1.3
2024,1,8,4.98,13.33,31.81,0,97.98,3.47
2024,1,9,4.41,12.48,26.5,0,97.93,3.79
2024,1,10,4.92,11.12,36.94,0,98.15,5.13
2024,1,11,4.59,10.63,64.56,0,98.19,4.48
2024,1,12,4.3,11.1,51.81,0,98,2.48
2024,1,13,5.02,13.9,35.44,0,97.69,4.02
2024,1,14,4.62,11.44,57.12,0,98.06,4.8
2024,1,15,4.93,10.55,66.81,0,98.43,3.74
2024,1,16,4.91,10.74,50.62,0,98.4,2.74
2024,1,17,5.06,10.98,38.56,0,98.3,3.66
2024,1,18,5.08,12.01,37.75,0,98.3,3.62
2024,1,19,4.7,12.55,48.25,0,98.22,3.35
2024,1,20,5.03,14.44,43.38,0,98.2,3.04
2024,1,21,5.09,17.4,27.44,0,97.93,1.73
2024,1,22,4.61,14.66,43.19,0,98.02,5.2
2024,1,23,4.63,13.3,61.31,0,98.33,5.16
2024,1,24,5,10.58,54.5,0,98.38,4.93
2024,1,25,4.77,10.25,62.75,0,98.34,5.2
2024,1,26,5.07,10.81,60.19,0,98.39,5.48
2024,1,27,4.91,12.23,63.5,0,98.43,4.84
2024,1,28,5.16,11.58,59,0,98.33,3.33
2024,1,29,5.25,11.44,53.62,0,98.31,4.65
2024,1,30,5.35,9.38,53.19,0,98.49,4.26
2024,1,31,5.27,9.14,52.38,0.01,98.53,5.01
2024,2,1,5.36,8.48,59.88,0.03,98.55,5.96
2024,2,2,5.52,8.77,58.06,0.01,98.5,4.12
2024,2,3,5.48,8.51,45.56,0,98.47,3.06
2024,2,4,5.65,9.34,47.5,0,98.56,4.14
2024,2,5,5.45,11.03,58.44,0,98.67,4.57
2024,2,6,5.74,11.28,59.06,0,98.75,4.12
2024,2,7,5.8,12.33,53.81,0,98.42,3.65
2024,2,8,5.48,13.39,47.5,0,98.06,3.42
2024,2,9,5.67,13.08,44.44,0,97.97,4.04
2024,2,10,5.59,12.37,33.31,0,98.08,3.57
2024,2,11,6.06,14.92,28.56,0,98.03,1.88
2024,2,12,5.6,15.94,18.44,0,97.63,3.67
2024,2,13,5.65,15.88,26.69,0,97.39,5.66
2024,2,14,5.44,14.74,43,0,97.42,4.57
2024,2,15,4.81,12.4,56.94,0,97.73,6.1
2024,2,16,5.65,12.22,54,0,98.12,5.16
2024,2,17,6.1,11.85,50.62,0,98.42,3.16
