YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,3.39,10.44,75.69,0,98.46,1.83
2014,1,2,3.61,10.38,75.44,0,98.54,2.2
2014,1,3,3.49,10.57,81.5,0,98.45,2.2
2014,1,4,3.44,11.66,84.69,0,98.28,2.5
2014,1,5,3.43,11.53,76.62,0,98.31,3.16
2014,1,6,3.93,9.17,76.19,0,98.61,2.84
2014,1,7,3.74,9.82,55.44,0,98.38,3.48
2014,1,8,3.91,11.57,38.44,0,98.05,3.3
2014,1,9,2.9,11.36,64.62,3.94,98.01,3.19
2014,1,10,2.9,10.61,82.94,1.11,98.37,3.85
2014,1,11,3.55,12.03,74.31,0.08,98.88,3.55
2014,1,12,3.71,11.93,67.56,0,98.99,1.23
2014,1,13,3.81,12.15,71.06,0,98.62,2.22
2014,1,14,3.1,13.16,75.25,0.05,98.17,2.38
2014,1,15,3.94,11.79,77.19,0.08,98.45,2.24
2014,1,16,4.26,13.3,46.94,0,98.21,3.68
2014,1,17,4.03,11.84,66.12,0,98.4,3.7
2014,1,18,4.17,12.08,80.56,0,98.86,3.54
2014,1,19,3.84,11.32,67.06,0,98.86,3.11
2014,1,20,4.22,12.08,48.5,0,98.6,2.16
2014,1,21,4.14,13.44,41.62,0,98.41,2.29
2014,1,22,3.74,14.52,40.31,0,98.25,2.56
2014,1,23,4.04,12.4,81.38,0,98.46,2.54
2014,1,24,4.46,11.71,77.94,0,98.48,2.24
2014,1,25,4.37,13.87,48.25,0,97.91,3.82
2014,1,26,1.99,16.19,35.81,0.01,97.27,5.27
2014,1,27,3.17,13.13,55.12,0,97.21,3.05
2014,1,28,4.06,11.52,53.94,0,97.69,5.29
2014,1,29,4.64,12.31,48.31,0,98.22,2.95
2014,1,30,4.67,12.74,58.44,0,98.57,3.06
2014,1,31,4.46,12.26,69.12,0.01,98.49,3.27
2014,2,1,4.38,12.95,78.06,0,98.15,2.88
2014,2,2,2.43,13.53,65.56,5.41,97.43,2.87
2014,2,3,4.03,12.29,74.56,2.38,97.6,4.72
2014,2,4,3.46,11.73,79.69,2.67,98.24,2.75
2014,2,5,4.89,9.15,62.19,0,98.4,3.29
2014,2,6,3.66,8.41,72.69,0,98.21,2.52
2014,2,7,4.64,9.4,68.56,0,98.35,2.77
2014,2,8,4.82,9.73,76.69,0,98.59,3.62
2014,2,9,5.19,10.45,64.75,0,98.65,2.99
2014,2,10,5.16,11.12,74.31,0,98.58,2.44
2014,2,11,5.11,10.56,77.56,0,98.56,2.98
2014,2,12,5.32,13.65,55.88,0,98.11,3.65
2014,2,13,5.21,16.29,33.88,0,97.85,3.8
2014,2,14,4.39,13.33,46.19,0,97.84,4.39
2014,2,15,2.56,11.1,65.31,4.83,97.67,5.84
2014,2,16,4.11,12.06,81.94,4.51,97.98,5.66
2014,2,17,4.77,12.3,77.12,0.16,98.82,2.69
2014,2,18,5.37,12.04,77.69,0.05,99.09,2.78
2014,2,19,5.45,12.62,71,0.02,98.94,2.97
2014,2,20,5.65,14.19,52.88,0,98.56,3.38
2014,2,21,4.43,16.9,34.19,0,98.11,3.74
2014,2,22,5.13,17.55,44.81,0,97.73,4.89
2014,2,23,5.02,13.86,78,0,98.01,2.31
2014,2,24,4.9,14.01,78.81,0,97.98,2.78
2014,2,25,5.28,13.02,70.44,0,98.27,3.67
2014,2,26,5.75,12.37,72.75,0,98.53,2.56
2014,2,27,5.07,11.83,75,0,98.55,3.55
2014,2,28,5.89,11.49,71.5,0,98.43,2.73
2014,3,1,5.18,13.69,51.81,0,97.87,3.54
2014,3,2,3.9,19.4,35.38,0,97.52,6.03
2014,3,3,4.62,17.48,55.56,0.29,97.49,2.3
2014,3,4,5.28,16.48,45.38,0,97.65,4.07
2014,3,5,5.94,17.32,37.06,0,97.85,3.3
2014,3,6,5.53,17.33,51.94,0,98.12,3.73
2014,3,7,5.89,19.69,44,0,97.82,4.22
2014,3,8,5.11,21.26,41.69,0.14,97.58,5.88
2014,3,9,2.4,16.39,77.38,6.79,97.67,3.97
2014,3,10,6.21,13.93,63.31,0.11,97.86,3.03
2014,3,11,5.45,14.33,58.56,0.08,97.97,3.95
2014,3,12,5.01,12.09,65.25,1.26,98.08,5.52
2014,3,13,4.08,11.26,75.56,5.3,97.97,5.69
2014,3,14,5.07,10.68,65.19,2.59,98.21,6.45
2014,3,15,6.73,11.59,60.19,0,98.54,1.87
2014,3,16,5.71,14.69,44,0,98.17,4.26
2014,3,17,4.44,18.48,37.88,0,97.86,5.67
2014,3,18,4.83,14.43,78.19,0,98.12,2.73
2014,3,19,6.27,15.05,78.12,0.01,98.31,3.52
2014,3,20,6.54,15.81,76.31,0,98.32,3.81
2014,3,21,6.97,14.75,71.19,0,98.26,3.45
2014,3,22,6.86,15.23,71.31,0,98.09,2.87
2014,3,23,4.25,15.51,78.38,0.01,97.83,2.83
2014,3,24,6.29,16.23,71.62,0.01,97.83,4.37
2014,3,25,6.56,14.84,69.31,0,97.86,3.85
2014,3,26,7.15,15.32,57.44,0,98.29,2.55
2014,3,27,7.28,15.28,66.56,0,98.39,3.26
2014,3,28,7.32,17.63,57.69,0.01,97.99,3.28
2014,3,29,7.05,19.58,51.06,0,97.48,4.41
2014,3,30,7.2,15.25,68.94,0,97.57,4.8
2014,3,31,7.42,13.22,50.38,0,97.65,3.72
2014,4,1,7.15,14.91,59.06,0,97.32,3.64
2014,4,2,6.92,14.62,69.88,0,97.77,4.5
2014,4,3,7.13,15.48,65.56,0,98.15,3.04
2014,4,4,7.3,15.87,62.94,0,98.44,2.21
2014,4,5,7.45,17.77,55.31,0,98.2,2.56
2014,4,6,7.58,21.65,35,0,97.8,2.13
2014,4,7,6.7,19.08,41,0,97.95,4.59
2014,4,8,7.51,19.51,52.12,0,98.05,2.48
2014,4,9,6.59,18.05,67,0,98,3.8
2014,4,10,7.36,16.5,60.5,0,98.21,2.93
2014,4,11,7.6,16.41,60.44,0,98.23,3.66
2014,4,12,5.38,16.94,64.94,0,98.19,3.27
2014,4,13,6.63,16.86,66.44,0.02,98.15,3.03
2014,4,14,7.64,18.14,53.81,0,97.93,2.73
2014,4,15,4.63,21.82,31.06,0.01,97.68,6.22
2014,4,16,7.12,21.7,46.81,0,97.65,3.89
2014,4,17,7.51,19.93,62.5,0,97.65,3.48
2014,4,18,7.72,23.16,41.69,0,97.82,3.11
2014,4,19,5.58,23.63,33.88,0,97.9,3.45
2014,4,20,7.2,19.84,66.25,0,97.92,4.75
2014,4,21,7.9,18.16,59.88,0,98.06,4.8
2014,4,22,6.86,18.76,61.44,0,98.24,3.12
2014,4,23,7,20.91,54.06,0,98.13,3.69
2014,4,24,7.15,24.32,38.31,0,97.52,2.45
2014,4,25,7.6,25.7,36,0,97.4,5.27
2014,4,26,7.82,19.77,65.19,0,97.76,4.01
2014,4,27,8.31,19.26,58.56,0,97.72,2.94
2014,4,28,8.09,23.27,39.81,0,97.8,4.55
2014,4,29,8.24,21.72,57.56,0,97.92,3.07
2014,4,30,8.14,22.33,44.88,0,97.87,2.96
2014,5,1,8.1,23.8,37,0,97.75,4.55
2014,5,2,8.2,20.84,58.44,0,98,3.23
2014,5,3,7.65,25.81,25.88,0,97.96,3.52
2014,5,4,7.57,30.15,13.94,0,97.76,3.73
2014,5,5,6.14,27.74,31.5,0,97.62,3.56
2014,5,6,4.91,25.53,50,1.84,97.73,4.63
2014,5,7,6.19,20.34,74.56,2.85,97.61,5.59
2014,5,8,5.07,19.05,66.19,8.78,97.46,4.02
2014,5,9,7.84,20.34,53.12,0.02,97.86,3.71
2014,5,10,8.14,21.16,55.06,0,97.86,2.91
2014,5,11,7.59,19.34,66.31,0.01,97.94,3.85
2014,5,12,7.2,18.79,66.19,0.01,98.14,3.62
2014,5,13,8.16,19.54,61.5,0,98.36,3.34
2014,5,14,8.43,20.12,54.75,0,98.19,2.48
2014,5,15,7.4,22.33,39.5,0,97.83,2.45
2014,5,16,7.5,23.94,41.31,0,97.82,3.62
2014,5,17,8.08,20.99,64.56,0,98.18,4.66
2014,5,18,8.49,18.76,59.06,0,98.35,4.2
2014,5,19,7.63,19.76,58.81,0,98.25,3.48
2014,5,20,6.19,22.44,50.81,0,98.03,2.33
2014,5,21,7.25,25.97,41.38,0,97.47,5.15
2014,5,22,8.19,22.77,61.75,0,97.62,3.38
2014,5,23,8.19,22.89,57.69,0,97.62,3.02
2014,5,24,8.38,22.33,58.38,0,97.91,3.36
2014,5,25,8.5,22.26,58,0,98.04,3.06
2014,5,26,8.33,22.4,56.25,0,98.04,2.88
2014,5,27,7.93,28.01,32.81,0,97.7,2.38
2014,5,28,7.69,25.47,52.25,0,97.58,5.52
2014,5,29,8.13,24.72,49.62,0,97.89,2.8
2014,5,30,8.13,29.71,23.81,0,97.64,3.15
2014,5,31,7.46,25.92,49.38,0,97.64,5.91
2014,6,1,8.53,21.83,56.25,0,97.86,4.57
2014,6,2,8.4,21.89,52.62,0,98.01,3.52
2014,6,3,7.51,25.49,38.81,0,97.99,3.57
2014,6,4,6.69,30.76,22.69,0,97.58,4.52
2014,6,5,6.42,24.5,55.75,0.01,97.72,5.13
2014,6,6,8.04,22.55,58.31,0.01,97.68,4.09
2014,6,7,8.42,23.01,56.25,0,97.63,3.39
2014,6,8,8.35,23.69,56.69,0,97.56,2.95
2014,6,9,8.35,23.39,59.69,0,97.57,3.19
2014,6,10,8.48,23.9,57.94,0,97.78,3.4
2014,6,11,8.48,24.43,50.75,0,97.89,3.73
2014,6,12,8.25,24.79,45.94,0,97.64,4.49
2014,6,13,8.21,24.05,57.19,0,97.49,2.56
2014,6,14,8.42,25.36,52.25,0,97.55,2.53
2014,6,15,8.48,26.01,44.81,0,97.84,2.95
2014,6,16,8.34,27.05,33.69,0,97.84,4
2014,6,17,8.4,26.04,48.62,0,97.84,4.87
2014,6,18,8.51,25.35,54.44,0,97.91,3.3
2014,6,19,8.12,27.04,44.94,0,97.66,4.01
2014,6,20,8.32,29.15,36.5,0,97.52,4.35
2014,6,21,8.32,23.83,57.88,0,97.79,4.77
2014,6,22,8.48,23.48,60.12,0,97.97,4.34
2014,6,23,8.62,24.01,59.19,0,97.89,4.1
2014,6,24,8.52,24.31,58.62,0,97.65,3.9
2014,6,25,8.46,24.82,52.5,0,97.55,3.72
2014,6,26,8.38,25.92,50.25,0,97.64,2.91
2014,6,27,8.58,28.39,50.69,0,97.75,2.97
2014,6,28,8.41,30.37,38.25,0,97.69,3.06
2014,6,29,8.48,29.68,37.19,0,97.55,3.74
2014,6,30,8.47,27.57,57.5,0,97.53,3.02
2014,7,1,8.44,25.76,59.56,0,97.8,3.43
2014,7,2,8.32,26.63,57.19,0,97.88,4.09
2014,7,3,8.39,26.51,55.62,0,97.55,3.89
2014,7,4,8.2,27.26,56.75,0,97.03,3.72
2014,7,5,8.42,26.29,53.75,0,97.14,4.23
2014,7,6,8.35,26.91,54,0,97.48,3.09
2014,7,7,7.9,26.39,57.25,0,97.66,3.46
2014,7,8,8.37,26.38,56.5,0,97.51,3.5
2014,7,9,8.45,26.76,50.94,0,97.45,2.82
2014,7,10,8.42,29.17,44,0,97.46,2.52
2014,7,11,8.41,27.57,48.88,0,97.55,2.91
2014,7,12,7.89,29.67,37.44,0,97.71,3.55
2014,7,13,8.29,26.65,60.25,0,97.84,4.54
2014,7,14,8.16,25.14,58.31,0,97.6,4.4
2014,7,15,8.01,25.41,57.69,0,97.47,4.27
2014,7,16,8.26,24.59,59.25,0,97.61,3.97
2014,7,17,8.23,24.28,63,0,97.69,3.78
2014,7,18,8.12,24.58,65.38,0,97.59,4.22
2014,7,19,8.04,25.31,60.38,0,97.54,4.3
2014,7,20,7.92,25.37,60.31,0,97.47,4.77
2014,7,21,7.96,26.65,54.75,0,97.41,3.73
2014,7,22,7.88,27.52,55.5,0,97.45,2.65
2014,7,23,7.95,27.12,55.5,0,97.53,3.27
2014,7,24,8.28,26.94,53.06,0,97.49,3.22
2014,7,25,8.34,25.66,60,0,97.38,3.3
2014,7,26,8.1,26.76,54.94,0,97.45,3.08
2014,7,27,8.09,27.19,54.69,0,97.76,3.02
2014,7,28,7.85,26.7,59.31,0,97.79,3.09
2014,7,29,7.86,27.31,57.19,0,97.54,3.16
2014,7,30,8.2,27.52,54.31,0,97.4,3.45
2014,7,31,8.17,26.27,59.56,0,97.38,2.93
2014,8,1,8.28,26.69,55.12,0,97.34,2.45
2014,8,2,8.1,26.67,59.81,0,97.4,3.52
2014,8,3,8.1,26.42,59.81,0,97.37,3.68
2014,8,4,7.82,26.98,58.06,0,97.25,3.9
2014,8,5,7.88,27.61,54.81,0,97.14,4.7
2014,8,6,7.75,28.2,46,0,97.26,4.02
2014,8,7,7.7,28.55,48.88,0,97.4,3.3
2014,8,8,7.97,27.11,56.88,0,97.63,3.72
2014,8,9,7.87,25.11,64.12,0,97.65,3.91
2014,8,10,7.76,25.91,64.5,0,97.53,3.28
2014,8,11,7.76,26.65,57.31,0,97.51,2.36
2014,8,12,7.9,27.15,53.06,0,97.46,2.59
2014,8,13,7.7,27.81,59.31,0,97.4,3.39
2014,8,14,7.4,28.35,58.12,0,97.49,4.05
2014,8,15,7.65,28.31,57,0,97.64,3.91
2014,8,16,7.7,27.34,55.56,0,97.41,4.1
2014,8,17,7.26,27.37,60.44,0,97.09,3.24
2014,8,18,7.25,27.81,58.62,0,97.22,4.2
2014,8,19,7.39,27.62,59.12,0,97.64,3.48
2014,8,20,7.55,27.44,54.88,0,97.88,3.53
2014,8,21,7.57,26.03,61.56,0,97.82,4.18
2014,8,22,7.43,26.37,65.75,0,97.62,3.81
2014,8,23,7.48,27.33,58.69,0,97.43,3.45
2014,8,24,7.54,28.29,56.62,0,97.33,3.42
2014,8,25,7.58,28.21,55.19,0,97.47,2.74
2014,8,26,7.6,27.53,54.12,0,97.56,3.46
2014,8,27,7.58,27.48,54.88,0,97.44,2.2
2014,8,28,7.45,26.95,60.88,0,97.39,3.05
2014,8,29,7.16,26.9,59.69,0,97.5,2.95
2014,8,30,7.1,26.37,63.75,0,97.55,3.16
2014,8,31,6.76,26.31,64.81,0,97.52,3.73
2014,9,1,6.93,25.88,63.12,0,97.48,4.29
