YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.65,13.96,78.19,0.06,98.54,1.82
2024,1,2,3.1,13.37,82.94,0.23,98.58,3.34
2024,1,3,3.75,13.93,81.69,0.19,98.59,1.77
2024,1,4,3.76,13.47,79.69,0.04,98.5,2
2024,1,5,3.89,12.87,74.62,0.04,98.62,1.77
2024,1,6,4.03,13.51,73.44,0.03,98.6,2.98
2024,1,7,4.01,15.69,44.56,0,98.28,3.86
2024,1,8,3.88,15.15,42.19,0,98.29,2.95
2024,1,9,3.94,12.96,38.12,0,98.14,3.38
2024,1,10,3.79,11.4,41.38,0.01,98.24,3.87
2024,1,11,3.7,11.31,76.5,0.46,98.31,4.37
2024,1,12,3.89,11.15,67.44,0.15,98.15,4.13
2024,1,13,3.79,12.19,51.25,0,97.78,5.62
2024,1,14,3.29,10.95,68.81,0.26,98.17,3.52
2024,1,15,4.09,10.86,69.75,0.06,98.74,2.16
2024,1,16,4.14,11.09,57.31,0,98.73,2.28
2024,1,17,3.1,11.72,48,0,98.61,1.44
2024,1,18,4.06,12.17,50.56,0,98.65,2.3
2024,1,19,4.24,12.4,69.75,0,98.61,2.45
2024,1,20,4.23,14.72,56,0,98.54,2.1
2024,1,21,3.75,16.25,30.19,0,98.16,3.86
2024,1,22,4.18,15.69,41.56,0.07,98.03,5.23
2024,1,23,3.48,13.3,79.19,1.57,98.38,5.48
2024,1,24,3.86,11.79,71.06,0.25,98.48,3.45
2024,1,25,4.21,11.45,67.94,0.19,98.37,2.74
2024,1,26,3.78,12.11,76.5,25.9,98.22,5.98
2024,1,27,3.4,10.38,83.56,84.73,98.46,5.51
2024,1,28,3.65,10.19,71.31,1.88,98.53,2.66
2024,1,29,4.18,10.17,79,4.39,98.4,3.38
2024,1,30,3.95,8.63,74.62,0.7,98.55,5.35
2024,1,31,4.34,7.9,69.56,0.31,98.62,2.65
2024,2,1,4.51,7.77,77.5,0.46,98.49,4.16
2024,2,2,3.69,8.93,82.56,0.99,98.54,5.09
2024,2,3,4.62,9.36,70.5,0,98.75,2.98
2024,2,4,4.77,9.24,71.31,0.09,98.84,2.94
2024,2,5,4.66,9.92,81.06,0.46,98.89,3.05
2024,2,6,4.66,10.79,79.69,0.32,99.09,2.62
2024,2,7,4.92,10.98,80.19,0.36,98.94,2.53
2024,2,8,4.86,12.12,75.12,0.17,98.47,2.61
2024,2,9,4.95,12.77,82.5,0.59,98.28,2.38
2024,2,10,4.99,11.41,84.94,0.2,98.49,2.25
2024,2,11,5.23,12.41,73.81,0.06,98.62,3
2024,2,12,3.07,14.51,52.94,0,98.13,4.16
2024,2,13,3.14,15.69,53.06,0.03,97.45,4.49
2024,2,14,4.11,12.39,70.56,0.18,97.55,3.98
2024,2,15,4.33,12.16,66.88,1.02,97.68,3.65
2024,2,16,4.32,11.47,71.81,0.81,98.06,5.58
2024,2,17,4.27,11.51,72.5,0.13,98.59,5.15
2024,2,18,4.67,12.24,77.38,0.04,98.69,2.59
2024,2,19,4.44,11.05,79,0.13,98.51,3.75
2024,2,20,5.45,10.94,76.75,0,98.55,2.59
2024,2,21,5.43,11.62,79.38,0,98.53,2.61
2024,2,22,5.57,11.69,82.25,0.02,98.5,3.03
2024,2,23,3.22,11.4,83.06,0.02,98.43,2.4
2024,2,24,5.11,12.98,78.19,0.56,98.45,3.42
2024,2,25,5.35,13.41,79.75,0.04,98.47,2.56
2024,2,26,5.41,13.62,66.31,0,97.89,2.38
2024,2,27,5.09,13.06,77,0,98.01,5.07
2024,2,28,5.67,13.94,74.25,0,98.39,2.73
2024,2,29,6.05,14.23,47.12,0,98.33,4.84
2024,3,1,5.23,16.86,34.25,0,97.95,4.14
2024,3,2,5.49,16.73,46.56,0,97.9,5.26
2024,3,3,5.35,13.62,76,0.18,98.14,3.87
2024,3,4,5.65,13.83,73.38,0.22,98.18,2.31
2024,3,5,5.74,14.99,56,0.03,98.08,2.2
2024,3,6,5.62,15.3,54.06,0,98.1,4.84
2024,3,7,5.16,13.52,72.5,0.05,98.32,3.57
2024,3,8,5.73,13.9,69.06,0.07,98.26,2.38
2024,3,9,5.92,14.24,66.81,0,98.17,2.3
2024,3,10,5.9,13.16,75.12,0.02,98.16,3.06
2024,3,11,6.04,13.64,65.88,0.02,98.61,3.16
2024,3,12,6.04,16.86,35.38,0,98.25,3.02
2024,3,13,6.02,18.25,35.44,0,97.9,2.79
2024,3,14,6.07,15.52,67.88,0.12,98.09,2.63
2024,3,15,6.06,14.65,67.44,0.13,98.27,2.82
2024,3,16,5.18,14.33,67.25,0.02,98.29,2.59
2024,3,17,4.48,16.74,61.56,0.03,97.65,3.73
2024,3,18,2.49,14.14,76.31,2.74,97.52,4.97
2024,3,19,5.36,13.44,67.06,0.22,97.92,5.84
2024,3,20,6.3,15.61,53.69,0,98.23,3.67
2024,3,21,6.13,17.65,46.31,0.05,97.97,5.62
2024,3,22,6.22,12.79,66.94,0.01,97.97,4.37
2024,3,23,6.42,13.72,60.12,0,97.77,2.88
2024,3,24,4.09,13.17,68.81,1.74,97.61,4.28
2024,3,25,6.62,12.48,56.5,0,98.24,2.85
2024,3,26,6.57,17.45,31.19,0,98.46,3.34
2024,3,27,6.52,20.99,28.5,0,98.25,2.91
2024,3,28,5.36,23.15,25,0,98.03,3.59
2024,3,29,6.05,19.97,58.06,0.02,97.96,5.12
2024,3,30,6.65,19.76,67.69,0.22,98.11,3.66
2024,3,31,6.72,22.34,45.31,0,98.32,4.34
2024,4,1,6.6,23.73,37.5,0,98.12,4.36
2024,4,2,6.55,23.52,52.19,0,97.87,2.94
2024,4,3,6.71,21.36,56.06,0.05,97.95,2.94
2024,4,4,6.86,21.63,39.38,0,98.09,2.95
2024,4,5,6.92,20.59,44.88,0.05,98.14,3.05
2024,4,6,6.75,17.7,65,0.22,97.97,3.58
2024,4,7,6.73,17.37,61.25,0.2,97.64,2.91
2024,4,8,6.55,17.53,62.88,0.55,97.53,4.09
2024,4,9,6.73,17.36,60.44,0.12,97.55,5.16
2024,4,10,6.75,16.73,68.38,0.64,97.98,4.04
2024,4,11,6.87,17.94,66.94,0.08,98.17,2.9
2024,4,12,7.03,18.44,64.69,0.22,98.11,3.48
2024,4,13,6.88,18.63,67.38,0.42,98.08,3.8
2024,4,14,7.06,19.49,69.31,0.42,97.95,3.73
2024,4,15,7.11,19.06,65.19,0.32,98.03,3.8
2024,4,16,7.1,21.47,57.19,0,98.02,2.43
