YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2.72,15.87,71.38,0,101.96,1.52
2014,1,2,3.17,16.19,68,0.01,102.07,1.64
2014,1,3,3.13,16.98,67.25,0.01,101.97,1.92
2014,1,4,3.06,17.1,72.12,0.12,101.8,3.15
2014,1,5,1.89,17.47,69.94,0.14,101.87,4.9
2014,1,6,3.35,17.06,70.62,0,102.13,5.12
2014,1,7,3.36,16.94,68,0.01,101.9,6.01
2014,1,8,3.23,17.33,56.19,0,101.52,4.27
2014,1,9,2.07,17.42,64.56,4.09,101.5,3.57
2014,1,10,2.54,16.6,69.5,2.16,101.89,4.73
2014,1,11,3.21,16.8,66.81,0,102.42,4.85
2014,1,12,2.32,16.81,76.38,0.13,102.45,4.18
2014,1,13,3.06,17.43,71.94,0.19,102.12,2.26
2014,1,14,2.98,17.55,76.12,0.04,101.71,3.89
2014,1,15,3.48,16.94,78.12,0,101.97,4.69
2014,1,16,3.38,17.65,65.62,0,101.68,2.95
2014,1,17,3.56,17.56,72.56,0,101.92,4.05
2014,1,18,3.55,17.38,72.44,0,102.41,4.37
2014,1,19,3.4,16.96,76.19,0,102.38,4.92
2014,1,20,3.76,16.98,75.62,0,102.11,3.88
2014,1,21,3.9,16.68,72.88,0,101.91,2.59
2014,1,22,3.05,17.09,70.25,0,101.75,2.12
2014,1,23,3.5,16.81,76.88,0,101.98,4.16
2014,1,24,3.87,16.83,66.62,0,101.98,2.9
2014,1,25,3.27,16.8,70.75,0,101.36,4.25
2014,1,26,2.23,18.31,67.56,0.33,100.64,6.46
2014,1,27,2.74,17.04,62.12,0.09,100.59,7.2
2014,1,28,3.81,16.48,68.12,0.19,101.02,8.78
2014,1,29,4.19,17.26,53.81,0,101.67,3.71
2014,1,30,3.88,17.26,67.56,0,102.12,3.93
2014,1,31,3.64,17.29,69.81,0.02,102.06,6.34
2014,2,1,3.46,17.6,71.25,0.02,101.69,7.02
2014,2,2,2.18,17.69,77.62,12.81,100.93,6.82
2014,2,3,3.71,16.5,72.38,0.91,101.15,6.29
2014,2,4,1.44,15.07,73.38,6.54,101.79,4.09
2014,2,5,3.31,14.82,62.5,0.01,101.96,4.09
2014,2,6,3.43,14.37,66.19,0.03,101.73,2.58
2014,2,7,3.77,15.08,64.94,0,101.9,3.37
2014,2,8,4.47,15.45,67.44,0,102.18,5.06
2014,2,9,4.54,16.4,64.94,0,102.23,3.95
2014,2,10,4.71,15.67,69.12,0,102.14,2.61
2014,2,11,4.5,16.38,72.06,0,102.09,3.88
2014,2,12,4.6,17.37,77.81,0,101.62,5.74
2014,2,13,4.46,17.5,78.56,0,101.3,3.19
2014,2,14,3.79,17.1,72.88,0.08,101.31,4.97
2014,2,15,2.03,15.12,78.69,7.61,101.03,7.78
2014,2,16,4.52,16.22,75.62,2,101.57,7.3
2014,2,17,4.53,16.07,72.81,0.01,102.35,3.38
2014,2,18,4.93,16.38,69.12,0,102.66,3.26
2014,2,19,5.08,16.89,72.56,0,102.5,5.11
2014,2,20,4.89,17.4,79.12,0,102.07,5.14
2014,2,21,4.37,18.48,72.88,0,101.51,3.41
2014,2,22,4.53,18.27,73.56,0,101.13,7.34
2014,2,23,4.49,17.08,82.56,0,101.47,4.37
2014,2,24,4.73,16.54,84.44,0,101.49,4.84
2014,2,25,4.8,16.82,72.62,0.01,101.73,7.61
2014,2,26,5.05,16.37,68.56,0,102.05,4.27
2014,2,27,4.67,15.93,70.69,0.01,102.11,4.95
2014,2,28,5.23,15.76,65.19,0,102,3.21
2014,3,1,4.41,17.8,72.19,0,101.28,6.48
2014,3,2,2.97,18.82,69.62,0.01,100.85,6.87
2014,3,3,3.82,17.34,80.5,0.1,100.94,3.96
2014,3,4,5.31,17.26,72.5,0,101.08,5.29
2014,3,5,5.03,18.49,69.75,0,101.21,4.92
2014,3,6,5.09,17.56,78.12,0,101.61,5.32
2014,3,7,4.68,18.05,76.44,0.11,101.26,7.43
2014,3,8,4.87,18.04,80.06,0.89,101.07,6.37
2014,3,9,3.76,16.35,79.94,0.69,101.25,5.03
2014,3,10,5.34,16.72,70.44,0.25,101.33,4.85
2014,3,11,3.99,17.42,64.75,0.3,101.41,5.7
2014,3,12,3.81,15.75,74.62,4.45,101.54,10.12
2014,3,13,3.25,15.6,74.31,10.95,101.4,7.93
2014,3,14,5.53,15.62,60.06,3.67,101.77,7.63
2014,3,15,5.83,14.95,60.88,0,102.08,2.56
2014,3,16,4.37,17.69,61.94,0.06,101.52,6.02
2014,3,17,3,18.01,72.38,0.02,101.23,7.3
2014,3,18,3.56,16.96,79.44,0.01,101.6,3.71
2014,3,19,5.65,17.02,85.19,0,101.87,4.3
2014,3,20,6.03,17.49,77.38,0,101.89,5.12
2014,3,21,6.18,17.24,71.88,0,101.8,4.02
2014,3,22,6.25,17.29,79.06,0,101.65,4.42
2014,3,23,3.93,17.73,80.19,0,101.36,5.23
2014,3,24,5.73,17.58,76.62,0,101.38,6.09
2014,3,25,6.35,17.18,73.19,0,101.37,3.89
2014,3,26,6.41,17.31,73.81,0,101.79,2.28
2014,3,27,6.56,17.81,78.31,0,101.91,4.64
2014,3,28,6.27,18.46,78.81,0,101.51,4.62
2014,3,29,6.08,18.24,81.12,0,100.92,6.08
2014,3,30,6.46,17.65,74.94,0,101.06,6.83
2014,3,31,6.5,16.34,67.62,0,101.2,7.84
2014,4,1,6.4,17.41,69.31,0,100.89,7.33
2014,4,2,6.29,16.87,78.5,0,101.3,5.96
2014,4,3,6.13,16.8,79.75,0,101.66,3.96
2014,4,4,6.46,17.39,77.81,0,101.94,2.68
2014,4,5,6.83,18.54,79.12,0,101.71,5.32
2014,4,6,6.39,19.18,84.62,0,101.22,4.53
2014,4,7,6.34,18.92,82.69,0,101.4,5.64
2014,4,8,6.63,19.88,72.81,0,101.47,4.8
2014,4,9,6.61,17.77,80,0,101.56,4.62
2014,4,10,6.34,17.81,73.38,0,101.71,3.7
2014,4,11,6.51,18.15,70.94,0,101.78,3.68
2014,4,12,5.37,18.47,72.81,0,101.71,3.67
2014,4,13,6.33,17.56,78,0,101.68,3.64
2014,4,14,6.55,18.47,74.69,0,101.39,5.96
2014,4,15,3.07,19.47,76.75,0.04,101.08,5.45
2014,4,16,6.24,19.23,83.94,0,101.19,4.46
2014,4,17,6.7,19.01,76.62,0,101.13,3.85
2014,4,18,6.95,21.37,70,0,101.17,5.52
2014,4,19,3.95,20.32,83.94,0,101.37,4.76
2014,4,20,6.8,18.72,84.69,0,101.47,6.71
2014,4,21,7.03,18.21,78.31,0,101.58,4.88
2014,4,22,6.83,19.12,77,0,101.71,3.09
2014,4,23,6.67,20.32,82.94,0,101.6,4.48
2014,4,24,6.72,20.5,92.69,0,100.96,4.87
2014,4,25,6.9,20.29,91.62,0,100.86,5.69
2014,4,26,7.11,18.83,83.5,0,101.26,4.5
2014,4,27,7.2,18.93,75.5,0,101.2,2.73
2014,4,28,7.17,20.46,73.56,0,101.25,5.04
2014,4,29,7.19,19.99,78.19,0,101.41,3.67
2014,4,30,7.24,21.24,74.69,0,101.29,3.25
2014,5,1,7.33,20.39,81.38,0,101.25,4.82
2014,5,2,7.17,19.61,76.44,0,101.47,3.38
2014,5,3,7.18,23.22,62.69,0,101.28,4.8
2014,5,4,6.48,25.88,55.88,0,101,4.83
2014,5,5,4.25,23.23,76.31,0.02,100.98,4.56
2014,5,6,4.86,21.14,88.06,0.35,101.22,7.41
2014,5,7,6.64,20.18,82.06,0.29,101.14,6.37
2014,5,8,5.31,20.01,77.25,2.74,100.9,5.16
