YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,2.8,16.81,80.19,0.06,101.8,2.37
2024,1,2,3.14,16.34,84.88,0.21,101.83,3.63
2024,1,3,2.83,16.37,81.25,0.05,101.82,2.46
2024,1,4,3.11,16.26,76.38,0.03,101.74,2.12
2024,1,5,3.4,15.75,77.44,0.01,101.83,2.38
2024,1,6,3.38,16.61,80,0.06,101.82,2.7
2024,1,7,3.34,16.57,67.94,0.01,101.45,3.83
2024,1,8,3.2,15.84,53.44,0,101.49,3.32
2024,1,9,3.59,13.36,59.75,0,101.39,4.66
2024,1,10,3.08,13.53,64.44,0.07,101.46,5.39
2024,1,11,2.46,14.53,76.25,1.15,101.55,5.58
2024,1,12,3.25,14.76,68.06,0.41,101.36,5.58
2024,1,13,2.93,14.21,60.5,0.42,100.94,7
2024,1,14,3.3,13.86,73.19,0.81,101.42,4.33
2024,1,15,3.44,13.73,69.94,0.06,101.97,2.89
2024,1,16,3.77,13.23,60.31,0,101.98,3.06
2024,1,17,2.86,14.19,53,0,101.82,2.41
2024,1,18,3.51,14.79,54.25,0,101.89,2.17
2024,1,19,3.77,14.96,71.69,0,101.85,2.43
2024,1,20,3.71,16.85,57.62,0,101.72,2.46
2024,1,21,3.43,17.56,43.06,0,101.29,4.66
2024,1,22,3.62,16.14,57.69,0.23,101.2,6.3
2024,1,23,2.75,15.86,77.38,2.09,101.62,6.44
2024,1,24,3.2,14.58,72.12,0.46,101.72,4.3
2024,1,25,2.85,14.38,72.94,0.3,101.61,3.89
2024,1,26,3.01,14.53,76.31,19.94,101.46,6.45
2024,1,27,2.73,13.91,71.19,13.42,101.73,5.98
2024,1,28,1.85,13.56,70.81,3.66,101.8,3.6
2024,1,29,2.79,12.66,79.38,8.56,101.66,4.84
2024,1,30,3.01,11.3,72.38,1.57,101.79,7.19
2024,1,31,4.03,10.96,71.44,0.51,101.87,4.64
2024,2,1,3.78,10.87,76.25,0.68,101.73,5.2
2024,2,2,3.1,12.99,76,2.32,101.78,4.82
2024,2,3,3.46,12.03,68.81,0.05,101.98,4.23
2024,2,4,3.27,11.94,78.31,0.34,102.12,3.48
2024,2,5,2.77,12.8,81,0.45,102.15,4.34
2024,2,6,4.39,13.68,81,0.41,102.34,3.09
2024,2,7,4.3,14.28,83.56,1.01,102.19,2.28
2024,2,8,4.58,14.91,81.5,0.1,101.75,2.53
2024,2,9,4.32,14.95,76.06,0.18,101.54,2.48
2024,2,10,4.18,14.72,78.81,0.08,101.72,2.09
2024,2,11,4.7,15.37,77,0.01,101.85,3.52
2024,2,12,2.94,16.15,58.31,0,101.27,4.07
2024,2,13,2.33,17.17,60.44,0.16,100.58,5.58
2024,2,14,3.46,14.69,71.44,0.34,100.74,4.57
2024,2,15,4.3,14.23,68.75,1.18,100.87,4.32
2024,2,16,4.45,14.56,68.44,1.64,101.23,6.77
2024,2,17,4.17,14.4,71.94,0.5,101.81,5.58
2024,2,18,3.21,14.81,76.5,0.21,101.95,3.48
2024,2,19,4.49,14.51,72.25,0.09,101.76,4.34
2024,2,20,4.29,14.99,66.56,0.01,101.8,3.28
2024,2,21,5.04,14.72,71.06,0,101.83,2.77
