YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,4.22,13.42,58,0,99.46,2.63
2014,1,2,4.37,13.66,59.5,0,99.49,3.07
2014,1,3,4.19,13.7,53.88,0,99.44,3.35
2014,1,4,4.23,13.52,61.06,0,99.32,4.77
2014,1,5,4.16,12.82,65.94,0.01,99.34,5.76
2014,1,6,4.29,13.55,57.19,0,99.44,2.34
2014,1,7,4.23,14.83,46.31,0.02,99.27,1.81
2014,1,8,4.15,14.04,48.75,0,99.14,2.16
2014,1,9,3.98,12,54.69,0,99.22,3.99
2014,1,10,4.5,11.5,64.19,0,99.56,4.43
2014,1,11,4.61,12.23,51.31,0,99.9,3.48
2014,1,12,4.65,12.96,55.56,0,99.92,2.54
2014,1,13,4.26,14.16,56.81,0,99.58,2.12
2014,1,14,4.21,15.86,36.94,0,99.21,2.49
2014,1,15,4.73,15.32,38.5,0,99.33,2.04
2014,1,16,4.71,16.19,46.94,0,99.27,2.72
2014,1,17,4.67,15.37,25.44,0,99.35,3.73
2014,1,18,4.78,15.06,49.88,0,99.62,2.63
2014,1,19,4.79,16.83,44.75,0,99.7,2.36
2014,1,20,4.39,16.8,47.5,0,99.56,1.87
2014,1,21,4.61,16.72,30.5,0,99.4,1.91
2014,1,22,4.84,17.59,19.38,0,99.24,2.54
2014,1,23,4.58,18.08,22.31,0,99.25,2.88
2014,1,24,4.95,17.78,34,0,99.21,2.73
2014,1,25,5.04,18.08,26.19,0,98.93,1.3
2014,1,26,4.61,19.26,31.81,0,98.47,3.52
2014,1,27,4.43,15.77,36.56,0,98.51,4.44
2014,1,28,4.51,12.55,35.94,0,98.96,3.34
2014,1,29,4.98,14.42,28.31,0,99.28,2.61
2014,1,30,5.32,15.26,22.38,0,99.39,3.38
2014,1,31,4.97,16.22,27.19,0,99.24,2.51
2014,2,1,5.05,18.22,25.44,0,98.91,2.52
2014,2,2,4.61,18.65,25.62,0,98.49,3.63
2014,2,3,4.83,14.9,40.25,0,98.94,5.47
2014,2,4,5.29,14.55,45.75,0,99.31,4.36
2014,2,5,5.29,14.83,49.88,0,99.26,4.05
2014,2,6,5.36,14.24,45.81,0,99.27,4.96
2014,2,7,5.4,14.37,44.31,0,99.28,3.52
2014,2,8,5.55,14.35,39.38,0,99.37,3.9
2014,2,9,5.53,15.08,43.44,0,99.5,2.24
2014,2,10,5.65,16.2,32,0,99.38,2.82
2014,2,11,5.79,16.3,26.19,0,99.27,2.09
2014,2,12,5.75,17.48,27.5,0,99.04,2.66
2014,2,13,5.55,18.4,16.5,0,98.97,3.1
2014,2,14,5.49,14.83,34.62,0,99.22,6.1
2014,2,15,5.3,14.05,46,0,99.19,5.02
2014,2,16,5.37,14.15,48.81,0.01,99.24,5.34
2014,2,17,5.93,14.98,49.25,0,99.68,3.33
2014,2,18,5.95,15.96,47.94,0,99.83,2.97
2014,2,19,5.95,17.55,40.06,0,99.65,3.23
2014,2,20,6.06,19.62,32.06,0,99.39,2.98
2014,2,21,5.79,21.44,34.56,0,99.07,2.09
2014,2,22,5.83,21.1,33.94,0,98.89,3.58
2014,2,23,5.84,17.59,39.75,0,99.02,4.51
2014,2,24,5.92,17.25,49.75,0,99.01,4.53
2014,2,25,6.24,16.65,40.94,0,99.25,5.21
2014,2,26,6.29,16.61,33.25,0,99.36,3.59
2014,2,27,6.35,17.08,31.19,0,99.33,4.7
2014,2,28,6.37,16.9,39.62,0,99.18,2.6
2014,3,1,5.76,19.83,27.69,0,98.87,2.2
2014,3,2,3.04,21.71,25.06,0.54,98.83,2.67
2014,3,3,3.56,21.3,43.69,0.24,98.67,3.5
2014,3,4,5.55,20.84,28.12,0,98.77,3.17
2014,3,5,6.06,22.37,21.38,0,98.94,1.86
2014,3,6,6.14,24.08,16.25,0,99.02,1.53
2014,3,7,5.77,25.4,15.88,0.07,98.74,3.8
2014,3,8,4.48,24.51,39.12,0.25,98.69,3.66
2014,3,9,3.51,20.98,57.69,0.93,98.69,3.91
2014,3,10,6.87,17.76,34.19,0,98.95,4.58
2014,3,11,6.74,17.02,30.69,0,99.16,4.73
2014,3,12,6.58,16.55,30.44,0,99.35,5.1
2014,3,13,6.21,15.29,43.56,0,99.36,5.77
2014,3,14,6.74,14.37,41.88,0,99.45,4.96
2014,3,15,6.89,15.67,34.75,0,99.55,2.6
2014,3,16,6.46,19.35,24.31,0,99.29,2.7
2014,3,17,6.71,21.94,27.81,0,98.97,3.23
2014,3,18,6.34,22.09,30.38,0,98.9,4.93
2014,3,19,6.65,19.73,41.06,0,99.13,4.81
2014,3,20,6.6,20.68,40.75,0,99.03,3.48
2014,3,21,6.91,21.68,35.88,0,98.94,3.5
2014,3,22,7.18,21.8,27.19,0,98.84,3.24
2014,3,23,6.09,20.9,21.94,0,98.74,4.64
2014,3,24,7.17,19.99,28.94,0,98.74,5.01
2014,3,25,7.16,19.37,23.62,0,98.82,5.38
2014,3,26,7.15,20.95,17.56,0,99.07,3.8
2014,3,27,7.34,22.02,12.56,0,99.05,3.98
2014,3,28,7.49,21.83,17.31,0,98.84,3.65
2014,3,29,7.35,23.98,11.69,0,98.55,3.16
2014,3,30,6.77,23.91,13.81,0,98.38,4.72
2014,3,31,6.88,24.75,17.75,0,98.37,2.51
2014,4,1,7.08,25.31,20.19,0,98.21,6.23
2014,4,2,7.28,20.23,28.94,0,98.74,5.95
2014,4,3,7.37,19.8,30.06,0,99.02,5.11
2014,4,4,7.64,20.29,18.94,0,99.26,3.52
2014,4,5,7.71,22.33,15.31,0,99.07,2.15
2014,4,6,7.63,24.38,10.25,0,98.83,2.62
2014,4,7,6.87,25.78,9.5,0,98.86,3.57
2014,4,8,7.45,25.87,18.75,0,98.92,3.58
2014,4,9,7.25,26.25,18.81,0,98.87,4.52
2014,4,10,6.66,23.12,25.12,0,99.04,4.34
2014,4,11,7.62,22.59,20.62,0,99.05,2.85
2014,4,12,5.98,24.01,20.56,0,99.03,4.46
2014,4,13,7.79,23.84,22.12,0,98.99,3.89
2014,4,14,7.43,25.1,19.31,0,98.85,2.83
2014,4,15,6.01,27.46,16.94,0,98.6,2.82
2014,4,16,7.56,27.63,20.56,0,98.52,3.53
2014,4,17,7.67,26.23,22.69,0,98.67,4.37
2014,4,18,7.49,28.93,19.31,0,98.76,2.41
2014,4,19,6.54,31.05,17,0.02,98.71,5.16
2014,4,20,5.95,28.33,25.06,0.02,98.65,3.94
2014,4,21,7.77,28.31,21.94,0,98.58,5.68
2014,4,22,7.64,27.34,18.94,0,98.77,4.03
2014,4,23,7.48,29.87,17.31,0,98.72,2.55
2014,4,24,7.35,32.26,14.25,0,98.39,3.14
2014,4,25,7.08,32.46,13.75,0.1,98.32,3.35
2014,4,26,7.56,29.32,22.25,0,98.45,5.14
2014,4,27,8.18,27.53,15.06,0,98.57,4.52
2014,4,28,7.94,28.96,13.56,0,98.77,3.45
2014,4,29,7.74,29.74,14.38,0,98.73,3.7
2014,4,30,8.07,28.75,13.88,0,98.69,4.41
