YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.35,15.94,59.19,0,99.49,3.25
2024,1,2,4.41,15.75,56.44,0,99.56,4.45
2024,1,3,4.43,16.23,56.75,0,99.45,2.91
2024,1,4,4.41,15.91,55.81,0,99.39,3.3
2024,1,5,4.45,15.49,49.25,0,99.49,3.78
2024,1,6,4.55,15.3,42.5,0,99.56,2.52
2024,1,7,4.55,16.6,38,0,99.42,2.39
2024,1,8,4.49,17.81,29.62,0,99.35,2.68
2024,1,9,3.81,17.36,25.5,0,99.22,3.9
2024,1,10,4.58,14.15,28.31,0,99.38,4.62
2024,1,11,4.57,12.92,49.56,0,99.46,4.48
2024,1,12,4.17,12.75,49.69,0,99.35,3.35
2024,1,13,4.61,14.02,39.44,0,99.09,2.99
2024,1,14,4.49,13.03,46.56,0,99.35,3.73
2024,1,15,4.79,13.15,52.38,0,99.74,3.57
2024,1,16,4.85,13.06,43.69,0,99.76,3.74
2024,1,17,4.77,13.37,40.81,0,99.59,4.3
2024,1,18,4.74,15.05,33.81,0,99.59,3.48
2024,1,19,4.78,15.7,32.56,0,99.52,2.98
2024,1,20,4.79,17.35,31.88,0,99.49,2.9
2024,1,21,4.63,18.53,26.12,0,99.3,2.33
2024,1,22,4.52,17.95,26.31,0,99.27,3.72
2024,1,23,4.08,15.62,52.06,0,99.6,4.73
2024,1,24,4.48,13.25,50.06,0,99.65,4.45
2024,1,25,4.68,11.91,47.31,0,99.53,5.16
2024,1,26,4.97,12.14,51.31,0,99.61,5.41
2024,1,27,4.78,12.9,55.25,0,99.72,4.41
2024,1,28,5,12.95,46.94,0,99.68,3.46
2024,1,29,5.02,13,45,0,99.6,4.11
2024,1,30,5.12,11.23,48.81,0,99.81,4.72
2024,1,31,5.15,9.96,42.69,0.08,99.84,4.38
2024,2,1,4.9,8.97,67.81,0.24,99.84,4.84
2024,2,2,4.92,9.71,64.25,0.2,99.85,3.95
2024,2,3,5.24,11.43,58.88,0.04,99.82,3.41
2024,2,4,5.41,12.08,40.38,0,99.86,4.11
2024,2,5,5.32,12.09,47.5,0,99.96,4.56
2024,2,6,5.32,13.38,51.88,0,100.04,4.05
2024,2,7,5.5,14.73,44,0,99.75,2.93
2024,2,8,5.5,16.54,34.19,0,99.37,2.64
2024,2,9,5.51,16.17,35.81,0,99.2,4.14
2024,2,10,5.59,15.14,39.19,0,99.36,4.27
2024,2,11,5.69,15.94,38.31,0,99.51,2.33
2024,2,12,4.12,17.26,34.31,0,99.18,2.93
2024,2,13,5.41,18.44,23.19,0,98.72,3.95
2024,2,14,5.37,15.92,41.12,0,98.77,3.48
2024,2,15,4.87,15.33,46.81,0,98.96,4.95
