YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,3.45,14.91,77.12,0.01,100.47,2.45
2024,1,2,3.54,15.58,76.88,0,100.54,3.38
2024,1,3,3.54,14.4,76.5,0,100.49,2.52
2024,1,4,3.71,14.18,74.75,0,100.41,2.44
2024,1,5,3.8,13.87,67.19,0,100.51,1.96
2024,1,6,3.78,15.4,72.88,0.01,100.44,2.55
2024,1,7,3.69,14.6,62.5,0,100.15,4.07
2024,1,8,3.66,13.45,47.38,0,100.2,3.05
2024,1,9,3.87,10.95,49.06,0,100.13,3.4
2024,1,10,3.59,11.74,58.25,0.01,100.22,4.12
2024,1,11,2.82,13.03,73.88,0.29,100.31,3.45
2024,1,12,3.61,12.27,61.62,0.02,100.12,3.69
2024,1,13,3.64,12.1,57.31,0.02,99.71,5.34
2024,1,14,3.34,12.28,74.06,0.25,100.14,2.71
2024,1,15,3.99,11.7,69.75,0.01,100.66,2.26
2024,1,16,3.98,11.99,52.94,0,100.65,2.4
2024,1,17,3.71,13.8,44.81,0,100.49,2.09
2024,1,18,3.95,14.62,45.06,0,100.52,1.18
2024,1,19,4.11,15.49,47.81,0,100.47,1.59
2024,1,20,3.93,16.44,49.69,0,100.4,1.9
2024,1,21,3.69,16.34,38.44,0,100.02,4.18
2024,1,22,3.59,14.28,59.88,0.05,100.02,4.55
2024,1,23,3.42,14.53,68.44,0.08,100.42,4.23
2024,1,24,3.74,12.49,66.62,0.2,100.46,3.45
2024,1,25,3.14,11.91,77.75,0.52,100.36,3.27
2024,1,26,2.99,13.12,72.19,0.76,100.28,5.07
2024,1,27,3.4,13.19,68.31,0.4,100.49,4.09
2024,1,28,3.25,12.19,69.62,0.46,100.51,2.26
2024,1,29,3.2,11.17,74.56,0.71,100.42,4.01
2024,1,30,3.71,9.4,66.94,0.04,100.6,4.94
2024,1,31,3.71,8.49,71.88,42.54,100.57,3.91
2024,2,1,4.2,8.91,78.5,1.96,100.47,4.05
