YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.71,17.87,56.62,0,96.29,3.15
2024,1,2,4.66,17.06,46.44,0,96.35,3.35
2024,1,3,4.56,17.33,62.25,0,96.28,4.66
2024,1,4,4.55,17.53,58.31,0,96.2,3.04
2024,1,5,4.58,17.52,58.19,0,96.31,3.18
2024,1,6,4.77,17.81,55.62,0,96.4,3.32
2024,1,7,4.77,20.33,39.81,0,96.29,1.99
2024,1,8,4.58,22.12,51,0,96.22,2.53
2024,1,9,4.04,22.08,42.75,0,96.05,2.66
2024,1,10,4.22,20.13,24.81,0,96.11,4.02
2024,1,11,4.82,15.55,27.06,0,96.19,4.23
2024,1,12,4.61,15.13,37.12,0,96.15,2.73
2024,1,13,4.22,16.81,26.06,0,95.97,2.98
2024,1,14,4.11,15.39,31.25,0,96.16,4.31
2024,1,15,5.03,14.43,46.88,0,96.51,3.98
2024,1,16,5.03,14.73,46.25,0,96.53,3.2
2024,1,17,5.14,15.09,40.31,0,96.36,3.64
2024,1,18,5.11,16.15,42.31,0,96.4,4.6
2024,1,19,5.11,17.1,47.44,0,96.35,3.82
2024,1,20,5.14,17.54,46.44,0,96.37,4.21
2024,1,21,5.1,19.72,24.38,0,96.23,2.53
2024,1,22,5.2,19.98,17.12,0,96.17,2.98
2024,1,23,4.67,18.01,35.19,0,96.34,4.16
2024,1,24,5.02,15.19,40.31,0,96.39,4.48
2024,1,25,4.69,13.25,40.62,0,96.28,5.81
2024,1,26,5.08,12.55,44.75,0,96.37,6.05
2024,1,27,5.13,13.44,46.44,0,96.51,4.82
2024,1,28,4.89,14.09,39.62,0,96.47,3.83
2024,1,29,4.96,13.51,36.62,0,96.39,4.56
2024,1,30,5.32,12.76,36.81,0,96.52,4.7
2024,1,31,5.46,10.9,32.75,0,96.57,5.19
2024,2,1,5.37,9.6,44.94,0,96.56,5.64
2024,2,2,5.53,10.23,49.56,0,96.59,4.23
2024,2,3,5.57,12.49,54.38,0,96.57,3.42
2024,2,4,5.63,13.86,46.12,0,96.59,3.34
2024,2,5,5.17,13.66,31.12,0,96.67,4.34
2024,2,6,5.3,14.3,56.38,0,96.77,5.73
2024,2,7,5.7,16.13,55.12,0,96.5,5.27
2024,2,8,5.66,18.99,48.88,0,96.19,3.29
2024,2,9,5.65,19.45,31.38,0,96.01,2.52
2024,2,10,5.88,17.24,40.06,0,96.15,3.72
2024,2,11,5.97,16.69,46.25,0,96.38,3.97
2024,2,12,6.03,19.43,39.62,0,96.09,3.8
2024,2,13,5.99,20.21,23.19,0,95.68,4.14
2024,2,14,5.64,17.62,32.12,0,95.7,4.99
2024,2,15,5.68,16.65,35.06,0,95.83,5.65
2024,2,16,5.89,13.82,45.94,0,96.31,4.98
2024,2,17,5.2,14.48,38.88,0,96.6,3.84
2024,2,18,6.15,15.88,41.75,0,96.46,4.03
2024,2,19,6.12,15.94,34.31,0,96.28,4.98
2024,2,20,5.35,16.82,49.31,0,96.25,3.8
2024,2,21,5.14,18.96,44.94,0,96.14,2.8
2024,2,22,5.76,19.87,43.62,0,96.11,4.14
2024,2,23,5.25,22.7,33,0,96.12,5.03
2024,2,24,4.03,20.48,36.56,0,96.28,6.02
2024,2,25,6.38,18.82,48.62,0,96.18,4.97
2024,2,26,6.63,19.33,24.19,0,95.87,3.2
2024,2,27,6.5,18.63,21.69,0,95.87,5.1
2024,2,28,6.33,18.3,44.56,0,96.04,4.05
2024,2,29,6.58,19.25,47.88,0,96.02,5.33
2024,3,1,6.61,22.63,39.31,0,95.85,3.62
2024,3,2,6,23.92,22.25,0,95.88,3.54
2024,3,3,6.22,20.33,18.81,0,95.9,4.53
2024,3,4,6.09,19.7,38.62,0,95.9,4.36
2024,3,5,6.19,21.27,32.75,0,95.89,3.3
2024,3,6,6.29,21.86,12.88,0,96.01,5.02
2024,3,7,6.28,19.87,24.25,0,96.13,4.88
2024,3,8,6.24,20.12,22.12,0,96.11,3.67
2024,3,9,6.22,22.87,22.62,0,95.96,2.98
2024,3,10,5.1,24.22,30.38,0,95.77,5.59
2024,3,11,6.4,21.23,37,0,96.21,6.45
2024,3,12,6.37,24.35,18.69,0,96.08,3.01
2024,3,13,5.65,27.75,10.75,0,95.86,4.06
2024,3,14,6.43,25.27,13.5,0,95.86,4.59
2024,3,15,5.72,23.94,23.19,0,96,3.79
2024,3,16,4.31,21.78,29.38,0,96.05,4.78
2024,3,17,6.47,27.04,19.19,0,95.55,4.79
2024,3,18,1.55,22.33,29.44,0,95.62,7.03
2024,3,19,6.75,17.4,33.94,0,96.1,5.7
2024,3,20,6.85,18.77,34.62,0,96.2,3.4
2024,3,21,6.85,21.53,24.5,0,95.94,4.35
2024,3,22,6.81,21.52,23.31,0,95.72,4.93
2024,3,23,6.97,19.42,29.62,0,95.55,4.7
2024,3,24,6.88,17.87,23.88,0,95.56,6.74
2024,3,25,6.91,18.25,38.62,0,96.11,3.66
2024,3,26,6.93,19.19,43.38,0,96.37,4.17
2024,3,27,6.88,22.69,23.31,0,96.13,3.34
2024,3,28,6.87,25.69,22.75,0,95.93,4.02
2024,3,29,6.94,25.89,18.19,0,95.66,5.02
2024,3,30,6.95,24.13,31.5,0,95.75,4.62
2024,3,31,6.91,24.5,36.69,0,95.86,4.54
2024,4,1,6.54,26.33,35.44,0,95.68,4.49
2024,4,2,6.66,27.23,33.62,0,95.59,4.83
2024,4,3,6.77,25.93,34.81,0,95.72,4.55
2024,4,4,6.77,27.63,26.69,0,95.84,4.41
2024,4,5,6.85,28.12,25.38,0,95.83,3.47
2024,4,6,6.76,28.12,18,0,95.68,5.09
2024,4,7,7.14,23.18,16.62,0,95.65,6.38
2024,4,8,7.13,22.36,21.12,0,95.6,4.4
2024,4,9,7.15,23.73,19.44,0,95.64,5.44
2024,4,10,7.13,22.62,23.31,0,95.87,4.33
2024,4,11,7.1,23.46,38.19,0,95.89,2.95
2024,4,12,7.13,25.05,25.75,0,95.75,4.32
2024,4,13,6.55,24.13,23.5,0,95.7,4.65
2024,4,14,7.23,24.97,24.12,0,95.64,5.61
