YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,4.29,13.58,61.31,0,99.47,3
2014,1,2,4.36,13.74,59.88,0,99.5,3.52
2014,1,3,4.29,13.76,54.94,0,99.46,3.65
2014,1,4,4.23,13.05,64.69,0,99.35,4.88
2014,1,5,4.17,12.37,69.31,0.02,99.38,5.7
2014,1,6,4.19,13.37,52.31,0,99.44,2.56
2014,1,7,4.36,14.88,39.38,0,99.26,2.5
2014,1,8,4.39,13.67,47,0,99.15,2.37
2014,1,9,3.56,11.39,58.75,0,99.23,3.82
2014,1,10,4.49,11.16,66.62,0,99.57,4.04
2014,1,11,4.63,12.13,50.44,0,99.91,3.75
2014,1,12,4.67,12.91,54.06,0,99.92,2.87
2014,1,13,4.22,13.59,53.44,0,99.58,2.52
2014,1,14,4.4,15.58,39.44,0,99.21,2.68
2014,1,15,4.75,15.07,39.62,0,99.32,2.34
2014,1,16,4.74,15.9,38.31,0,99.25,3.11
2014,1,17,4.69,14.65,25.56,0,99.37,3.79
2014,1,18,4.79,14.91,48.62,0,99.6,2.95
2014,1,19,4.84,16.3,39.75,0,99.69,3.05
2014,1,20,4.55,16.55,42.44,0,99.54,2.32
2014,1,21,4.85,17,24.81,0,99.39,2.48
2014,1,22,4.85,17.6,21.25,0,99.26,3.24
2014,1,23,4.65,18.19,22,0,99.26,4
2014,1,24,4.97,17.65,35,0,99.21,3.4
2014,1,25,5.05,17.63,23,0,98.89,2.66
2014,1,26,4.03,19,22,0,98.44,3.88
2014,1,27,4.57,14.61,41.06,0,98.53,4.61
2014,1,28,4.63,12.29,35.38,0,98.94,3.05
2014,1,29,5.02,14.48,28.44,0,99.28,2.3
2014,1,30,5.3,15.4,24.88,0,99.41,4.05
2014,1,31,4.66,16.45,33.62,0,99.24,2.91
2014,2,1,5.27,18.23,26.31,0,98.91,2.88
2014,2,2,4.71,18.23,24.31,0,98.48,3.89
2014,2,3,4.84,14.29,44.81,0,98.94,5.27
2014,2,4,5.26,13.85,50.56,0,99.33,4.22
2014,2,5,5.25,14.49,53.19,0,99.28,4.08
2014,2,6,5.31,13.72,48.75,0,99.28,4.88
2014,2,7,5.43,14.19,44.12,0,99.27,3.22
2014,2,8,5.48,14.22,39.94,0,99.37,3.95
2014,2,9,5.59,14.79,42.94,0,99.51,2.84
2014,2,10,5.64,16.19,27.88,0,99.38,3.48
2014,2,11,5.81,16.28,24.38,0,99.25,2.32
2014,2,12,5.79,16.9,24,0,99.04,3.34
2014,2,13,5.62,17.15,18.62,0,98.99,3.07
2014,2,14,5.46,13.69,41.31,0,99.24,5.4
2014,2,15,5.04,14.03,48.75,0,99.15,5.35
2014,2,16,5.13,13.69,53.94,0.09,99.25,5.27
2014,2,17,5.86,14.85,48,0.01,99.67,3.32
2014,2,18,5.98,16.05,46.62,0,99.81,2.77
2014,2,19,5.99,17.88,34.94,0,99.63,3.23
2014,2,20,6.1,19.37,25.19,0,99.38,3.16
2014,2,21,5.83,21.81,31.81,0,99.06,2.39
2014,2,22,5.86,20.58,27.88,0,98.93,3.92
2014,2,23,5.84,16.71,45.06,0,99.05,4.38
2014,2,24,5.92,16.57,53.69,0,99.03,4.74
2014,2,25,6.22,15.8,43.12,0,99.29,5.48
2014,2,26,6.29,16.29,38.19,0,99.38,4.22
2014,2,27,6.31,16.4,35.12,0,99.37,5.39
2014,2,28,6.4,16.71,40.75,0,99.18,3.05
2014,3,1,5.43,19.81,22.69,0,98.85,2.96
2014,3,2,2.94,19.92,30.88,0.77,98.82,2.27
2014,3,3,4.03,20.48,40.69,0,98.63,3.3
2014,3,4,5.74,20.07,26.69,0,98.77,3
2014,3,5,6.1,22.23,21.25,0,98.9,2.48
2014,3,6,6.16,24.18,13.75,0,99.01,1.58
2014,3,7,5.77,25.04,17.31,0.05,98.68,4.55
2014,3,8,5.79,24.86,24.62,0.72,98.62,2.83
2014,3,9,3.01,19.08,51.44,0.85,98.73,3.95
2014,3,10,6.9,16.99,34.06,0,98.98,4.7
2014,3,11,6.79,16.83,31.81,0,99.17,4.82
2014,3,12,6.6,16.3,32.5,0,99.34,5.12
2014,3,13,6.59,14.93,47,0,99.35,5.79
2014,3,14,6.78,13.9,44.06,0,99.44,4.82
2014,3,15,6.92,15.32,34.94,0,99.53,2.71
2014,3,16,6.53,18.92,20.62,0,99.25,3.78
2014,3,17,6.75,22.08,25,0,98.96,4.11
2014,3,18,6.36,20.9,36.19,0,98.97,5.37
2014,3,19,6.73,18.53,46.38,0,99.18,4.91
2014,3,20,6.74,20.29,42.06,0,99.06,4.33
2014,3,21,7.06,20.88,36,0,98.98,4.42
2014,3,22,7.26,20.84,27,0,98.88,3.54
2014,3,23,6.6,19.01,25.81,0,98.78,4.24
2014,3,24,7.17,18.98,32,0,98.77,4.91
2014,3,25,7.19,18.83,26.44,0,98.84,5.41
2014,3,26,7.27,21.18,16.81,0,99.07,4.21
2014,3,27,7.4,22.54,13,0,99.06,4.86
2014,3,28,7.59,21.8,16.06,0,98.85,3.82
2014,3,29,7.42,24.51,11.81,0,98.53,2.96
2014,3,30,6.68,21.85,21.62,0,98.41,5.06
2014,3,31,6.82,24.3,18.44,0,98.36,2.52
2014,4,1,7.21,24.21,20.38,0,98.25,5.98
2014,4,2,7.32,19.4,33.19,0,98.78,6.16
2014,4,3,7.37,19.32,32.06,0,99.05,5.4
2014,4,4,7.66,20.2,19.38,0,99.27,4
2014,4,5,7.8,22.31,15.12,0,99.06,2.9
2014,4,6,7.76,24.4,8.44,0,98.82,3.1
2014,4,7,6.94,24.59,12.44,0,98.9,3.8
2014,4,8,7.5,25.47,19.5,0,98.94,3.92
2014,4,9,7.29,24.73,22.25,0,98.92,4.93
2014,4,10,6.86,21.92,28.25,0,99.08,4.83
2014,4,11,7.63,22.34,21.06,0,99.06,3.59
2014,4,12,6.7,23.74,19.81,0,99.06,4.37
2014,4,13,7.72,23.55,22.88,0,99,3.65
2014,4,14,7.59,25.48,19.31,0,98.83,2.99
2014,4,15,6.42,26.46,17,0.01,98.63,3.13
2014,4,16,7.65,27.23,23.25,0,98.55,3.83
2014,4,17,7.71,25.26,24.31,0,98.69,4.27
2014,4,18,7.5,29.25,19.31,0,98.73,2.38
2014,4,19,6.49,29.82,19.31,0.05,98.72,5.84
2014,4,20,6.48,28.01,26,0.01,98.67,4.78
2014,4,21,7.91,26.51,25,0,98.64,6.38
2014,4,22,7.92,27.06,20.31,0,98.78,4.8
2014,4,23,7.29,29.66,18.31,0,98.71,3.09
2014,4,24,7.33,32.16,14.06,0,98.38,3.73
2014,4,25,7.49,31.95,14.75,0,98.35,4.22
2014,4,26,7.67,27.37,24.88,0,98.52,5.91
2014,4,27,8.24,26.45,16.75,0,98.6,4.76
2014,4,28,8.02,28.87,13.56,0,98.76,3.59
2014,4,29,7.8,29.08,16.31,0,98.75,4.09
2014,4,30,8.06,28.3,14.25,0,98.71,4.45
2014,5,1,6.88,29.33,15.75,0,98.72,3.19
2014,5,2,7.82,28.44,17,0,98.79,4.84
2014,5,3,7.98,30.05,15.38,0,98.82,4.1
2014,5,4,6.52,32.43,10.69,0,98.57,4.46
2014,5,5,4.44,30.19,11.88,0,98.46,2.8
2014,5,6,4.21,30.37,25.38,0.03,98.56,4.95
2014,5,7,5.23,26.82,43.56,0.14,98.48,5.65
2014,5,8,7.58,23.26,33.88,0.03,98.64,5.81
2014,5,9,8.18,23.84,25,0,98.97,3.43
2014,5,10,8.22,25.11,20.19,0,98.86,3.6
2014,5,11,7.75,24.3,22.12,0,98.85,4.82
2014,5,12,8.19,23.88,27.69,0,99.1,5.66
2014,5,13,8.45,24.44,27.88,0,99.27,5.38
2014,5,14,8.38,26.83,19.94,0,98.99,4.59
2014,5,15,7.63,27.71,16.44,0,98.72,4.55
2014,5,16,7.87,30.73,13.69,0,98.51,4.56
2014,5,17,8.11,31.05,20.44,0,98.68,6.02
2014,5,18,8.15,28.49,19.62,0,98.94,8.3
2014,5,19,7.89,29.57,18.69,0,98.87,6.28
2014,5,20,7.55,31.92,18.94,0,98.8,4.46
2014,5,21,5.83,31.3,24.75,0,98.57,6.08
2014,5,22,7.58,28.4,28.56,0,98.61,5.56
2014,5,23,8.11,28.15,20,0,98.6,4.52
2014,5,24,8.23,29.09,19.19,0,98.75,3.72
2014,5,25,8.36,29.42,17.12,0,98.87,4.96
2014,5,26,8.3,29.78,17.31,0,98.84,5.49
2014,5,27,8.04,32.59,17.94,0,98.7,3.75
2014,5,28,7.81,32.25,14.81,0,98.55,5.43
2014,5,29,8.08,32.82,17.19,0,98.65,5.49
2014,5,30,8.2,35.33,13.94,0,98.5,3.18
2014,5,31,7.61,33.61,17.94,0,98.5,6.34
2014,6,1,7.97,29.03,22.31,0,98.71,7.43
2014,6,2,8.46,28.54,23.38,0,98.83,6.3
2014,6,3,8.22,32.13,20,0,98.66,3.38
2014,6,4,7.94,35.84,12.69,0,98.44,3.29
2014,6,5,7.32,31.98,22.38,0,98.53,7.69
2014,6,6,8.13,27.91,23.5,0,98.6,7.16
2014,6,7,8.48,27.4,24.94,0,98.57,5.17
2014,6,8,8.36,28.13,23.19,0,98.51,3.95
2014,6,9,8.25,29.49,25.62,0,98.46,4.07
2014,6,10,8.21,30.59,22.69,0,98.66,4.18
2014,6,11,8.25,31.78,17.94,0,98.73,3.87
2014,6,12,8.23,31.05,21.69,0,98.54,5.56
2014,6,13,8.22,29.73,27.5,0,98.43,5.66
2014,6,14,8.31,30.12,26.25,0,98.51,4.91
2014,6,15,8.24,31.83,19.31,0,98.73,4.85
2014,6,16,8.13,35.94,14,0,98.59,2.8
2014,6,17,7.88,35.1,14.81,0,98.51,5.65
2014,6,18,8.37,32.02,17.56,0,98.62,5.63
2014,6,19,8.26,33.03,19.19,0,98.42,5.89
2014,6,20,8.17,35.22,15.69,0,98.36,5.55
2014,6,21,8.22,29.86,22.44,0,98.62,7.9
2014,6,22,8.42,29.35,26.44,0,98.69,5.98
2014,6,23,8.43,29.34,25.25,0,98.64,6.05
2014,6,24,8.17,28.55,25.88,0,98.55,5.77
2014,6,25,8.29,28.9,20.94,0,98.42,4.67
2014,6,26,8.29,30.45,16.38,0,98.39,3.94
2014,6,27,8.39,32.94,14.19,0,98.41,3.17
2014,6,28,8.33,34.58,11.06,0,98.4,2.66
2014,6,29,8.23,36.21,10.31,0,98.29,2.92
2014,6,30,8,35.03,17.25,0,98.3,4.88
2014,7,1,7.95,34.11,16.81,0,98.54,6.23
2014,7,2,8.1,34.08,18.88,0,98.6,5.75
2014,7,3,8.27,32.24,18.31,0,98.4,7.02
2014,7,4,8.21,30.98,23.75,0,98.05,4.83
2014,7,5,8.08,31.32,23.62,0,98.15,5.54
2014,7,6,8.1,30.88,22.94,0,98.51,4.67
2014,7,7,8.21,31.62,24.56,0,98.54,5.34
2014,7,8,8.1,31.65,22.19,0,98.36,5.48
2014,7,9,8.18,30.83,22.19,0,98.36,4.45
2014,7,10,8.21,32.77,14.94,0,98.32,3.67
2014,7,11,8.28,35.58,12.25,0,98.3,3.88
2014,7,12,8.29,36.23,13.44,0,98.41,5.12
2014,7,13,8.06,36.66,14.62,0,98.53,6.09
2014,7,14,8.09,33.32,22,0,98.48,7.34
2014,7,15,8.27,30.4,24.31,0,98.38,7.59
2014,7,16,8.28,31.3,26.25,0,98.43,6.8
2014,7,17,7.89,31.26,25.5,0,98.49,6.75
2014,7,18,8.1,30.92,27.75,0,98.37,6.33
2014,7,19,7.97,30.17,28.69,0,98.49,6.41
2014,7,20,7.96,30.18,28.5,0,98.55,5.55
2014,7,21,7.87,31.15,26.31,0,98.43,4.16
2014,7,22,7.86,31.83,27.88,0,98.39,4.09
2014,7,23,7.95,32.44,22.69,0,98.35,3.52
2014,7,24,7.86,33.01,20.5,0,98.29,3.72
2014,7,25,7.94,33.38,19.56,0,98.19,4.48
2014,7,26,7.82,33.11,25.38,0,98.33,4.27
2014,7,27,8,32.65,23.69,0,98.63,4.08
2014,7,28,7.82,32.81,23.31,0,98.63,4.42
2014,7,29,7.78,32.67,20.38,0,98.4,4.88
2014,7,30,7.97,33.72,18.88,0,98.27,5.62
2014,7,31,7.95,33.36,18.69,0,98.27,5.3
2014,8,1,8.05,32.46,18.25,0,98.21,4.51
2014,8,2,7.77,34.67,17.44,0,98.22,4.81
2014,8,3,7.79,33.22,24.88,0,98.25,4.84
2014,8,4,7.78,31.3,30.25,0,98.28,4.6
2014,8,5,7.9,31.54,26.12,0,98.25,3.95
