YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.35,13.4,72.19,0,98.64,3.67
2024,1,2,4.41,13.39,67.88,0,98.74,4.6
2024,1,3,4.33,13.66,66.19,0,98.61,3.54
2024,1,4,4.41,12.84,64.06,0,98.56,4.2
2024,1,5,4.49,12.23,56.44,0,98.68,4.45
2024,1,6,4.47,12.35,47.31,0,98.67,2.59
2024,1,7,4.55,14.81,42.94,0,98.5,1.59
2024,1,8,4.57,14.37,32,0,98.47,2.41
2024,1,9,3.94,11.97,32.31,0,98.4,3.88
2024,1,10,4.61,10.82,40.31,0,98.54,4.62
2024,1,11,4.53,10.43,66.31,0,98.61,4.39
2024,1,12,4.19,10.2,57.19,0,98.47,3.07
2024,1,13,4.62,12.56,41.81,0,98.15,3.34
2024,1,14,4.5,11.26,62.75,0,98.45,3.82
2024,1,15,4.72,10.97,65.25,0,98.88,3.78
2024,1,16,4.84,10.36,55.56,0,98.89,3.42
2024,1,17,4.78,10.63,45.25,0,98.75,4.11
2024,1,18,4.78,11.92,39.56,0,98.75,3.55
2024,1,19,4.77,12.85,43,0,98.67,3.27
2024,1,20,4.76,14.26,47.44,0,98.66,3.65
2024,1,21,4.71,16.08,32.75,0,98.43,2.33
2024,1,22,4.5,14.9,39.38,0,98.4,4.01
2024,1,23,4.12,12.8,63.38,0,98.75,4.88
2024,1,24,4.47,10.48,57.12,0,98.79,4.44
2024,1,25,4.33,9.8,55.75,0,98.67,4.91
2024,1,26,4.93,10.4,61.56,0,98.73,5.2
2024,1,27,4.84,11.89,64.06,0,98.82,4.62
2024,1,28,4.89,10.51,54.62,0,98.78,3.12
2024,1,29,5.02,10.6,54.62,0,98.72,3.88
2024,1,30,5.1,8.75,58.31,0,98.95,4.56
2024,1,31,5.17,8.37,52.62,2.75,98.93,4.24
2024,2,1,4.93,6.83,74.88,3.35,98.91,4.62
2024,2,2,4.85,8.14,68.69,0.98,98.93,3.95
2024,2,3,5.2,8.36,61.62,0.18,98.96,3.27
2024,2,4,5.21,8.64,49.94,0,99.01,3.8
2024,2,5,5.23,9.6,60.44,0,99.1,4.16
2024,2,6,5.28,10.54,67.25,0,99.2,4.09
2024,2,7,5.47,11.89,58.5,0,98.91,3.3
