YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,3.74,7.28,76.12,0,90.59,2.37
2014,1,2,4.12,8.72,60.25,0,90.62,1.92
2014,1,3,4.07,9.19,55.44,0,90.56,2.76
2014,1,4,3.89,8.69,74.69,0,90.37,3.54
2014,1,5,3.75,8.12,78.12,0,90.41,5.29
2014,1,6,4.19,7.2,60.12,0.01,90.62,5.11
2014,1,7,3.98,8.62,41.25,0,90.52,2.77
2014,1,8,4.13,8.9,46.06,0,90.3,2.91
2014,1,9,3.69,9.08,65.56,4.66,90.2,2.34
2014,1,10,3.47,6.83,82.44,0.67,90.52,4.3
2014,1,11,4.09,6.66,80.38,0.01,90.99,3.96
2014,1,12,4.28,8.35,58.06,0,91.05,2.02
2014,1,13,4.05,10.3,45.81,0,90.75,2.13
2014,1,14,3.69,11.78,44.12,0,90.43,2.79
2014,1,15,4.35,11.55,36.75,0,90.59,1.44
2014,1,16,4.37,11.42,35.94,0,90.54,3.7
2014,1,17,4.28,9.91,57.19,0,90.62,3.62
2014,1,18,4.46,9.01,68.06,0,90.92,5.81
2014,1,19,4.41,11.27,39.12,0,91,2.09
2014,1,20,4.33,13.95,26.56,0,90.84,1.87
2014,1,21,4.2,15.36,22.88,0,90.71,1.61
2014,1,22,4.34,14.77,21.31,0,90.58,2.23
2014,1,23,4.19,12.87,38.19,0,90.61,3.25
2014,1,24,4.76,10.33,44.38,0,90.56,4.1
2014,1,25,4.73,14.21,22.69,0,90.27,2.13
2014,1,26,2.98,13.82,34.06,0,89.82,5.46
2014,1,27,4.47,10.15,62.5,0,89.59,5.55
2014,1,28,4.45,7.71,53.38,0,90,4.11
2014,1,29,4.83,9.86,44.88,0,90.46,2.67
2014,1,30,5,11.51,33.88,0,90.67,2.95
2014,1,31,4.81,13.22,35.12,0,90.6,3.27
2014,2,1,4.26,14.88,24.62,0,90.32,2.62
2014,2,2,3.48,15.25,26.94,0.05,89.83,3.88
2014,2,3,4.31,9.75,72.44,0.02,89.95,4.82
2014,2,4,4.93,9.93,73.94,0.13,90.42,4.1
2014,2,5,5.08,7.59,60.44,0,90.41,3.69
2014,2,6,4.98,6.85,60.62,0,90.32,4.05
