YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,4.16,11.93,66.12,0,91.98,2.67
2024,1,2,4.08,12.08,59.38,0,92,4.34
2024,1,3,4.2,12.45,62.06,0,91.98,3.38
2024,1,4,4.18,12.17,59.81,0,91.91,3.23
2024,1,5,4.27,13.37,45.44,0,91.95,2.8
2024,1,6,4.24,13.93,45.88,0,92.07,2.55
2024,1,7,4.28,16.01,42.19,0,91.99,2.7
2024,1,8,4.28,17.34,28.44,0,91.98,1.9
2024,1,9,3.75,15.53,30.44,0,91.8,2.8
2024,1,10,4.33,11.04,29.06,0,91.84,4.43
2024,1,11,4.29,9.03,63.75,0,91.83,4.14
2024,1,12,4.29,8.69,60.56,0,91.74,3.49
2024,1,13,4.4,10.28,49.69,0,91.55,3.58
2024,1,14,4.35,9.05,65.62,0,91.71,3.52
2024,1,15,4.51,9.01,56,0,92.11,2.93
2024,1,16,4.53,10.13,42.69,0,92.15,3.04
2024,1,17,4.4,11.23,38.94,0,91.95,3.19
2024,1,18,4.56,12.73,32.56,0,92.08,2.7
2024,1,19,4.57,13.73,31.31,0,92.04,1.99
2024,1,20,4.58,16.66,22.5,0,92.05,1.73
2024,1,21,4.04,16.9,23.31,0,91.9,1.46
2024,1,22,4.67,14.61,32,0,91.8,2.8
2024,1,23,3.45,9.87,70.44,0,92.01,4.47
2024,1,24,4.23,9.4,64.75,0,91.99,3.91
2024,1,25,4.67,8.98,63.44,0,91.78,4.52
2024,1,26,4.54,8.51,70.5,1.04,91.84,5.02
2024,1,27,4.44,8.65,73.75,1.99,92.03,5.33
2024,1,28,4.59,8.2,63.12,0.01,92.02,3.08
2024,1,29,4.81,7.4,64.94,0.04,91.92,3.98
2024,1,30,4.92,6.2,65.56,0.32,92.08,4.88
2024,1,31,4.86,5.34,62.88,0.02,92.06,4.02
2024,2,1,4.69,5.55,74.44,0.26,91.99,4.23
2024,2,2,3.73,6.18,80,0.24,92.07,3.61
2024,2,3,5,7.44,63.12,0.01,92.17,3.27
2024,2,4,5.17,7.91,49.31,0,92.19,3.72
2024,2,5,5.18,8.34,61.44,0,92.24,4
2024,2,6,5.25,9.98,62.81,0,92.39,3.66
2024,2,7,5.3,11.58,51.12,0,92.25,2.87
2024,2,8,5.29,13.29,34.38,0,91.94,3.03
2024,2,9,5.37,13.87,29.25,0,91.71,3.51
2024,2,10,5.42,11.4,45.25,0,91.78,4.18
2024,2,11,5.56,12.63,48.88,0,92.05,2.36
2024,2,12,3.9,13.12,37.69,0,91.8,4.1
2024,2,13,4.86,14.42,48.19,0,91.29,4.46
2024,2,14,4.77,11.52,57.62,0.22,91.22,3.59
2024,2,15,4.4,10.69,60.69,0.05,91.35,3.75
2024,2,16,4.96,8.9,73.44,0.03,91.75,4.1
2024,2,17,5.3,9.13,63.62,0,92.19,4.23
2024,2,18,5.68,10.26,60.38,0,92.15,3.73
2024,2,19,5.78,9.79,60.88,0,91.94,4.37
2024,2,20,5.65,9.82,52.31,0,91.94,3.81
2024,2,21,5.69,12.54,34.25,0,91.87,2.97
2024,2,22,5.06,15.3,25.56,0,91.84,3.09
2024,2,23,2.63,14.98,34.5,0.38,91.91,2.19
2024,2,24,5.72,13.48,51.44,1.02,91.91,4.38
2024,2,25,5.99,13.3,43.38,0,91.89,3.32
2024,2,26,6.17,15.31,23.38,0,91.53,2.09
2024,2,27,5.82,12.77,45.06,0,91.54,4.83
2024,2,28,6.04,13.03,52.94,0,91.77,3.41
2024,2,29,6.16,15.24,30.62,0,91.84,2.61
2024,3,1,6.14,16.44,20.75,0,91.66,4.12
2024,3,2,5.33,16.37,28.44,0,91.63,3.67
2024,3,3,5.75,13.03,43.31,0,91.64,4.61
2024,3,4,5.85,14.01,41.06,0,91.62,4.04
2024,3,5,5.88,15.98,22.31,0,91.65,3.2
2024,3,6,5.92,15.65,28.44,0,91.71,4.2
2024,3,7,5.84,12.34,49.19,0,91.8,4.56
2024,3,8,5.96,13.23,39.62,0,91.77,3.66
2024,3,9,5.17,14.95,32.31,0,91.7,2.65
2024,3,10,6.07,15.89,32.94,0,91.59,4
2024,3,11,6.2,16.12,21.69,0,91.96,2.74
2024,3,12,6.24,18.55,17.06,0,91.88,2.94
2024,3,13,6.21,19.26,12.38,0,91.63,2.98
2024,3,14,4.07,17.62,24.56,0,91.69,4.26
2024,3,15,6.19,15.2,30.19,0,91.79,4.48
2024,3,16,5.93,17.49,25.94,0,91.79,3.41
2024,3,17,3.56,20.15,28.5,1.66,91.3,3.49
2024,3,18,5.78,14.58,60.62,3.05,91.2,6.02
2024,3,19,6.38,10.88,63.62,0.68,91.62,5.4
2024,3,20,6.46,13.45,42.38,0,91.89,2.58
2024,3,21,6.39,16.87,31.62,0,91.67,3.58
2024,3,22,6.61,13.23,41.5,0,91.44,4.84
2024,3,23,6.54,12.04,40,0,91.2,3.82
2024,3,24,5.55,10.4,57.06,0.41,91.08,5.41
2024,3,25,6.62,11.58,47.38,0.02,91.71,3.45
2024,3,26,6.63,16.46,28,0,92.04,1.77
2024,3,27,6.55,20.78,21.31,0,91.94,2.89
2024,3,28,5.14,21.68,18.69,0,91.79,2.38
2024,3,29,5.79,20.3,29.38,0,91.46,4.98
2024,3,30,6.68,20.19,34.19,0,91.57,3.99
2024,3,31,6.78,20.82,38.12,0,91.79,6.04
2024,4,1,6.36,22.12,39.12,0.02,91.65,3.46
2024,4,2,6.32,22.86,37.25,0.04,91.49,3.31
2024,4,3,6.55,22.49,35.31,0,91.54,3.39
2024,4,4,6.55,22.97,28.25,0,91.69,3.01
2024,4,5,6.7,22.18,21.56,0,91.71,3.82
2024,4,6,6.77,18.73,24,0,91.52,5.22
2024,4,7,6.86,15.85,39.19,0,91.27,5.01
2024,4,8,6.79,16.85,41.06,0,91.21,3.85
2024,4,9,6.84,16.67,39.38,0,91.26,4.12
2024,4,10,6.92,15.56,42.25,0,91.55,4.2
2024,4,11,6.9,17.61,41,0,91.65,3.6
2024,4,12,6.95,19.23,37.75,0,91.54,4.73
2024,4,13,7,19.04,34.19,0,91.47,6.06
2024,4,14,6.98,19.05,43.5,0,91.42,6.94
2024,4,15,7.07,18.11,43.69,0,91.49,6.02
2024,4,16,7.02,20.73,37.69,0,91.63,2.81
2024,4,17,7.06,23.08,22.88,0,91.44,3.59
2024,4,18,6.89,23.16,23.38,0,91.45,3.49
2024,4,19,7.22,21.58,31.94,0,91.31,4.09
2024,4,20,7.43,21.48,24.56,0,91.22,4.2
2024,4,21,7.23,21.48,28.88,0,91.6,4.99
2024,4,22,7.32,23.21,17,0,91.81,3.98
2024,4,23,7.18,26.25,12.31,0,91.78,3.6
2024,4,24,7.38,27.32,10.69,0,91.44,2.77
2024,4,25,7.16,28.12,10.81,0,91.13,3.85
2024,4,26,7.2,24.87,20.44,0,91.1,2.71
2024,4,27,7.16,21.92,38.19,0.01,91.17,3.12
2024,4,28,7.17,22.73,36,0,91.22,3.8
2024,4,29,7.22,23.11,43.88,0,91.16,3.94
2024,4,30,7.41,21.51,40.81,0,91.13,4.7
2024,5,1,7.57,21.1,40.06,0,91.18,4.52
2024,5,2,7.49,22.14,38.75,0,91.26,4.89
2024,5,3,7.45,22.54,27.62,0,91.44,5.54
2024,5,4,7.69,22.51,24.06,0,91.43,3.77
2024,5,5,7.6,20.76,28.06,0,91.36,5.59
2024,5,6,7.71,16.98,42.44,0,91.48,5.27
2024,5,7,7.75,18.38,31.06,0,91.67,4.11
2024,5,8,7.8,19.93,22.19,0,91.58,3.34
2024,5,9,7.72,24.84,12.56,0,91.38,2.66
2024,5,10,7.75,28.78,10.25,0,91.33,2.53
2024,5,11,7.67,25.87,21.25,0,91.42,3.59
