YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2.98,13.19,69.88,0,100.4,1.83
2014,1,2,3.7,13.23,62.5,0,100.46,2.22
2014,1,3,3.65,12.37,75.38,0,100.41,2.7
2014,1,4,3.45,12.55,81.38,0.04,100.26,2.74
2014,1,5,3.2,13.07,77.69,0.08,100.29,3.91
2014,1,6,3.77,11.91,69.62,0,100.52,3.6
2014,1,7,3.69,12.8,62.38,0,100.25,3.3
2014,1,8,3.7,14.49,49.62,0,99.95,3.23
2014,1,9,2.21,11.8,70.19,6.21,100.03,3.16
2014,1,10,3.43,12.24,74.12,0.52,100.39,3.83
2014,1,11,3.89,11.9,74.69,0,100.89,2.77
2014,1,12,3.88,13.26,69.12,0,100.93,1.77
2014,1,13,3.57,14.12,66.56,0,100.53,2.84
2014,1,14,3.62,15.09,64.44,0.01,100.09,2.67
2014,1,15,4.08,13.42,71.94,0.01,100.33,3.81
2014,1,16,4.08,15.47,47.19,0,100.11,2.88
2014,1,17,3.84,14.18,59.19,0,100.36,3.24
2014,1,18,4.15,13.43,76.75,0,100.78,4.03
2014,1,19,4.12,14.41,59.81,0,100.71,3.24
2014,1,20,4.17,15.48,40.94,0,100.49,1.99
2014,1,21,4.11,16.44,35.38,0,100.32,1.28
2014,1,22,3.98,16.81,33.38,0,100.2,1.8
2014,1,23,4.07,14.04,67.88,0,100.4,3.62
2014,1,24,4.24,13.45,72,0,100.38,3.73
2014,1,25,4.3,15.97,47.88,0,99.76,3.07
2014,1,26,3.22,17.26,46.81,0.03,99.16,5.37
2014,1,27,3.42,13.98,52.56,0,99.18,3.72
2014,1,28,4.01,13.08,49.5,0,99.65,4.37
2014,1,29,4.34,14.8,38.88,0,100.15,1.68
2014,1,30,4.41,14.8,48.75,0,100.48,3.3
2014,1,31,4.38,14.46,67.5,0.01,100.36,4.74
2014,2,1,4.18,14.78,69.75,0,100.02,4.61
2014,2,2,3.21,16.05,60.56,1.75,99.3,3.01
2014,2,3,3.32,14.15,70.12,1.66,99.6,3.59
2014,2,4,4.29,14.29,72,1.16,100.18,3.47
2014,2,5,4.4,12.3,62.5,0.04,100.33,4.02
2014,2,6,4.18,11.85,62.69,0.14,100.15,2.98
2014,2,7,4.59,12.07,63.81,0,100.27,3.59
2014,2,8,4.67,11.69,69.31,0,100.55,4.24
2014,2,9,4.85,12.67,60.56,0,100.56,2.79
