YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,12.05,100,0,101.5,1.51
2024,1,1,1,0,11.74,100,0,101.5,1.49
2024,1,1,2,0,11.25,100,0,101.5,1.66
2024,1,1,3,0,10.67,100,0,101.49,1.91
2024,1,1,4,0,10.19,100,0,101.52,2.12
2024,1,1,5,0,9.88,100,0,101.56,2.23
2024,1,1,6,0,9.78,100,0,101.61,2.2
2024,1,1,7,73.57,11.64,100,0,101.63,1.92
2024,1,1,8,252.98,14.33,86,0,101.66,2.18
2024,1,1,9,419.82,17.43,69.75,0,101.68,2.63
2024,1,1,10,538.62,19.06,60.56,0,101.64,2.57
2024,1,1,11,577.58,20.28,53.94,0,101.56,2.41
2024,1,1,12,516.37,21.11,49.69,0,101.45,2.32
2024,1,1,13,469.73,21.47,47.75,0,101.36,2.27
2024,1,1,14,351.32,21.19,48.38,0,101.31,2.15
2024,1,1,15,202.95,20.58,50.81,0,101.3,2.07
2024,1,1,16,51.03,18.48,68.12,0,101.31,1.72
2024,1,1,17,0,16.99,72.75,0,101.35,2.29
2024,1,1,18,0,16.65,74.38,0,101.4,2.48
2024,1,1,19,0,16.5,76.81,0,101.45,2.53
2024,1,1,20,0,16.17,81,0,101.49,2.51
2024,1,1,21,0,15.51,86.5,0,101.52,2.3
2024,1,1,22,0,14.97,90.38,0,101.54,2.1
2024,1,1,23,0,13.65,98.44,0,101.52,2.18
2024,1,2,0,0,12.85,100,0,101.49,2.18
2024,1,2,1,0,12.29,100,0,101.48,2.27
2024,1,2,2,0,11.72,100,0,101.46,2.45
2024,1,2,3,0,11.25,100,0,101.45,2.59
2024,1,2,4,0,10.9,100,0,101.45,2.66
2024,1,2,5,0,10.66,100,0,101.47,2.63
2024,1,2,6,0,10.51,100,0,101.5,2.66
2024,1,2,7,69.95,12.46,100,0,101.54,2.83
2024,1,2,8,249.62,15.37,84.06,0,101.59,3.73
2024,1,2,9,420.16,18.71,65.06,0,101.64,4.58
2024,1,2,10,530.85,20.24,56.69,0,101.64,4.81
2024,1,2,11,586.29,21.33,51.19,0,101.58,4.83
2024,1,2,12,556.69,22.02,48,0,101.5,4.94
2024,1,2,13,477.08,22.24,46.62,0,101.44,4.94
2024,1,2,14,366.59,21.98,47.06,0,101.41,4.94
2024,1,2,15,221.62,21.19,49.62,0,101.43,4.8
2024,1,2,16,60.59,18.64,62.31,0,101.47,3.04
2024,1,2,17,0,16.42,73.69,0,101.53,2.87
2024,1,2,18,0,15.69,77.88,0,101.59,2.92
2024,1,2,19,0,14.7,83.75,0,101.63,2.87
2024,1,2,20,0,13.67,90.56,0,101.65,2.74
2024,1,2,21,0,12.98,96.5,0,101.66,2.61
2024,1,2,22,0,12.44,100,0,101.66,2.45
2024,1,2,23,0,12.02,100,0,101.63,2.22
2024,1,3,0,0,11.73,100,0,101.6,1.99
2024,1,3,1,0,11.35,100,0,101.59,2
2024,1,3,2,0,10.94,100,0,101.59,2.14
2024,1,3,3,0,10.65,100,0,101.56,2.26
