YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,14.94,85.81,0.01,102.01,1.42
2024,1,1,1,0,14.8,86.62,0.01,102.02,1.44
2024,1,1,2,0,14.66,87.5,0,102.03,1.64
2024,1,1,3,0,14.31,89.69,0,102.02,1.9
2024,1,1,4,0,14.14,90.69,0,102.03,2.01
2024,1,1,5,0,14.19,90.38,0,102.05,1.92
2024,1,1,6,0,14.26,89.88,0,102.09,1.8
2024,1,1,7,48.09,14.82,87.06,0,102.12,1.65
2024,1,1,8,230.8,17.04,76.62,0,102.14,1.64
2024,1,1,9,387.83,18.23,68.06,0,102.17,1.39
2024,1,1,10,421.23,19.4,59.12,0,102.15,1.24
2024,1,1,11,569.09,20.25,53.56,0,102.08,1.25
2024,1,1,12,540.59,20.76,50.75,0,101.98,1.57
2024,1,1,13,417.18,20.71,50.81,0,101.92,2.16
2024,1,1,14,379.91,20.32,53.06,0,101.89,2.92
2024,1,1,15,182.41,19.73,56.94,0,101.88,3.59
2024,1,1,16,53.02,18.65,64.44,0,101.9,3.5
2024,1,1,17,0,17.52,73,0,101.93,3.3
2024,1,1,18,0,17.15,76.56,0,101.98,3.31
2024,1,1,19,0,16.71,78.38,0,102.03,3.14
2024,1,1,20,0,15.83,80.88,0,102.06,3.13
2024,1,1,21,0,15.33,81.94,0,102.07,3.06
2024,1,1,22,0,15.11,82.19,0,102.06,2.94
2024,1,1,23,0,14.87,83.5,0,102.04,3.01
2024,1,2,0,0,14.58,86.38,0,102,3.27
2024,1,2,1,0,14.35,89.69,0,101.97,3.61
2024,1,2,2,0,14.37,92.06,0,101.96,3.9
2024,1,2,3,0,14.57,92.94,0,101.94,3.99
2024,1,2,4,0,14.62,93.25,0,101.9,3.9
2024,1,2,5,0,14.59,92.25,0,101.92,3.87
2024,1,2,6,0,14.74,90.56,0,101.96,3.74
2024,1,2,7,52.64,15.82,84.62,0,102.01,3.53
2024,1,2,8,227.61,18.97,67.88,0,102.08,4.51
2024,1,2,9,401.08,20.43,58.31,0,102.14,5.2
2024,1,2,10,532.84,21.24,54.75,0,102.16,5.46
2024,1,2,11,614.19,21.74,52.75,0,102.12,5.52
2024,1,2,12,599.71,22.01,51.5,0,102.04,5.38
2024,1,2,13,523.66,21.96,51.44,0,102,5.4
2024,1,2,14,414.12,21.53,52.88,0,101.98,5.41
2024,1,2,15,255.54,20.8,56,0,102,5.36
2024,1,2,16,80.91,19.33,63.62,0,102.03,4.54
2024,1,2,17,0,17.23,75.75,0,102.08,3.96
2024,1,2,18,0,16.76,79.5,0,102.12,4.02
2024,1,2,19,0,16.32,82.19,0,102.14,3.93
2024,1,2,20,0,15.93,84,0,102.14,3.78
2024,1,2,21,0,15.58,85.31,0,102.14,3.61
2024,1,2,22,0,15.3,86.69,0,102.13,3.35
2024,1,2,23,0,15.06,87.94,0,102.1,3.05
2024,1,3,0,0,14.85,88.94,0,102.09,2.86
2024,1,3,1,0,14.69,88.69,0,102.1,2.84
2024,1,3,2,0,14.48,87.12,0,102.08,2.92
2024,1,3,3,0,14.45,85.25,0,102.05,2.93
2024,1,3,4,0,14.58,83.38,0,102.02,2.82
2024,1,3,5,0,14.62,81.81,0,102.02,2.69
2024,1,3,6,0,14.58,80.25,0,102.04,2.58
2024,1,3,7,53.68,15.19,77.5,0,102.08,2.46
2024,1,3,8,236.16,17.38,64.56,0,102.1,3.06
2024,1,3,9,416.07,18.31,59.06,0,102.15,3.26
2024,1,3,10,549.16,19.11,55.75,0,102.15,3.54
2024,1,3,11,620.64,19.87,52.81,0,102.09,3.79
2024,1,3,12,622.6,20.48,50.69,0,102.01,3.87
2024,1,3,13,565.43,20.74,49.69,0,101.94,3.97
2024,1,3,14,444.26,20.58,50.31,0,101.92,4.11
2024,1,3,15,277.55,19.94,53.25,0,101.91,4.14
2024,1,3,16,87.39,18.26,62.38,0,101.9,3.28
2024,1,3,17,0,15.9,75.88,0,101.92,3.17
2024,1,3,18,0,15.3,80.94,0,101.95,3.26
2024,1,3,19,0,14.87,84.19,0,101.99,3.26
2024,1,3,20,0,14.54,86.69,0,102.01,3.26
2024,1,3,21,0,14.3,88.81,0,102.02,3.3
2024,1,3,22,0,14.12,90.38,0,102.02,3.29
2024,1,3,23,0,14.11,91,0,101.99,3.14
2024,1,4,0,0,14.43,89.44,0,101.95,2.76
2024,1,4,1,0,15.01,86.19,0,101.9,2.25
2024,1,4,2,0,15.44,83.69,0,101.86,1.83
2024,1,4,3,0,15.26,84.5,0,101.83,1.86
2024,1,4,4,0,14.76,87.25,0,101.83,2.2
2024,1,4,5,0,14.24,90.06,0,101.87,2.52
2024,1,4,6,0,13.9,91.69,0,101.92,2.74
2024,1,4,7,52.09,14.62,87.75,0,101.95,2.73
2024,1,4,8,230.69,17.7,72.19,0,102.01,3.42
2024,1,4,9,409.82,19.61,59.38,0,102.07,3.73
2024,1,4,10,544.95,20.54,54.06,0,102.07,4.27
2024,1,4,11,621.38,21.13,50.38,0,102.02,4.95
2024,1,4,12,623.48,21.43,47.88,0,101.94,5.38
2024,1,4,13,568.59,21.37,46.56,0,101.88,5.55
2024,1,4,14,450.08,20.88,46.88,0,101.85,5.55
2024,1,4,15,284.61,19.98,49.12,0,101.85,5.33
2024,1,4,16,92.05,18.15,57,0,101.85,3.91
2024,1,4,17,0,15.53,68.81,0,101.87,3.24
2024,1,4,18,0,14.84,71.75,0,101.89,3.11
2024,1,4,19,0,14.38,72.94,0,101.9,2.97
2024,1,4,20,0,14.01,73.25,0,101.92,2.98
2024,1,4,21,0,13.67,73.31,0,101.93,3.07
2024,1,4,22,0,13.39,73,0,101.93,3.15
2024,1,4,23,0,13.14,73.38,0,101.93,3.22
2024,1,5,0,0,12.94,74.31,0,101.92,3.22
2024,1,5,1,0,12.75,75.62,0,101.92,3.22
2024,1,5,2,0,12.4,77.81,0,101.91,3.36
2024,1,5,3,0,12.12,79.5,0,101.91,3.5
2024,1,5,4,0,11.97,80.5,0,101.92,3.52
2024,1,5,5,0,11.88,82.19,0,101.96,3.57
2024,1,5,6,0,11.84,84.88,0,101.99,3.7
2024,1,5,7,45.55,13.12,81.69,0,102.02,3.88
2024,1,5,8,211.81,16.17,69.69,0,102.05,4.6
2024,1,5,9,387.53,18.37,60.94,0,102.07,4.24
2024,1,5,10,521.84,20.23,56.69,0,102.03,4.08
2024,1,5,11,588.29,21.15,54.81,0,101.96,4.02
2024,1,5,12,609.85,21.58,54,0,101.89,4.1
2024,1,5,13,550.39,21.62,54.62,0,101.87,4.34
2024,1,5,14,442.12,21.17,57.31,0,101.88,4.6
2024,1,5,15,259.52,20.49,61.44,0,101.93,4.63
2024,1,5,16,77.69,19.14,69.5,0,101.99,3.67
2024,1,5,17,0,17.45,80.38,0,102.04,3.08
2024,1,5,18,0,16.84,85.56,0,102.08,3.03
2024,1,5,19,0,16.33,89.75,0,102.12,2.93
2024,1,5,20,0,15.89,93.19,0,102.11,2.81
2024,1,5,21,0,15.53,95.56,0,102.09,2.65
2024,1,5,22,0,15.44,95.88,0,102.06,2.45
2024,1,5,23,0,15.55,94.81,0,102.02,2.29
2024,1,6,0,0,15.6,94.12,0,102.01,2.2
2024,1,6,1,0,15.65,93.31,0,102,2.03
2024,1,6,2,0,15.66,92.88,0,101.99,1.88
2024,1,6,3,0,15.56,93.12,0,101.96,1.83
2024,1,6,4,0,15.45,93.5,0,101.98,1.8
2024,1,6,5,0,15.33,93.75,0,102.02,1.73
2024,1,6,6,0,14.96,95.5,0,102.07,1.65
2024,1,6,7,54.26,15.52,91.81,0,102.1,1.41
2024,1,6,8,235.69,17.71,79.38,0,102.13,1.13
2024,1,6,9,411.99,19.76,65.75,0,102.16,0.73
2024,1,6,10,541.18,21.02,58,0,102.12,1.43
2024,1,6,11,615.8,21.83,53.69,0,102.04,1.45
2024,1,6,12,618.17,22.35,50.81,0,101.95,1.38
2024,1,6,13,461.27,22.9,48.56,0,101.88,1.38
2024,1,6,14,363.07,22.93,47.69,0,101.84,1.36
2024,1,6,15,265.05,22.51,48.56,0,101.84,1.32
2024,1,6,16,91.16,21.09,59.12,0,101.85,1.09
2024,1,6,17,0,19.48,61.5,0,101.85,1.53
2024,1,6,18,0,18.64,64.19,0,101.86,1.81
2024,1,6,19,0,17.91,67.19,0,101.86,2.01
2024,1,6,20,0,17.14,70.69,0,101.84,2.24
2024,1,6,21,0,16.3,74.81,0,101.8,2.46
2024,1,6,22,0,15.49,79.19,0,101.77,2.59
2024,1,6,23,0,14.83,83,0,101.75,2.56
2024,1,7,0,0,14.33,85.81,0,101.72,2.51
2024,1,7,1,0,13.88,88.06,0.01,101.69,2.5
