YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,8.73,79.19,0,99.97,1.71
2014,1,1,3,0,8.3,81.88,0,99.96,1.65
2014,1,1,4,0,8.19,83.38,0,99.99,1.57
2014,1,1,5,0,8.26,84,0,100.01,1.65
2014,1,1,6,0,8.04,86.25,0,100.04,1.82
2014,1,1,7,92.38,9.44,79.12,0,100.09,1.8
2014,1,1,8,284.7,12.2,66.5,0,100.14,1.74
2014,1,1,9,465.71,16.29,52.69,0,100.17,2.01
2014,1,1,10,596.59,18.51,45.5,0,100.15,2.6
2014,1,1,11,635.93,19.74,41.5,0,100.08,2.85
2014,1,1,12,636.19,20.51,39.06,0,99.98,3.2
2014,1,1,13,564.77,20.86,37.81,0,99.9,3.54
2014,1,1,14,441.84,20.74,37.56,0,99.85,3.9
2014,1,1,15,255.8,20.1,38.75,0,99.86,4.32
2014,1,1,16,72.8,17.88,44.56,0,99.92,3.22
2014,1,1,17,0,14.63,55.44,0,99.98,3.13
2014,1,1,18,0,13.66,59.81,0,100.05,3.14
2014,1,1,19,0,12.8,64.12,0,100.11,3.03
2014,1,1,20,0,12.05,68.12,0,100.14,2.96
2014,1,1,21,0,11.33,72.12,0,100.15,2.95
2014,1,1,22,0,10.62,76.12,0,100.13,2.95
2014,1,1,23,0,10.02,79.5,0,100.12,2.87
2014,1,2,0,0,9.51,82.38,0,100.11,2.73
2014,1,2,1,0,9.03,85,0,100.1,2.64
2014,1,2,2,0,8.62,87.19,0,100.07,2.56
2014,1,2,3,0,8.31,88.62,0,100.06,2.4
2014,1,2,4,0,8.15,89,0,100.08,2.19
2014,1,2,5,0,8.13,88.62,0,100.13,1.85
2014,1,2,6,0,8.21,87.75,0,100.18,1.5
2014,1,2,7,100.98,9.4,80.69,0,100.22,1.19
2014,1,2,8,302.62,11.8,68.81,0,100.25,1.26
2014,1,2,9,483.66,15.94,53.69,0,100.25,3.05
2014,1,2,10,615.3,18.62,44.31,0,100.18,4.23
2014,1,2,11,674.45,19.8,40,0,100.08,4.27
2014,1,2,12,673.38,20.58,37.25,0,99.97,4.19
2014,1,2,13,603.64,20.98,35.56,0,99.88,4.25
2014,1,2,14,465.45,20.89,35.12,0,99.86,4.43
2014,1,2,15,281.77,20.23,36.31,0,99.87,4.54
2014,1,2,16,83.17,17.61,43,0,99.91,3.11
2014,1,2,17,0,14.35,53.5,0,99.98,3.26
2014,1,2,18,0,13.41,57.31,0,100.05,3.32
2014,1,2,19,0,12.53,61,0,100.1,3.27
2014,1,2,20,0,11.76,64.5,0,100.1,3.09
2014,1,2,21,0,11.05,67.94,0,100.09,2.92
2014,1,2,22,0,10.26,71.88,0,100.07,2.79
2014,1,2,23,0,9.76,74.69,0,100.07,2.62
2014,1,3,0,0,9.29,77.12,0,100.06,2.46
