YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,11.34,86.19,0,100.09,2.95
2024,1,1,1,0,10.75,90.56,0,100.08,2.8
2024,1,1,2,0,10.28,93.69,0,100.05,2.66
2024,1,1,3,0,9.91,96.06,0,100.04,2.46
2024,1,1,4,0,9.65,98.12,0,100.06,2.25
2024,1,1,5,0,9.37,100,0,100.11,2.13
2024,1,1,6,0,9.05,100,0,100.17,2.08
2024,1,1,7,105.19,10.8,93.75,0,100.21,2.12
2024,1,1,8,305.71,13.4,79.5,0,100.25,2.35
2024,1,1,9,483.23,17.53,59.19,0,100.26,4.04
2024,1,1,10,610.14,20.03,47.44,0,100.2,4.68
2024,1,1,11,676.37,21.25,42.06,0,100.13,4.52
2024,1,1,12,672.45,21.95,38.69,0,100.03,4.39
2024,1,1,13,599.12,22.23,36.88,0,99.96,4.41
2024,1,1,14,457.86,21.98,36.69,0,99.9,4.64
2024,1,1,15,270.05,21.2,38.25,0,99.89,4.9
2024,1,1,16,74.54,19.13,43.88,0,99.91,3.82
2024,1,1,17,0,15.98,54.5,0,99.96,3.39
2024,1,1,18,0,15.26,58.31,0,100.03,3.68
2024,1,1,19,0,14.6,61.94,0,100.09,3.84
2024,1,1,20,0,13.88,65.69,0,100.12,3.8
2024,1,1,21,0,13.12,69.44,0,100.14,3.65
2024,1,1,22,0,12.4,72.94,0,100.14,3.56
2024,1,1,23,0,11.7,76.44,0,100.13,3.47
2024,1,2,0,0,10.99,80.38,0,100.13,3.29
2024,1,2,1,0,10.34,84.44,0,100.13,3.16
2024,1,2,2,0,9.75,88.62,0,100.12,3.05
2024,1,2,3,0,9.13,93.25,0,100.11,2.86
2024,1,2,4,0,8.58,97.69,0,100.13,2.69
2024,1,2,5,0,8.12,100,0,100.17,2.62
2024,1,2,6,0,7.77,100,0,100.22,2.6
2024,1,2,7,104.16,9.65,93.62,0,100.27,3.4
2024,1,2,8,307.33,12.15,80.94,0,100.32,3.49
2024,1,2,9,488.98,16.34,64.5,0,100.36,5.11
2024,1,2,10,617.62,19.65,49.25,0,100.32,6.21
2024,1,2,11,675.9,21.01,42.31,0,100.24,6.28
2024,1,2,12,671.63,21.93,37.44,0,100.16,6.38
2024,1,2,13,598.21,22.37,34.69,0,100.1,6.42
2024,1,2,14,462.81,22.26,34,0,100.07,6.34
2024,1,2,15,281.01,21.57,35.25,0,100.07,6.07
2024,1,2,16,83.7,19.35,40.88,0,100.09,4.21
2024,1,2,17,0,16.01,51.44,0,100.13,3.55
2024,1,2,18,0,15.23,55.38,0,100.18,3.72
2024,1,2,19,0,14.51,59.44,0,100.22,3.75
2024,1,2,20,0,13.83,63.88,0,100.22,3.78
2024,1,2,21,0,13.22,68.5,0,100.23,3.83
2024,1,2,22,0,12.6,73.31,0,100.24,3.84
2024,1,2,23,0,11.98,78.19,0,100.21,3.8
2024,1,3,0,0,11.3,83.12,0,100.18,3.59
2024,1,3,1,0,10.68,87.81,0,100.15,3.35
2024,1,3,2,0,10.16,91.94,0,100.11,3.17
2024,1,3,3,0,9.73,95.69,0,100.06,3.06
2024,1,3,4,0,9.39,99.75,0,100.05,3.01
2024,1,3,5,0,9,100,0,100.09,2.85
2024,1,3,6,0,8.67,100,0,100.14,2.73
2024,1,3,7,107.3,10.86,96.44,0,100.16,2.73
2024,1,3,8,311.34,13.73,79.81,0,100.2,2.76
2024,1,3,9,492.29,17.51,58.44,0,100.24,3.4
2024,1,3,10,623.81,20.59,42.25,0,100.21,3.72
2024,1,3,11,686.77,22.14,35.19,0,100.13,3.55
2024,1,3,12,645.23,22.97,31.31,0,100.04,4.11
2024,1,3,13,579.27,23.24,29.31,0,99.95,4.71
2024,1,3,14,416.48,22.98,28.75,0,99.88,5.11
2024,1,3,15,275.86,22.06,29.94,0,99.86,5.32
2024,1,3,16,92.79,19.76,34.62,0,99.88,3.96
2024,1,3,17,0,16.16,44.31,0,99.92,3.47
2024,1,3,18,0,15.12,48.5,0,99.98,3.68
2024,1,3,19,0,14.29,52.44,0,100.02,3.72
2024,1,3,20,0,13.4,56.75,0,100.03,3.61
2024,1,3,21,0,12.49,61.31,0,100.03,3.46
2024,1,3,22,0,11.69,65.5,0,100.02,3.42
2024,1,3,23,0,10.99,69.44,0,100.01,3.35
2024,1,4,0,0,10.34,73.62,0,100.01,3.2
2024,1,4,1,0,9.82,77.5,0,100,3.07
2024,1,4,2,0,9.4,81.25,0,99.97,2.99
2024,1,4,3,0,9,85.19,0,99.93,2.85
2024,1,4,4,0,8.62,89.25,0,99.93,2.66
2024,1,4,5,0,8.31,93,0,99.98,2.35
2024,1,4,6,0,8.16,96.25,0,100.04,1.96
2024,1,4,7,99.55,9.92,87.94,0,100.09,1.61
2024,1,4,8,299.87,12.22,76.88,0,100.15,1.72
2024,1,4,9,481.09,15.88,59.81,0,100.19,3.07
2024,1,4,10,609.09,19.62,44.12,0,100.15,4.68
2024,1,4,11,678.9,21.15,37.56,0,100.06,5.45
2024,1,4,12,676.7,21.91,33.88,0,99.97,6.05
2024,1,4,13,607.05,22.25,31.81,0,99.91,6.51
2024,1,4,14,472.98,21.99,31.56,0,99.88,6.77
2024,1,4,15,292.06,21.24,32.88,0,99.89,6.77
2024,1,4,16,91.4,19.11,37.81,0,99.93,4.95
2024,1,4,17,0,15.81,47.12,0,99.98,3.76
2024,1,4,18,0,14.81,50.56,0,100.03,3.77
2024,1,4,19,0,13.9,54.06,0,100.03,3.69
2024,1,4,20,0,12.96,58,0,100.04,3.54
2024,1,4,21,0,12.01,62.25,0,100.02,3.33
2024,1,4,22,0,11.09,66.44,0,100,3.16
2024,1,4,23,0,10.3,70.31,0,99.98,3.06
2024,1,5,0,0,9.58,73.62,0,100,3.02
2024,1,5,1,0,8.99,76.19,0,100.01,3.06
2024,1,5,2,0,8.51,77.69,0,100.02,3.2
2024,1,5,3,0,8.04,78.56,0,100.02,3.19
2024,1,5,4,0,7.51,79.56,0,100.07,2.99
2024,1,5,5,0,7.07,80.31,0,100.15,2.84
2024,1,5,6,0,6.69,79.94,0,100.23,2.81
2024,1,5,7,104.38,8.33,68.38,0,100.29,3.69
2024,1,5,8,309.77,10.5,57.69,0,100.33,3.58
2024,1,5,9,489.1,13.94,51.88,0,100.34,4.11
2024,1,5,10,622.03,17.71,44.88,0,100.26,5.19
2024,1,5,11,684.88,20.41,38.12,0,100.15,5.82
2024,1,5,12,684.82,21.6,33.69,0,100.04,5.65
2024,1,5,13,615.18,22.28,30.62,0,99.97,5.42
2024,1,5,14,477.42,22.29,29.31,0,99.95,5.31
2024,1,5,15,291.88,21.55,30,0,99.99,5.34
2024,1,5,16,90.1,18.7,35.25,0,100.05,3.75
2024,1,5,17,0,15.32,42.56,0,100.12,3.73
2024,1,5,18,0,14.37,42.88,0,100.18,3.87
2024,1,5,19,0,13.35,43.19,0,100.21,3.74
2024,1,5,20,0,12.3,44.44,0,100.22,3.5
2024,1,5,21,0,11.32,46.5,0,100.2,3.29
2024,1,5,22,0,10.45,49.06,0,100.18,3.1
2024,1,5,23,0,9.73,51.88,0,100.17,2.86
2024,1,6,0,0,9.25,54.19,0,100.17,2.58
2024,1,6,1,0,8.99,55.75,0,100.14,2.27
2024,1,6,2,0,8.84,57,0,100.12,1.97
2024,1,6,3,0,8.54,58.94,0,100.08,1.78
2024,1,6,4,0,8.13,62.12,0,100.08,1.73
