YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,8.12,74.06,0,98.79,2.84
2014,1,1,3,0,7.55,77.94,0,98.79,2.73
2014,1,1,4,0,7.08,80.94,0,98.8,2.65
2014,1,1,5,0,6.66,83.44,0,98.83,2.58
2014,1,1,6,8.49,6.48,84.75,0,98.89,2.49
2014,1,1,7,141.34,9,71.69,0,98.95,3.21
2014,1,1,8,356.08,11.86,59.31,0,99,2.73
2014,1,1,9,541.41,16.01,45.56,0,99,2.85
2014,1,1,10,673.32,19.82,34.56,0,98.93,2.38
2014,1,1,11,724.35,21.48,29.62,0,98.84,1.59
2014,1,1,12,715.48,22.52,26.31,0,98.76,1.62
2014,1,1,13,637.43,23.12,24.12,0,98.68,2.19
2014,1,1,14,495.2,23.09,23.38,0,98.64,2.75
2014,1,1,15,301.97,22.44,23.81,0,98.65,3.13
2014,1,1,16,92.85,20.22,27.25,0,98.68,2.65
2014,1,1,17,0,16.36,35.44,0,98.75,3.1
2014,1,1,18,0,15.33,38.69,0,98.82,3.45
2014,1,1,19,0,14.57,41.56,0,98.88,3.66
2014,1,1,20,0,13.8,44.44,0,98.89,3.79
2014,1,1,21,0,12.99,47.5,0,98.88,3.87
2014,1,1,22,0,12.15,50.69,0,98.87,3.89
2014,1,1,23,0,11.26,55,0,98.87,3.73
2014,1,2,0,0,10.4,61.31,0,98.88,3.38
2014,1,2,1,0,9.66,69.88,0,98.87,3.08
2014,1,2,2,0,9.02,80.94,0,98.86,2.82
2014,1,2,3,0,8.48,90.56,0,98.86,2.63
2014,1,2,4,0,8.01,97,0,98.88,2.51
2014,1,2,5,0,7.58,100,0,98.91,2.44
2014,1,2,6,8.33,7.38,100,0,98.96,2.29
2014,1,2,7,136.51,9.68,86.12,0,99.05,3.12
2014,1,2,8,349.2,12.48,73.31,0,99.09,2.93
2014,1,2,9,533.85,16.94,55.31,0,99.07,3.51
2014,1,2,10,664.5,20.06,41.19,0,98.98,3.69
2014,1,2,11,718.16,21.59,35.12,0,98.88,3.27
2014,1,2,12,709.9,22.65,30.94,0,98.77,3.04
2014,1,2,13,632.24,23.26,28.25,0,98.68,3.12
2014,1,2,14,486.54,23.32,27,0,98.65,3.33
2014,1,2,15,293.45,22.74,27.25,0,98.66,3.57
2014,1,2,16,90.21,20.51,31,0,98.7,2.87
2014,1,2,17,0,16.65,39.75,0,98.76,3.22
2014,1,2,18,0,15.63,42.44,0,98.82,3.49
2014,1,2,19,0,14.8,44.44,0,98.88,3.66
2014,1,2,20,0,14.01,46.19,0,98.9,3.77
2014,1,2,21,0,13.12,48.69,0,98.89,3.73
