YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,13.9,52.56,0,99,4.43
2024,1,1,1,0,13.3,59.12,0,98.96,4.43
2024,1,1,2,0,12.69,64.94,0,98.93,4.38
2024,1,1,3,0,12.06,70,0,98.93,4.17
2024,1,1,4,0,11.48,74.81,0,98.94,3.9
2024,1,1,5,0,10.98,79.5,0,98.98,3.65
2024,1,1,6,10.04,10.7,82.94,0,99.05,3.51
2024,1,1,7,153.23,12.73,73.44,0,99.09,4.64
2024,1,1,8,368.27,15.23,61.62,0,99.14,4.3
2024,1,1,9,555.56,18.25,50.31,0,99.16,4.38
2024,1,1,10,688.07,21.62,39.69,0,99.12,3.83
2024,1,1,11,747.91,23.71,32.69,0,99.04,3.06
2024,1,1,12,742.62,24.58,29.75,0,98.94,2.96
2024,1,1,13,665.2,25.01,27.88,0,98.86,3
2024,1,1,14,520.59,25.06,26.88,0,98.81,3.09
2024,1,1,15,325.5,24.59,27,0,98.8,3.12
2024,1,1,16,108.95,22.52,30.19,0,98.82,2.5
2024,1,1,17,0,19.29,36.56,0,98.87,3.04
2024,1,1,18,0,18.24,38.56,0,98.92,3.53
2024,1,1,19,0,17.49,39.81,0,98.97,3.9
2024,1,1,20,0,16.73,41.62,0,99.01,4.34
2024,1,1,21,0,15.89,45.56,0,99.03,4.79
2024,1,1,22,0,14.98,50.81,0,99.02,5.13
2024,1,1,23,0,14.11,56.31,0,99.01,5.26
2024,1,2,0,0,13.38,61.5,0,99.02,5.19
2024,1,2,1,0,12.8,66.12,0,99.02,5.1
2024,1,2,2,0,12.11,71.31,0,99.03,4.44
2024,1,2,3,0,11.51,76.06,0,99.04,3.99
2024,1,2,4,0,11.05,79.94,0,99.07,3.79
2024,1,2,5,0,10.61,83.62,0,99.12,3.62
2024,1,2,6,9.77,10.32,86.5,0,99.16,3.42
2024,1,2,7,152.71,12.3,76.56,0,99.2,4.4
2024,1,2,8,370.2,14.76,64.31,0,99.24,4.46
2024,1,2,9,558.42,18.47,49.44,0,99.27,5.82
2024,1,2,10,692.56,20.66,41.75,0,99.24,5.36
2024,1,2,11,740.9,22.09,37.38,0,99.16,5.02
2024,1,2,12,734.87,23.11,33.88,0,99.08,4.96
2024,1,2,13,657.52,23.69,31.5,0,99.01,4.9
2024,1,2,14,513.48,23.84,30.06,0,98.98,4.78
2024,1,2,15,318.39,23.45,29.94,0,98.97,4.67
2024,1,2,16,105.57,21.57,33,0,98.97,3.48
2024,1,2,17,0,18.27,40.12,0,98.99,3.44
2024,1,2,18,0,17.37,41.69,0,99.03,3.73
2024,1,2,19,0,16.63,43.06,0,99.07,3.99
2024,1,2,20,0,15.92,45.06,0,99.09,4.24
2024,1,2,21,0,15.23,47.69,0,99.09,4.51
2024,1,2,22,0,14.57,50.81,0,99.07,4.86
2024,1,2,23,0,13.95,54.62,0,99.06,5.16
2024,1,3,0,0,13.28,59.19,0,99.01,5.14
2024,1,3,1,0,12.55,64,0,99,4.84
2024,1,3,2,0,11.8,68.94,0,98.97,4.48
2024,1,3,3,0,11.03,73.94,0,98.95,4.08
2024,1,3,4,0,10.41,77.5,0,98.95,3.85
2024,1,3,5,0,9.99,79.19,0,98.98,3.84
2024,1,3,6,9.54,9.82,78.44,0,99.01,3.86
2024,1,3,7,152.05,11.83,68.62,0,99.05,4.87
2024,1,3,8,370.62,14.41,60,0,99.13,3.78
2024,1,3,9,558.33,17.85,50.06,0,99.18,3.99
2024,1,3,10,690.53,21.16,39.69,0,99.15,3.58
2024,1,3,11,755.45,22.98,33.25,0,99.06,3.01
2024,1,3,12,723.84,23.99,29.19,0,98.94,3.12
2024,1,3,13,671.7,24.48,26.81,0,98.86,3.48
2024,1,3,14,526.8,24.51,25.62,0,98.79,3.64
2024,1,3,15,330.28,24.02,25.88,0,98.77,3.52
2024,1,3,16,114.18,21.9,29.5,0,98.79,2.62
2024,1,3,17,0,18.64,36.81,0,98.82,2.97
2024,1,3,18,0,17.64,39.75,0,98.86,3.31
2024,1,3,19,0,16.87,41.69,0,98.88,3.64
2024,1,3,20,0,16.2,43.44,0,98.9,3.91
2024,1,3,21,0,15.56,45.31,0,98.91,4.04
2024,1,3,22,0,14.9,47.81,0,98.9,4.04
2024,1,3,23,0,14.21,50.94,0,98.86,3.99
2024,1,4,0,0,13.51,55.19,0,98.85,3.96
2024,1,4,1,0,12.83,60.38,0,98.86,3.96
2024,1,4,2,0,12.14,65.12,0,98.85,3.92
2024,1,4,3,0,11.51,68.75,0,98.84,3.77
2024,1,4,4,0,11.02,70.69,0,98.86,3.66
2024,1,4,5,0,10.61,71.88,0,98.9,3.6
2024,1,4,6,9.38,10.37,72.88,0,98.96,3.46
2024,1,4,7,150.21,12.49,64,0,99.03,4.53
2024,1,4,8,363.64,14.91,56.12,0,99.08,3.8
2024,1,4,9,547.91,18.24,48.44,0,99.1,3.51
2024,1,4,10,680.94,21.94,37.62,0,99.04,2.81
2024,1,4,11,735.45,23.51,32.44,0,98.94,1.9
2024,1,4,12,730.87,24.36,29.38,0,98.85,1.79
2024,1,4,13,655.13,24.82,27.5,0,98.79,2.33
2024,1,4,14,511.96,24.82,26.5,0,98.73,2.81
2024,1,4,15,321.55,24.36,26.31,0,98.71,3.43
2024,1,4,16,112.7,22.49,28.75,0,98.74,3.04
2024,1,4,17,0,19.16,34.56,0,98.8,3.52
2024,1,4,18,0,18.4,35.31,0,98.85,4.35
2024,1,4,19,0,17.71,36.31,0,98.9,5.42
2024,1,4,20,0,16.7,39.69,0,98.92,5.95
2024,1,4,21,0,15.54,44.56,0,98.92,5.68
2024,1,4,22,0,14.45,49.88,0,98.9,5.2
2024,1,4,23,0,13.59,55,0,98.89,4.77
2024,1,5,0,0,12.9,59.56,0,98.89,4.32
2024,1,5,1,0,12.28,63.69,0,98.88,3.76
2024,1,5,2,0,11.65,67.31,0,98.86,3.31
2024,1,5,3,0,11.1,70.5,0,98.88,3.17
2024,1,5,4,0,10.62,73.19,0,98.94,3.3
2024,1,5,5,0,10.25,75.19,0,99.03,3.55
2024,1,5,6,9.41,10.01,76.25,0,99.09,3.63
2024,1,5,7,152.95,11.8,67.31,0,99.14,4.55
2024,1,5,8,368.11,14.18,56.31,0,99.2,4.06
2024,1,5,9,554.05,17.55,45.25,0,99.22,4.11
2024,1,5,10,684.29,20.37,37.31,0,99.15,3.8
2024,1,5,11,745.77,22.61,31.94,0,99.05,3.46
2024,1,5,12,739.88,23.8,28.38,0,98.95,3.29
2024,1,5,13,665.18,24.34,26.31,0,98.88,3.21
2024,1,5,14,517.2,24.4,25.38,0,98.85,3.25
2024,1,5,15,323.12,23.98,25.44,0,98.88,3.35
2024,1,5,16,113.48,21.87,28.75,0,98.93,2.56
2024,1,5,17,0,18.78,34.94,0,98.99,2.93
2024,1,5,18,0,17.8,37.25,0,99.05,3.23
2024,1,5,19,0,16.98,39,0,99.1,3.52
2024,1,5,20,0,16.2,40.19,0,99.13,3.83
2024,1,5,21,0,15.46,41.56,0,99.13,4.06
2024,1,5,22,0,14.67,43.69,0,99.1,4.24
2024,1,5,23,0,13.81,46.81,0,99.05,4.4
2024,1,6,0,0,12.96,51.38,0,99.04,4.49
2024,1,6,1,0,12.15,57.06,0,99.03,4.46
2024,1,6,2,0,11.37,62.44,0,99,4.23
2024,1,6,3,0,10.63,66.81,0,98.99,3.85
2024,1,6,4,0,10.01,70.06,0,99.02,3.51
2024,1,6,5,0,9.53,72.19,0,99.09,3.33
2024,1,6,6,8.85,9.24,73.38,0,99.13,3.11
2024,1,6,7,148.49,11.37,63.44,0,99.2,3.47
2024,1,6,8,369.62,13.82,52.5,0,99.27,3.11
2024,1,6,9,561.14,16.86,41.06,0,99.31,3.38
2024,1,6,10,695.71,19.76,33.88,0,99.26,3.15
2024,1,6,11,760.98,23.11,26.5,0,99.15,2.44
2024,1,6,12,756.42,24.69,22.38,0,99.06,1.49
2024,1,6,13,682.18,25.33,20.62,0,98.99,1.01
2024,1,6,14,536.07,25.51,19.75,0,98.95,1.09
2024,1,6,15,339.83,25.14,19.88,0,98.94,1.51
2024,1,6,16,125.87,22.99,23.06,0,98.97,1.82
2024,1,6,17,0,19.69,28.62,0,99.01,2.84
2024,1,6,18,0,18.34,30.81,0,99.05,3.39
2024,1,6,19,0,17.42,32.06,0,99.06,3.66
2024,1,6,20,0,16.62,32.81,0,99.05,3.83
2024,1,6,21,0,15.88,33.19,0,99.04,4.01
2024,1,6,22,0,15.17,33.81,0,99.01,4.14
2024,1,6,23,0,14.43,35.69,0,98.98,4.12
2024,1,7,0,0,13.69,38.5,0,98.96,4.02
2024,1,7,1,0,12.96,42,0,98.93,3.91
2024,1,7,2,0,12.26,45.38,0,98.9,3.77
2024,1,7,3,0,11.65,48,0,98.9,3.58
2024,1,7,4,0,11.17,49.88,0,98.94,3.36
2024,1,7,5,0,10.8,51.25,0,98.99,3.19
2024,1,7,6,8.92,10.56,52.38,0,99.04,3.02
2024,1,7,7,152.42,13.01,45.06,0,99.08,3.51
2024,1,7,8,372.37,15.25,39.25,0,99.14,3.37
2024,1,7,9,562,18.64,30.5,0,99.15,3.99
2024,1,7,10,694.75,21.51,26.75,0,99.07,4.04
2024,1,7,11,757.95,24.69,21.81,0,98.98,3.5
2024,1,7,12,753.06,26.47,19.38,0,98.88,2.71
2024,1,7,13,681.69,27.12,18.44,0,98.79,2.32
2024,1,7,14,537.7,27.22,18.12,0,98.74,2.01
2024,1,7,15,342.76,26.76,18.56,0,98.75,1.91
2024,1,7,16,127.12,24.42,21.75,0,98.78,1.82
2024,1,7,17,0,21.42,26.31,0,98.81,2.61
2024,1,7,18,0,20.11,28.12,0,98.84,3.08
2024,1,7,19,0,18.95,29.69,0,98.88,3.45
2024,1,7,20,0,18.01,30.88,0,98.89,3.67
2024,1,7,21,0,17.22,31.81,0,98.89,3.77
2024,1,7,22,0,16.49,32.5,0,98.86,3.82
2024,1,7,23,0,15.79,32.56,0,98.84,3.9
2024,1,8,0,0,15.05,33.5,0,98.85,3.92
2024,1,8,1,0,14.29,36,0,98.85,3.91
2024,1,8,2,0,13.6,38.94,0,98.83,3.92
2024,1,8,3,0,12.98,41.69,0,98.83,3.89
2024,1,8,4,0,12.39,43.5,0,98.87,3.69
2024,1,8,5,0,11.9,44,0,98.91,3.48
2024,1,8,6,8.51,11.64,43.81,0,98.96,3.21
2024,1,8,7,143.35,14.15,37.06,0,99.01,3.56
2024,1,8,8,357.21,16.44,32.19,0,99.06,3.08
2024,1,8,9,544.16,19.87,26.5,0,99.05,3.13
2024,1,8,10,673.89,22.91,23.56,0,98.97,3.33
2024,1,8,11,740.19,26.48,20.06,0,98.86,3.26
2024,1,8,12,733.77,28.57,19.88,0,98.75,2.22
2024,1,8,13,662.7,29.24,19.88,0,98.68,1.46
2024,1,8,14,520.2,29.32,20.12,0,98.63,1.47
2024,1,8,15,328.88,28.83,20.94,0,98.61,1.61
2024,1,8,16,121.61,26.41,24.62,0,98.64,1.71
2024,1,8,17,0,23.28,30.12,0,98.67,2.73
2024,1,8,18,0,21.85,32.5,0,98.71,3.37
2024,1,8,19,0,20.98,33.62,0,98.76,3.93
2024,1,8,20,0,20.56,33.31,0,98.78,4.15
2024,1,8,21,0,20.16,32.75,0,98.77,3.98
2024,1,8,22,0,19.6,32.69,0,98.73,3.7
2024,1,8,23,0,18.79,34.19,0,98.69,3.38
2024,1,9,0,0,18.09,37.38,0,98.66,3.19
2024,1,9,1,0,17.56,42.62,0,98.63,2.98
2024,1,9,2,0,17.14,49.31,0,98.59,2.69
2024,1,9,3,0,16.73,56,0,98.58,2.45
2024,1,9,4,0,16.28,62.38,0,98.6,2.33
2024,1,9,5,0,15.58,67.94,0,98.65,2.53
2024,1,9,6,7.88,15.05,70.5,0,98.7,3.02
2024,1,9,7,110.09,16.69,61.44,0,98.76,4.81
2024,1,9,8,318.68,18.7,52.56,0,98.82,4.55
2024,1,9,9,513.65,21.27,45.62,0,98.83,4.06
2024,1,9,10,644.99,23.5,40.38,0,98.77,3.21
2024,1,9,11,639.75,25.98,35.94,0,98.69,1.62
2024,1,9,12,601.88,28.15,33.19,0,98.59,0.5
2024,1,9,13,499.22,28.91,31.88,0,98.51,0.85
2024,1,9,14,391.3,29.11,31.12,0,98.47,1.27
2024,1,9,15,260.52,28.76,31.12,0,98.47,1.86
2024,1,9,16,91.36,26.8,34.25,0,98.51,2.11
2024,1,9,17,0,23.9,38.75,0,98.56,3.02
2024,1,9,18,0,22.92,37.19,0,98.61,3.52
2024,1,9,19,0,22.01,34.44,0,98.66,3.79
2024,1,9,20,0,21.09,31.94,0,98.71,4.09
2024,1,9,21,0,20.15,30,0,98.73,4.19
2024,1,9,22,0,19.11,29,0,98.7,4.01
2024,1,9,23,0,18.15,29.5,0,98.69,3.82
2024,1,10,0,0,17.33,30.75,0,98.71,3.81
2024,1,10,1,0,16.62,31.75,0,98.73,3.93
2024,1,10,2,0,15.98,30.69,0,98.73,4.07
2024,1,10,3,0,15.19,29.31,0,98.74,4.01
2024,1,10,4,0,14.44,29.44,0,98.76,3.9
2024,1,10,5,0,13.89,31.06,0,98.8,3.81
2024,1,10,6,7.98,13.67,32.75,0,98.84,3.89
2024,1,10,7,127.46,14.83,30.62,0,98.9,5.2
2024,1,10,8,343.71,16.56,26.19,0,98.98,5.68
2024,1,10,9,530.3,19.05,21.69,0,99,6.28
