YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,13.62,91.94,0.01,102.09,1.53
2024,1,1,1,0,13.4,93.06,0.01,102.08,1.53
2024,1,1,2,0,13.02,95.06,0,102.08,1.68
2024,1,1,3,0,12.51,98.06,0,102.09,1.91
2024,1,1,4,0,12.13,100,0,102.1,2.09
2024,1,1,5,0,12.06,100,0,102.13,2.06
2024,1,1,6,0,12.17,100,0,102.17,1.91
2024,1,1,7,60.78,13.16,94.88,0,102.19,1.65
2024,1,1,8,240.12,16.23,79.88,0,102.22,1.7
2024,1,1,9,406.67,18.26,67.56,0,102.24,1.41
2024,1,1,10,533.8,19.76,56.12,0,102.21,1.15
2024,1,1,11,594.66,20.92,48.81,0,102.13,1.07
2024,1,1,12,603.45,21.61,45,0,102.03,1.17
2024,1,1,13,465.19,21.97,43.31,0,101.95,1.6
2024,1,1,14,335.29,21.6,44.31,0,101.9,2.2
2024,1,1,15,189.3,20.95,46.94,0,101.9,2.91
2024,1,1,16,53.55,18.9,60.5,0,101.93,2.7
2024,1,1,17,0,17.44,70.12,0,101.97,3.27
2024,1,1,18,0,17.08,74.75,0,102.03,3.49
2024,1,1,19,0,16.5,79.62,0,102.07,3.14
2024,1,1,20,0,15.86,83.75,0,102.12,2.82
2024,1,1,21,0,14.79,89.31,0,102.14,2.72
2024,1,1,22,0,14.09,92.69,0,102.14,2.54
2024,1,1,23,0,13.73,93.88,0,102.11,2.42
2024,1,2,0,0,13.51,94.38,0,102.07,2.39
2024,1,2,1,0,13.15,96.69,0,102.04,2.59
2024,1,2,2,0,12.9,99.12,0,102.02,2.96
2024,1,2,3,0,12.94,100,0,101.99,3.22
2024,1,2,4,0,13.3,98.94,0,101.98,3.24
2024,1,2,5,0,13.44,98.12,0,101.98,3.2
2024,1,2,6,0,13.55,96.62,0,102.02,3.17
2024,1,2,7,62.01,15.04,87.44,0,102.06,3.06
2024,1,2,8,242.06,18.33,69.94,0,102.13,4.43
2024,1,2,9,418.38,20.26,58.62,0,102.2,5.2
2024,1,2,10,508.63,21.42,53.06,0,102.21,5.56
2024,1,2,11,559.18,22.17,49.62,0,102.16,5.79
2024,1,2,12,509.88,22.54,47.81,0,102.09,5.65
2024,1,2,13,432.31,22.5,47.38,0,102.03,5.5
2024,1,2,14,330.95,22,48.88,0,102.02,5.42
2024,1,2,15,204.67,21.07,52.56,0,102.04,5.15
2024,1,2,16,61.76,19.01,63.44,0,102.07,3.66
2024,1,2,17,0,16.47,77.75,0,102.13,3.23
2024,1,2,18,0,15.98,81.56,0,102.18,3.39
2024,1,2,19,0,15.48,85.19,0,102.2,3.34
2024,1,2,20,0,14.99,88.62,0,102.21,3.22
2024,1,2,21,0,14.58,91.31,0,102.21,3.1
2024,1,2,22,0,14.25,93.12,0,102.21,2.99
2024,1,2,23,0,13.94,94.5,0,102.17,2.81
2024,1,3,0,0,13.65,95.75,0,102.15,2.63
2024,1,3,1,0,13.37,97.19,0,102.15,2.55
2024,1,3,2,0,13.22,97.56,0,102.15,2.55
2024,1,3,3,0,13.51,94.38,0,102.11,2.49
2024,1,3,4,0,13.62,92,0,102.09,2.39
2024,1,3,5,0,13.59,90.38,0,102.09,2.3
2024,1,3,6,0,13.71,87.94,0,102.11,2.19
2024,1,3,7,60.94,14.63,84.19,0,102.13,2.01
2024,1,3,8,241.28,17.05,68.38,0,102.17,2.81
2024,1,3,9,415.95,18.48,59.62,0,102.21,2.97
2024,1,3,10,542.88,19.37,55,0,102.22,3.21
2024,1,3,11,608.22,20.32,50.69,0,102.15,3.44
2024,1,3,12,568.2,21.07,47.38,0,102.06,3.41
2024,1,3,13,555.93,21.48,45.25,0,101.99,3.37
2024,1,3,14,411.48,21.38,44.81,0,101.96,3.41
2024,1,3,15,257.24,20.68,46.69,0,101.95,3.47
2024,1,3,16,76.44,18.12,62,0,101.95,2.56
2024,1,3,17,0,15.37,74.88,0,101.97,2.9
2024,1,3,18,0,14.58,80.56,0,102,2.98
2024,1,3,19,0,13.94,85.31,0,102.04,2.95
2024,1,3,20,0,13.4,89.75,0,102.08,2.92
2024,1,3,21,0,12.99,93.31,0,102.09,2.88
2024,1,3,22,0,12.69,96.19,0,102.09,2.8
2024,1,3,23,0,12.62,97.69,0,102.06,2.61
2024,1,4,0,0,13.01,96.19,0,102.03,2.25
2024,1,4,1,0,13.67,92.88,0,101.99,1.73
2024,1,4,2,0,13.9,91.94,0,101.94,1.2
2024,1,4,3,0,13.73,93.44,0,101.9,1.16
2024,1,4,4,0,13.12,97.56,0,101.9,1.48
2024,1,4,5,0,12.35,100,0,101.94,1.83
2024,1,4,6,0,11.68,100,0,102,2.08
2024,1,4,7,60.49,12.66,99.88,0,102.03,2.05
2024,1,4,8,242.48,15.8,81.56,0,102.08,2.9
2024,1,4,9,418.95,19.23,61.75,0,102.13,2.74
2024,1,4,10,546.48,20.84,52.94,0,102.12,3.32
2024,1,4,11,615.49,21.73,47.88,0,102.06,4.03
