YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,9.53,90.5,0,99.85,1.6
2014,1,1,3,0,9.78,89.25,0,99.85,1.17
2014,1,1,4,0,9.82,89.19,0,99.86,0.77
2014,1,1,5,0,9.59,90.62,0,99.9,0.64
2014,1,1,6,0,9.35,92,0,99.93,0.82
2014,1,1,7,52.51,9.77,89.38,0,99.98,0.9
2014,1,1,8,154.18,11.4,80.31,0,100.04,1.05
2014,1,1,9,347.45,14.18,67.19,0,100.08,0.74
2014,1,1,10,469.78,16.51,56.19,0,100.06,1.9
2014,1,1,11,611.48,17.78,50,0,99.99,2.36
2014,1,1,12,583.85,18.61,46.06,0,99.9,2.78
2014,1,1,13,497.25,18.98,44.12,0,99.83,3.13
2014,1,1,14,380.46,18.82,44.19,0,99.81,3.65
2014,1,1,15,216.34,18.12,46.12,0,99.82,3.91
2014,1,1,16,54.95,16.4,51.62,0,99.86,2.63
2014,1,1,17,0,14.14,60.12,0,99.91,2.53
2014,1,1,18,0,13.15,64.5,0,99.97,2.51
2014,1,1,19,0,12.4,68.31,0,100.01,2.48
2014,1,1,20,0,11.74,71.94,0,100.05,2.39
2014,1,1,21,0,11.21,75.38,0,100.07,2.25
2014,1,1,22,0,10.63,79.25,0,100.06,2.16
2014,1,1,23,0,10.01,83.38,0,100.04,2.16
2014,1,2,0,0,9.56,86.44,0,100.03,2.09
2014,1,2,1,0,9.33,87.94,0,100.02,1.96
2014,1,2,2,0,9.17,88.69,0,99.99,1.82
2014,1,2,3,0,9.14,88.56,0,99.98,1.68
2014,1,2,4,0,9.26,87.62,0,99.98,1.45
2014,1,2,5,0,9.4,86.62,0,100.02,1.15
2014,1,2,6,0,9.39,86.56,0,100.07,0.76
2014,1,2,7,79.5,9.98,83.19,0,100.1,0.45
2014,1,2,8,269.23,11.71,74.19,0,100.13,0.56
2014,1,2,9,441.24,15.45,56.69,0,100.14,1.28
2014,1,2,10,566.84,18.03,45.56,0,100.08,2.65
2014,1,2,11,626.63,19.02,40.88,0,99.98,2.88
2014,1,2,12,622.87,19.71,37.81,0,99.87,3.14
2014,1,2,13,554.12,20.05,36.12,0,99.8,3.42
2014,1,2,14,419.62,19.94,35.81,0,99.78,3.66
2014,1,2,15,245.03,19.28,37.06,0,99.78,3.72
2014,1,2,16,63.83,16.3,44.94,0,99.82,2.56
2014,1,2,17,0,13.6,53.81,0,99.87,2.85
2014,1,2,18,0,12.73,57.44,0,99.94,2.88
2014,1,2,19,0,12.21,59.69,0,99.99,2.78
2014,1,2,20,0,11.52,62.44,0,100,2.72
2014,1,2,21,0,10.87,64.69,0,99.99,2.58
2014,1,2,22,0,10.3,66.31,0,99.98,2.37
2014,1,2,23,0,10.04,66.38,0,99.96,2.12
2014,1,3,0,0,10.01,65.5,0,99.96,1.8
2014,1,3,1,0,9.99,64.88,0,99.97,1.53
2014,1,3,2,0,9.9,64.75,0,99.96,1.32
2014,1,3,3,0,9.69,65.5,0,99.95,1.19
2014,1,3,4,0,9.44,66.69,0,99.94,1.13
2014,1,3,5,0,9.27,67.88,0,99.95,0.99
2014,1,3,6,0,9.15,69.19,0,99.99,0.79
2014,1,3,7,77.62,9.58,67.88,0,100.02,0.7
2014,1,3,8,264.36,11.49,60.44,0,100.06,0.59
2014,1,3,9,427.95,14.83,50,0,100.07,1.82
2014,1,3,10,555.96,17.55,43.38,0,100.03,3.44
2014,1,3,11,622.36,18.74,40.5,0,99.96,3.85
2014,1,3,12,616.53,19.4,38.81,0,99.86,4.07
2014,1,3,13,545.34,19.64,38.06,0,99.79,4.27
2014,1,3,14,413.12,19.35,38.81,0,99.77,4.37
2014,1,3,15,240.78,18.58,40.94,0,99.77,4.32
2014,1,3,16,64.55,16.6,47,0,99.81,2.97
2014,1,3,17,0,14.13,56.25,0,99.86,2.94
2014,1,3,18,0,13.41,60.19,0,99.91,3.06
2014,1,3,19,0,12.27,66.25,0,99.96,3.18
2014,1,3,20,0,12.01,68.94,0,99.98,3.21
2014,1,3,21,0,12.26,69.12,0,99.96,3.26
2014,1,3,22,0,12.05,71.19,0,99.92,3.12
2014,1,3,23,0,11.58,74.62,0,99.87,2.86
2014,1,4,0,0,11.11,78.25,0,99.84,2.71
2014,1,4,1,0,10.73,81.62,0,99.82,2.67
2014,1,4,2,0,10.12,86.69,0,99.81,2.72
2014,1,4,3,0,9.43,92.5,0,99.78,2.76
2014,1,4,4,0,9.15,95.75,0,99.78,2.66
2014,1,4,5,0,8.6,99.94,0,99.82,2.61
2014,1,4,6,0,8.21,100,0,99.86,2.52
2014,1,4,7,64.34,9.74,92.81,0,99.92,2.53
2014,1,4,8,241.45,12.12,81.25,0,99.97,3.34
2014,1,4,9,410.53,14.83,71.12,0,99.99,4.67
2014,1,4,10,541.17,16.38,62.25,0,99.93,4.98
2014,1,4,11,606.29,17.22,56.19,0,99.84,4.92
2014,1,4,12,584.97,17.8,51.81,0,99.75,4.95
2014,1,4,13,435.31,18.33,48.19,0,99.69,4.97
2014,1,4,14,316.03,18.44,46.19,0,99.66,4.89
2014,1,4,15,170.64,17.97,46.56,0,99.66,4.78
2014,1,4,16,50.91,16.61,50.38,0,99.69,3.4
2014,1,4,17,0,14.74,56.81,0,99.75,2.95
2014,1,4,18,0,14.58,57.75,0,99.8,3.53
2014,1,4,19,0,14.41,59.31,0,99.84,4.34
2014,1,4,20,0,13.86,63.06,0,99.84,4.8
2014,1,4,21,0,13.05,68.62,0,99.82,4.9
2014,1,4,22,0,12.15,75.31,0,99.81,4.85
2014,1,4,23,0,11.25,82.81,0,99.78,4.79
2014,1,5,0,0,10.22,91.62,0,99.79,4.31
2014,1,5,1,0,9.29,99.38,0,99.81,3.61
2014,1,5,2,0,8.81,100,0,99.8,3.09
2014,1,5,3,0,8.85,100,0,99.8,3.15
2014,1,5,4,0,9.3,98.94,0,99.81,3.51
2014,1,5,5,0,9.69,97,0,99.85,3.65
2014,1,5,6,0,9.91,96.25,0,99.9,3.58
2014,1,5,7,63.82,10.71,91.81,0,99.95,3.88
2014,1,5,8,224.84,12.44,82.12,0,99.98,4.49
2014,1,5,9,366.98,14.48,68.94,0,99.99,5.14
2014,1,5,10,520.62,16.27,56.69,0,99.93,5.09
2014,1,5,11,606.65,17.76,47.19,0,99.83,5.19
2014,1,5,12,581.98,18.75,41.62,0,99.72,5.25
2014,1,5,13,463.69,19.24,38.81,0,99.68,5.31
2014,1,5,14,343.68,19.21,38.12,0,99.68,5.43
2014,1,5,15,219.66,18.58,39.5,0,99.71,5.48
2014,1,5,16,52.73,16.66,45.19,0,99.78,3.91
2014,1,5,17,0,13.93,55.12,0,99.85,3.26
2014,1,5,18,0,13.44,58.5,0,99.91,3.34
2014,1,5,19,0,12.63,63.56,0,99.96,3.27
2014,1,5,20,0,11.66,69.94,0,99.99,3.15
2014,1,5,21,0,10.69,76.81,0,99.98,3.08
2014,1,5,22,0,9.98,82.38,0,99.97,3.03
2014,1,5,23,0,9.37,86.81,0,99.95,3
2014,1,6,0,0,8.87,90.19,0,99.93,3.15
2014,1,6,1,0,8.34,93,0,99.92,3.33
2014,1,6,2,0,7.6,97.38,0,99.92,3.16
2014,1,6,3,0,6.88,100,0,99.95,2.81
2014,1,6,4,0,6.38,100,0,100,2.64
2014,1,6,5,0,5.97,100,0,100.05,2.68
2014,1,6,6,0,5.62,100,0,100.09,2.69
2014,1,6,7,78.47,7.47,97.19,0,100.14,2.46
2014,1,6,8,274.16,10.55,77.5,0,100.17,2.91
2014,1,6,9,447.4,14.65,51.88,0,100.19,4.33
2014,1,6,10,582.95,17.54,38.5,0,100.14,4.95
2014,1,6,11,630.8,19.06,32.81,0,100.05,4.53
2014,1,6,12,635.4,20.01,29.31,0,99.94,4.15
2014,1,6,13,572.36,20.48,27.12,0,99.87,4.01
2014,1,6,14,438.66,20.38,26.19,0,99.83,3.99
2014,1,6,15,269.11,19.66,26.75,0,99.84,3.74
2014,1,6,16,79.02,16.28,34.12,0,99.87,2.54
2014,1,6,17,0,13.83,39.5,0,99.91,3.04
2014,1,6,18,0,13.35,41.88,0,99.95,3.18
2014,1,6,19,0,12.12,46.69,0,99.97,3.3
2014,1,6,20,0,11.89,48.88,0,99.97,3.34
2014,1,6,21,0,11.43,52.31,0,99.95,3.22
2014,1,6,22,0,10.69,57.38,0,99.94,2.93
2014,1,6,23,0,9.85,63.19,0,99.89,2.99
2014,1,7,0,0,9.88,65.06,0,99.84,3.07
2014,1,7,1,0,9.58,67.69,0,99.84,2.74
2014,1,7,2,0,9.28,69.75,0,99.83,2.57
2014,1,7,3,0,9.09,71.25,0,99.81,2.58
2014,1,7,4,0,9.01,72.62,0,99.79,2.68
2014,1,7,5,0,8.91,74.88,0,99.79,2.79
2014,1,7,6,0,8.58,78.38,0,99.8,2.86
2014,1,7,7,63.02,9.69,73.94,0,99.82,3.26
2014,1,7,8,255.83,12.05,62.38,0,99.85,3.62
