YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,12.23,92.06,0,101.32,2.89
2024,1,1,1,0,11.55,98.25,0,101.31,2.73
2024,1,1,2,0,10.97,100,0,101.31,2.65
2024,1,1,3,0,10.53,100,0,101.3,2.63
2024,1,1,4,0,10.2,100,0,101.32,2.65
2024,1,1,5,0,9.9,100,0,101.37,2.64
2024,1,1,6,0,9.6,100,0,101.42,2.6
2024,1,1,7,78.71,10.94,100,0,101.46,2.45
2024,1,1,8,273.62,13.65,84.88,0,101.48,3.42
2024,1,1,9,448.76,16.77,69.69,0,101.5,4.37
2024,1,1,10,581.65,18.66,58,0,101.46,4.24
2024,1,1,11,648.68,19.85,51,0,101.39,3.79
2024,1,1,12,627.39,20.67,46.88,0,101.28,3.44
2024,1,1,13,551.62,21.1,44.56,0,101.19,3.25
2024,1,1,14,427.12,21.1,43.69,0,101.14,3.33
2024,1,1,15,247.54,20.56,44.5,0,101.13,3.6
2024,1,1,16,71.83,18.35,51.5,0,101.14,2.72
2024,1,1,17,0,15.96,59.44,0,101.18,3.13
2024,1,1,18,0,15.34,62.25,0,101.24,3.41
2024,1,1,19,0,15.21,63.75,0,101.29,3.53
2024,1,1,20,0,14.6,67.38,0,101.32,3.62
2024,1,1,21,0,14.06,71.06,0,101.36,3.81
2024,1,1,22,0,13.65,74.62,0,101.36,3.98
2024,1,1,23,0,13.23,79.19,0,101.35,4.01
2024,1,2,0,0,12.76,85.25,0,101.34,3.93
2024,1,2,1,0,12.15,92.81,0,101.34,3.65
2024,1,2,2,0,11.55,100,0,101.33,3.33
2024,1,2,3,0,10.93,100,0,101.31,3.13
2024,1,2,4,0,10.47,100,0,101.32,2.98
2024,1,2,5,0,10.01,100,0,101.34,2.8
2024,1,2,6,0,9.6,100,0,101.39,2.68
2024,1,2,7,82.19,10.9,99.5,0,101.44,2.44
2024,1,2,8,281.3,13.57,81.25,0,101.5,3.01
2024,1,2,9,459.66,16.9,62.94,0,101.56,3.47
2024,1,2,10,596.72,19.67,51.38,0,101.54,4.17
2024,1,2,11,652.18,20.94,46.88,0,101.48,4.34
2024,1,2,12,618.3,21.69,44,0,101.39,4.48
2024,1,2,13,578.65,22.06,42.31,0,101.33,4.51
2024,1,2,14,449.5,21.98,41.81,0,101.3,4.5
2024,1,2,15,272.84,21.37,43,0,101.3,4.45
2024,1,2,16,83.2,18.83,50.94,0,101.32,3
2024,1,2,17,0,16.09,60.44,0,101.36,3.2
2024,1,2,18,0,15.46,63.5,0,101.41,3.4
2024,1,2,19,0,14.95,66.81,0,101.43,3.61
2024,1,2,20,0,14.46,70.5,0,101.45,3.81
2024,1,2,21,0,13.91,74.75,0,101.45,3.93
2024,1,2,22,0,13.36,79.25,0,101.46,3.99
2024,1,2,23,0,12.76,84.56,0,101.46,3.84
2024,1,3,0,0,12.11,90.94,0,101.44,3.59
2024,1,3,1,0,11.49,98,0,101.42,3.32
2024,1,3,2,0,10.99,100,0,101.4,3.21
2024,1,3,3,0,10.54,100,0,101.36,3.08
2024,1,3,4,0,10.17,100,0,101.33,3
2024,1,3,5,0,9.8,100,0,101.34,2.92
2024,1,3,6,0,9.44,100,0,101.39,2.7
2024,1,3,7,81.35,10.79,100,0,101.42,2.41
2024,1,3,8,280.85,13.84,85.31,0,101.45,3.15
2024,1,3,9,459.21,16.93,68.75,0,101.49,3.95
2024,1,3,10,588.85,18.74,57.81,0,101.47,3.68
2024,1,3,11,652.62,20.03,49.81,0,101.4,3.46
2024,1,3,12,581.89,20.91,44.38,0,101.3,3.48
2024,1,3,13,552.77,21.37,40.94,0,101.24,3.52
2024,1,3,14,459.56,21.36,39.25,0,101.18,3.99
2024,1,3,15,287.6,20.76,39.44,0,101.14,4.3
2024,1,3,16,91.05,17.98,47.12,0,101.14,2.94
2024,1,3,17,0,15.11,55,0,101.17,3.28
2024,1,3,18,0,14.29,57.62,0,101.22,3.37
2024,1,3,19,0,13.55,60.62,0,101.26,3.4
2024,1,3,20,0,12.88,64,0,101.28,3.46
2024,1,3,21,0,12.28,67.56,0,101.3,3.56
2024,1,3,22,0,11.69,71.62,0,101.33,3.68
2024,1,3,23,0,11.14,76.81,0,101.31,3.75
2024,1,4,0,0,10.69,83.19,0,101.29,3.78
2024,1,4,1,0,10.23,91,0,101.27,3.55
2024,1,4,2,0,9.73,99.12,0,101.24,3.2
2024,1,4,3,0,9.31,100,0,101.2,2.98
2024,1,4,4,0,9.02,100,0,101.18,2.84
2024,1,4,5,0,8.8,100,0,101.21,2.63
2024,1,4,6,0,8.61,100,0,101.26,2.36
2024,1,4,7,77.87,9.9,100,0,101.32,1.93
2024,1,4,8,275.03,12.65,84.44,0,101.39,2.26
2024,1,4,9,455.45,15.98,67.94,0,101.45,2.98
2024,1,4,10,587.53,18.73,54.44,0,101.43,3.41
2024,1,4,11,658.66,20.11,47.06,0,101.34,3.82
