YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,9.96,91.12,0,100.28,0.68
2014,1,1,3,0,9.69,93.19,0,100.27,0.6
2014,1,1,4,0,9.39,95.69,0,100.28,0.88
2014,1,1,5,0,8.92,99.25,0,100.32,1.19
2014,1,1,6,0,8.62,100,0,100.36,1.38
2014,1,1,7,52.54,9.3,97.06,0,100.41,1.39
2014,1,1,8,137.89,11.4,84.5,0,100.46,1.72
2014,1,1,9,278.29,14.32,69.69,0,100.49,1.45
2014,1,1,10,358.62,16.35,59.12,0,100.47,1.71
2014,1,1,11,483.6,17.53,52.06,0,100.4,1.98
2014,1,1,12,524.72,18.46,47.19,0,100.32,2.36
2014,1,1,13,509.97,18.98,44.56,0,100.26,2.73
2014,1,1,14,370.74,18.94,44.12,0,100.23,3.15
2014,1,1,15,217.16,18.35,45.69,0,100.24,3.31
2014,1,1,16,49,16.55,51.69,0,100.26,2.18
2014,1,1,17,0,14.98,57.44,0,100.31,2.26
2014,1,1,18,0,14.35,60.31,0,100.37,2.18
2014,1,1,19,0,13.65,63.5,0,100.42,2.08
2014,1,1,20,0,12.77,67.25,0,100.45,1.98
2014,1,1,21,0,11.94,70.94,0,100.47,1.81
2014,1,1,22,0,11.19,74.69,0,100.48,1.62
2014,1,1,23,0,10.65,77.25,0,100.48,1.51
2014,1,2,0,0,10.33,78.56,0,100.46,1.5
2014,1,2,1,0,10.06,79.69,0,100.46,1.59
2014,1,2,2,0,9.78,80.88,0,100.43,1.72
2014,1,2,3,0,9.62,81.56,0,100.42,1.76
2014,1,2,4,0,9.62,81.38,0,100.42,1.65
2014,1,2,5,0,9.72,80.88,0,100.46,1.43
2014,1,2,6,0,9.81,80.38,0,100.51,1.15
2014,1,2,7,70.72,10.58,76.31,0,100.54,0.9
2014,1,2,8,244.81,12.9,65.62,0,100.57,0.78
2014,1,2,9,415.32,16.1,53.25,0,100.58,1.19
2014,1,2,10,535.65,18.21,43.69,0,100.51,1.8
2014,1,2,11,572.34,19.26,39.25,0,100.42,1.96
2014,1,2,12,568.23,19.92,36.81,0,100.32,2.2
2014,1,2,13,503.74,20.22,35.5,0,100.24,2.48
2014,1,2,14,373.39,20.07,35.38,0,100.22,2.74
2014,1,2,15,226.13,19.39,36.75,0,100.23,2.83
2014,1,2,16,56.48,16.5,45.31,0,100.26,2.07
2014,1,2,17,0,14.18,51.38,0,100.31,2.26
2014,1,2,18,0,13.33,54.62,0,100.38,2.23
2014,1,2,19,0,12.69,57.12,0,100.42,2.05
2014,1,2,20,0,12.06,59.38,0,100.43,1.89
2014,1,2,21,0,11.27,62.5,0,100.43,1.86
2014,1,2,22,0,10.5,65.75,0,100.43,1.94
2014,1,2,23,0,9.83,68.69,0,100.42,2.11
2014,1,3,0,0,9.42,70.69,0,100.42,2.18
2014,1,3,1,0,9.15,72.31,0,100.42,2.19
2014,1,3,2,0,9.05,73.19,0,100.42,2.09
2014,1,3,3,0,9.08,73.56,0,100.4,1.91
2014,1,3,4,0,9.21,73.5,0,100.4,1.64
2014,1,3,5,0,9.4,73.12,0,100.42,1.24
2014,1,3,6,0,9.63,72.62,0,100.45,0.85
2014,1,3,7,61.45,10.12,70.69,0,100.47,0.59
2014,1,3,8,208.76,12.05,62.75,0,100.51,0.76
2014,1,3,9,373.22,15.2,53.56,0,100.53,2.16
2014,1,3,10,484.52,17.08,48.69,0,100.49,2.83
2014,1,3,11,585.16,18.33,45.06,0,100.4,3.04
2014,1,3,12,582.85,19.14,42.75,0,100.3,3.21
2014,1,3,13,502.64,19.46,41.62,0,100.24,3.38
2014,1,3,14,374.51,19.22,42.19,0,100.22,3.5
2014,1,3,15,216.79,18.52,44.19,0,100.22,3.53
2014,1,3,16,55.32,16.39,51.5,0,100.25,2.43
2014,1,3,17,0,14.76,58.25,0,100.3,2.61
2014,1,3,18,0,14.53,60.19,0,100.34,2.73
2014,1,3,19,0,14.23,62.69,0,100.38,2.84
2014,1,3,20,0,13.85,66.06,0,100.41,2.9
2014,1,3,21,0,13.12,71.56,0,100.39,2.8
2014,1,3,22,0,12.13,78.62,0,100.35,2.49
2014,1,3,23,0,11.15,85.69,0,100.31,2.2
2014,1,4,0,0,10.42,91.06,0,100.28,2.02
2014,1,4,1,0,10.07,94.06,0,100.28,1.82
2014,1,4,2,0,9.82,96.5,0,100.26,1.7
2014,1,4,3,0,9.35,100,0,100.24,1.75
2014,1,4,4,0,9.07,100,0,100.23,1.83
2014,1,4,5,0,8.89,100,0,100.25,1.9
2014,1,4,6,0,9.19,100,0,100.29,1.88
2014,1,4,7,57.34,10.82,97.19,0.01,100.33,1.9
2014,1,4,8,218.99,12.83,87,0.01,100.38,2.7
2014,1,4,9,379.64,14.99,74.94,0.01,100.4,3.39
2014,1,4,10,508.32,16.25,65.75,0.02,100.35,3.53
2014,1,4,11,557.09,17.3,57.69,0.02,100.26,3.67
2014,1,4,12,524.88,18.23,51.56,0.02,100.17,3.9
2014,1,4,13,432.62,18.77,47.88,0.01,100.11,4.16
2014,1,4,14,295.59,18.69,47.06,0.01,100.09,4.36
2014,1,4,15,157.47,18.07,48.62,0,100.1,4.41
2014,1,4,16,29.5,16.74,53.31,0,100.13,3.29
2014,1,4,17,0,15.3,59.31,0,100.19,3.01
2014,1,4,18,0,14.97,61.94,0,100.25,3.84
2014,1,4,19,0,14.22,67.06,0,100.29,4.22
2014,1,4,20,0,13.18,74.62,0,100.31,4.15
2014,1,4,21,0,12.09,83.5,0,100.3,3.85
2014,1,4,22,0,10.97,93.38,0.01,100.28,3.43
2014,1,4,23,0,9.98,100,0.01,100.25,2.99
2014,1,5,0,0,9.49,100,0.01,100.24,2.9
2014,1,5,1,0,9.52,100,0.01,100.23,2.9
2014,1,5,2,0,9.86,100,0.01,100.22,2.87
2014,1,5,3,0,10.25,100,0.01,100.21,2.99
2014,1,5,4,0,10.33,100,0.01,100.22,2.93
2014,1,5,5,0,10.17,100,0.01,100.25,2.74
2014,1,5,6,0,10.04,100,0.01,100.3,2.64
2014,1,5,7,53.58,11.15,95.81,0.01,100.35,3.4
2014,1,5,8,213.05,13.33,82.69,0.02,100.38,4.07
2014,1,5,9,360.7,15.46,67.25,0.01,100.39,4.3
2014,1,5,10,474.77,17.08,54.81,0.02,100.34,4.29
