YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,11.76,98.25,0,101.1,2.85
2024,1,1,1,0,11.22,100,0,101.11,2.68
2024,1,1,2,0,10.79,100,0,101.1,2.61
2024,1,1,3,0,10.44,100,0,101.09,2.63
2024,1,1,4,0,10.15,100,0,101.11,2.7
2024,1,1,5,0,9.87,100,0,101.14,2.73
2024,1,1,6,0,9.61,100,0,101.19,2.71
2024,1,1,7,72.79,11.08,100,0,101.23,2.59
2024,1,1,8,261.55,13.94,84.38,0,101.26,3.42
2024,1,1,9,437.05,17.02,68.38,0,101.27,4.05
2024,1,1,10,551.05,18.64,57.69,0,101.24,3.76
2024,1,1,11,616.68,19.74,51.5,0,101.16,3.27
2024,1,1,12,612.91,20.5,48,0,101.06,2.86
2024,1,1,13,545.91,20.91,45.94,0,100.97,2.66
2024,1,1,14,426.82,20.91,45.25,0,100.93,2.71
2024,1,1,15,252.74,20.39,46.31,0,100.92,3
2024,1,1,16,69.52,18.34,54.69,0,100.93,2.39
2024,1,1,17,0,15.9,61.38,0,100.96,2.97
2024,1,1,18,0,15.38,63.19,0,101.01,3.24
2024,1,1,19,0,15.41,63.81,0,101.06,3.4
2024,1,1,20,0,15.19,65.88,0,101.1,3.73
2024,1,1,21,0,14.65,70.5,0,101.13,4.08
2024,1,1,22,0,14.09,77.06,0,101.14,4.27
2024,1,1,23,0,13.52,84.75,0,101.13,4.19
2024,1,2,0,0,12.85,93.25,0,101.11,3.88
2024,1,2,1,0,12.17,100,0,101.1,3.44
2024,1,2,2,0,11.56,100,0,101.09,3.13
2024,1,2,3,0,11.05,100,0,101.08,3.03
2024,1,2,4,0,10.6,100,0,101.07,2.95
2024,1,2,5,0,10.18,100,0,101.09,2.84
2024,1,2,6,0,9.87,100,0,101.14,2.8
2024,1,2,7,71.92,11.37,95.56,0,101.18,2.81
2024,1,2,8,263.23,14.08,80.19,0,101.25,3.59
2024,1,2,9,440.79,17.47,64.75,0,101.3,4.1
2024,1,2,10,572.27,19.73,55.56,0,101.29,4.67
2024,1,2,11,642.76,20.83,50.06,0,101.24,4.68
2024,1,2,12,578.3,21.55,46.5,0,101.15,4.7
2024,1,2,13,499.4,21.88,44.44,0,101.09,4.64
2024,1,2,14,398.41,21.78,43.81,0,101.06,4.55
2024,1,2,15,234.45,21.18,45,0,101.07,4.43
2024,1,2,16,72.14,18.87,53.69,0,101.09,2.95
2024,1,2,17,0,16.32,61.75,0,101.13,3.2
2024,1,2,18,0,15.9,63.69,0,101.18,3.6
2024,1,2,19,0,15.54,66.12,0,101.22,4.03
2024,1,2,20,0,15.02,69.81,0,101.23,4.32
2024,1,2,21,0,14.33,75.06,0,101.25,4.36
2024,1,2,22,0,13.56,81.75,0,101.25,4.07
2024,1,2,23,0,12.74,89.44,0,101.23,3.6
2024,1,3,0,0,12.01,96.88,0,101.21,3.24
2024,1,3,1,0,11.46,100,0,101.2,3.1
2024,1,3,2,0,11.01,100,0,101.18,3.03
2024,1,3,3,0,10.58,100,0,101.14,2.99
2024,1,3,4,0,10.2,100,0,101.11,3
2024,1,3,5,0,9.87,100,0,101.11,2.97
2024,1,3,6,0,9.53,100,0,101.16,2.82
2024,1,3,7,73.83,11.04,100,0,101.19,2.53
2024,1,3,8,266.95,14.2,83.69,0,101.22,3.46
2024,1,3,9,444.85,17.05,66.75,0,101.26,3.67
2024,1,3,10,574.55,18.56,57.5,0,101.25,3.38
2024,1,3,11,644.48,19.74,50.25,0,101.18,3.19
2024,1,3,12,597.45,20.58,45.06,0,101.09,3.24
2024,1,3,13,569.92,21.03,41.62,0,101.03,3.25
2024,1,3,14,442.44,21,40.06,0,100.99,3.46
2024,1,3,15,271.5,20.4,40.62,0,100.95,3.78
2024,1,3,16,80.49,17.74,50.5,0,100.94,2.71
2024,1,3,17,0,14.91,57.44,0,100.96,3.12
2024,1,3,18,0,14.1,59.69,0,101,3.29
2024,1,3,19,0,13.4,62.44,0,101.04,3.39
2024,1,3,20,0,12.8,65.94,0,101.06,3.55
2024,1,3,21,0,12.24,70.62,0,101.09,3.78
2024,1,3,22,0,11.68,77.25,0,101.11,3.92
2024,1,3,23,0,11.15,85.25,0,101.1,3.95
2024,1,4,0,0,10.72,93.38,0,101.08,3.78
2024,1,4,1,0,10.27,100,0,101.05,3.45
