YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,13.04,95.94,0,102.04,1.67
2024,1,1,1,0,12.74,97.88,0,102.03,1.7
2024,1,1,2,0,12.26,100,0,102.03,1.85
2024,1,1,3,0,11.72,100,0,102.03,2.05
2024,1,1,4,0,11.26,100,0,102.06,2.23
2024,1,1,5,0,11.05,100,0,102.09,2.28
2024,1,1,6,0,11.08,100,0,102.13,2.18
2024,1,1,7,73.57,12.58,97.88,0,102.16,1.83
2024,1,1,8,252.98,16.18,78.62,0,102.18,1.99
2024,1,1,9,419.82,18.69,64.69,0,102.21,1.95
2024,1,1,10,538.62,20.12,55.31,0,102.17,1.74
2024,1,1,11,577.58,21.26,48.5,0,102.09,1.62
2024,1,1,12,516.37,21.99,44.56,0,101.98,1.6
2024,1,1,13,469.73,22.23,43,0,101.89,1.72
2024,1,1,14,351.32,21.97,43.31,0,101.85,1.94
2024,1,1,15,202.95,21.15,45.94,0,101.84,2.23
2024,1,1,16,51.03,18.8,63.94,0,101.86,1.88
2024,1,1,17,0,17.26,69.75,0,101.91,2.36
2024,1,1,18,0,16.91,71.56,0,101.96,2.49
2024,1,1,19,0,16.48,75.44,0,102.01,2.49
2024,1,1,20,0,15.98,79.81,0,102.05,2.37
2024,1,1,21,0,15.43,83.88,0,102.08,2.29
2024,1,1,22,0,14.44,89.25,0,102.08,2.33
2024,1,1,23,0,13.4,95.75,0,102.06,2.43
2024,1,2,0,0,12.92,99.25,0,102.03,2.43
2024,1,2,1,0,12.58,100,0,102.01,2.42
2024,1,2,2,0,12.26,100,0,101.98,2.56
2024,1,2,3,0,12.14,100,0,101.96,2.75
2024,1,2,4,0,12.19,100,0,101.94,2.85
2024,1,2,5,0,12.26,100,0,101.96,2.85
2024,1,2,6,0,12.33,100,0,101.99,2.89
2024,1,2,7,69.95,14.1,93.75,0,102.02,3.16
2024,1,2,8,249.62,17.15,77.19,0,102.08,4.27
