YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,10.98,100,0,100.49,2.17
2024,1,1,1,0,10.73,100,0,100.48,1.96
2024,1,1,2,0,10.5,100,0,100.48,1.84
2024,1,1,3,0,10.22,100,0,100.47,1.85
2024,1,1,4,0,9.9,100,0,100.5,1.99
2024,1,1,5,0,9.62,100,0,100.53,2.13
2024,1,1,6,0,9.47,100,0,100.58,2.2
2024,1,1,7,81.86,11.08,100,0,100.61,1.96
2024,1,1,8,270.93,14.05,85.88,0,100.64,2.7
2024,1,1,9,441.09,16.65,71.75,0,100.65,3.49
2024,1,1,10,562.4,18.16,61.88,0,100.62,3.39
2024,1,1,11,629.08,19.3,55.19,0,100.54,3.14
2024,1,1,12,623.54,20.15,50.94,0,100.44,2.84
2024,1,1,13,519.43,20.61,48.5,0,100.35,2.55
2024,1,1,14,406.59,20.59,47.88,0,100.3,2.36
2024,1,1,15,232.34,20.11,49.06,0,100.28,2.33
2024,1,1,16,58.57,17.98,62.31,0,100.3,1.8
2024,1,1,17,0,16.24,67.12,0,100.33,2.22
2024,1,1,18,0,15.94,68.06,0,100.39,2.42
2024,1,1,19,0,15.78,69.06,0,100.43,2.47
2024,1,1,20,0,15.53,71.38,0,100.46,2.56
2024,1,1,21,0,15.33,74.88,0,100.49,2.76
2024,1,1,22,0,14.83,80.56,0,100.51,2.82
2024,1,1,23,0,14.12,87,0,100.5,2.68
2024,1,2,0,0,13.28,93.81,0,100.48,2.51
2024,1,2,1,0,12.5,99.81,0,100.48,2.4
2024,1,2,2,0,11.53,100,0,100.47,2.4
2024,1,2,3,0,10.94,100,0,100.46,2.38
2024,1,2,4,0,10.58,100,0,100.46,2.36
2024,1,2,5,0,10.4,100,0,100.47,2.2
2024,1,2,6,0,10.28,100,0,100.51,2.18
2024,1,2,7,81.93,11.69,100,0,100.55,2.22
2024,1,2,8,272.52,14.29,85.19,0,100.61,2.85
2024,1,2,9,408.47,17.49,68.38,0,100.67,4.21
2024,1,2,10,557.81,19.31,58.88,0,100.66,4.72
2024,1,2,11,599.8,20.43,53.06,0,100.6,4.76
2024,1,2,12,566.35,21.22,48.88,0,100.52,4.76
2024,1,2,13,501.36,21.62,46.12,0,100.45,4.7
2024,1,2,14,398.84,21.58,45.12,0,100.42,4.62
2024,1,2,15,239.4,21.02,46.38,0,100.42,4.35
2024,1,2,16,65.13,18.65,57.75,0,100.45,2.75
2024,1,2,17,0,17.13,63.94,0,100.49,2.89
2024,1,2,18,0,16.95,64.81,0,100.55,3.45
2024,1,2,19,0,16.59,67.75,0,100.59,4.23
2024,1,2,20,0,15.81,73.81,0,100.62,4.4
2024,1,2,21,0,14.78,81.69,0,100.65,4.02
2024,1,2,22,0,13.59,90.5,0,100.65,3.26
2024,1,2,23,0,12.37,99.62,0,100.62,2.58
2024,1,3,0,0,11.63,100,0,100.6,2.31
2024,1,3,1,0,11.18,100,0,100.59,2.16
2024,1,3,2,0,10.85,100,0,100.58,2.15
2024,1,3,3,0,10.52,100,0,100.54,2.23
2024,1,3,4,0,10.33,100,0,100.51,2.35
2024,1,3,5,0,10.3,100,0,100.51,2.38
2024,1,3,6,0,10.22,100,0,100.54,2.3
2024,1,3,7,89.72,11.79,100,0,100.57,1.88
2024,1,3,8,287.97,14.69,81.56,0,100.59,2.54
2024,1,3,9,459.62,17.05,65.81,0,100.64,2.85
2024,1,3,10,586.33,18.46,57.81,0,100.62,2.78
2024,1,3,11,644.62,19.61,51.5,0,100.55,2.83
2024,1,3,12,596.98,20.48,47.06,0,100.47,2.87
2024,1,3,13,538.74,20.92,44.31,0,100.4,2.89
2024,1,3,14,420.84,20.87,43.19,0,100.37,2.78
2024,1,3,15,260.09,20.3,44.25,0,100.35,2.8
2024,1,3,16,74.12,17.55,58.69,0,100.33,2.14
2024,1,3,17,0,15.08,64.25,0,100.35,2.51
2024,1,3,18,0,14.18,66.94,0,100.38,2.59
2024,1,3,19,0,13.38,70.5,0,100.42,2.58
2024,1,3,20,0,12.6,75.19,0,100.44,2.62
2024,1,3,21,0,11.83,81.5,0,100.47,2.65
2024,1,3,22,0,11.12,88.56,0,100.49,2.61
2024,1,3,23,0,10.52,94.62,0,100.49,2.58
2024,1,4,0,0,10.16,98.5,0,100.47,2.55
2024,1,4,1,0,9.98,100,0,100.45,2.45
2024,1,4,2,0,9.96,100,0,100.39,2.31
2024,1,4,3,0,10.05,100,0,100.35,2.08
2024,1,4,4,0,10.05,100,0,100.33,1.92
2024,1,4,5,0,9.94,100,0,100.37,1.66
2024,1,4,6,0,10.04,100,0,100.42,1.25
2024,1,4,7,74.88,10.95,97.88,0,100.47,0.69
