YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,12.49,100,0,100.87,1.54
2024,1,1,1,0,12.28,100,0.01,100.86,1.41
2024,1,1,2,0,11.95,100,0,100.86,1.44
2024,1,1,3,0,11.62,100,0.01,100.86,1.58
2024,1,1,4,0,11.37,100,0.01,100.88,1.76
2024,1,1,5,0,11.23,100,0.01,100.93,1.93
2024,1,1,6,0,11.38,100,0.01,100.97,2.01
2024,1,1,7,86.18,12.74,99.62,0.01,101.01,1.95
2024,1,1,8,265.39,15.12,85.88,0.01,101.03,2.43
2024,1,1,9,399.96,17.47,69.06,0.01,101.05,2.9
2024,1,1,10,553.12,18.51,61.25,0,101.01,2.94
2024,1,1,11,593.08,19.54,55.19,0,100.93,2.83
2024,1,1,12,574.7,20.32,51.12,0,100.83,2.71
2024,1,1,13,463.58,20.68,49.12,0,100.74,2.75
2024,1,1,14,352.2,20.61,48.75,0,100.69,2.83
2024,1,1,15,201.27,19.99,50.56,0,100.68,2.9
2024,1,1,16,42.42,17.87,58.5,0,100.69,2.35
2024,1,1,17,0,16.01,67.81,0,100.74,2.79
2024,1,1,18,0,15.35,74.31,0,100.8,3.06
2024,1,1,19,0,14.83,81.19,0,100.84,3.11
2024,1,1,20,0,14.75,85.38,0,100.88,2.93
2024,1,1,21,0,14.48,89.62,0,100.89,2.67
2024,1,1,22,0,14.01,94.5,0,100.9,2.52
2024,1,1,23,0,13.59,98.31,0,100.88,2.38
2024,1,2,0,0,12.94,100,0.01,100.84,2.34
2024,1,2,1,0,12.4,100,0.01,100.83,2.45
2024,1,2,2,0,11.98,100,0.02,100.82,2.69
2024,1,2,3,0,11.59,100,0.02,100.81,2.88
2024,1,2,4,0,11.23,100,0.01,100.82,2.92
2024,1,2,5,0,10.89,100,0.01,100.84,2.8
2024,1,2,6,0,10.64,100,0.01,100.88,2.63
2024,1,2,7,80.54,12.03,100,0.01,100.93,2.54
2024,1,2,8,263.34,14.47,87.75,0.01,100.98,3.01
2024,1,2,9,429.65,17.29,71.19,0.02,101.03,3.94
2024,1,2,10,524.25,18.89,60.69,0.02,101.03,4.69
2024,1,2,11,611.44,19.83,54.81,0,100.98,4.77
2024,1,2,12,573.01,20.46,51.62,0,100.9,4.77
2024,1,2,13,463.69,20.7,50.81,0,100.85,4.76
2024,1,2,14,336.08,20.45,52.12,0,100.82,4.62
2024,1,2,15,206.89,19.86,54.94,0,100.83,4.54
2024,1,2,16,55.53,18.32,62,0,100.86,3.23
2024,1,2,17,0,16.62,71.62,0,100.91,2.78
2024,1,2,18,0,15.95,77.88,0,100.97,2.89
2024,1,2,19,0,14.84,86.88,0,101.01,2.99
2024,1,2,20,0,13.95,94.88,0,101.02,2.92
2024,1,2,21,0,13.21,100,0,101.04,2.74
2024,1,2,22,0,12.74,100,0,101.05,2.49
2024,1,2,23,0,12.47,100,0,101.01,2.24
2024,1,3,0,0,12.35,100,0,100.97,1.9
2024,1,3,1,0,12.19,100,0,100.96,1.66
2024,1,3,2,0,11.76,100,0,100.95,1.83
2024,1,3,3,0,11.3,100,0.01,100.93,2.08
2024,1,3,4,0,10.97,100,0.01,100.92,2.17
2024,1,3,5,0,10.9,100,0.01,100.93,2.11
2024,1,3,6,0,11.01,100,0.01,100.95,1.9
2024,1,3,7,82.09,12.26,100,0,100.96,1.55
2024,1,3,8,256.7,14.77,84.5,0,101,1.72
2024,1,3,9,411.88,17.01,68.25,0,101.04,1.92
2024,1,3,10,530.93,18.3,59.38,0,101.02,2.04
2024,1,3,11,598.91,19.47,52.5,0,100.95,2.39
2024,1,3,12,526.7,20.26,48.19,0,100.87,2.62
2024,1,3,13,490.1,20.58,46.25,0,100.82,2.74
2024,1,3,14,361.37,20.52,46,0,100.78,2.73
2024,1,3,15,226.73,20,47.5,0,100.79,2.62
2024,1,3,16,53.5,17.75,55.19,0,100.79,2.04
2024,1,3,17,0,15.54,64.62,0,100.8,2.59
2024,1,3,18,0,14.59,71.31,0,100.81,2.77
2024,1,3,19,0,13.78,78.69,0,100.83,2.76
2024,1,3,20,0,13.1,86,0,100.86,2.59
2024,1,3,21,0,12.57,92.31,0,100.88,2.35
2024,1,3,22,0,12.28,96.75,0,100.89,1.98
2024,1,3,23,0,12.21,99.19,0,100.89,1.6
2024,1,4,0,0,12.23,100,0,100.88,1.3
2024,1,4,1,0,12.3,100,0,100.86,1.02
2024,1,4,2,0,12.21,100,0,100.81,0.81
2024,1,4,3,0,11.9,100,0,100.76,0.98
2024,1,4,4,0,11.3,100,0,100.76,1.39
2024,1,4,5,0,10.73,100,0,100.78,1.6
2024,1,4,6,0,10.3,100,0,100.82,1.55
2024,1,4,7,83.06,11.2,100,0,100.87,1.27
2024,1,4,8,265.74,13.53,86.25,0,100.93,1.18
2024,1,4,9,433.05,16.7,68.25,0,100.97,0.97
2024,1,4,10,521.15,18.78,54.12,0,100.94,2
2024,1,4,11,598.39,19.87,47.06,0,100.87,2.5
2024,1,4,12,592.81,20.62,42.5,0,100.8,3.05
2024,1,4,13,536.94,21,39.94,0,100.75,3.62
2024,1,4,14,382.15,20.9,39.38,0,100.72,3.84
2024,1,4,15,239.73,20.24,40.94,0,100.7,3.64
2024,1,4,16,57.05,17.34,50.06,0,100.71,2.49
2024,1,4,17,0,15.21,58.81,0,100.74,2.71
2024,1,4,18,0,14.41,64.38,0,100.77,2.67
2024,1,4,19,0,13.73,70.12,0,100.78,2.53
2024,1,4,20,0,13.27,74.88,0,100.79,2.3
2024,1,4,21,0,12.98,78.44,0,100.79,2.03
2024,1,4,22,0,12.78,81,0,100.8,1.66
2024,1,4,23,0,12.56,83.38,0,100.8,1.14
2024,1,5,0,0,12.22,85.88,0,100.82,0.68
2024,1,5,1,0,11.62,89.38,0,100.83,0.74
2024,1,5,2,0,11,92.88,0,100.83,1.07
2024,1,5,3,0,10.44,95.44,0,100.84,1.24
2024,1,5,4,0,9.99,96.81,0,100.87,1.25
2024,1,5,5,0,9.62,97.5,0,100.92,1.13
2024,1,5,6,0,9.23,98.56,0,100.95,1.01
2024,1,5,7,67.75,9.98,92.75,0,100.98,1.16
2024,1,5,8,229.84,12.05,80.31,0,101.03,1.63
2024,1,5,9,393.98,14.92,64.94,0,101.06,1.5
2024,1,5,10,548.48,18.15,48.12,0,101.01,2.55
2024,1,5,11,625.07,19.5,41.62,0,100.91,2.54
2024,1,5,12,625.47,20.33,37.81,0,100.83,2.27
2024,1,5,13,556.29,20.83,35.5,0,100.79,2.19
2024,1,5,14,425.02,20.83,35.44,0,100.79,2.32
2024,1,5,15,246.42,20.19,37.81,0,100.82,2.19
2024,1,5,16,60.55,17.51,46.62,0,100.87,1.85
2024,1,5,17,0,15.99,52.94,0,100.93,2.04
2024,1,5,18,0,15.34,56.94,0,100.97,2.05
2024,1,5,19,0,14.78,60.69,0,101,1.98
2024,1,5,20,0,14.41,63.38,0,101.01,1.78
