YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,7.3,86.56,0,98.88,2.88
2014,1,1,3,0,6.84,88.88,0,98.88,2.86
2014,1,1,4,0,6.43,90.81,0,98.9,2.84
2014,1,1,5,0,6.1,91.69,0,98.94,2.82
2014,1,1,6,7.89,5.94,91.06,0,98.99,2.7
2014,1,1,7,124.27,8.4,75.38,0,99.04,2.92
2014,1,1,8,335.73,11.08,62.44,0,99.08,2.45
2014,1,1,9,519.17,15.74,50.12,0,99.1,2.67
2014,1,1,10,645.95,18.64,40.31,0,99.06,2.18
2014,1,1,11,691.22,20.01,35.19,0,98.97,1.68
2014,1,1,12,684.66,20.89,31.81,0,98.89,1.85
2014,1,1,13,608.88,21.3,29.94,0,98.82,2.26
2014,1,1,14,465.78,21.23,29.31,0,98.77,2.65
2014,1,1,15,280.97,20.58,30.12,0,98.77,2.94
2014,1,1,16,81.48,17.69,36.06,0,98.81,2.27
2014,1,1,17,0,14.51,44.56,0,98.87,2.81
2014,1,1,18,0,13.5,48.38,0,98.95,3.13
2014,1,1,19,0,12.72,52.19,0,99,3.32
2014,1,1,20,0,12.01,56.75,0,99.02,3.45
2014,1,1,21,0,11.29,62.06,0,99.01,3.54
2014,1,1,22,0,10.56,67.62,0,99,3.58
2014,1,1,23,0,9.82,72.94,0,98.99,3.52
2014,1,2,0,0,9.15,77.69,0,99,3.43
2014,1,2,1,0,8.55,81.62,0,98.99,3.37
2014,1,2,2,0,7.99,84.88,0,98.98,3.27
2014,1,2,3,0,7.44,88,0,98.98,3.06
2014,1,2,4,0,6.94,91.44,0,98.99,2.83
2014,1,2,5,0,6.57,95.06,0,99.03,2.69
2014,1,2,6,8.07,6.32,98.31,0,99.09,2.57
2014,1,2,7,128.47,8.71,84.38,0,99.15,2.94
2014,1,2,8,339.07,11.22,71.81,0,99.19,2.89
2014,1,2,9,520.02,15.29,55.06,0,99.17,3.45
2014,1,2,10,650.98,18.43,42.62,0,99.1,3.84
2014,1,2,11,697.33,19.96,37,0,98.98,3.46
2014,1,2,12,692.24,20.98,33.06,0,98.88,3.14
2014,1,2,13,617.59,21.57,30.44,0,98.79,3.01
2014,1,2,14,475.8,21.61,29.31,0,98.76,3.09
2014,1,2,15,285.84,21.04,29.69,0,98.77,3.19
2014,1,2,16,83.81,17.84,36.12,0,98.81,2.44
2014,1,2,17,0,14.65,44.75,0,98.86,3.06
2014,1,2,18,0,13.68,48.56,0,98.93,3.46
2014,1,2,19,0,13.01,52.25,0,98.99,3.84
2014,1,2,20,0,12.24,56.62,0,99.02,4.08
2014,1,2,21,0,11.26,61.94,0,99,3.96
2014,1,2,22,0,10.43,66.5,0,98.98,3.88
2014,1,2,23,0,9.74,70.56,0,98.96,3.81
2014,1,3,0,0,9.09,74.62,0,98.97,3.67
2014,1,3,1,0,8.48,78.62,0,98.95,3.52
2014,1,3,2,0,7.98,81.94,0,98.95,3.49
2014,1,3,3,0,7.54,84.69,0,98.95,3.51
2014,1,3,4,0,7.04,87.25,0,98.95,3.36
2014,1,3,5,0,6.55,89.25,0,98.97,3.2
2014,1,3,6,7.93,6.24,89.69,0,99.01,3.09
2014,1,3,7,122.98,8.4,75.94,0,99.06,3.96
2014,1,3,8,328.12,10.97,63.12,0,99.1,3.67
2014,1,3,9,513.45,14.94,48.44,0,99.12,3.69
2014,1,3,10,630.82,18.4,38.88,0,99.06,3.63
2014,1,3,11,693.39,19.94,34.5,0,98.96,3.18
2014,1,3,12,697.02,20.86,31.25,0,98.86,3.07
2014,1,3,13,615.94,21.28,29.06,0,98.79,3.34
2014,1,3,14,479.67,21.13,28.19,0,98.75,3.72
2014,1,3,15,287.76,20.33,28.88,0,98.76,4.03
2014,1,3,16,83.77,17.22,34.88,0,98.79,2.87
2014,1,3,17,0,14.01,43.56,0,98.84,3.39
2014,1,3,18,0,13.33,47.25,0,98.92,3.84
2014,1,3,19,0,12.83,51.62,0,98.95,4.47
2014,1,3,20,0,12.23,56.94,0,98.96,4.83
2014,1,3,21,0,11.46,62.5,0,98.94,4.66
2014,1,3,22,0,10.66,67.31,0,98.9,4.39
2014,1,3,23,0,10,70.81,0,98.86,4.2
