YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,17.25,71.81,0,101.94,2.19
2024,1,1,1,0,17.3,71.25,0,101.94,2.35
2024,1,1,2,0,17.33,70.56,0,101.93,2.55
2024,1,1,3,0,17.34,69.81,0,101.91,2.76
2024,1,1,4,0,17.33,69.06,0,101.91,3.01
2024,1,1,5,0,17.27,68.75,0,101.93,3.37
2024,1,1,6,0,17.16,68.5,0,101.97,3.71
2024,1,1,7,29.66,17.12,67.81,0,101.99,3.99
2024,1,1,8,145.1,17.68,64.5,0,102.01,4.32
2024,1,1,9,301.09,18.08,61.62,0,102.05,4.64
2024,1,1,10,415.41,18.44,58.94,0,102.05,4.8
2024,1,1,11,455.73,18.8,56.94,0,102.01,4.93
2024,1,1,12,427.09,19.08,55.81,0,101.94,5.07
2024,1,1,13,376.71,19.27,55.69,0,101.87,5.33
2024,1,1,14,260.16,19.34,56.56,0,101.84,5.65
2024,1,1,15,171.75,19.31,58.56,0,101.84,5.97
2024,1,1,16,45.71,19.07,62.12,0,101.85,6.13
2024,1,1,17,0,18.48,67.12,0,101.87,6.3
2024,1,1,18,0,18.22,70.62,0,101.92,6.36
2024,1,1,19,0,18.01,73.25,0,101.95,6.23
2024,1,1,20,0,17.88,74.12,0,101.98,5.8
2024,1,1,21,0,17.86,73.81,0,102,5.33
2024,1,1,22,0,17.86,73.38,0,102,5.06
2024,1,1,23,0,17.85,73.38,0,101.97,5.07
2024,1,2,0,0,17.85,73.88,0,101.94,5.29
2024,1,2,1,0,17.86,74.31,0,101.93,5.6
2024,1,2,2,0,17.87,74.19,0,101.9,5.58
2024,1,2,3,0,17.83,73.69,0,101.85,5.35
2024,1,2,4,0,17.82,73.12,0,101.82,5.29
2024,1,2,5,0,17.8,72.62,0,101.86,5.35
2024,1,2,6,0,17.78,72.38,0,101.91,5.46
2024,1,2,7,31.34,17.87,71.94,0,101.96,5.57
2024,1,2,8,175.63,18.62,68.75,0,102.02,5.82
2024,1,2,9,368.07,19.01,66.62,0,102.1,5.86
2024,1,2,10,468.68,19.24,65.12,0,102.12,5.72
2024,1,2,11,545.12,19.39,63.69,0,102.09,5.83
2024,1,2,12,560.79,19.51,62.25,0,102.04,6.02
2024,1,2,13,531.16,19.62,60.44,0,101.98,6.18
2024,1,2,14,407.2,19.7,58.62,0,101.96,6.36
2024,1,2,15,258.46,19.71,57.5,0,101.96,6.47
2024,1,2,16,81.61,19.4,58.12,0,101.98,6.13
2024,1,2,17,0,18.74,60.06,0,101.99,5.85
2024,1,2,18,0,18.48,60.69,0,102.01,5.52
2024,1,2,19,0,18.29,60.94,0,102.03,5.09
2024,1,2,20,0,18.13,60.81,0,102.03,4.67
2024,1,2,21,0,18.03,60.38,0,102.02,4.3
2024,1,2,22,0,17.94,60.25,0,102.02,4.15
2024,1,2,23,0,17.73,61.12,0,102.02,4.16
2024,1,3,0,0,17.37,63.38,0,102.02,4.29
2024,1,3,1,0,17.03,66.31,0,102.02,4.34
2024,1,3,2,0,16.69,69.38,0,102.01,4.31
2024,1,3,3,0,16.33,72.5,0,101.97,4.25
2024,1,3,4,0,16.05,75,0,101.94,4.19
2024,1,3,5,0,16.05,75.44,0,101.95,4.2
2024,1,3,6,0,16.23,74.06,0,101.98,4.32
2024,1,3,7,29.27,16.35,73.06,0,101.99,4.4
2024,1,3,8,168.33,16.84,70.69,0,102.01,4.56
2024,1,3,9,324.17,17.13,69.38,0,102.07,4.8
2024,1,3,10,437.89,17.36,68.31,0,102.08,4.95
2024,1,3,11,515.75,17.63,66.62,0,102.03,4.97
2024,1,3,12,581.41,17.94,64.31,0,101.95,4.96
2024,1,3,13,515.24,18.24,61.81,0,101.89,4.96
2024,1,3,14,413.67,18.49,59.62,0,101.85,4.9
2024,1,3,15,262.95,18.62,57.94,0,101.83,4.77
2024,1,3,16,78.17,18.42,58.31,0,101.82,4.48
2024,1,3,17,0,17.87,59.88,0,101.84,4.54
2024,1,3,18,0,17.73,60.25,0,101.88,4.72
2024,1,3,19,0,17.6,60.56,0,101.92,4.88
2024,1,3,20,0,17.49,60.94,0,101.94,5
2024,1,3,21,0,17.4,61.38,0,101.95,5.08
2024,1,3,22,0,17.3,62.06,0,101.94,5.02
2024,1,3,23,0,17.25,62.56,0,101.89,4.68
2024,1,4,0,0,17.26,62.44,0,101.84,4.22
2024,1,4,1,0,17.26,62.81,0,101.82,4.18
2024,1,4,2,0,17.17,64.06,0,101.8,4.49
2024,1,4,3,0,17.08,65.25,0,101.78,4.74
2024,1,4,4,0,17.01,66,0,101.77,4.77
2024,1,4,5,0,16.88,67.06,0,101.79,5.01
2024,1,4,6,0,16.71,68.38,0,101.84,5.52
2024,1,4,7,31.03,16.71,68.62,0,101.89,6.05
2024,1,4,8,182.32,17.44,65.06,0,101.95,6.56
2024,1,4,9,346.81,17.77,62.5,0,102.02,6.89
2024,1,4,10,465.77,18.07,59.88,0,102.02,6.95
2024,1,4,11,495.75,18.44,57.06,0,101.96,6.86
2024,1,4,12,579,18.79,55.56,0,101.88,6.64
2024,1,4,13,517.41,19,55.94,0,101.8,6.41
2024,1,4,14,427.96,19.07,57.19,0,101.75,6.06
2024,1,4,15,268.12,19.03,58,0,101.72,5.7
2024,1,4,16,95.58,18.68,59.25,0,101.71,5.1
2024,1,4,17,0,18.06,60.56,0,101.72,4.86
2024,1,4,18,0,17.94,60,0,101.75,4.87
2024,1,4,19,0,17.86,59.62,0,101.78,5.04
2024,1,4,20,0,17.77,59.75,0,101.8,5.2
2024,1,4,21,0,17.68,60.56,0,101.8,5.31
2024,1,4,22,0,17.57,61.94,0,101.8,5.31
2024,1,4,23,0,17.43,64,0,101.78,5.36
2024,1,5,0,0,17.25,66.88,0,101.79,5.63
2024,1,5,1,0,17.1,69.75,0,101.81,5.88
2024,1,5,2,0,16.95,72.56,0,101.81,5.86
2024,1,5,3,0,16.81,75.31,0,101.8,5.73
2024,1,5,4,0,16.72,77.81,0,101.8,5.62
2024,1,5,5,0,16.66,80.25,0,101.84,5.59
2024,1,5,6,0,16.66,82.25,0,101.87,5.44
2024,1,5,7,27.06,16.83,82.81,0,101.89,5.14
2024,1,5,8,163.04,17.66,79.69,0,101.91,5.1
2024,1,5,9,314.66,18.15,77.88,0,101.94,5.09
2024,1,5,10,413.88,18.5,76.56,0,101.93,4.99
2024,1,5,11,500.89,18.76,75.62,0,101.89,5.14
2024,1,5,12,500.57,18.95,74.5,0,101.85,5.35
2024,1,5,13,476.5,19.08,73.69,0,101.83,5.42
2024,1,5,14,359.28,19.11,73.56,0,101.83,5.48
2024,1,5,15,222.2,19.02,74.38,0,101.87,5.52
2024,1,5,16,85.32,18.87,75.75,0,101.91,5.4
2024,1,5,17,0,18.41,78.25,0,101.95,5.03
2024,1,5,18,0,18.23,78.94,0,101.98,4.74
2024,1,5,19,0,18.08,79,0,102,4.28
2024,1,5,20,0,17.92,78.81,0,101.99,3.73
2024,1,5,21,0,17.76,78.56,0,101.97,3.23
2024,1,5,22,0,17.6,78.56,0,101.96,2.93
2024,1,5,23,0,17.51,78.62,0,101.93,2.85
2024,1,6,0,0,17.48,78.5,0,101.9,2.77
2024,1,6,1,0,17.5,78,0,101.89,2.69
2024,1,6,2,0,17.49,77.5,0,101.89,2.73
2024,1,6,3,0,17.47,76.75,0,101.86,2.75
2024,1,6,4,0,17.46,75.44,0,101.86,2.6
2024,1,6,5,0,17.46,73.44,0,101.89,2.28
2024,1,6,6,0,17.37,71.62,0,101.92,1.94
2024,1,6,7,28.17,17.26,70.88,0,101.94,2.03
2024,1,6,8,148.77,17.55,69.25,0,101.97,2.51
2024,1,6,9,298.99,17.95,67.75,0,102,3.21
2024,1,6,10,442.05,18.35,66.31,0,101.98,4.03
2024,1,6,11,514.29,18.83,64.31,0,101.91,4.71
