YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,12.14,100,0,101.73,1.68
2024,1,1,1,0,11.98,100,0,101.73,1.52
2024,1,1,2,0,11.58,100,0,101.73,1.58
2024,1,1,3,0,11.05,100,0,101.73,1.81
2024,1,1,4,0,10.58,100,0,101.75,2.05
2024,1,1,5,0,10.3,100,0,101.78,2.17
2024,1,1,6,0,10.2,100,0,101.82,2.13
2024,1,1,7,60.78,11.79,100,0,101.86,1.84
2024,1,1,8,240.12,14.75,85.12,0,101.88,2.06
2024,1,1,9,406.67,17.91,67.81,0,101.89,2.51
2024,1,1,10,533.8,19.53,57.62,0,101.86,2.35
2024,1,1,11,594.66,20.76,50.81,0,101.78,2.09
2024,1,1,12,603.45,21.62,46.81,0,101.66,1.86
2024,1,1,13,465.19,22.05,44.62,0,101.57,1.72
2024,1,1,14,335.29,21.9,44.19,0,101.53,1.71
2024,1,1,15,189.3,21.25,45.88,0,101.52,1.9
2024,1,1,16,53.55,18.9,64.44,0,101.53,1.69
2024,1,1,17,0,17.2,69.19,0,101.56,2.26
2024,1,1,18,0,16.94,69.31,0,101.62,2.56
2024,1,1,19,0,16.78,70.88,0,101.67,2.74
2024,1,1,20,0,16.38,74.88,0,101.71,2.8
2024,1,1,21,0,15.91,79.44,0,101.75,2.74
2024,1,1,22,0,15.1,85.19,0,101.76,2.53
2024,1,1,23,0,13.95,92.06,0,101.75,2.4
2024,1,2,0,0,13.01,98.5,0,101.72,2.37
2024,1,2,1,0,12.38,100,0,101.71,2.3
2024,1,2,2,0,11.95,100,0,101.69,2.3
2024,1,2,3,0,11.58,100,0,101.67,2.46
2024,1,2,4,0,11.33,100,0,101.66,2.62
2024,1,2,5,0,11.17,100,0,101.68,2.66
2024,1,2,6,0,11.02,100,0,101.72,2.76
2024,1,2,7,62.01,12.88,99.44,0,101.76,3.16
2024,1,2,8,242.06,15.74,83.06,0,101.82,3.89
2024,1,2,9,418.38,19.14,63.81,0,101.87,4.77
2024,1,2,10,508.63,20.76,55.19,0,101.86,4.94
2024,1,2,11,559.18,21.91,49.38,0,101.8,5.08
2024,1,2,12,509.88,22.66,45.44,0,101.73,5.14
2024,1,2,13,432.31,22.95,43.12,0,101.65,5.06
2024,1,2,14,330.95,22.72,42.75,0,101.63,4.98
2024,1,2,15,204.67,21.9,44.81,0,101.64,4.74
2024,1,2,16,61.76,19.29,57.75,0,101.68,2.99
2024,1,2,17,0,16.79,69.62,0,101.74,3.03
2024,1,2,18,0,16.28,72.69,0,101.81,3.34
2024,1,2,19,0,15.74,77.06,0,101.85,3.58
2024,1,2,20,0,14.87,83.75,0,101.87,3.19
2024,1,2,21,0,13.76,91.88,0,101.89,2.72
2024,1,2,22,0,13.12,97.31,0,101.88,2.58
