YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,11.94,87.25,0,100.71,2.94
2024,1,1,1,0,11.29,92.38,0,100.7,2.85
2024,1,1,2,0,10.76,96.75,0,100.68,2.83
2024,1,1,3,0,10.3,100,0,100.67,2.8
2024,1,1,4,0,9.91,100,0,100.7,2.76
2024,1,1,5,0,9.61,100,0,100.75,2.75
2024,1,1,6,0,9.36,100,0,100.8,2.76
2024,1,1,7,78.71,10.98,97.81,0,100.84,3.32
2024,1,1,8,273.62,13.6,82.94,0,100.87,3.99
2024,1,1,9,448.76,16.86,67,0,100.89,5.03
2024,1,1,10,581.65,18.83,56.12,0,100.85,5.07
2024,1,1,11,648.68,20.04,49.5,0,100.78,4.72
2024,1,1,12,627.39,20.76,45.81,0,100.68,4.38
2024,1,1,13,551.62,21.09,43.88,0,100.6,4.16
2024,1,1,14,427.12,21.07,43,0,100.55,4.16
2024,1,1,15,247.54,20.49,43.81,0,100.53,4.32
2024,1,1,16,71.83,18.52,49.12,0,100.54,3.14
2024,1,1,17,0,15.57,59.25,0,100.59,3.03
2024,1,1,18,0,14.93,61.56,0,100.65,3.21
2024,1,1,19,0,14.31,63.69,0,100.7,3.33
2024,1,1,20,0,13.69,66.06,0,100.73,3.41
2024,1,1,21,0,13.06,69.19,0,100.76,3.54
2024,1,1,22,0,12.53,72.81,0,100.77,3.69
2024,1,1,23,0,11.97,77.19,0,100.76,3.69
2024,1,2,0,0,11.37,82.06,0,100.75,3.53
2024,1,2,1,0,10.84,86.62,0,100.75,3.42
2024,1,2,2,0,10.34,91.31,0,100.74,3.29
2024,1,2,3,0,9.8,96.69,0,100.72,3.07
2024,1,2,4,0,9.33,100,0,100.73,2.9
2024,1,2,5,0,8.92,100,0,100.77,2.73
2024,1,2,6,0,8.65,100,0,100.81,2.63
2024,1,2,7,82.19,10.42,99.12,0,100.87,2.57
2024,1,2,8,281.3,12.98,84.12,0,100.92,2.73
2024,1,2,9,459.66,16.73,63.62,0,100.97,3.46
2024,1,2,10,596.72,19.71,47.06,0,100.95,4.63
2024,1,2,11,652.18,20.97,40.81,0,100.88,4.68
2024,1,2,12,618.3,21.8,37.12,0,100.8,4.79
2024,1,2,13,578.65,22.2,35.69,0,100.74,4.87
2024,1,2,14,449.5,22.1,36,0,100.71,4.93
2024,1,2,15,272.84,21.43,38.06,0,100.7,4.94
2024,1,2,16,83.2,19.08,45.06,0,100.72,3.33
2024,1,2,17,0,15.83,57,0,100.76,3.21
2024,1,2,18,0,15.1,61.12,0,100.81,3.37
2024,1,2,19,0,14.51,64.44,0,100.83,3.49
2024,1,2,20,0,13.94,67.56,0,100.85,3.62
2024,1,2,21,0,13.37,70.56,0,100.85,3.73
2024,1,2,22,0,12.71,74.44,0,100.86,3.66
2024,1,2,23,0,12.09,79,0,100.84,3.69
2024,1,3,0,0,11.78,83,0,100.82,4.11
2024,1,3,1,0,11.33,88.31,0,100.8,4.28
2024,1,3,2,0,11,93.25,0,100.77,4.41
2024,1,3,3,0,10.69,98.31,0,100.72,4.41
2024,1,3,4,0,10.4,100,0,100.69,4.18
2024,1,3,5,0,9.83,100,0,100.72,3.36
2024,1,3,6,0,9.3,100,0,100.77,2.92
2024,1,3,7,81.35,10.9,99.06,0,100.8,3.13
2024,1,3,8,280.85,13.42,83.94,0,100.83,3.22
2024,1,3,9,459.21,17,65.88,0,100.88,4.73
2024,1,3,10,588.85,19.13,53.81,0,100.86,4.55
2024,1,3,11,652.62,20.56,45.81,0,100.79,4.19
2024,1,3,12,581.89,21.48,40.69,0,100.7,3.89
2024,1,3,13,552.77,21.88,37.62,0,100.62,4.27
2024,1,3,14,459.56,21.79,36.25,0,100.54,4.75
2024,1,3,15,287.6,21.11,36.81,0,100.52,4.95
2024,1,3,16,91.05,18.69,42.75,0,100.52,3.41
2024,1,3,17,0,15.3,53.56,0,100.56,3.23
2024,1,3,18,0,14.44,56.88,0,100.63,3.38
2024,1,3,19,0,13.74,59.19,0,100.66,3.5
2024,1,3,20,0,13.04,61.19,0,100.66,3.59
2024,1,3,21,0,12.4,63.06,0,100.68,3.74
2024,1,3,22,0,11.82,65.25,0,100.69,3.98
2024,1,3,23,0,11.3,68,0,100.68,4.17
2024,1,4,0,0,10.69,72.19,0,100.67,4.03
2024,1,4,1,0,10.08,77.38,0,100.66,3.82
2024,1,4,2,0,9.55,83.25,0,100.62,3.59
2024,1,4,3,0,9.01,89.56,0,100.58,3.29
2024,1,4,4,0,8.52,95.69,0,100.57,2.97
2024,1,4,5,0,8.08,100,0,100.61,2.71
2024,1,4,6,0,7.69,100,0,100.66,2.47
2024,1,4,7,77.87,9.33,96.56,0,100.72,2.24
2024,1,4,8,275.03,11.8,82.88,0,100.79,2.46
2024,1,4,9,455.45,15.24,66.5,0,100.85,3.17
2024,1,4,10,587.53,18.85,50.12,0,100.81,4.62
2024,1,4,11,658.66,20.38,42.81,0,100.72,5.08
2024,1,4,12,638.78,21.2,38.69,0,100.63,5.39
2024,1,4,13,576,21.6,36.12,0,100.57,5.69
2024,1,4,14,447.16,21.42,35.38,0,100.53,5.96
2024,1,4,15,274.9,20.71,36.5,0,100.54,5.89
2024,1,4,16,86.98,18.37,42.5,0,100.56,3.83
2024,1,4,17,0,15.01,53.44,0,100.61,3.28
2024,1,4,18,0,14.07,57.38,0,100.64,3.34
2024,1,4,19,0,13.27,60.56,0,100.66,3.36
2024,1,4,20,0,12.44,63.06,0,100.65,3.28
2024,1,4,21,0,11.68,63.56,0,100.65,3.25
2024,1,4,22,0,11.01,61.62,0,100.64,3.28
2024,1,4,23,0,10.38,59.12,0,100.63,3.31
2024,1,5,0,0,9.78,57.81,0,100.65,3.34
2024,1,5,1,0,9.25,57.44,0,100.67,3.39
2024,1,5,2,0,8.73,58.19,0,100.68,3.39
2024,1,5,3,0,8.19,59.75,0,100.68,3.32
2024,1,5,4,0,7.59,62.06,0,100.71,3.12
2024,1,5,5,0,7.02,64.19,0,100.78,2.88
2024,1,5,6,0,6.53,64.94,0,100.84,2.73
2024,1,5,7,78.52,8.06,56.44,0,100.9,3.19
2024,1,5,8,280.45,10.38,47.5,0,100.94,3.13
2024,1,5,9,460.95,13.59,44.62,0,100.95,2.63
2024,1,5,10,589.03,17.46,39.12,0,100.89,3.58
2024,1,5,11,666.87,19.94,32.38,0,100.77,3.69
2024,1,5,12,666.05,21.02,28.75,0,100.67,3.43
2024,1,5,13,591.96,21.62,25.88,0,100.61,3.41
2024,1,5,14,470.68,21.62,24.19,0,100.6,3.61
2024,1,5,15,291.39,20.94,23.94,0,100.64,3.79
2024,1,5,16,89.88,17.54,30,0,100.69,2.68
2024,1,5,17,0,14.28,34.69,0,100.75,3.07
2024,1,5,18,0,13.27,36,0,100.8,3.19
2024,1,5,19,0,12.4,38.12,0,100.82,3.25
2024,1,5,20,0,11.58,41,0,100.82,3.29
2024,1,5,21,0,10.8,44.75,0,100.8,3.29
2024,1,5,22,0,10.05,49.31,0,100.78,3.22
2024,1,5,23,0,9.37,54.44,0,100.78,3.03
2024,1,6,0,0,8.83,59.19,0,100.77,2.85
2024,1,6,1,0,8.44,63.06,0,100.76,2.71
2024,1,6,2,0,8.23,65.75,0,100.73,2.53
2024,1,6,3,0,8.12,67.62,0,100.7,2.34
2024,1,6,4,0,8.07,68.88,0,100.7,2.19
2024,1,6,5,0,7.87,70.81,0,100.75,2.15
2024,1,6,6,0,7.57,73.5,0,100.79,2.16
2024,1,6,7,79.27,8.88,68.38,0,100.83,1.7
2024,1,6,8,278.12,11.72,57.44,0,100.9,1.54
2024,1,6,9,456.05,14.69,49.31,0,100.92,1.6
2024,1,6,10,589.16,18.15,44.94,0,100.85,2.58
2024,1,6,11,660.16,20.77,40.31,0,100.76,2.62
2024,1,6,12,640.15,22.1,36,0,100.67,1.89
2024,1,6,13,563.47,22.8,33.12,0,100.6,1.34
2024,1,6,14,460.17,22.83,32.19,0,100.56,1.26
2024,1,6,15,284.62,22.24,33.12,0,100.56,1.37
2024,1,6,16,96.51,19.63,39.44,0,100.58,1.5
2024,1,6,17,0,16.97,47.12,0,100.6,2.18
2024,1,6,18,0,15.45,53.25,0,100.61,2.6
2024,1,6,19,0,14.28,58.94,0,100.61,2.86
2024,1,6,20,0,13.36,64.06,0,100.61,3.06
2024,1,6,21,0,12.6,68.31,0,100.6,3.12
2024,1,6,22,0,11.89,71.75,0,100.58,3.06
2024,1,6,23,0,11.26,73.62,0,100.55,2.87
2024,1,7,0,0,10.9,72.75,0,100.52,2.53
2024,1,7,1,0,10.87,69.69,0,100.51,2.09
2024,1,7,2,0,10.88,66.69,0,100.49,1.63
2024,1,7,3,0,10.97,64.06,0,100.46,1.12
2024,1,7,4,0,10.65,63.94,0,100.48,0.75
2024,1,7,5,0,9.83,66.31,0,100.52,1.27
2024,1,7,6,0,8.55,70.44,0,100.58,1.86
2024,1,7,7,79.52,9.21,65.19,0,100.64,1.99
2024,1,7,8,281.05,12.02,52.44,0,100.67,2.89
2024,1,7,9,462.25,14.93,43.06,0,100.67,2.7
2024,1,7,10,603.12,18.63,34.69,0,100.58,3.04
2024,1,7,11,677.93,21.36,28.19,0,100.49,3.42
2024,1,7,12,669.75,22.58,24.25,0,100.38,3.59
2024,1,7,13,597.62,23.23,21.5,0,100.32,3.63
2024,1,7,14,478.78,23.23,20.19,0,100.3,3.51
2024,1,7,15,299.79,22.46,20.44,0,100.33,2.97
2024,1,7,16,100.71,19.01,27.12,0,100.37,1.98
2024,1,7,17,0,17.27,27.81,0,100.4,1.94
2024,1,7,18,0,16.8,28.06,0,100.45,1.79
2024,1,7,19,0,16.42,28.62,0,100.48,1.6
2024,1,7,20,0,16.08,29.19,0,100.51,1.38
2024,1,7,21,0,15.68,29.94,0,100.5,1.31
2024,1,7,22,0,15.05,31.19,0,100.49,1.28
2024,1,7,23,0,14.17,32.94,0,100.47,1.36
2024,1,8,0,0,13.23,34.88,0,100.46,1.54
2024,1,8,1,0,11.87,37.81,0,100.45,1.82
2024,1,8,2,0,10.44,40.88,0,100.44,2.1
2024,1,8,3,0,9.33,42.81,0,100.43,2.2
2024,1,8,4,0,8.59,44.06,0,100.44,2.11
2024,1,8,5,0,7.93,45.94,0,100.5,2.04
