YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,4.8,84.56,0,94.54,2.44
2014,1,1,3,0,4.55,86.25,0,94.53,2.37
2014,1,1,4,0,4.48,86.88,0,94.53,2.18
2014,1,1,5,0,4.48,87,0,94.56,1.99
2014,1,1,6,0,4.41,87.56,0,94.59,1.88
2014,1,1,7,54.91,5.02,84.12,0,94.65,1.7
2014,1,1,8,289.05,7.8,69.56,0,94.72,1.73
2014,1,1,9,479.95,10.22,59,0,94.76,1.44
2014,1,1,10,618.62,13.5,46.19,0,94.75,1.97
2014,1,1,11,730.55,14.9,40.81,0,94.68,2.09
2014,1,1,12,739.43,15.8,37.25,0,94.59,2.38
2014,1,1,13,687.97,16.31,34.94,0,94.53,2.54
2014,1,1,14,508.98,16.39,33.81,0,94.51,2.73
2014,1,1,15,309.11,16,33.94,0,94.52,2.99
2014,1,1,16,121.66,14.51,37.25,0,94.56,2.6
2014,1,1,17,10.12,10.6,48.81,0,94.62,2.87
2014,1,1,18,0,9.13,54.69,0,94.66,3.23
2014,1,1,19,0,8.24,58.88,0,94.71,3.36
2014,1,1,20,0,7.46,62.56,0,94.76,3.38
2014,1,1,21,0,6.77,65.88,0,94.77,3.38
2014,1,1,22,0,6.15,68.94,0,94.76,3.4
2014,1,1,23,0,5.58,72.06,0,94.72,3.33
2014,1,2,0,0,5.07,75.12,0,94.72,3.19
2014,1,2,1,0,4.62,78,0,94.71,3.16
2014,1,2,2,0,4.23,80.75,0,94.67,3.23
2014,1,2,3,0,3.85,83.56,0,94.65,3.25
2014,1,2,4,0,3.53,86.19,0,94.64,3.12
2014,1,2,5,0,3.3,88.44,0,94.66,3
2014,1,2,6,0,3.17,90.19,0,94.72,2.84
2014,1,2,7,76.09,4.15,85.19,0,94.77,2.53
2014,1,2,8,290.47,7.62,67.62,0,94.81,2.88
2014,1,2,9,489.5,10.07,57.94,0,94.86,2.52
2014,1,2,10,640.94,13.22,47.56,0,94.83,3.35
2014,1,2,11,698.17,14.51,42.25,0,94.75,3
2014,1,2,12,726.73,15.38,38.25,0,94.65,2.7
2014,1,2,13,675.19,15.91,35.56,0,94.56,2.64
2014,1,2,14,516.27,16.06,34.12,0,94.53,2.76
2014,1,2,15,320.08,15.71,34.19,0,94.54,3.07
2014,1,2,16,129.48,14.25,37.44,0,94.58,2.58
2014,1,2,17,12.08,10.37,49,0,94.63,2.87
2014,1,2,18,0,8.92,54.94,0,94.68,3.29
2014,1,2,19,0,8.03,59.38,0,94.73,3.41
2014,1,2,20,0,7.25,63.62,0,94.75,3.41
2014,1,2,21,0,6.53,67.69,0,94.76,3.34
2014,1,2,22,0,5.88,71.56,0,94.75,3.32
2014,1,2,23,0,5.33,75.06,0,94.73,3.33
2014,1,3,0,0,4.86,78.25,0,94.72,3.37
2014,1,3,1,0,4.43,81.25,0,94.71,3.41
2014,1,3,2,0,4.03,84.12,0,94.7,3.38
2014,1,3,3,0,3.66,86.81,0,94.68,3.35
2014,1,3,4,0,3.31,89.31,0,94.67,3.34
2014,1,3,5,0,3,91.75,0,94.7,3.31
2014,1,3,6,0,2.85,93.19,0,94.74,3.25
2014,1,3,7,71.2,4,86.56,0,94.79,3.02
2014,1,3,8,282.09,7.15,70.44,0,94.85,4.02
2014,1,3,9,480.23,9.87,60,0,94.89,3.77
2014,1,3,10,630.29,12.8,50.31,0,94.88,4.48
2014,1,3,11,700.34,14.12,45.5,0,94.8,4.22
2014,1,3,12,746.95,14.99,42.25,0,94.7,4.19
2014,1,3,13,690.15,15.5,40.25,0,94.64,4.32
2014,1,3,14,567.67,15.58,39.69,0,94.61,4.49
2014,1,3,15,386.04,15.15,40.81,0,94.61,4.65
2014,1,3,16,146.89,13.87,44.88,0,94.65,4.03
2014,1,3,17,13.07,10.17,58.81,0,94.7,3.16
2014,1,3,18,0,8.83,66.38,0,94.75,3.46
2014,1,3,19,0,8.11,71.88,0,94.8,3.67
2014,1,3,20,0,7.46,77,0,94.83,3.87
2014,1,3,21,0,6.82,81.56,0,94.82,3.94
2014,1,3,22,0,6.15,85.62,0,94.78,3.83
2014,1,3,23,0,5.53,89.06,0,94.74,3.71
2014,1,4,0,0,4.96,92.25,0,94.71,3.58
2014,1,4,1,0,4.44,95.38,0,94.7,3.47
2014,1,4,2,0,3.98,98.19,0,94.68,3.45
2014,1,4,3,0,3.62,100,0,94.67,3.5
2014,1,4,4,0,3.32,100,0,94.69,3.6
2014,1,4,5,0,3.07,100,0,94.73,3.67
2014,1,4,6,0,2.84,100,0,94.77,3.68
2014,1,4,7,52.16,4.01,98.94,0,94.82,4.08
2014,1,4,8,287.52,6.57,83.44,0,94.87,5.22
2014,1,4,9,492.38,9.58,69.12,0,94.9,5.33
