YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,9.84,77.12,0,98.19,2.92
2024,1,1,1,0,9.31,81.25,0,98.17,2.72
2024,1,1,2,0,8.89,84.94,0,98.15,2.55
2024,1,1,3,0,8.48,88.12,0,98.14,2.52
2024,1,1,4,0,8.03,91.12,0,98.13,2.61
2024,1,1,5,0,7.58,93.75,0,98.17,2.69
2024,1,1,6,0,7.12,95.88,0,98.21,2.77
2024,1,1,7,86.5,8.62,85.75,0,98.26,3.07
2024,1,1,8,297.24,10.83,73.69,0,98.3,3.32
2024,1,1,9,493.71,14.08,60.44,0,98.34,3.05
2024,1,1,10,642.28,18.06,46.94,0,98.34,4.21
2024,1,1,11,723.28,19.35,41.88,0,98.27,4.34
2024,1,1,12,743.91,20.13,38.69,0,98.18,4.48
2024,1,1,13,686.33,20.51,36.81,0,98.1,4.6
2024,1,1,14,498.24,20.49,36,0,98.05,4.76
2024,1,1,15,287.68,19.95,36.69,0,98.04,4.93
2024,1,1,16,99.67,18.59,39.44,0,98.06,4.37
2024,1,1,17,6.64,15.01,49,0,98.11,3.37
2024,1,1,18,0,13.9,51.44,0,98.17,3.74
2024,1,1,19,0,13.11,52.44,0,98.22,3.88
2024,1,1,20,0,12.25,54.19,0,98.26,3.86
2024,1,1,21,0,11.42,56.25,0,98.29,3.8
2024,1,1,22,0,10.7,58.31,0,98.3,3.82
2024,1,1,23,0,10.03,60.56,0,98.3,3.82
2024,1,2,0,0,9.39,63.19,0,98.3,3.81
2024,1,2,1,0,8.75,66.12,0,98.29,3.76
2024,1,2,2,0,8.06,69.5,0,98.28,3.63
2024,1,2,3,0,7.4,72.88,0,98.26,3.42
2024,1,2,4,0,6.82,75.94,0,98.26,3.2
2024,1,2,5,0,6.32,78.69,0,98.28,3.06
2024,1,2,6,0,5.89,81.12,0,98.32,2.99
2024,1,2,7,78.2,7.48,72.75,0,98.37,3.54
2024,1,2,8,272.93,9.75,62.44,0,98.43,3.78
2024,1,2,9,523.7,13.08,50.69,0,98.49,3.42
2024,1,2,10,618.18,17.08,41.19,0,98.49,5.01
2024,1,2,11,752.3,18.59,36.44,0,98.43,4.73
2024,1,2,12,749.91,19.52,33.12,0,98.35,4.59
2024,1,2,13,635.7,20.16,30.31,0,98.27,4.74
2024,1,2,14,467.23,20.22,29.56,0,98.23,4.9
2024,1,2,15,272.67,19.65,30.44,0,98.19,5.05
2024,1,2,16,97.2,18.12,33.62,0,98.18,4.38
2024,1,2,17,6.98,14.26,43.31,0,98.21,3.41
2024,1,2,18,0,13.07,46.94,0,98.28,3.62
2024,1,2,19,0,12.27,49.56,0,98.3,3.65
2024,1,2,20,0,11.48,52.31,0,98.33,3.59
2024,1,2,21,0,10.73,55.06,0,98.33,3.54
2024,1,2,22,0,10.02,57.81,0,98.33,3.49
2024,1,2,23,0,9.34,60.75,0,98.3,3.39
2024,1,3,0,0,8.76,63.69,0,98.25,3.3
2024,1,3,1,0,8.3,66.69,0,98.2,3.24
2024,1,3,2,0,7.88,70.44,0,98.15,3.16
2024,1,3,3,0,7.43,75.38,0,98.13,2.98
2024,1,3,4,0,7,80.88,0,98.11,2.9
2024,1,3,5,0,6.58,86.5,0,98.14,2.83
2024,1,3,6,0,6.15,91.75,0,98.21,2.66
2024,1,3,7,77.44,7.66,84.44,0,98.27,2.74
2024,1,3,8,272.3,9.76,74.12,0,98.34,2.71
2024,1,3,9,470.23,12.82,62.25,0,98.4,2.39
2024,1,3,10,618.73,17.03,51.69,0,98.36,3.31
2024,1,3,11,707.79,19.66,42.62,0,98.24,3.37
2024,1,3,12,757.11,20.67,37.81,0,98.09,3.43
2024,1,3,13,693.77,21.19,35,0,98,3.53
2024,1,3,14,558.7,21.26,33.75,0,97.94,3.67
2024,1,3,15,371.63,20.81,33.94,0,97.93,3.78
2024,1,3,16,157.75,19.18,37.5,0,97.95,3.03
2024,1,3,17,8.99,15.28,48.94,0,98,3.18
2024,1,3,18,0,14.16,54,0,98.06,3.57
2024,1,3,19,0,13.4,58.31,0,98.09,3.75
2024,1,3,20,0,12.61,63,0,98.11,3.76
2024,1,3,21,0,11.78,67.69,0,98.13,3.59
2024,1,3,22,0,11.02,71.69,0,98.14,3.48
2024,1,3,23,0,10.3,75.31,0,98.13,3.45
2024,1,4,0,0,9.59,78.75,0,98.1,3.4
2024,1,4,1,0,8.96,81.5,0,98.08,3.35
2024,1,4,2,0,8.39,83.38,0,98.06,3.29
2024,1,4,3,0,7.84,84.44,0,98.05,3.21
2024,1,4,4,0,7.33,84.81,0,98.07,3.13
2024,1,4,5,0,6.83,84.81,0,98.13,3.08
2024,1,4,6,0,6.33,84.88,0,98.19,3.02
2024,1,4,7,87.81,7.68,74.75,0,98.24,3.81
