YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,6.05,98.12,0,98.37,2.64
2014,1,1,3,0,6.05,98.38,0,98.38,2.56
2014,1,1,4,0,6.18,98.06,0,98.39,2.43
2014,1,1,5,0,6.15,98.62,0,98.41,2.42
2014,1,1,6,0,6.01,99.94,0,98.45,2.53
2014,1,1,7,80.26,7.53,90.5,0,98.49,2.38
2014,1,1,8,239.05,10.3,75.62,0,98.54,3.34
2014,1,1,9,388.52,12.94,64.5,0,98.57,2.44
2014,1,1,10,497.59,14.93,55.81,0,98.55,1.46
2014,1,1,11,558.36,15.47,52.94,0,98.48,1.14
2014,1,1,12,551.32,15.66,51.62,0,98.4,0.9
2014,1,1,13,475.2,15.65,51.19,0,98.37,0.67
2014,1,1,14,353.05,15.45,51.56,0,98.36,0.7
2014,1,1,15,202.4,14.94,56.06,0,98.37,1.04
2014,1,1,16,42.2,12.98,61.81,0,98.39,1.5
2014,1,1,17,0,11.58,66.19,0,98.44,1.83
2014,1,1,18,0,10.91,69.69,0,98.51,1.85
2014,1,1,19,0,10.54,72.12,0,98.55,1.65
2014,1,1,20,0,10.29,74.19,0,98.57,1.39
2014,1,1,21,0,9.98,76.44,0,98.58,1.2
2014,1,1,22,0,9.44,79.44,0,98.57,1.21
2014,1,1,23,0,8.78,82.62,0,98.56,1.36
2014,1,2,0,0,8.02,86.06,0,98.56,1.59
2014,1,2,1,0,7.28,89.56,0,98.58,1.83
2014,1,2,2,0,6.64,92.81,0,98.57,1.99
2014,1,2,3,0,6.13,95.5,0,98.55,2.08
2014,1,2,4,0,5.7,97.69,0,98.55,2.18
2014,1,2,5,0,5.37,99.19,0,98.58,2.25
2014,1,2,6,0,5.26,99.06,0,98.62,2.2
2014,1,2,7,85.76,6.5,90.25,0,98.66,2.01
2014,1,2,8,249.8,9.47,73.31,0,98.69,2.6
2014,1,2,9,391.48,12.34,60.81,0,98.69,1.62
2014,1,2,10,501.98,15.44,49,0,98.62,2.03
2014,1,2,11,594.83,16.51,44.69,0,98.53,2.01
2014,1,2,12,607.05,17.04,42.44,0,98.44,1.81
2014,1,2,13,529.33,17.23,41.19,0,98.38,1.9
2014,1,2,14,391.37,17.02,41.31,0,98.37,2.26
2014,1,2,15,215.23,16.07,45.69,0,98.38,2.36
2014,1,2,16,42.73,12.58,58.81,0,98.41,2.6
2014,1,2,17,0,10.55,67.12,0,98.46,3.13
2014,1,2,18,0,9.72,75.69,0,98.51,3.18
2014,1,2,19,0,9.02,84.88,0,98.55,3.01
2014,1,2,20,0,8.6,91.75,0,98.57,2.67
2014,1,2,21,0,8.65,94.31,0,98.56,2.22
2014,1,2,22,0,8.87,94.69,0,98.54,1.77
2014,1,2,23,0,9.08,94.5,0,98.52,1.34
2014,1,3,0,0,9.13,95,0,98.51,0.93
2014,1,3,1,0,8.82,97.56,0,98.52,0.72
2014,1,3,2,0,8.12,100,0,98.52,1.11
2014,1,3,3,0,6.91,100,0,98.51,1.68
2014,1,3,4,0,5.86,100,0,98.51,2.19
2014,1,3,5,0,5.47,100,0,98.52,2.33
2014,1,3,6,0,5.51,100,0,98.55,2.23
2014,1,3,7,83.78,6.66,96.44,0,98.58,2.86
2014,1,3,8,247.81,8.12,88.06,0,98.6,2.63
2014,1,3,9,378.35,10.73,74.19,0,98.6,1.64
2014,1,3,10,509.1,14.57,55.31,0,98.54,1.33
2014,1,3,11,606.08,16.59,46.5,0,98.43,1.66
2014,1,3,12,574.23,17.2,43.5,0,98.34,1.34
2014,1,3,13,498.74,17.51,42.06,0,98.29,1.66
2014,1,3,14,358.74,17.4,42.25,0,98.27,2.56
2014,1,3,15,195.04,16.39,46.88,0,98.26,3.12
2014,1,3,16,38.7,12.94,62.56,0,98.29,3.15
2014,1,3,17,0,11.01,76.81,0,98.35,3.71
2014,1,3,18,0,10.15,88.81,0,98.4,3.67
2014,1,3,19,0,9.25,100,0,98.43,3.35
2014,1,3,20,0,8.52,100,0,98.45,2.98
2014,1,3,21,0,8.34,100,0,98.46,2.49
2014,1,3,22,0,8.9,100,0,98.42,1.96
2014,1,3,23,0,9.48,100,0,98.37,1.5
2014,1,4,0,0,9.86,100,0,98.33,1.05
2014,1,4,1,0,9.8,100,0,98.32,0.8
2014,1,4,2,0,9.5,100,0,98.3,0.92
2014,1,4,3,0,9.05,100,0,98.27,1.21
2014,1,4,4,0,8.66,100,0,98.28,1.43
2014,1,4,5,0,8.42,100,0,98.3,1.59
2014,1,4,6,0,8.48,100,0,98.33,1.67
2014,1,4,7,85.76,9.62,100,0,98.37,1.52
2014,1,4,8,262.29,12.05,87.12,0,98.4,2.16
2014,1,4,9,426.7,13.8,74.06,0,98.4,2.99
