YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,11.93,99.94,0,98.54,1.6
2024,1,1,1,0,12.01,99.56,0,98.53,1.24
2024,1,1,2,0,11.96,99.94,0.01,98.52,0.97
2024,1,1,3,0,11.95,99.88,0.01,98.54,0.72
2024,1,1,4,0,11.82,100,0.01,98.56,0.49
2024,1,1,5,0,11.58,100,0.01,98.6,0.39
2024,1,1,6,0,11.38,100,0.01,98.65,0.34
2024,1,1,7,91.78,11.82,97.81,0.01,98.68,0.34
2024,1,1,8,269.71,13.46,84.81,0,98.71,0.79
2024,1,1,9,415.47,15.37,70.81,0,98.73,1.67
2024,1,1,10,531.34,17.27,57,0,98.69,2.33
2024,1,1,11,607.63,18.35,49.31,0,98.61,2.33
2024,1,1,12,600.48,19.01,44.62,0,98.51,2.16
2024,1,1,13,513.52,19.32,41.75,0,98.44,1.89
2024,1,1,14,373.75,19.22,40.5,0,98.39,1.87
2024,1,1,15,208.07,18.53,42.38,0,98.36,1.82
2024,1,1,16,40.64,15.66,52.44,0,98.37,1.96
2024,1,1,17,0,13.52,59.38,0,98.4,2.8
2024,1,1,18,0,12.63,67.88,0,98.45,3.24
2024,1,1,19,0,11.97,79.25,0,98.49,3.39
2024,1,1,20,0,11.37,91.38,0,98.54,3.32
2024,1,1,21,0,11.45,97.62,0,98.56,2.99
2024,1,1,22,0,11.78,99.75,0,98.54,2.64
2024,1,1,23,0,11.73,100,0,98.52,2.41
2024,1,2,0,0,11.59,100,0,98.48,2.3
2024,1,2,1,0,11.28,100,0,98.45,2.45
2024,1,2,2,0,10.36,100,0.02,98.44,2.86
2024,1,2,3,0,9.98,100,0.02,98.42,3.19
2024,1,2,4,0,9.86,100,0.02,98.45,3.41
2024,1,2,5,0,9.76,100,0.02,98.49,3.46
2024,1,2,6,0,9.6,100,0.02,98.53,3.4
2024,1,2,7,75.55,11.61,100,0.02,98.57,3.09
2024,1,2,8,250.7,14.57,86.5,0.03,98.64,4.52
2024,1,2,9,378.33,16.51,69.44,0.02,98.68,4.83
2024,1,2,10,533.36,17.5,59.44,0.03,98.68,4.66
2024,1,2,11,556.8,18.19,53.75,0.01,98.64,5.01
2024,1,2,12,436.39,18.51,51.25,0,98.59,5.13
2024,1,2,13,374.27,18.58,50.69,0,98.55,4.82
2024,1,2,14,276.8,18.3,51.88,0,98.52,4.44
2024,1,2,15,176.12,17.58,55.06,0,98.52,3.9
2024,1,2,16,43.16,15.15,65.94,0,98.55,2.48
2024,1,2,17,0,13.21,77.19,0,98.6,2.58
2024,1,2,18,0,12.49,83.44,0,98.65,2.51
2024,1,2,19,0,11.9,89.56,0,98.68,2.38
2024,1,2,20,0,11.38,95.88,0,98.69,2.3
2024,1,2,21,0,10.95,100,0,98.72,2.25
2024,1,2,22,0,10.92,100,0,98.73,2.16
2024,1,2,23,0,11.15,100,0.01,98.7,1.92
2024,1,3,0,0,11.47,100,0.01,98.66,1.62
2024,1,3,1,0,11.87,100,0.01,98.64,1.24
2024,1,3,2,0,12.11,100,0.02,98.61,0.94
2024,1,3,3,0,11.92,100,0.02,98.58,1.02
2024,1,3,4,0,11.65,100,0.03,98.58,1.16
2024,1,3,5,0,11.62,100,0.02,98.62,1.19
2024,1,3,6,0,11.76,100,0.02,98.64,0.98
2024,1,3,7,92.61,12.59,95.62,0.01,98.65,0.53
2024,1,3,8,276.61,14.11,83.5,0.01,98.69,0.58
2024,1,3,9,440.82,15.63,69.81,0.01,98.72,0.78
2024,1,3,10,561.12,17.23,58.75,0,98.69,0.97
2024,1,3,11,611,18.3,52.56,0,98.61,1.62
2024,1,3,12,597.82,18.94,49.44,0,98.53,2.31
2024,1,3,13,524.07,18.96,48.94,0,98.5,2.8
2024,1,3,14,385.57,18.75,49.75,0,98.49,3.14
2024,1,3,15,210.96,18.15,52.31,0,98.49,3.26
2024,1,3,16,49.44,16.04,61.31,0,98.51,2.42
2024,1,3,17,0,13.83,72.94,0,98.53,2.72
2024,1,3,18,0,12.85,81.06,0,98.55,2.73
2024,1,3,19,0,12.1,88.69,0,98.55,2.6
2024,1,3,20,0,11.55,95.38,0,98.56,2.36
2024,1,3,21,0,11.16,100,0,98.57,2.09
2024,1,3,22,0,10.86,100,0,98.57,1.83
2024,1,3,23,0,10.92,100,0,98.56,1.54
2024,1,4,0,0,11.22,100,0,98.56,1.24
2024,1,4,1,0,11.39,100,0,98.54,0.99
2024,1,4,2,0,11.37,100,0,98.5,0.82
2024,1,4,3,0,11.12,100,0.01,98.47,0.98
2024,1,4,4,0,10.49,100,0,98.47,1.44
2024,1,4,5,0,9.83,100,0,98.49,1.73
2024,1,4,6,0,9.37,100,0,98.51,1.82
2024,1,4,7,91.41,10.33,100,0,98.54,1.66
2024,1,4,8,264.36,12.71,86.44,0,98.59,1.83
2024,1,4,9,413.17,15.59,69.25,0,98.63,0.6
2024,1,4,10,563.87,17.48,56.25,0,98.59,0.85
2024,1,4,11,632.77,18.57,50.06,0,98.52,1.53
2024,1,4,12,611.54,19.25,46.62,0,98.45,2.45
2024,1,4,13,532.66,19.51,44.81,0,98.41,3.56
2024,1,4,14,388.43,19.18,45.06,0,98.4,4.37
2024,1,4,15,210.59,18.28,47.5,0,98.42,4.61
