YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,15.37,89.31,0,101.78,1.62
2024,1,1,1,0,15.18,90.75,0,101.78,1.67
2024,1,1,2,0,14.94,92.56,0,101.78,1.82
2024,1,1,3,0,14.79,94,0,101.78,1.95
2024,1,1,4,0,14.72,95,0,101.8,2.02
2024,1,1,5,0,14.68,95.62,0,101.85,2.1
2024,1,1,6,0,14.72,95.44,0,101.89,2.12
2024,1,1,7,57.05,15.5,91.88,0,101.92,1.96
2024,1,1,8,204.75,17.47,78,0.01,101.95,2.34
2024,1,1,9,340.55,18.47,68.06,0.01,101.97,2.61
2024,1,1,10,439.92,19.01,64,0,101.95,2.64
2024,1,1,11,450.32,19.59,60.75,0,101.88,2.49
2024,1,1,12,490.65,20.06,58.06,0,101.78,2.37
2024,1,1,13,391.67,20.12,57.31,0,101.7,2.47
2024,1,1,14,259.79,19.96,57.94,0,101.65,2.62
2024,1,1,15,135.64,19.39,60.69,0,101.64,2.72
2024,1,1,16,30.27,18.01,69.12,0,101.66,2.37
2024,1,1,17,0,16.51,79.81,0,101.7,2.75
2024,1,1,18,0,16,84.75,0,101.76,2.94
2024,1,1,19,0,15.79,87.38,0,101.79,2.91
2024,1,1,20,0,15.91,87.56,0,101.82,2.74
2024,1,1,21,0,15.9,88,0,101.82,2.59
2024,1,1,22,0,15.79,88.75,0,101.82,2.54
2024,1,1,23,0,15.62,89.69,0,101.79,2.55
2024,1,2,0,0,15.12,92.38,0.01,101.75,2.81
2024,1,2,1,0,14.62,95.62,0.01,101.74,3.16
2024,1,2,2,0,14.26,98.31,0.01,101.72,3.48
2024,1,2,3,0,13.96,100,0.01,101.7,3.7
2024,1,2,4,0,13.69,100,0.01,101.71,3.8
2024,1,2,5,0,13.48,100,0.01,101.74,3.73
2024,1,2,6,0,13.25,100,0.02,101.77,3.56
2024,1,2,7,61.27,14.31,99.38,0.01,101.82,3.44
2024,1,2,8,200.42,16.31,86.94,0.02,101.86,3.86
2024,1,2,9,322.11,18.08,74.5,0.03,101.92,4.17
2024,1,2,10,462.04,19.16,66.19,0.04,101.93,4.62
2024,1,2,11,512.73,19.79,61.44,0.01,101.89,4.65
2024,1,2,12,512.86,20.08,59.62,0,101.82,4.65
2024,1,2,13,460.66,20.18,59.75,0,101.77,4.65
2024,1,2,14,356.14,19.99,61.19,0,101.75,4.45
2024,1,2,15,207.3,19.58,63.69,0,101.76,4.25
2024,1,2,16,46.25,18.09,72.5,0,101.79,3.13
2024,1,2,17,0,16.48,83.5,0,101.83,2.96
2024,1,2,18,0,15.98,87.75,0,101.89,3.03
2024,1,2,19,0,15.56,91.06,0,101.92,3.14
2024,1,2,20,0,15.29,93.56,0,101.93,3.16
2024,1,2,21,0,15.1,95.38,0,101.94,3.11
2024,1,2,22,0,14.96,96.62,0,101.94,2.97
2024,1,2,23,0,14.85,97.5,0,101.91,2.72
2024,1,3,0,0,14.76,98.12,0,101.87,2.5
2024,1,3,1,0,14.65,99.19,0,101.86,2.41
2024,1,3,2,0,14.23,100,0,101.85,2.58
2024,1,3,3,0,13.83,100,0.01,101.83,2.75
2024,1,3,4,0,13.69,100,0.01,101.82,2.71
2024,1,3,5,0,13.77,100,0.01,101.84,2.54
2024,1,3,6,0,13.87,100,0,101.86,2.31
2024,1,3,7,53.52,14.81,97.12,0,101.87,2.07
2024,1,3,8,188.67,16.87,78.56,0,101.91,2.41
2024,1,3,9,317.97,17.9,67.94,0,101.96,2.41
2024,1,3,10,414.78,18.6,63.75,0,101.94,2.55
2024,1,3,11,466.19,19.44,58.94,0,101.88,2.77
2024,1,3,12,452.36,20.08,55.81,0,101.81,2.93
2024,1,3,13,415.07,20.33,54.5,0,101.74,2.91
2024,1,3,14,312.3,20.37,54.06,0,101.72,2.8
2024,1,3,15,173.34,20.02,55.38,0,101.72,2.64
2024,1,3,16,37.1,18.4,64.75,0,101.72,2.12
2024,1,3,17,0,16.74,74.25,0,101.73,2.45
2024,1,3,18,0,15.98,80.06,0,101.75,2.54
2024,1,3,19,0,15.45,84.69,0,101.78,2.46
2024,1,3,20,0,15.15,87.44,0,101.8,2.21
2024,1,3,21,0,14.92,89.69,0,101.81,2.02
2024,1,3,22,0,14.63,92.12,0,101.81,1.98
2024,1,3,23,0,14.44,94,0,101.81,1.98
2024,1,4,0,0,14.4,95.06,0,101.79,1.88
2024,1,4,1,0,14.33,96.19,0,101.77,1.71
2024,1,4,2,0,14.14,98.06,0,101.72,1.56
2024,1,4,3,0,13.72,100,0,101.68,1.62
2024,1,4,4,0,13.25,100,0,101.68,1.79
2024,1,4,5,0,12.83,100,0,101.71,1.93
2024,1,4,6,0,12.39,100,0.01,101.75,2.15
2024,1,4,7,69.12,13.05,100,0.01,101.79,2.45
2024,1,4,8,230.63,14.98,89.25,0,101.86,3.01
2024,1,4,9,380.05,17.34,72.94,0,101.9,2.41
2024,1,4,10,471.67,18.81,61.25,0,101.87,2.48
2024,1,4,11,500.05,19.98,51.81,0,101.8,2.71
2024,1,4,12,471.87,20.65,47.06,0,101.73,3.07
2024,1,4,13,446.45,20.9,45.56,0,101.68,3.43
2024,1,4,14,322.88,20.69,46.75,0,101.65,3.5
2024,1,4,15,179.44,20.05,49.81,0,101.64,3.27
2024,1,4,16,39.46,18.06,60.44,0,101.65,2.31
2024,1,4,17,0,16.58,69.06,0,101.68,2.25
2024,1,4,18,0,16.27,71.69,0,101.71,1.96
2024,1,4,19,0,16.18,72.62,0,101.71,1.49
2024,1,4,20,0,16.07,73.31,0,101.72,0.99
2024,1,4,21,0,15.8,74.25,0,101.72,0.63
2024,1,4,22,0,15.35,76.44,0,101.72,0.83
2024,1,4,23,0,14.59,81.31,0,101.73,1.5
2024,1,5,0,0,13.65,88.25,0,101.74,2.17
2024,1,5,1,0,12.78,95,0,101.75,2.66
2024,1,5,2,0,12.07,100,0,101.74,2.95
2024,1,5,3,0,11.48,100,0,101.75,3.11
2024,1,5,4,0,10.98,100,0,101.78,3.22
2024,1,5,5,0,10.55,100,0,101.83,3.23
2024,1,5,6,0,10.08,100,0,101.86,3.27
2024,1,5,7,60.8,11.1,99.19,0,101.89,3.53
2024,1,5,8,237.2,12.81,87.31,0,101.93,4.29
2024,1,5,9,400.85,15.23,72.75,0,101.96,3.77
2024,1,5,10,515.66,18.46,55.25,0,101.91,3.63
2024,1,5,11,553.35,19.73,50.44,0,101.82,3.23
2024,1,5,12,577.29,20.49,48.25,0,101.74,2.74
2024,1,5,13,472.6,20.92,47.94,0,101.71,2.47
2024,1,5,14,351.45,20.94,49.94,0,101.71,2.44
2024,1,5,15,192.24,20.46,54.12,0,101.74,2.32
2024,1,5,16,43.44,18.7,64.62,0,101.79,1.8
2024,1,5,17,0,17.63,71.25,0,101.84,1.8
