YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,7.51,81.94,0,99.41,2.68
2014,1,1,3,0,7.15,83,0,99.4,2.66
2014,1,1,4,0,6.87,83.38,0,99.43,2.64
2014,1,1,5,0,6.72,83,0,99.48,2.58
2014,1,1,6,0,7.1,80.62,0,99.52,2.43
2014,1,1,7,98.11,9.4,71,0,99.56,2.52
2014,1,1,8,270.42,12.08,62.06,0,99.6,2.21
2014,1,1,9,501.13,16.58,50.38,0,99.62,2.41
2014,1,1,10,626.58,19.09,40.44,0,99.58,1.53
2014,1,1,11,676.12,20.44,35.06,0,99.5,1.3
2014,1,1,12,668.78,21.33,31.81,0,99.41,1.77
2014,1,1,13,590.23,21.77,29.94,0,99.34,2.24
2014,1,1,14,451.12,21.73,29.38,0,99.29,2.58
2014,1,1,15,268.4,21.12,30.19,0,99.29,2.8
2014,1,1,16,74.04,18.33,35.94,0,99.32,2.17
2014,1,1,17,0,15.33,44.19,0,99.39,2.72
2014,1,1,18,0,14.25,48.62,0,99.46,3.04
2014,1,1,19,0,13.36,53.31,0,99.51,3.22
2014,1,1,20,0,12.51,58.31,0,99.54,3.37
2014,1,1,21,0,11.71,63.31,0,99.55,3.51
2014,1,1,22,0,10.98,67.62,0,99.53,3.67
2014,1,1,23,0,10.25,71.44,0,99.52,3.6
2014,1,2,0,0,9.55,75,0,99.52,3.35
2014,1,2,1,0,8.98,78,0,99.52,3.17
2014,1,2,2,0,8.48,81.38,0,99.51,3.02
2014,1,2,3,0,8,85.56,0,99.5,2.9
2014,1,2,4,0,7.58,90.06,0,99.52,2.75
2014,1,2,5,0,7.23,94.25,0,99.56,2.61
2014,1,2,6,0,6.94,96.88,0,99.61,2.44
2014,1,2,7,128.93,9.16,83.06,0,99.67,2.66
2014,1,2,8,326.83,11.61,70.19,0,99.7,2.39
2014,1,2,9,508.41,15.93,52,0,99.69,3.26
2014,1,2,10,637.48,19.04,40.62,0,99.61,3.49
2014,1,2,11,683.65,20.64,35,0,99.5,3.17
2014,1,2,12,676.05,21.71,31.25,0,99.38,2.94
2014,1,2,13,602.26,22.31,28.75,0,99.29,2.87
2014,1,2,14,459.6,22.38,27.56,0,99.26,2.98
2014,1,2,15,271.76,21.83,27.94,0,99.27,3.16
2014,1,2,16,75.6,18.58,34.19,0,99.3,2.47
2014,1,2,17,0,15.44,42.31,0,99.37,3.1
2014,1,2,18,0,14.43,46.44,0,99.44,3.51
2014,1,2,19,0,13.59,50.75,0,99.5,3.78
2014,1,2,20,0,12.59,56.12,0,99.53,3.7
2014,1,2,21,0,11.51,62,0,99.52,3.45
2014,1,2,22,0,10.61,67.06,0,99.49,3.31
2014,1,2,23,0,9.87,71.44,0,99.48,3.23
2014,1,3,0,0,9.23,75.12,0,99.49,3.14
2014,1,3,1,0,8.68,77.56,0,99.48,3.05
2014,1,3,2,0,8.19,78.81,0,99.47,3.01
2014,1,3,3,0,7.79,79.25,0,99.48,2.98
2014,1,3,4,0,7.44,79.19,0,99.48,2.91
2014,1,3,5,0,7.25,78.44,0,99.5,2.82
2014,1,3,6,0,6.99,78.94,0,99.53,2.73
2014,1,3,7,116.04,9.4,67,0,99.57,2.97
2014,1,3,8,289.26,11.98,56.81,0,99.62,2.78
2014,1,3,9,452.84,16.19,44.12,0,99.63,3.21
2014,1,3,10,593.62,19.25,36.31,0,99.58,3.1
2014,1,3,11,677.63,20.74,32.06,0,99.47,2.91
2014,1,3,12,658.95,21.67,28.75,0,99.35,3.03
2014,1,3,13,593.27,22.12,26.5,0,99.28,3.39
2014,1,3,14,461.6,21.98,25.44,0,99.25,3.81
2014,1,3,15,274.13,21.19,25.88,0,99.25,4.13
2014,1,3,16,77.46,18,31.31,0,99.29,2.99
2014,1,3,17,0,14.86,39.38,0,99.34,3.44
2014,1,3,18,0,14.28,43.38,0,99.42,3.89
