YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2024,1,1,0,0,11.98,71.31,0,99.52,3.05
2024,1,1,1,0,11.46,74.12,0,99.5,2.82
2024,1,1,2,0,11.04,78.12,0,99.47,2.71
2024,1,1,3,0,10.65,83.25,0,99.46,2.59
2024,1,1,4,0,10.26,89,0,99.48,2.49
2024,1,1,5,0,9.8,95.44,0,99.53,2.48
2024,1,1,6,0,9.41,100,0,99.58,2.47
2024,1,1,7,135.86,11.55,89.81,0,99.63,3.14
2024,1,1,8,333.41,14.19,76.38,0,99.66,2.8
2024,1,1,9,512.65,18.5,54.88,0,99.69,3.03
2024,1,1,10,638.4,21.44,40.75,0,99.63,2.93
2024,1,1,11,680.6,22.94,34.31,0,99.52,2.4
2024,1,1,12,670.76,23.78,30.69,0,99.42,2.28
2024,1,1,13,594.32,24.15,28.5,0,99.36,2.73
2024,1,1,14,451.61,23.94,27.69,0,99.29,3.15
2024,1,1,15,265.62,23.12,28.31,0,99.28,3.64
2024,1,1,16,71.53,20.34,33.31,0,99.3,2.9
2024,1,1,17,0,17.12,41.5,0,99.35,3.41
2024,1,1,18,0,16.48,44.88,0,99.42,4.13
2024,1,1,19,0,15.78,49.25,0,99.48,4.76
2024,1,1,20,0,14.9,54.75,0,99.53,4.87
2024,1,1,21,0,14.05,60,0,99.55,4.69
2024,1,1,22,0,13.26,64.62,0,99.54,4.41
2024,1,1,23,0,12.51,68.88,0,99.53,4.15
2024,1,2,0,0,11.87,72.81,0,99.53,4.01
2024,1,2,1,0,11.3,76.31,0,99.52,4
2024,1,2,2,0,10.76,79.5,0,99.51,4.06
2024,1,2,3,0,10.23,82.81,0,99.51,3.96
2024,1,2,4,0,9.58,87.06,0,99.54,3.52
2024,1,2,5,0,9.05,90.94,0,99.58,3.26
2024,1,2,6,0,8.72,94,0,99.61,3.18
2024,1,2,7,133.97,10.47,84.69,0,99.65,4.39
2024,1,2,8,334.73,13.16,72,0,99.71,3.76
2024,1,2,9,517.55,17.94,53.19,0,99.74,5.88
2024,1,2,10,642.65,20.94,41.44,0,99.69,6.43
2024,1,2,11,685.27,22.54,35.38,0,99.6,5.83
2024,1,2,12,674.89,23.67,30.75,0,99.51,5.62
2024,1,2,13,601.35,24.29,27.62,0,99.45,5.59
2024,1,2,14,462.64,24.31,25.88,0,99.41,5.56
2024,1,2,15,277.56,23.65,25.69,0,99.41,5.41
2024,1,2,16,77.73,20.73,29.88,0,99.44,3.55
2024,1,2,17,0,17.25,36.94,0,99.49,3.65
2024,1,2,18,0,16.51,39.31,0,99.53,4.1
2024,1,2,19,0,15.87,42.69,0,99.58,4.56
2024,1,2,20,0,15.02,47.69,0,99.61,4.56
2024,1,2,21,0,14.1,53.5,0,99.61,4.23
2024,1,2,22,0,13.31,59.38,0,99.62,3.9
2024,1,2,23,0,12.72,65.06,0,99.6,3.74
2024,1,3,0,0,12.1,70.88,0,99.58,3.58
2024,1,3,1,0,11.48,76.44,0,99.56,3.46
2024,1,3,2,0,10.77,82.69,0,99.51,3.13
2024,1,3,3,0,10.19,89.25,0,99.48,2.91
2024,1,3,4,0,9.74,96.38,0,99.47,2.75
2024,1,3,5,0,9.39,100,0,99.51,2.64
2024,1,3,6,0,9.2,100,0,99.56,2.64
2024,1,3,7,134.6,11.81,92.31,0,99.59,3.65
2024,1,3,8,334.62,14.74,77.12,0,99.62,3.65
2024,1,3,9,514.89,19.07,55.06,0,99.65,4.46
2024,1,3,10,641.44,21.95,42.25,0,99.62,2.77
2024,1,3,11,694.74,23.48,35.38,0,99.53,1.64
2024,1,3,12,687.33,24.37,30.81,0,99.43,1.8
2024,1,3,13,598,24.78,28.06,0,99.36,2.31
2024,1,3,14,452.45,24.63,26.75,0,99.29,2.51
2024,1,3,15,289.41,23.93,26.62,0,99.26,2.6
2024,1,3,16,85.09,21.26,30.5,0,99.27,2.02
2024,1,3,17,0,18.55,35.69,0,99.3,2.53
2024,1,3,18,0,17.56,37.38,0,99.34,2.92
2024,1,3,19,0,16.13,40.12,0,99.37,3.42
2024,1,3,20,0,15.09,42.19,0,99.4,3.62
2024,1,3,21,0,14,44.94,0,99.41,3.35
2024,1,3,22,0,12.99,48.44,0,99.39,2.9
2024,1,3,23,0,12.21,53.5,0,99.37,2.64
2024,1,4,0,0,11.53,61.12,0,99.38,2.58
2024,1,4,1,0,10.94,69.75,0,99.38,2.64
2024,1,4,2,0,10.4,77.94,0,99.37,2.66
2024,1,4,3,0,9.91,85.44,0,99.34,2.63
2024,1,4,4,0,9.48,92.38,0,99.37,2.53
2024,1,4,5,0,9.08,98.5,0,99.42,2.42
2024,1,4,6,0,8.81,100,0,99.48,2.23
2024,1,4,7,126.42,11.11,90,0,99.53,2.37
2024,1,4,8,324.45,13.72,76.19,0,99.59,1.93
2024,1,4,9,509.44,17.93,54,0,99.62,1.65
2024,1,4,10,634.26,21.55,37.44,0,99.54,1.71
2024,1,4,11,688.78,23.35,30.56,0,99.42,2.26
2024,1,4,12,680.34,24.34,27.19,0,99.33,3.02
2024,1,4,13,606.01,24.77,25.5,0,99.26,3.73
2024,1,4,14,469.61,24.62,24.94,0,99.22,4.36
2024,1,4,15,285.12,23.82,25.69,0,99.22,5
2024,1,4,16,84.13,21.21,30.06,0,99.25,4.24
2024,1,4,17,0,18.19,36.62,0,99.31,4.57
2024,1,4,18,0,17.4,39.06,0,99.37,5.62
2024,1,4,19,0,16.21,43,0,99.41,5.53
2024,1,4,20,0,15.01,47.38,0,99.42,4.86
