YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,PS,WS10M
2014,1,1,2,0,9.55,90.88,0,96.21,2.28
2014,1,1,3,0,9.03,97.94,0,96.2,2.44
2014,1,1,4,0,8.58,100,0,96.22,2.63
2014,1,1,5,0,8.2,100,0,96.26,2.89
2014,1,1,6,13.09,8.29,100,0,96.3,3.06
2014,1,1,7,160.38,12.03,79.12,0,96.36,4.03
2014,1,1,8,374.43,15.5,61.06,0,96.41,4.25
2014,1,1,9,533.23,17.93,48.12,0,96.42,3.48
2014,1,1,10,653.62,19.63,39.69,0,96.36,2.6
2014,1,1,11,670.67,20.87,34.06,0,96.28,2.02
2014,1,1,12,644.68,21.69,30.38,0,96.2,1.94
2014,1,1,13,531.83,22.16,27.88,0,96.15,2.35
2014,1,1,14,417.05,22.15,26.81,0,96.12,2.76
2014,1,1,15,253.23,21.57,27.19,0,96.12,2.97
2014,1,1,16,66.14,19.5,31,0,96.16,2.36
2014,1,1,17,0,16.3,40.69,0,96.21,2.7
2014,1,1,18,0,15.05,52.06,0,96.29,3.3
2014,1,1,19,0,13.91,68.56,0,96.35,3.64
2014,1,1,20,0,12.94,83.12,0,96.38,3.74
2014,1,1,21,0,12.23,89,0,96.38,3.78
2014,1,1,22,0,11.69,91.31,0,96.33,3.7
2014,1,1,23,0,11.2,93.12,0,96.31,3.58
2014,1,2,0,0,10.73,95.12,0,96.31,3.44
2014,1,2,1,0,10.29,97.38,0,96.31,3.4
2014,1,2,2,0,9.92,100,0,96.29,3.46
2014,1,2,3,0,9.58,100,0,96.29,3.48
2014,1,2,4,0,9.26,100,0,96.31,3.49
2014,1,2,5,0,8.98,100,0,96.34,3.54
2014,1,2,6,13.5,9.09,100,0,96.37,3.51
2014,1,2,7,164.76,12.33,89.06,0,96.42,4.94
2014,1,2,8,375.44,15.53,66.31,0,96.48,4.99
2014,1,2,9,550.09,17.96,48.81,0,96.49,4.27
2014,1,2,10,670.57,19.8,38.44,0,96.42,3.81
2014,1,2,11,716.62,21.15,32.44,0,96.31,3.6
2014,1,2,12,693.99,22.16,28.38,0,96.21,3.45
2014,1,2,13,611.82,22.73,25.94,0,96.12,3.33
2014,1,2,14,462.66,22.8,24.94,0,96.1,3.31
2014,1,2,15,269.87,22.29,25.44,0,96.12,3.32
2014,1,2,16,68.6,19.94,29.75,0,96.16,2.46
2014,1,2,17,0,16.65,39.12,0,96.22,2.76
2014,1,2,18,0,15.3,48.62,0,96.29,2.97
2014,1,2,19,0,13.97,62.62,0,96.34,2.92
2014,1,2,20,0,12.86,78,0,96.37,2.73
2014,1,2,21,0,12.01,90.19,0,96.36,2.52
2014,1,2,22,0,11.37,96.69,0,96.31,2.4
2014,1,2,23,0,10.88,99.88,0,96.28,2.27
2014,1,3,0,0,10.47,100,0,96.28,2.2
2014,1,3,1,0,9.99,100,0,96.27,2.28
